uključujući	uključivati	Rr
činjeničnog	činjeničan	Agpmsgy
opisa	opis	Ncmsg
događaja	događaj	Ncmsg
,	,	Z
onako	onako	Rgp
kako	kako	Cs
su	biti	Var3p
ga	on	Pp3msa
pravomoćno	pravomoćno	Rgp
utvrdili	utvrditi	Vmp-pm
nadležni	nadležan	Agpmpny
sudovi	sud	Ncmpn
i	i	Cc
kako	kako	Cs
proizlazi	proizlaziti	Vmr3s
iz	iz	Sg
spisa	spis	Ncmsg
predmeta	predmet	Ncmsg
,	,	Z
podnositelj	podnositelj	Ncmsn
nikada	nikada	Rgp
nije	biti	Var3s
osobno	osobno	Rgp
primio	primiti	Vmp-sm
nikakav	nikakav	Pi-msan
novčani	novčan	Agpmsayn
iznos	iznos	Ncmsan
iz	iz	Sg
dogovorene	dogovoriti	Agpfsgy
transakcije	transakcija	Ncfsg
(	(	Z
prvih	prvi	Mlompg
pet	pet	Mlc
milijuna	milijun	Ncmpg
eura	euro	Ncmpg
primio	primiti	Vmp-sm
je	biti	Var3s
Robert	Robert	Npmsn
Ježić	Ježić	Npmsn
i	i	Cc
nikada	nikada	Rgp
ih	oni	Pp3-pa
nije	biti	Var3s
proslijedio	proslijediti	Vmp-sm
podnositelju	podnositelj	Ncmsd
,	,	Z
a	a	Cc
drugih	drugi	Mlompg
pet	pet	Mlc
milijuna	milijun	Ncmpg
eura	euro	Ncmpg
nikada	nikada	Rgp
nikome	nitko	Pi3m-d
nisu	biti	Var3p
ni	ni	Qo
isplaćeni	isplatiti	Appmpny
)	)	Z
.	.	Z

IV	IV	Mrc
.	.	Z

PRAKSA	praksa	Ncfsn
VRHOVNOG	vrhovni	Agpmsgy
SUDA	sud	Ncmsg
(	(	Z
KAZNENO	kazneni	Agpnsny
DJELO	djelo	Ncnsn
PRIMANJA	primanje	Ncnsg
MITA	mit	Ncmsg
)	)	Z

1	1	Mdc
)	)	Z
O	o	Sl
društvenoj	društven	Agpfsly
opasnosti	opasnost	Ncfsl
korupcijskog	korupcijski	Agpnsgy
djela	djelo	Ncnsg
primanja	primanje	Ncnsg
mita	mit	Ncmsg

285.	285.	Mdo

Primanje	primanje	Ncnsn
mita	mit	Ncmsg
je	biti	Var3s
klasični	klasičan	Agpmsny
korupcijski	korupcijski	Agpmsny
delikt	delikt	Ncmsn
poznat	poznat	Agpmsnn
i	i	Cc
pod	pod	Si
nazivom	naziv	Ncmsi
pasivno	pasivan	Agpnsay
podmićivanje	podmićivanje	Ncnsa
.	.	Z

U	u	Sl
članku	članak	Ncmsl
347.	347.	Mdo
stavku	stavak	Ncmsl
1.	1.	Mdo
KZ-a	kz-	Ncmsg
/	/	Z
97	97	Mdc
sadržano	sadržati	Appnsny
je	biti	Var3s
kazneno	kazneni	Agpnsny
djelo	djelo	Ncnsn
pravog	prav	Agpnsgy
pasivnog	pasivan	Agpnsgy
podmićivanja	podmićivanje	Ncnsg
(	(	Z
Novoselec	Novoselec	Npmsn
,	,	Z
P.	P.	Y
/	/	Z
ur	ur	Ncmsn
./	./	Npmsn
:	:	Z
Posebni	poseban	Agpmsny
dio	dio	Ncmsn
kaznenog	kazneni	Agpnsgy
prava	pravo	Ncnsg
,	,	Z
1.	1.	Mdo
izdanje	izdanje	Ncnsn
,	,	Z
Pravni	pravni	Agpmsayn
fakultet	fakultet	Ncmsan
u	u	Sl
Zagrebu	Zagreb	Npmsl
,	,	Z
Zagreb	Zagreb	Npmsn
2007.	2007.	Mdo
,	,	Z
str.	str.	Y
409.	409.	Mdo
–	–	Z
412.	412.	Mdo
)	)	Z
.	.	Z

286.	286.	Mdo

Primanje	primanje	Ncnsn
mita	mit	Ncmsg
iz	iz	Sg
članka	članak	Ncmsg
347.	347.	Mdo

KZ-a	KZ	Npmsg
/	/	Z
97	97	Mdc
pripada	pripadati	Vmr3s
