Osnovna	osnovan	Agpfsny
složenije	složeno	Rgc
i	i	Cc
raznovrsnije	raznovrstan	Agcmpay
poslove	posao	Ncmpa
i	i	Cc
zadatke	zadatak	Ncmpa
za	za	Sa
čije	čiji	Pi-nsa
su	biti	Var3p
obavljanje	obavljanje	Ncnsa
potrebne	potreban	Agpfsgy
konzultacije	konzultacija	Ncfsg
u	u	Sl
njihovu	njihov	Ps3nsl
izvršavanju	izvršavanje	Ncnsl
KV	KV	Var3p
građevinski	građevinski	Agpmpny
radnici	radnik	Ncmpn
svih	sav	Agpfpgy
struka	struka	Ncfpg
(	(	Z
V.	V.	Mro
grupa	grupa	Ncfsn
tesar	tesar	Ncmsn
,	,	Z
armirač	armirač	Ncmsn
,	,	Z
zidar	zidar	Ncmsn
i	i	Cc
dr.	dr.	Y
)	)	Z
,	,	Z
građevinski	građevinski	Agpmsny
laborant	laborant	Ncmsn
,	,	Z
vozač	vozač	Ncmsn
teretnog	teretan	Agpnsgy
motornog	motoran	Agpnsgy
vozila	vozilo	Ncnsg
,	,	Z
servisni	servisni	Agpmsny
mehaničar	mehaničar	Ncmsn
,	,	Z
univerzalni	univerzalan	Agpmsny
strojarski	strojarski	Agpmsny
monter	monter	Ncmsn
,	,	Z
strojar	strojar	Ncmsn
građevinskih	građevinski	Agpmpgy
strojeva	stroj	Ncmpg
,	,	Z
skladišta	skladište	Ncnsg
,	,	Z
kuhar	kuhar	Ncmsn
,	,	Z
blagajnik	blagajnik	Ncmsn
,	,	Z
vatrogasac	vatrogasac	Ncmsn
KV	kv	Aspmsnn
električar	električar	Ncmsn
1,45	1,45	Mdc
23,89	23,89	Mdc
4.156,76	4.156,76	Mdc
IV	IV	Mrc
.	.	Z
b	b	X
–	–	Z
grupa	grupa	Ncfsn
poslova	posao	Ncmpg
podrazumijeva	podrazumijevati	Vmr3s
složenije	složeno	Rgc
i	i	Cc
raznovrsnije	raznovrstan	Agcmpay
poslove	posao	Ncmpa
i	i	Cc
zadatke	zadatak	Ncmpa
za	za	Sa
čije	čiji	Pi-nsa
su	biti	Var3p
obavljanje	obavljanje	Ncnsa
potrebne	potreban	Agpfsgy
konzultacije	konzultacija	Ncfsg
u	u	Sl
njihovu	njihov	Ps3nsl
izvršavanju	izvršavanje	Ncnsl
KV	KV	Npmsn
građevinski	građevinski	Agpmsny
radnik	radnik	Ncmsn
svih	sav	Agpfpgy
struka	struka	Ncfpg
(	(	Z
VI	VI	Mrc
.	.	Z
grupa	grupa	Ncfsn
tesar	tesar	Ncmsn
,	,	Z
armirač	armirač	Ncmsn
,	,	Z
zidar	zidar	Ncmsn
,	,	Z
izolater	izolater	Ncmsn
,	,	Z
asfalter	asfalter	Ncmsn
)	)	Z
,	,	Z
tehničar	tehničar	Ncmsn
gradilišta	gradilište	Ncnsg
,	,	Z
tehničar	tehničar	Ncmsn
geobušenja	geobušenje	Ncnsg
,	,	Z
laborant	laborant	Ncmsn
,	,	Z
tehničar	tehničar	Ncmsn
prerade	prerada	Ncfsg
drva	drvo	Ncnsg
,	,	Z
knjigovođa	knjigovođa	Ncmsn
,	,	Z
operater	operater	Ncmsn
ERC-a	ERC	Npmsg
,	,	Z
geometar	geometar	Ncmsn
1,52	1,52	Mdc
25,04	25,04	Mdc
4.357,43	4.357,43	Mdc
V.	V.	Y
a	a	Cc
–	–	Z
grupa	grupa	Ncfsn
poslova	posao	Ncmpg
podrazumijeva	podrazumijevati	Vmr3s
složenije	složen	Agcmpay
poslove	posao	Ncmpa
i	i	Cc
zadatke	zadatak	Ncmpa
koji	koji	Pi-mpn
zahtjevaju	zahtjevati	Vmr3p
veći	velik	Agcmsayn
stupanj	stupanj	Ncmsan
samostalnosti	samostalnost	Ncfsg
u	u	Sl
izvršavanju	izvršavanje	Ncnsl
poslova	posao	Ncmpg
i	i	Cc
zadataka	zadatak	Ncmpg
VKV	VKV	Npmsn
građevinski	građevinski	Agpmsny
radnik	radnik	Ncmsn
svih	sav	Agpfpgy
struka	struka	Ncfpg
(	(	Z
VII	vii	Mrc
.	.	Z
grupa	grupa	Ncfsn
tesar	tesar	Ncmsn
,	,	Z
armirač	armirač	Ncmsn
,	,	Z
betornirac	betornirac	Ncmsn
,	,	Z
utezač	utezač	Ncmsn
,	,	Z
skelar	skelar	Ncmsn
)	)	Z
,	,	Z
strojar	strojar	Ncmsn
teških	težak	Agpmpgy
građevinskih	građevinski	Agpmpgy
strojeva	stroj	Ncmpg
,	,	Z
monter	monter	Ncmsn
plinoenergetskih	plinoenergetski	Agpnpgy
postrojenja	postrojenje	Ncnsg
,	,	Z
vozač	vozač	Ncmsn
teških	težak	Agpnpgy
teretnih	teretan	Agpnpgy
vozila	vozilo	Ncnpg
,	,	Z
pećar-specijalist	pećar-specijalist	Ncmsan
,	,	Z
tehničar-kalkulant	tehničar-kalkulant	Ncmsn
,	,	Z
poslovođa	poslovođa	Ncmsn
jednostavnih	jednostavan	Agpmpgy
objekata	objekt	Ncmpg
i	i	Cc
postrojenja	postrojenje	Ncnsg
,	,	Z
knjigovođa	knjigovođa	Ncmsn
1,64	1,64	Mdc
27,02	27,02	Mdc
4.701,44	4.701,44	Mdc
V.	V.	Y
b	b	X
–	–	Z
grupa	grupa	Ncfsn
poslova	posao	Ncmpg
podrazumijeva	podrazumijevati	Vmr3s
složenije	složen	Agcmpay
poslove	posao	Ncmpa
i	i	Cc
zadatke	zadatak	Ncmpa
koji	koji	Pi-mpn
zahtjevaju	zahtjevati	Vmr3p
veći	velik	Agcmsayn
stupanj	stupanj	Ncmsan
samostalnosti	samostalnost	Ncfsg
u	u	Sl
izvršavanju	izvršavanje	Ncnsl
poslova	posao	Ncmpg
i	i	Cc
zadataka	zadatak	Ncmpg
VKV	VKV	Npmsn
građevinski	građevinski	Agpmsny
radnik	radnik	Ncmsn
svih	sav	Agpfpgy
struka	struka	Ncfpg
(	(	Z
VIII	viii	Mrc
.	.	Z
grupa	grupa	Ncfsn
tesar	tesar	Ncmsn
,	,	Z
zidar	zidar	Ncmsn
,	,	Z
armirač	armirač	Ncmsn
,	,	Z
utezač	utezač	Ncmsn
)	)	Z
,	,	Z
miner	miner	Ncmsn
specijalist	specijalist	Ncmsn
,	,	Z
vodeći	vodeći	Agpmsny
monter	monter	Ncmsn
,	,	Z
vozač	vozač	Ncmsn
autobusa	autobus	Ncmsg
,	,	Z
strojar	strojar	Ncmsn
građevinskog	građevinski	Agpmsgy
stroja	stroj	Ncmsg
specijalist	specijalist	Ncmsn
,	,	Z
vozač	vozač	Ncmsn
teškog	težak	Agpnsgy
teretnog	teretan	Agpnsgy
vozila	vozilo	Ncnsg
–	–	Z
specijalist	specijalist	Ncmsn
,	,	Z
rukovalac	rukov	Agcmpgy
strojeva	stroj	Ncmpg
za	za	Sa
obradu	obrada	Ncfsa
drva	drvo	Ncnsg
–	–	Z
specijalist	specijalist	Ncmsn
,	,	Z
poslovođa	poslovođa	Ncmsn
građevinskih	građevinski	Agpmpgy
objekata	objekt	Ncmpg
,	,	Z
poslovođa	poslovođa	Ncmsn
montaže	montaža	Ncfsg
,	,	Z
kuhar-specijalist	kuhar-specijalist	Ncmsn
,	,	Z
knjigovođa	knjigovođa	Ncmsn
–	–	Z
kontista	kontist	Ncmpg
1,71	1,71	Mdc
28,17	28,17	Mdc
4.902,11	4.902,11	Mdc
VI	vi	Pp2-pn
.	.	Z
grupa	grupa	Ncfsn
poslova	posao	Ncmpg
podrazumijeva	podrazumijevati	Vmr3s
poslove	posao	Ncmpa
koji	koji	Pi-mpn
zahtjevaju	zahtjevati	Vmr3p
samostalnost	samostalnost	Ncfsa
i	i	Cc
veći	velik	Agcmsayn
stupanj	stupanj	Ncmsan
kreativnosti	kreativnost	Ncfsg
u	u	Sl
njihovu	njihov	Ps3nsl
izvršavanju	izvršavanje	Ncnsl
VKV	vkv	Ncmsn
građevinski	građevinski	Agpmsny
radnik	radnik	Ncmsn
–	–	Z
majstor	majstor	Ncmsn
svih	sav	Agpnpgy
zanimanja	zanimanje	Ncnpg
,	,	Z
majstor	majstor	Ncmsn
u	u	Sl
održavanju	održavanje	Ncnsl
strojeva	stroj	Ncmpg
,	,	Z
zavarivač	zavarivač	Ncmsn
za	za	Sa
specijalne	specijalan	Agpfpay
postup	postua	Ncfpa
ke	ka	Ncfpa
,	,	Z
poslovođa	poslovođa	Ncmsn
gradilišta	gradilište	Ncnsg
,	,	Z
poslovođa	poslovođa	Ncmsn
završnih	završan	Agpmpgy
radova	rad	Ncmpg
,	,	Z
poslovođa	poslovođa	Ncmsn
montaže	montaža	Ncfsg
,	,	Z
samostalni	samostalan	Agpmsny
referent	referent	Ncmsn
pratećih	prateći	Agpfpgy
službi	služba	Ncfpg
,	,	Z
kalkulant	kalkulant	Ncmsn
,	,	Z
geometar-specijalista	geometar-specijalista	Ncmsn
,	,	Z
rukovoditelj	rukovoditelj	Ncmsn
manjeg	mali	Agcmsgy
građevinskog	građevinski	Agpmsgy
objekta	objekt	Ncmsg
1,82	1,82	Mdc
29,99	29,99	Mdc
5.217,45	5.217,45	Mdc
VII	vii	Mrc
.	.	Z
grupa	grupa	Ncfsn
poslova	posao	Ncmpg
podrazumijeva	podrazumijevati	Vmr3s
poslove	posao	Ncmpa
koji	koji	Pi-mpn
zahtjevaju	zahtjevati	Vmr3p
dodatno	dodatan	Agpnsay
poznavanje	poznavanje	Ncnsa
užeg	uzak	Agpnsgy
područja	područje	Ncnsg
jelovanja	jelovanje	Ncnsg
uz	uz	Sa
samostalnost	samostalnost	Ncfsa
i	i	Cc
kreativnost	kreativnost	Ncfsn
u	u	Sl
izvršavanju	izvršavanje	Ncnsl
poslova	posao	Ncmpg
tih	taj	Pd-npg
područja	područje	Ncnpg
Rukovoditelj	rukovoditelj	Ncmsn
građevinskog	građevinski	Agpmsgy
objekta	objekt	Ncmsg
,	,	Z
rukovoditelj	rukovoditelj	Ncmsn
objekta	objekt	Ncmsg
montaže	montaža	Ncfsg
,	,	Z
rukovoditelj	rukovoditelj	Ncmsn
pogona	pogon	Ncmpg
,	,	Z
poslovođa	poslovođa	Ncmsn
složenog	složen	Agpmsgy
objekta	objekt	Ncmsg
,	,	Z
voditelj	voditelj	Ncmsn
odsjeka	odsjek	Ncmsg
u	u	Sl
pratećim	prateći	Agpfply
službama	služba	Ncfpl
,	,	Z
komercijalist	komercijalist	Ncmsn
,	,	Z
domaćin	domaćin	Ncmsn
hotela	hotel	Ncmsg
,	,	Z
projektant	projektant	Ncmsn
metalnih	metalan	Agpfpgy
konstrukcija	konstrukcija	Ncfpg
,	,	Z
geodeta	geodet	Ncmpg
,	,	Z
knjigovođa-bilancist	knjigovođa-bilancist	Ncmsn
,	,	Z
samostalni	samostalan	Agpmsny
kalkulant	kalkulant	Ncmsn
,	,	Z
rukovoditelj	rukovoditelj	Ncmsn
mehanizacije	mehanizacija	Ncfsg
i	i	Cc
transporta	transport	Ncmsg
i	i	Cc
rukovoditelj	rukovoditelj	Ncmsn
održavanja	održavanje	Ncnsg
na	na	Sl
gradilištu	gradilište	Ncnsl
1,90	1,90	Mdc
31,30	31,30	Mdc
5.446,79	5.446,79	Mdc
VIII	viii	Mrc
.	.	Z
grupa	grupa	Ncfsn
poslova	posao	Ncmpg
prodrazumijeva	prodrazumijevati	Vmr3s
vrlo	vrlo	Rgp
složene	složen	Agpmpay
poslove	posao	Ncmpa
koji	koji	Pi-mpn
zahtjevaju	zahtjevati	Vmr3p
inicijativu	inicijativa	Ncfsa
i	i	Cc
kreativnost	kreativnost	Ncfsa
radnika	radnik	Ncmpg
,	,	Z
projektiranje	projektiranje	Ncnsa
poslova	posao	Ncmpg
i	i	Cc
zadataka	zadatak	Ncmpg

