Podunavlja	podunavlje	Ncnpn
L.	L.	Y
II	ii	Mrc
98	98	Mdc
75	75	Mdc
28.	28.	Mdo

Ulmus	Ulmus	Xf
minor	minor	Xf
Mill	Mill	Xf
.	.	Z
emend	emend	Ncmsn
.	.	Z

Richens	Richens	Npmsn
I	i	Cc
90	90	Mdc
40	40	Mdc

PRILOG	prilog	Ncmsn
III	III	Mrc
.	.	Z

UVJETI	uvjet	Ncmpn
I	i	Cc
RAZDOBLJE	razdoblje	Ncnsa
SKLADIŠTENJA	skladištenje	Ncnsg
SJEMENSKOG	sjemenski	Agpmsgy
MATERIJALA	materijal	Ncmsg

Razdoblje	razdoblje	Ncnsn
skladištenja	skladištenje	Ncnsg
do	do	Sg
12	12	Mdc
mjeseci	mjesec	Ncmpg
do	do	Sg
5	5	Mdc
godina	godina	Ncfpg
više	mnogo	Rgc
od	od	Sg
5	5	Mdc
godina	godina	Ncfpg
Grupa	grupa	Ncfsn
I	i	Cc
Sadržaj	sadržaj	Ncmsn
vlage	vlaga	Ncfsg
(%)	(%)	Z
5	5	Mdc
do	do	Sg
10	10	Mdc
;	;	Z
10	10	Mdc
do	do	Sg
15	15	Mdc
5	5	Mdc
do	do	Sg
10	10	Mdc
;	;	Z
10	10	Mdc
do	do	Sg
15	15	Mdc
5	5	Mdc
do	do	Sg
10	10	Mdc
;	;	Z
10	10	Mdc
do	do	Sg
15	15	Mdc
Temperatura	temperatura	Ncfpg
skladištenja	skladištenje	Ncnsg
(	(	Z
°	°	Z
C	C	X
)	)	Z
3	3	Mdc
do	do	Sg
5	5	Mdc
5	5	Mdc
do	do	Sg
10	10	Mdc
;	;	Z
3	3	Mdc
do	do	Sg
5	5	Mdc
-	-	Z
18	18	Mdc
Grupa	grupa	Ncfsn
II	ii	Mrc
Sadržaj	sadržaj	Ncmsn
vlage	vlaga	Ncfsg
(%)	(%)	Z
30	30	Mdc
do	do	Sg
40	40	Mdc
30	30	Mdc
do	do	Sg
40	40	Mdc
-	-	Z
Temperatura	temperatura	Ncfsn
skladištenja	skladištenje	Ncnsg
(	(	Z
°	°	Z
C	C	X
)	)	Z
0	0	Mdc
do	do	Sg
5	5	Mdc
-1	-1	Ncmsn
do	do	Sg
+3	+a	Ncfsg
-	-	Z
Grupa	grupa	Ncfsn
III	III	Agpmsny
Sadržaj	sadržaj	Ncmsn
vlage	vlaga	Ncfsg
(%)	(%)	Z
9	9	Mdc
do	do	Sg
12	12	Mdc
Temperatura	temperatura	Ncfpg
skladištenja	skladištenje	Ncnsg
(	(	Z
°	°	Z
C	C	X
)	)	Z
<	<	Z
-5	-i	Agpnsny

