ljuskasto-vermikulitnih	ljuskasto-vermikulitan	Agpmpgy
building	building	Xf
--	--	Z
Thermally	Thermally	Npfsn
toughened	toughenei	Agpfsny
soda	soda	Ncfsn
lime	lim	Agpfsgy
silicate	silicata	Ncfsg
channel	channel	Xf
shaped	shaped	Xf
safety	safety	Xf
glass	glass	Xf
--	--	Z
Part	Part	Npmsn
2	2	Mdc
:	:	Z
Evaluation	Evaluation	Xf
of	of	Xf
conformity	conformity	Xf
/	/	Z
Product	product	Agpmsny
standard	standard	Ncmsn
8.8.2014.	8.8.2014.	Mdo
8.8.2015.	8.8.2015.	Mdo

HRN	HRN	Npmsn
EN	EN	Npmsn
15732:2012	15732:2012	Agpmpny
Proizvodi	proizvod	Ncmpn
ispunjeni	ispuniti	Appmpny
laganim	lagan	Agpnsiy
punjenjem	punjenje	Ncnsi
i	i	Cc
toplinsko-izolacijski	toplinsko-izolacijski	Agpmpny
proizvodi	proizvod	Ncmpn
za	za	Sa
primjenu	primjena	Ncfsa
u	u	Sl
građevinarstvu	građevinarstvo	Ncnsl
(	(	Z
CEA	CEA	Npmsn
)	)	Z
–	–	Z
Proizvodi	proizvod	Ncmpn
od	od	Sg
lakoagregatne	lakoagregatan	Agpfsgy
ekspandirane	ekspandirati	Agpfsgy
gline	glina	Ncfsg
(	(	Z
LWA	LWA	Npfsn
)	)	Z
EN	EN	Npmsn
15732:2012	15732:2012	Mdc
Light	Light	Xf
weight	weight	Xf
fill	fill	Xf
and	and	Xf
thermal	thermal	Xf
insulation	insulation	Xf
products	products	Xf
for	for	Xf
civil	civil	Xf
engineering	engineering	Xf
applications	applications	Xf
(	(	Z
CEA	CEA	Npfsn
)	)	Z
--	--	Z
Expanded	Expanded	Xf
clay	clay	Xf
lightweight	lightweight	Xf
aggregate	aggregate	Xf
products	products	Xf
(	(	Z
LWA	LWA	Npfsn
)	)	Z
1.8.2013.	1.8.2013.	Mdo
1.8.2014.	1.8.2014.	Mdo

HRN	HRN	Npmsn
EN	EN	Npmsn
15743:2015	15743:2015	Mdc
Supersulfatni	supersulfatan	Agpmsny
cement	cement	Ncmsn
--	--	Z
Sastav	sastav	Ncmsn
,	,	Z
specifikacije	specifikacija	Ncfpn
i	i	Cc
kriteriji	kriterij	Ncmpn
sukladnosti	sukladnost	Ncfsg
EN	EN	Npmsn
15743:2010	15743:2010	Mdc
+	+	Z
A1	A1	X
:	:	Z
2015	2015	Mdc
Supersulfated	supersulfated	Agpmsny
cement	cement	Ncmsn
--	--	Z
Composition	Composition	Xf
,	,	Z
specifications	specifications	Xf
and	and	Xf
conformity	conformity	Xf
criteria	criteria	Xf
HRN	HRN	Npmsn
EN	EN	Npmsn
15743:2010	15743:2010	Mdc
(	(	Z
EN	EN	Npmsn
15743:2010	15743:2010	Mdc
)	)	Z
13.11.2015.	13.11.2015.	Mds
13.11.2016.	13.11.2016.	Mds

HRN	HRN	Npmsn
EN	EN	Npmsn
15814:2015	15814:2015	Mdc
Polimerom	polimer	Ncmsi
modificirani	modificirati	Appmpny
bitumenski	bitumenski	Agpmpny
