osiguravatelja	osiguravatelj	Ncmsg
0030070	0030070	Mdc
C	C	Y
05.03	05.03	Mdc
Postotak	postotak	Ncmsn
040	040	Mdc
010	010	Mdc
0040010	0040010	Mdc
C	C	Y
05.03	05.03	Mdc
Monetarni	monetaran	Agpmsny
iznos	iznos	Ncmsn
040	040	Mdc
020	020	Mdc
0040020	0040020	Mdc
C	C	Y
05.03	05.03	Mdc
Monetarni	monetaran	Agpmsny
iznos	iznos	Ncmsn
040	040	Mdc
030	030	Mdc
0040030	0040030	Mdc
C	C	Y
05.03	05.03	Mdc
Monetarni	monetaran	Agpmsny
iznos	iznos	Ncmsn
040	040	Mdc
050	050	Mdc
0040050	0040050	Mdc
C	C	Y
05.03	05.03	Mdc
Monetarni	monetaran	Agpmsny
iznos	iznos	Ncmsn
040	040	Mdc
070	070	Mdc
0040070	0040070	Mdc
C	C	Y
05.03	05.03	Mdc
Postotak	postotak	Ncmsn
050	050	Mdc
010	010	Mdc
0050010	0050010	Mdc
C	C	Y
05.03	05.03	Mdc
Monetarni	monetaran	Agpmsny
iznos	iznos	Ncmsn
050	050	Mdc
020	020	Mdc
0050020	0050020	Mdc
C	C	Y
05.03	05.03	Mdc
Monetarni	monetaran	Agpmsny
iznos	iznos	Ncmsn
050	050	Mdc
030	030	Mdc
0050030	0050030	Mdc
C	C	Y
05.03	05.03	Mdc
Monetarni	monetaran	Agpmsny
iznos	iznos	Ncmsn
050	050	Mdc
040	040	Mdc
0050040	0050040	Mdc
C	C	Y
05.03	05.03	Mdc
Monetarni	monetaran	Agpmsny
iznos	iznos	Ncmsn
050	050	Mdc
050	050	Mdc
0050050	0050050	Mdc
C	C	Y
05.03	05.03	Mdc
Monetarni	monetaran	Agpmsny
iznos	iznos	Ncmsn
050	050	Mdc
070	070	Mdc
0050070	0050070	Mdc
C	C	Y
05.03	05.03	Mdc
Postotak	postotak	Ncmsn
060	060	Mdc
010	010	Mdc
0060010	0060010	Mdc
C	C	Y
05.03	05.03	Mdc
Monetarni	monetaran	Agpmsny
iznos	iznos	Ncmsn
060	060	Mdc
020	020	Mdc
0060020	0060020	Mdc
C	C	Y
05.03	05.03	Mdc
Monetarni	monetaran	Agpmsny
iznos	iznos	Ncmsn
060	060	Mdc
030	030	Mdc
0060030	0060030	Mdc
C	C	Y
05.03	05.03	Mdc
Monetarni	monetaran	Agpmsny
iznos	iznos	Ncmsn
060	060	Mdc
040	040	Mdc
0060040	0060040	Mdc
C	C	Y
05.03	05.03	Mdc
Monetarni	monetaran	Agpmsny
iznos	iznos	Ncmsn
060	060	Mdc
050	050	Mdc
0060050	0060050	Mdc
C	C	Y
05.03	05.03	Mdc
Monetarni	monetaran	Agpmsny
iznos	iznos	Ncmsn
060	060	Mdc
060	060	Mdc
0060060	0060060	Mdc
C	C	Y
05.03	05.03	Mdc
Monetarni	monetaran	Agpmsny
iznos	iznos	Ncmsn
060	060	Mdc
070	070	Mdc
0060070	0060070	Mdc
C	C	Y
05.03	05.03	Mdc
Postotak	postotak	Ncmsn
070	070	Mdc
010	010	Mdc
0070010	0070010	Mdc
C	C	Y
05.03	05.03	Mdc
Monetarni	monetaran	Agpmsny
iznos	iznos	Ncmsn
070	070	Mdc
020	020	Mdc
0070020	0070020	Mdc
C	C	Y
05.03	05.03	Mdc
Monetarni	monetaran	Agpmsny
iznos	iznos	Ncmsn
070	070	Mdc
030	030	Mdc
0070030	0070030	Mdc
C	C	Y
05.03	05.03	Mdc
Monetarni	monetaran	Agpmsny
iznos	iznos	Ncmsn
070	070	Mdc
050	050	Mdc
0070050	0070050	Mdc
C	C	Y
05.03	05.03	Mdc
Monetarni	monetaran	Agpmsny
iznos	iznos	Ncmsn
070	070	Mdc
070	070	Mdc
0070070	0070070	Mdc
C	C	Y
05.03	05.03	Mdc
Postotak	postotak	Ncmsn
080	080	Mdc
010	010	Mdc
0080010	0080010	Mdc
C	C	Y
05.03	05.03	Mdc
Monetarni	monetaran	Agpmsny
iznos	iznos	Ncmsn
080	080	Mdc
020	020	Mdc
0080020	0080020	Mdc
C	C	Y
05.03	05.03	Mdc
Monetarni	monetaran	Agpmsny
iznos	iznos	Ncmsn
080	080	Mdc
030	030	Mdc
0080030	0080030	Mdc
C	C	Y
05.03	05.03	Mdc
Monetarni	monetaran	Agpmsny
iznos	iznos	Ncmsn
080	080	Mdc
050	050	Mdc
0080050	0080050	Mdc
C	C	Y
05.03	05.03	Mdc
Monetarni	monetaran	Agpmsny
iznos	iznos	Ncmsn
080	080	Mdc
070	070	Mdc
0080070	0080070	Mdc
C	C	Y
05.03	05.03	Mdc
Postotak	postotak	Ncmsn
090	090	Mdc
010	010	Mdc
0090010	0090010	Mdc
C	C	Y
05.03	05.03	Mdc
Monetarni	monetaran	Agpmsny
iznos	iznos	Ncmsn
090	090	Mdc
020	020	Mdc
0090020	0090020	Mdc
C	C	Y
05.03	05.03	Mdc
Monetarni	monetaran	Agpmsny
iznos	iznos	Ncmsn
090	090	Mdc
030	030	Mdc
0090030	0090030	Mdc
C	C	Y
05.03	05.03	Mdc
Monetarni	monetaran	Agpmsny
iznos	iznos	Ncmsn
090	090	Mdc
050	050	Mdc
0090050	0090050	Mdc
C	C	Y
05.03	05.03	Mdc
Monetarni	monetaran	Agpmsny
iznos	iznos	Ncmsn
090	090	Mdc
070	070	Mdc
0090070	0090070	Mdc
C	C	Y
05.03	05.03	Mdc
Postotak	postotak	Ncmsn
100	100	Mdc
010	010	Mdc
0100010	0100010	Mdc
C	C	Y
05.03	05.03	Mdc
Monetarni	monetaran	Agpmsny
iznos	iznos	Ncmsn
100	100	Mdc
020	020	Mdc
0100020	0100020	Mdc
C	C	Y
05.03	05.03	Mdc
Monetarni	monetaran	Agpmsny
iznos	iznos	Ncmsn
100	100	Mdc
030	030	Mdc
0100030	0100030	Mdc
C	C	Y
05.03	05.03	Mdc
Monetarni	monetaran	Agpmsny
iznos	iznos	Ncmsn
100	100	Mdc
050	050	Mdc
0100050	0100050	Mdc
C	C	Y
05.03	05.03	Mdc
Monetarni	monetaran	Agpmsny
iznos	iznos	Ncmsn
100	100	Mdc

