materijale	materijal	Ncmpa
glasačkih	glasački	Agpnpgy
prava	pravo	Ncnpg
imatelja	imatelj	Ncmpg
udjela	udjel	Ncmsg
ili	ili	Cc
članova	član	Ncmpg
u	u	Sl
tom	taj	Pd-nsl
poduzeću	poduzeće	Ncnsl
.	.	Z

Postoji	postojati	Vmr3s
pretpostavka	pretpostavka	Ncfsn
da	da	Cs
vladajući	vladajući	Agpmsny
utjecaj	utjecaj	Ncmsn
ne	ne	Qz
postoji	postojati	Vmr3s
ako	ako	Cs
se	sebe	Px--sa
ulagači	ulagač	Ncmpn
navedeni	navesti	Appmpny
u	u	Sl
drugom	drugi	Mlomsl
podstavku	podstavak	Ncmsl
stavka	stavak	Ncmsg
2.	2.	Mdo
ne	ne	Qz
uključuju	uključivati	Vmr3p
izravno	izravno	Rgp
ili	ili	Cc
neizravno	neizravno	Rgp
u	u	Sa
upravljanje	upravljanje	Ncnsa
predmetnim	predmetni	Agpnsiy
poduzećem	poduzeće	Ncnsi
,	,	Z
ne	ne	Qz
dovodeći	dovoditi	Vmr3s
u	u	Sa
pitanje	pitanje	Ncnsa
svoja	svoj	Px-npa
prava	pravo	Ncnpa
u	u	Sl
svojstvu	svojstvo	Ncnsl
imatelja	imatelj	Ncmsg
udjela	udjel	Ncmsg
.	.	Z

Poduzeća	poduzeće	Ncnpn
koja	koji	Pi-npn
su	biti	Var3p
međusobno	međusobno	Rgp
povezana	povezan	Agpnpny
preko	preko	Sg
jednog	jedan	Mlcmsg
ili	ili	Cc
više	mnogo	Rgc
drugih	drugi	Mlonpg
poduzeća	poduzeće	Ncnpg
,	,	Z
odnosno	odnosno	Rgp
bilo	bilo	Qo
kojeg	koji	Pi-msg
ulagača	ulagač	Ncmpg
iz	iz	Sg
stavka	stavak	Ncmsg
2.	2.	Mdo
,	,	Z
na	na	Sa
jedan	jedan	Ncmsan
od	od	Sg
načina	način	Ncmpg
opisanih	opisati	Appmpgy
u	u	Sl
prvom	prvi	Mlomsl
podstavku	podstavak	Ncmsl
,	,	Z
također	također	Rgp
su	biti	Var3p
povezana	povezati	Appnpny
.	.	Z

Poduzeća	poduzeće	Ncnpn
koja	koji	Pi-npn
jednu	jedan	Mlcfsa
od	od	Sg
takvih	takav	Pd-fpg
povezanosti	povezanost	Ncfpg

