PREGIBAN	pregibati	Appmsnn
ŠEGO	ŠEGO	Npmsn

3453.	3453.	Mdo
namještenik	namještenik	Ncmsn
ĐURO	ĐURO	Npmsn
(	(	Z
Ivanov	Ivanov	Npmsn
)	)	Z
ŠEMBER	ŠEMBER	Npmsn

3454.	3454.	Mdo
namještenik	namještenik	Ncmsn
MLADEN	MLADEN	Npmsn
(	(	Z
Josipov	Josipov	Npmsn
)	)	Z
ŠEMPER	ŠEMPER	Npmsn

3455.	3455.	Mdo
namještenik	namještenik	Ncmsn
IVAN	Ivan	Npmsn
(	(	Z
Matin	Matin	Npmsn
)	)	Z
ŠEPČIĆ	ŠEPČIĆ	Npmsn

3456.	3456.	Mdo
namještenik	namještenik	Ncmsn
MILAN	Milan	Npmsn
(	(	Z
Slavkov	Slavkov	Npmsn
)	)	Z
ŠEREG	ŠEREG	Npmsn

3457.	3457.	Mdo
namještenik	namještenik	Ncmsn
NIKICA	NIKICA	Npfsn
(	(	Z
Jakovljev	Jakovljev	Npmsn
)	)	Z
ŠERIĆ	ŠERIĆ	Npmsn

3458.	3458.	Mdo
namještenik	namještenik	Ncmsn
MARINKO	MARINKO	Npmsn
(	(	Z
Matin	Matin	Npmsn
)	)	Z
ŠIMETIĆ	ŠIMETIĆ	Npmsn

3459.	3459.	Mdo
namještenik	namještenik	Ncmsn
BORIS	Boris	Npmsn
(	(	Z
Umbertov	Umbertov	Npmsn
)	)	Z
ŠIMUNIĆ	Šimunić	Npmsn

3460.	3460.	Mdo
namještenik	namještenik	Ncmsn
SLAVEN	Slaven	Npmsn
(	(	Z
Vjekoslavov	Vjekoslavov	Npmsn
)	)	Z
ŠIŠAN	šišati	Appmsnn

3461.	3461.	Mdo
namještenik	namještenik	Ncmsn
DAVOR	DAVOR	Npmsn
(	(	Z
Šimin	Šimin	Npmsn
)	)	Z
ŠKARA	škare	Ncfpg

3462.	3462.	Mdo
namještenik	namještenik	Ncmsn
JOŠKO	JOŠKO	Npmsn
(	(	Z
Jakovljev	Jakovljev	Npmsn
)	)	Z
ŠKUGOR	ŠKUGOR	Npmsn

3463.	3463.	Mdo
namještenik	namještenik	Ncmsn
JOSIP	Josip	Npmsn
(	(	Z
Marijanov	Marijanov	Npmsn
)	)	Z
ŠOŠA	šoš	Ncmpg

3464.	3464.	Mdo
namještenik	namještenik	Ncmsn
ŽELJKO	Željko	Npmsn
(	(	Z
Eduardov	Eduardov	Npmsn
)	)	Z
ŠOŠTARIĆ	ŠOŠTARIĆ	Npmsn

3465.	3465.	Mdo
namještenik	namještenik	Ncmsn
ŽELJKO	Željko	Npmsn
(	(	Z
Đurin	Đurin	Npmsn
)	)	Z
ŠPANJEVIĆ	ŠPANJEVIĆ	Npmsn

3466.	3466.	Mdo
namještenik	namještenik	Ncmsn
STANISLAV	STANISLAV	Npmsn
(	(	Z
Đurin	Đurin	Npmsn
)	)	Z
ŠPANJEVIĆ	ŠPANJEVIĆ	Npmsn

