PRIJELAZNE	prijelazan	Agpfpny
m	m	Cc
–	–	Z
cijena	cijena	Ncfsn
pozitivne	pozitivan	Agpfsgy
energije	energija	Ncfsg
uravnoteženja	uravnoteženje	Ncnsg
za	za	Sa
plinske	plinski	Agpmpay
dane	dan	Ncmpa
u	u	Sl
mjesecu	mjesec	Ncmsl
m	m	Agpmsly
[	[	Z
kn	KN	Y
/	/	Z
kWh	kWh	Npfsg
]	]	Z
,	,	Z
CEu	CE	Npmsl
,	,	Z
NEG	NE	Npmsl
,	,	Z
m	m	Cc
–	–	Z
cijena	cijena	Ncfsn
negativne	negativan	Agpfsgy
energije	energija	Ncfsg
uravnoteženja	uravnoteženje	Ncnsg
za	za	Sa
plinske	plinski	Agpmpay
dane	dan	Ncmpa
u	u	Sl
mjesecu	mjesec	Ncmsl
m	m	Agpmsly
[	[	Z
kn	KN	Y
/	/	Z
kWh	kWh	Npfsg
]	]	Z
,	,	Z
CREF	CREF	Npmsn
,	,	Z
m	m	Cc
–	–	Z
referentna	referentan	Agpfsny
cijena	cijena	Ncfsn
plina	plin	Ncmsg
za	za	Sa
mjesec	mjesec	Ncmsan
m	m	Xf
[	[	Z
kn	KN	Y
/	/	Z
kWh	kWh	I
]	]	Z
.	.	Z

(	(	Z
2	2	Mdc
)	)	Z
Referentna	referentan	Agpfsny
cijena	cijena	Ncfsn
plina	plin	Ncmsg
za	za	Sa
mjesec	mjesec	Ncmsan
m	m	Cc
iz	iz	Sg
stavka	stavak	Ncmsg
1.	1.	Mdo
ovoga	ovaj	Pd-msg
članka	članak	Ncmsg
izračunava	izračunavati	Vmr3s
se	sebe	Px--sa
prema	prema	Sl
sljedećoj	sljedeći	Agpfsly
jednadžbi	jednadžba	Ncfsl
:	:	Z

CREF	crei	Agpnsny
,	,	Z
m	m	Cc
=	=	Z
0,5	0,5	Mdc
×	×	Z
COVT	COVT	Npmsn
,	,	Z
m	m	Cc
+	+	Z
0,5	0,5	Mdc
×	×	Z
CCEGH	CCEGH	Npfsg
,	,	Z
m	m	Cc
[	[	Z
kn	KN	Ncmsan
/	/	Z
kWh	kWh	Npfsg
]	]	Z
,	,	Z

gdje	gdje	Rgp
je	biti	Var3s
:	:	Z

CREF	crei	Agpnsny
,	,	Z
m	m	Cc
–	–	Z
referentna	referentan	Agpfsny
cijena	cijena	Ncfsn
plina	plin	Ncmsg
za	za	Sa
mjesec	mjesec	Ncmsan
m	m	Xf
[	[	Z
kn	KN	Y
/	/	Z
kWh	kWh	Npfsg
]	]	Z
,	,	Z
COVT	COVT	Npmsn
,	,	Z
m	m	Cc
–	–	Z
cijena	cijena	Ncfsn
plina	plin	Ncmsg
opskrbljivača	opskrbljivač	Ncmpg
na	na	Sl
veleprodajnom	veleprodajni	Agpnsly
tržištu	tržište	Ncnsl
plina	plin	Ncmsg
za	za	Sa
mjesec	mjesec	Ncmsan
m	m	Xf
[	[	Z
kn	KN	Y
/	/	Z
kWh	kWh	Npfsg
]	]	Z
,	,	Z
CCEGH	CCEGH	Npmsn
,	,	Z
m	m	Cc
–	–	Z
cijena	cijena	Ncfsn
plina	plin	Ncmsg
na	na	Sl
plinskoj	plinski	Agpfsly
burzi	burza	Ncfsl
Central	Central	Xf
European	European	Xf
Gas	Gas	Xf
Hub	hub	Ncmsn
AG	AG	Npmsn
(	(	Z
CEGH	CEGH	Npmsn
)	)	Z
za	za	Sa
mjesec	mjesec	Ncmsan
m	m	Cc
[	[	Z
kn	KN	Y
/	/	Z
kWh	kWh	I
]	]	Z
.	.	Z

(	(	Z
3	3	Mdc
)	)	Z
Cijena	cijena	Ncfsn
plina	plin	Ncmsg
opskrbljivača	opskrbljivač	Ncmpg
na	na	Sl
veleprodajnom	veleprodajni	Agpnsly
tržištu	tržište	Ncnsl
plina	plin	Ncmsg
za	za	Sa
mjesec	mjesec	Ncmsan
m	m	Cc
iz	iz	Sg
stavka	stavak	Ncmsg
2.	2.	Mdo
ovoga	ovaj	Pd-msg
članka	članak	Ncmsg
jednaka	jednak	Agpfsny
je	biti	Var3s
cijeni	cijena	Ncfsl
plina	plin	Ncmsg
po	po	Sl
kojoj	koji	Pi-fsl
je	biti	Var3s
opskrbljivač	opskrbljivač	Ncmsn
na	na	Sl
veleprodajnom	veleprodajni	Agpnsly
tržištu	tržište	Ncnsl
plina	plin	Ncmsg
dužan	dužan	Agpmsnn
prodavati	prodavati	Vmn
plin	plin	Ncmsan
opskrbljivačima	opskrbljivač	Ncmpd
u	u	Sl
javnoj	javan	Agpfsly
usluzi	usluga	Ncfsl
opskrbe	opskrba	Ncfsg
plinom	plin	Ncmsi
za	za	Sa
kupce	kupac	Ncmpa
iz	iz	Sg
kategorije	kategorija	Ncfsg
kućanstvo	kućanstvo	Ncnsn
,	,	Z
koja	koji	Pi-fsn
je	biti	Var3s
za	za	Sa
mjesec	mjesec	Ncmsan
m	m	Cc
utvrđena	utvrditi	Appfsny
odlukom	odluka	Ncfsi
Vlade	vlada	Ncfsg
Republike	republika	Ncfsg
Hrvatske	Hrvatska	Npfsg
[	[	Z
kn	KN	Ncmsn
/	/	Z
kWh	kWh	I
]	]	Z
.	.	Z

(	(	Z
4	4	Mdc
)	)	Z
Cijena	cijena	Ncfsn
plina	plin	Ncmsg
na	na	Sl
plinskoj	plinski	Agpfsly
burzi	burza	Ncfsl
Central	Central	Xf
European	European	Xf
Gas	Gas	Xf
Hub	hub	Ncmsn
AG	AG	Npmsn
(	(	Z
CEGH	CEGH	Npmsn
)	)	Z
za	za	Sa
mjesec	mjesec	Ncmsan
m	m	Cc
iz	iz	Sg
stavka	stavak	Ncmsg
2.	2.	Mdo
ovoga	ovaj	Pd-msg
članka	članak	Ncmsg
izračunava	izračunavati	Vmr3s
se	sebe	Px--sa
prema	prema	Sl
sljedećoj	sljedeći	Agpfsly
jednadžbi	jednadžba	Ncfsl
:	:	Z

CCEGH	ccegi	Agpnsny
,	,	Z
m	m	Cc
CCEGH	CCEGH	Npfsg
,	,	Z
m-1	m-1	Mdm
+	+	Z
0,5	0,5	Mdc
×	×	Z
(	(	Z
CCEGH	CCEGH	Npmsn
,	,	Z
m-12	m-12	Mdm
–	–	Z
CCEGH	CCEGH	Npmsn
,	,	Z
m-13	m-13	Mdm
))	))	Z
×	×	Z
tEUR	tEUR	Xf
/	/	Z
kNCV	knc	Ncmsg
/	/	Z
GCV	G	Npmsi
/	/	Z
1000	1000	Mdc
[	[	Z
kn	KN	Ncmsn
/	/	Z
kWh	kWh	Npfsg
]	]	Z
,	,	Z

gdje	gdje	Rgp
je	biti	Var3s
:	:	Z

CCEGH	ccegi	Agpnsny
,	,	Z
m	m	Cc
–	–	Z
cijena	cijena	Ncfsn
plina	plin	Ncmsg
na	na	Sl
plinskoj	plinski	Agpfsly
burzi	burza	Ncfsl
Central	Central	Xf
European	European	Xf
Gas	Gas	Xf
Hub	hub	Ncmsn
AG	AG	Npmsn
(	(	Z
CEGH	CEGH	Npmsn
)	)	Z
za	za	Sa
mjesec	mjesec	Ncmsan
m	m	Cc
[	[	Z
kn	KN	Y
/	/	Z
kWh	kWh	Npfsg
]	]	Z
,	,	Z
CCEGH	CCEGH	Npmsn
,	,	Z
m-1	m-1	Mdm
–	–	Z
aritmetička	aritmetički	Agpfsny
sredina	sredina	Ncfsn
dnevnih	dnevni	Agpmpgy
iznosa	iznos	Ncmpg
cjenovnog	cjenovan	Agpmsgy
indeksa	indeks	Ncmsg
»	»	Z
CEGHIX	ceghix	Mrc
®	®	Z
«	«	Z
plinske	plinski	Agpfsgy
burze	burza	Ncfsg
Central	Central	Npmsn
European	European	Npmsn
Gas	Gas	Npmsn
Hub	Hub	Npmsn
AG	AG	Npmsn
(	(	Z
CEGH	CEGH	Npmsn
)	)	Z
za	za	Sa
trgovinske	trgovinski	Agpmpay
dane	dan	Ncmpa
u	u	Sl
razdoblju	razdoblje	Ncnsl
od	od	Sg
1.	1.	Mdo
do	do	Sg
25.	25.	Mdo
dana	dan	Ncmsg
u	u	Sl
mjesecu	mjesec	Ncmsl
m-1	m-1	Mdc
koji	koji	Pi-msn
prethodi	prethoditi	Vmr3s
mjesecu	mjesec	Ncmsd
za	za	Sa
koji	koji	Pi-msan
se	sebe	Px--sa
utvrđuje	utvrđivati	Vmr3s
cijena	cijena	Ncfsn
energije	energija	Ncfsg
uravnoteženja	uravnoteženje	Ncnsg
[	[	Z
EUR	EUR	Npmsn
/	/	Z
MWh	MWh	Npfsg
]	]	Z
,	,	Z
CCEGH	CCEGH	Npmsn
,	,	Z
m-12	m-12	Mdm
–	–	Z
aritmetička	aritmetički	Agpfsny
sredina	sredina	Ncfsn
dnevnih	dnevni	Agpmpgy
iznosa	iznos	Ncmpg
cjenovnog	cjenovan	Agpmsgy
indeksa	indeks	Ncmsg
»	»	Z
CEGHIX	ceghix	Mrc
®	®	Z
«	«	Z
plinske	plinski	Agpfsgy
burze	burza	Ncfsg
Central	Central	Npmsn
European	European	Npmsn
Gas	Gas	Npmsn
Hub	Hub	Npmsn
AG	AG	Npmsn
(	(	Z
CEGH	CEGH	Npmsn
)	)	Z
za	za	Sa
trgovinske	trgovinski	Agpmpay
dane	dan	Ncmpa
mjeseca	mjesec	Ncmsg
m-12	m-12	Pd-mpn
koji	koji	Pi-mpn
za	za	Sa
dvanaest	dvanaest	Mlc
mjeseci	mjesec	Ncmpg
prethodi	prethoditi	Vmr3s
mjesecu	mjesec	Ncmsl
za	za	Sa
koji	koji	Pi-msan
se	sebe	Px--sa
utvrđuje	utvrđivati	Vmr3s
cijena	cijena	Ncfsn
energije	energija	Ncfsg
uravnoteženja	uravnoteženje	Ncnsg
[	[	Z
EUR	EUR	Npmsn
/	/	Z
MWh	MWh	Npfsg
]	]	Z
,	,	Z
CCEGH	CCEGH	Npmsn
,	,	Z
m-13	m-13	Mdm
–	–	Z
aritmetička	aritmetički	Agpfsny
sredina	sredina	Ncfsn
dnevnih	dnevni	Agpmpgy
iznosa	iznos	Ncmpg
cjenovnog	cjenovan	Agpmsgy
indeksa	indeks	Ncmsg
»	»	Z
CEGHIX	ceghix	Mrc
®	®	Z
«	«	Z
plinske	plinski	Agpfsgy
burze	burza	Ncfsg
Central	Central	Npmsn
European	European	Npmsn
Gas	Gas	Npmsn
Hub	Hub	Npmsn
AG	AG	Npmsn
(	(	Z
CEGH	CEGH	Npmsn
)	)	Z
za	za	Sa
trgovinske	trgovinski	Agpmpay
dane	dan	Ncmpa
mjeseca	mjesec	Ncmsg
m-13	m-13	Pd-mpn
koji	koji	Pi-mpn
za	za	Sa
trinaest	trinaest	Mlc
mjeseci	mjesec	Ncmpg
prethodi	prethoditi	Vmr3s
mjesecu	mjesec	Ncmsl
za	za	Sa
koji	koji	Pi-msan
se	sebe	Px--sa
utvrđuje	utvrđivati	Vmr3s
cijena	cijena	Ncfsn
energije	energija	Ncfsg
uravnoteženja	uravnoteženje	Ncnsg
[	[	Z
EUR	EUR	Npmsn
/	/	Z
MWh	MWh	Npfsg
]	]	Z
,	,	Z
tEUR	tEUR	Npmsn
–	–	Z
aritmetička	aritmetički	Agpfsny
sredina	sredina	Ncfsn
srednjih	srednji	Agpmpgy
dnevnih	dnevni	Agpmpgy
tečajeva	tečaj	Ncmpg
za	za	Sa
devize	deviza	Ncfpa
u	u	Sa
kn	KN	Ncmsan
/	/	Z
EUR	EUR	Npmsn
,	,	Z
prema	prema	Sl
tečajnim	tečajni	Agpfply
listama	lista	Ncfpl
Hrvatske	hrvatski	Agpfsgy
narodne	narodni	Agpfsgy
banke	banka	Ncfsg
(	(	Z
HNB	HNB	Npmsn
)	)	Z
objavljenima	objavljen	Agpmpiy
za	za	Sa
radne	radni	Agpmpay
dane	dan	Ncmpa
u	u	Sl
razdoblju	razdoblje	Ncnsl
od	od	Sg
1.	1.	Mdo
do	do	Sg
25.	25.	Mdo
dana	dan	Ncmsg
u	u	Sl
mjesecu	mjesec	Ncmsl
m-1	m-1	Mdc
koji	koji	Pi-msn
prethodi	prethoditi	Vmr3s
mjesecu	mjesec	Ncmsd
za	za	Sa
koji	koji	Pi-msan
se	sebe	Px--sa
utvrđuje	utvrđivati	Vmr3s
cijena	cijena	Ncfsn
energije	energija	Ncfsg
uravnoteženja	uravnoteženje	Ncnsg
,	,	Z
kNCV	kNCV	Npmsn
/	/	Z
GCV	GCV	Npfsg
–	–	Z
koeficijent	koeficijent	Ncmsan
za	za	Sa
pretvorbu	pretvorba	Ncfsa
cijene	cijena	Ncfsg
plina	plin	Ncmsg
iz	iz	Sg
gornje	gornji	Agpfsgy
ogrjevne	ogrjevni	Agpfsgy
vrijednosti	vrijednost	Ncfsg
u	u	Sa
donju	donji	Agpfsay
ogrjevnu	ogrjevni	Agpfsay
vrijednost	vrijednost	Ncfsa
,	,	Z
koji	koji	Pi-msn
iznosi	iznositi	Vmr3s
0,901.	0,901.	Mdo

(	(	Z
5	5	Mdc
)	)	Z
Cijene	cijena	Ncfpn
i	i	Cc
svi	sav	Agpmpny
iznosi	iznos	Ncmpn
u	u	Sl
postupku	postupak	Ncmsl
izračuna	izračun	Ncmsg
iz	iz	Sg
stavaka	stavak	Ncmpg
1.	1.	Mdo
,	,	Z
2.	2.	Mdo
,	,	Z
3.	3.	Mdo
i	i	Cc
4.	4.	Mdo
ovoga	ovaj	Pd-msg
članka	članak	Ncmsg
zaokružuju	zaokruživati	Vmr3p
se	sebe	Px--sa
na	na	Sa
četiri	četiri	Mlc
decimale	decimala	Ncfsg
.	.	Z

(	(	Z
6	6	Mdc
)	)	Z
Iznimno	iznimno	Rgp
od	od	Sg
članka	članak	Ncmsg
3.	3.	Mdo
stavka	stavak	Ncmsg
5.	5.	Mdo
ove	ovaj	Pd-fsg
Metodologije	metodologija	Ncfsg
,	,	Z
operator	operator	Ncmsn
tržišta	tržište	Ncnsg
plina	plin	Ncmsg
objavljuje	objavljivati	Vmr3s
referentnu	referentan	Agpfsay
cijenu	cijena	Ncfsa
plina	plin	Ncmsg
,	,	Z
cijenu	cijena	Ncfsa
pozitivne	pozitivan	Agpfsgy
energije	energija	Ncfsg
uravnoteženja	uravnoteženje	Ncnsg
i	i	Cc
cijenu	cijena	Ncfsa
negativne	negativan	Agpfsgy
energije	energija	Ncfsg
uravnoteženja	uravnoteženje	Ncnsg
za	za	Sa
plinske	plinski	Agpmpay
dane	dan	Ncmpa
u	u	Sl
lipnju	lipanj	Ncmsl
,	,	Z
srpnju	srpanj	Ncmsl
,	,	Z
kolovozu	kolovoz	Ncmsl
i	i	Cc
rujnu	rujan	Ncmsl
2016.	2016.	Mdo
na	na	Sl
svojim	svoj	Px-fpl
internetskim	internetski	Agpfply
stranicama	stranica	Ncfpl
najkasnije	kasno	Rgs
do	do	Sg
zadnjeg	zadnji	Agpmsgy
radnog	radni	Agpmsgy
dana	dan	Ncmsg
u	u	Sl
mjesecu	mjesec	Ncmsl
koji	koji	Pi-msn
prethodi	prethoditi	Vmr3s
mjesecu	mjesec	Ncmsd
za	za	Sa
koji	koji	Pi-msan
se	sebe	Px--sa
utvrđuje	utvrđivati	Vmr3s
cijena	cijena	Ncfsn
energije	energija	Ncfsg
uravnoteženja	uravnoteženje	Ncnsg
.	.	Z

Članak	članak	Ncmsn
6.	6.	Mdo

Iznimno	iznimno	Rgp
od	od	Sg
članka	članak	Ncmsg
4.	4.	Mdo
ove	ovaj	Pd-fsg
Metodologije	metodologija	Ncfsg
,	,	Z
u	u	Sl
razdoblju	razdoblje	Ncnsl
važenja	važenje	Ncnsg
odluke	odluka	Ncfsg
Vlade	vlada	Ncfsg
Republike	republika	Ncfsg
Hrvatske	Hrvatska	Npfsg
o	o	Sl
cijeni	cijena	Ncfsl
plina	plin	Ncmsg
po	po	Sl
kojoj	koji	Pi-fsl
je	biti	Var3s
opskrbljivač	opskrbljivač	Ncmsn
na	na	Sl
veleprodajnom	veleprodajni	Agpnsly
tržištu	tržište	Ncnsl
plina	plin	Ncmsg
dužan	dužan	Agpmsnn
prodavati	prodavati	Vmn
plin	plin	Ncmsan
opskrbljivačima	opskrbljivač	Ncmpd
u	u	Sl
javnoj	javan	Agpfsly
usluzi	usluga	Ncfsl
opskrbe	opskrba	Ncfsg
plinom	plin	Ncmsi
za	za	Sa
kupce	kupac	Ncmpa
iz	iz	Sg
kategorije	kategorija	Ncfsg
kućanstvo	kućanstvo	Ncnsn
iz	iz	Sg
članka	članak	Ncmsg
5.	5.	Mdo
a	a	Cc
stavka	stavka	Ncfsn
5.	5.	Mdo
Zakona	zakon	Ncmsg
o	o	Sl
tržištu	tržište	Ncnsl
plina	plin	Ncmsg
,	,	Z
jedinična	jedinični	Agpfsny
cijena	cijena	Ncfsn
plina	plin	Ncmsg
za	za	Sa
izračun	izračun	Ncmsan
nadoknade	nadoknada	Ncfsg
gubitaka	gubitak	Ncmpg
plina	plin	Ncmsg
u	u	Sl
distribucijskom	distribucijski	Agpmsly
sustavu	sustav	Ncmsl
prema	prema	Sl
Mrežnim	mrežni	Agpnply
pravilima	pravilo	Ncnpl
plinskog	plinski	Agpmsgy
distribucijskog	distribucijski	Agpmsgy
sustava	sustav	Ncmsg
utvrđuje	utvrđivati	Vmr3s
se	sebe	Px--sa
u	u	Sl
iznosu	iznos	Ncmsl
cijene	cijena	Ncfsg
plina	plin	Ncmsg
određene	odrediti	Appfpny
navedenom	naveden	Agpfsiy
odlukom	odluka	Ncfsi
.	.	Z

Članak	članak	Ncmsn
7.	7.	Mdo

Danom	dan	Ncmsi
stupanja	stupanje	Ncnsg

