ne	ne	Qz
nisu	biti	Var3p
izrazili	izraziti	Vmp-pm
želju	želja	Ncfsa
da	da	Cs
žele	željeti	Vmr3p
glasati	glasati	Vmn
niti	niti	Cc
su	biti	Var3p
bili	biti	Vap-pm
na	na	Sl
tom	taj	Pd-msl
popisu	popis	Ncmsl
(	(	Z
Danica	Danica	Npfsn
Šalinović	Šalinović	Npfsn
i	i	Cc
Nevenka	Nevenka	Npfsn
Šalinović	Šalinović	Npfsn
između	između	Sg
ostalih	ostali	Agpmpgy
)	)	Z
.	.	Z

Članovi	član	Ncmpn
biračkog	birački	Agpmsgy
odbora	odbor	Ncmsg
vladajućih	vladajući	Agpfpgy
stranaka	stranka	Ncfpg
/	/	Z
HDZ-HSS-HSP-AS	HDZ-HSS-HSP-AS	Qr
,	,	Z
)	)	Z
jasno	jasan	Agpnsny
i	i	Cc
glasno	glasno	Rgp
su	biti	Var3p
čitali	čitati	Vmp-pm
davali	davati	Vmp-pm
podatke	podatak	Ncmpa
promatračima	promatrač	Ncmpi
(	(	Z
HDZ	HDZ	Npmsn
kandidata	kandidat	Ncmsay
Rudolfa	Rudolf	Npmsay
Grljušića	Grljušić	Npmsay
)	)	Z
koji	koji	Pi-mpn
su	biti	Var3p
birači	birač	Ncmpn
izašli	izaći	Vmp-pm
i	i	Cc
glasali	glasati	Vmp-pm
a	a	Cc
koji	koji	Pi-mpn
još	još	Rgp
nisu	biti	Var3p
izašli	izaći	Vmp-pm
da	da	Cs
bi	biti	Vaa3p
ih	oni	Pp3-pa
promatrači	promatrač	Ncmpn
(	(	Z
HDZ	HDZ	Npmsn
,	,	Z
HSS	HSS	Npmsn
,	,	Z
HSP-AS	HSP-AS	Npmsn
mogli	moći	Vmp-pm
zvati	zvati	Vmn
i	i	Cc
mobitelom	mobitel	Ncmsi
da	da	Cs
dođu	doći	Vmr3p
glasat	glasati	Vmn
što	što	Pi3n-a
je	biti	Var3s
nedozvoljeni	nedozvoljen	Agpmsny
utjecaj	utjecaj	Ncmsn
na	na	Sa
glasača	glasač	Ncmsan
.	.	Z
«	«	Z

Žalba	žalba	Ncfsn
nije	biti	Var3s
osnovana	osnovati	Appfsny
.	.	Z

3.	3.	Mdo
Člankom	članak	Ncmsi
97.	97.	Mdo
stavkom	stavka	Ncfsi
1.	1.	Mdo
ZoLI-ja	zoli-j	Ncmsg
propisano	propisati	Appnsny
je	biti	Var3s
:	:	Z

»	»	Z
Članak	članak	Ncmsn
97.	97.	Mdo

(	(	Z
1	1	Mdc
)	)	Z
U	u	Sl
drugom	drugi	Mlomsl
krugu	krug	Ncmsl
glasovanja	glasovanje	Ncnsg
izabran	izabrati	Appmsnn
je	biti	Var3s
kandidat	kandidat	Ncmsn
koji	koji	Pi-msn
dobije	dobiti	Vmr3s
veći	velik	Agcmsny
broj	broj	Ncmsan
glasova	glas	Ncmpg
birača	birač	Ncmpg
koji	koji	Pi-mpn
su	biti	Var3p
glasovali	glasovati	Vmp-pm
.	.	Z

(...)	(...)	I
«	«	Z

Člankom	članak	Ncmsi
130.	130.	Mdo
stavkom	stavka	Ncfsi
1.	1.	Mdo
ZoLI-ja	zoli-ja	Ncfsn
propisano	propisati	Appnsny
je	biti	Var3s
:	:	Z

»	»	Z
Članak	članak	Ncmsn
130.	130.	Mdo

(	(	Z
1	1	Mdc
)	)	Z
Ako	ako	Cs
nadležno	nadležan	Agpnsny
izborno	izborni	Agpnsny
povjerenstvo	povjerenstvo	Ncnsn
,	,	Z
rješavajući	rješavati	Rr
o	o	Sl
prigovoru	prigovor	Ncmsl
utvrdi	utvrda	Ncfpg
da	da	Cs
je	biti	Var3s
bilo	biti	Vap-sn
nepravilnosti	nepravilnost	Ncfpg
koje	koji	Pi-fpn
su	biti	Var3p
bitno	bitno	Rgp
utjecale	utjecati	Vmp-pf
ili	ili	Cc
su	biti	Var3p
mogle	moći	Vmp-pf
utjecati	utjecati	Vmn
na	na	Sa
rezultate	rezultat	Ncmpa
izbora	izbor	Ncmpg
,	,	Z
poništit	poništiti	Vmn
će	htjeti	Var3s
radnje	radnja	Ncfpa
i	i	Cc
odrediti	odrediti	Vmn
da	da	Cs
se	sebe	Px--sa
u	u	Sl
određenom	određen	Agpmsly
roku	rok	Ncmsl
,	,	Z
koji	koji	Pi-msn
mora	morati	Vmr3s
omogućiti	omogućiti	Vmn
da	da	Cs
se	sebe	Px--sa
izbori	izbor	Ncmpn
održe	održati	Vmr3p
na	na	Sa
dan	dan	Ncmsan
kad	kad	Cs
su	biti	Var3p
raspisani	raspisati	Appmpny
,	,	Z
te	te	Cc
radnje	radnja	Ncfpn
ponove	ponoviti	Vmr3p
.	.	Z

(...)	(...)	I
«	«	Z

4.	4.	Mdo
Ustavni	ustavan	Agpmsny
sud	sud	Ncmsn
prvo	prvo	Rgp
primjećuje	primjećivati	Vmr3s
da	da	Cs
je	biti	Var3s
većina	većina	Ncfsn
žalbenih	žalbeni	Agpmpgy
navoda	navod	Ncmpg
žalitelja	žalitelj	Ncmpg
u	u	Sl
osnovi	osnova	Ncfsl
istovjetna	istovjetan	Agpmply
prigovorima	prigovor	Ncmpl
koje	koji	Pi-mpa
je	biti	Var3s
žalitelj	žalitelj	Ncmsn
prethodno	prethodno	Rgp
uputio	uputiti	Vmp-sm
Županijskom	županijski	Agpnsly
izbornom	izborni	Agpnsly
povjerenstvu	povjerenstvo	Ncnsl
Splitsko-dalmatinske	splitsko-dalmatinski	Agpfsgy
županije	županija	Ncfsg
(	(	Z
u	u	Sl
daljnjem	daljnji	Agpmsly
tekstu	tekst	Ncmsl
:	:	Z
ŽIP	ŽIP	Npmsn
)	)	Z
.	.	Z

ŽIP	ŽIP	Npmsn
je	biti	Var3s
u	u	Sl
osporenom	osporiti	Agpnsly
rješenju	rješenje	Ncnsl
svoju	svoj	Px-fsa
ocjenu	ocjena	Ncfsa
o	o	Sl
neosnovanosti	neosnovanost	Ncfsl
prigovora	prigovor	Ncmsg
obrazložio	obrazložiti	Vmp-sm
ovako	ovako	Rgp
:	:	Z

»	»	Z
Tako	tako	Rgp
je	biti	Var3s
utvrđeno	utvrditi	Appnsny
da	da	Cs
je	biti	Var3s
od	od	Sg
ukupno	ukupno	Rgp
5915	5915	Mdc
birača	birač	Ncmpg
upisanih	upisati	Appmpgy
u	u	Sa
popis	popis	Ncmsan
birača	birač	Ncmpg
glasovalo	glasovati	Vmp-sn
4124	4124	Mdc
birača	birač	Ncmpg
odnosno	odnosno	Rgp
69,72	69,72	Mdc
%	%	Z
od	od	Sg
čega	što	Pi3n-g
je	biti	Var3s
prema	prema	Sl
glasačkim	glasački	Agpmply
listićima	listić	Ncmpl
glasovalo	glasovati	Vmp-sn
4124	4124	Mdc
birača	birač	Ncmpg
odnosno	odnosno	Rgp
69,72	69,72	Mdc
%	%	Z
Važećih	važeći	Agpmpgy
listića	listić	Ncmpg
bilo	biti	Vap-sn
je	biti	Var3s
4060	4060	Mdc
odnosno	odnosno	Rgp
98,45	98,45	Mdc
%	%	Z
a	a	Cc
nevažećih	nevažeći	Agpmpgy
je	biti	Var3s
bilo	biti	Vap-sn
64	64	Mdc
listića	listić	Ncmpg
odnosno	odnosno	Rgp
1,55	1,55	Mdc
%	%	Z

Utvrđeno	utvrditi	Appnsny
je	biti	Var3s
kako	kako	Cs
je	biti	Var3s
kandidat	kandidat	Ncmsn
Hrvatske	hrvatski	Agpfsgy
demokratske	demokratski	Agpfsgy
zajednice	zajednica	Ncfsg
Rudolf	Rudolf	Npmsn
Grljušić	Grljušić	Npmsn
dobio	dobiti	Vmp-sm
2034	2034	Mdc
glasova	glas	Ncmpg
odnosno	odnosno	Rgp
49,32	49,32	Mdc
%	%	Z
a	a	Cc
kandidat	kandidat	Ncmsn
grupe	grupa	Ncfsg
birača	birač	Ncmpg
Ante	Ante	Npmsn
Pranić	Pranić	Npmsn
mag.	mag.	Y
ing.	ing.	Y
aedif	aedi	Ncmsl
2026	2026	Mdc
glasova	glas	Ncmpg
odnosno	odnosno	Rgp
49,13	49,13	Mdc
%	%	Z

Tako	tako	Rgp
je	biti	Var3s
na	na	Sl
temelju	temelj	Ncmsl
odredbe	odredba	Ncfsg
članka	članak	Ncmsg
97.	97.	Mdo
stavak	stavak	Ncmsn
1.	1.	Mdo
Zakona	zakon	Ncmsg
o	o	Sl
lokalnim	lokalan	Agpmply
izborima	izbor	Ncmpl
utvrdilo	utvrditi	Vmp-sn
Gradsko	gradski	Agpnsny
izborno	izborni	Agpnsay
povjerenstvo	povjerenstvo	Ncnsa
Grada	grad	Ncmsg
Vrgorca	Vrgorc	Npmsg
da	da	Cs
je	biti	Var3s
za	za	Sa
gradonačelnika	gradonačelnik	Ncmsay
izabran	izabrati	Appmsnn
Rudolf	Rudolf	Npmsn
Grljušić	Grljušić	Npmsn
.	.	Z

(...)	(...)	Ncfsn

Kandidat	kandidat	Ncmsn
Ante	Ante	Npmsn
Pranić	Pranić	Npmsn
je	biti	Var3s
predložen	predložiti	Appmsnn
od	od	Sg
grupe	grupa	Ncfsg
birača	birač	Ncmpg
te	te	Cc
kao	kao	Cs
takav	takav	Pd-msn
nije	biti	Var3s
mogao	moći	Vmp-sm
određivati	određivati	Vmn
članove	član	Ncmpa
biračkih	birački	Agpmpgy
odbora	odbor	Ncmpg
jer	jer	Cs
je	biti	Var3s
to	taj	Pd-nsn
propisano	propisati	Appnsny
citiranim	citirati	Appfply
zakonskim	zakonski	Agpfpiy
odredbama	odredba	Ncfpi
,	,	Z
no	no	Cc
mogao	moći	Vmp-sm
je	biti	Var3s
odrediti	odrediti	Vmn
promatrače	promatrač	Ncmpa
.	.	Z

Svojim	svoj	Agpnsiy
rješenjem	rješenje	Ncnsi
od	od	Sg
20.	20.	Mdo
srpnja	srpanj	Ncmsg
2015.	2015.	Mdo
godine	godina	Ncfsg
pod	pod	Si
brojem	broj	Ncmsi
5/2015	5/2015	Mdc
-	-	Z
2	2	Mdc
-	-	Z
2	2	Mdc
ovo	ovaj	Pd-nsn
povjerenstvo	povjerenstvo	Ncnsn
je	biti	Var3s
odobrilo	odobriti	Vmp-sn
u	u	Sl
cijelosti	cijelost	Ncfsl
zahtjev	zahtjev	Ncmsn
nositelju	nositelj	Ncmsl
kandidacijske	kandidacijski	Agpfsgy
liste	lista	Ncfsg
Ljubomiru	Ljubomir	Npmsd
Ercegu	Erceg	Npmsd
za	za	Sa
promatranje	promatranje	Ncnsa
te	te	Cc
je	biti	Var3s
tako	tako	Rgp
odobreno	odobren	Agpnsny
promatranje	promatranje	Ncnsn
62	62	Mdc
promatrača	promatrač	Ncmpg
za	za	Sa
rad	rad	Ncmsan
biračkih	birački	Agpmpgy
odbora	odbor	Ncmpg
...	...	Z
te	te	Cc
4	4	Mdc
promatrača	promatrač	Ncmpg
za	za	Sa
rad	rad	Ncmsan
gradskog	gradski	Agpnsgy
izbornog	izborni	Agpnsgy
povjerenstva	povjerenstvo	Ncnsg
.	.	Z

Stoga	stoga	Rgp
je	biti	Var3s
u	u	Sl
cijelosti	cijelost	Ncfsl
podnositelj	podnositelj	Ncmsn
prigovora	prigovor	Ncmpg
mogao	moći	Vmp-sm
kontrolirati	kontrolirati	Vmn
rad	rad	Ncmsan
biračkih	birački	Agpmpgy
odbora	odbor	Ncmpg
.	.	Z

U	u	Sl
odnosu	odnos	Ncmsl
na	na	Sa
ponovno	ponovan	Agpnsay
prebrojavanje	prebrojavanje	Ncnsa
glasova	glas	Ncmpg
valja	valjati	Vmr3s
istaći	istaći	Vmn
kako	kako	Cs
se	sebe	Px--sa
Ustavni	ustavan	Agpmsny
sud	sud	Ncmsn
Republike	republika	Ncfsg
Hrvatske	Hrvatska	Npfsg
u	u	Sl
svojoj	svoj	Px-fsl
odluci	odluka	Ncfsl
pod	pod	Si
poslovnim	poslovan	Agpmsiy
brojem	broj	Ncmsi
U-VIIA	u-vii	Ncmsg
3278/13	3278/13	Mdc
izjasnio	izjasniti	Vmp-sm
kako	kako	Cs
je	biti	Var3s
nedopustivo	nedopustiv	Agpnsny
ponovno	ponovan	Agpnsny
prebrojavanje	prebrojavanje	Ncnsn
glasačkih	glasački	Agpmpgy
listića	listić	Ncmpg
samo	samo	Rgp
zbog	zbog	Sg
toga	taj	Pd-nsg
što	što	Pi3n-a
rezultati	rezultat	Ncmpn
izbora	izbor	Ncmpg
pokazuju	pokazivati	Vmr3p
da	da	Cs
je	biti	Var3s
razlika	razlika	Ncfsn
u	u	Sl
dobivenim	dobiven	Agpmply
glasovima	glas	Ncmpl
između	između	Sg
kandidata	kandidat	Ncmpg
mala	mala	Ncfpg
.	.	Z

Ni	ni	Qo
razlika	razlika	Ncfsn
u	u	Sl
samo	samo	Rgp
jednom	jedan	Mlcmsl
glasu	glas	Ncmsl
između	između	Sg
kandidata	kandidat	Ncmsg
nije	biti	Var3s
sama	sam	Agpfsny
po	po	Sl
sebi	sebe	Px--sl
razlog	razlog	Ncmsn
za	za	Sa
ponovno	ponovan	Agpnsay
prebrojavanje	prebrojavanje	Ncnsa
glasačkih	glasački	Agpmpgy
listića	listić	Ncmpg
...	...	Z

Uvidom	uvid	Ncmsi
u	u	Sa
sve	sav	Agpmpay
zapisnike	zapisnik	Ncmpa
o	o	Sl
radu	rad	Ncmsl
biračkih	birački	Agpmpgy
odbora	odbor	Ncmpg
koji	koji	Pi-mpn
su	biti	Var3p
dakle	dakle	Cc
bili	biti	Vap-pm
sastavljeni	sastaviti	Appmpny
od	od	Sg
predsjednika	predsjednik	Ncmsg
i	i	Cc
zamjenika	zamjenik	Ncmpg
koje	koji	Pi-mpa
je	biti	Var3s
imenovao	imenovati	Vmp-sm
GIP	GIP	Npmsn
Vrgorac	Vrgorac	Npmsn
i	i	Cc
članova	član	Ncmpg
biračkih	birački	Agpmpgy
odbora	odbor	Ncmpg
koji	koji	Pi-mpn
su	biti	Var3p
određeni	odrediti	Appmpny
od	od	Sg
većeg	velik	Agcmsgy
broja	broj	Ncmsg
stranaka	stranka	Ncfpg
'	'	Z
širokog	širok	Agpmsgy
spektra	spektar	Ncmsg
'	'	Z
ovo	ovaj	Pd-nsn
povjerenstvo	povjerenstvo	Ncnsn
je	biti	Var3s
utvrdilo	utvrditi	Vmp-sn
kako	kako	Cs
su	biti	Var3p
svi	sav	Agpmpny
zapisnici	zapisnik	Ncmpn
o	o	Sl
radu	rad	Ncmsl
biračkih	birački	Agpmpgy
odbora	odbor	Ncmpg

