stare	star	Agpfpay
ožujka	ožujak	Ncmsg
2016.	2016.	Mdo

Ministar	ministar	Ncmsn
kulture	kultura	Ncfsg
dr.	dr.	Y
sc.	sc.	Y
Zlatko	Zlatko	Npmsn
Hasanbegović	Hasanbegović	Npmsn
,	,	Z
v.	v.	Y
r.	r.	Y

