315/2	315/i	Agpnsny
dobro	dobro	Ncnsn
/	/	Z
Skupina	skupina	Ncfsn
kulturnih	kulturan	Agpnpgy
dobara	dobro	Ncnpg
Rješenje	rješenje	Ncnsn
Broj	broj	Ncmsn
registra	registar	Ncmsg
Grad	grad	Ncmsn
Zagreb	Zagreb	Npmsn
županija	županija	Ncfsn
Grad	grad	Ncmsn
:	:	Z
GRAD	grad	Ncmsn
ZAGREB	Zagreb	Npmsn
Zagreb	Zagreb	Npmsn
Cjelina	cjelina	Ncfsn
filmskog	filmski	Agpnsgy
i	i	Cc
popratnog	popratni	Agpnsgy
filmskog	filmski	Agpnsgy
arhivskog	arhivski	Agpnsgy
gradiva	gradivo	Ncnsg
u	u	Sl
posjedu	posjed	Ncmsl
Jadran	Jadran	Npmsn
film	film	Ncmsn
d.	d.	Y
d.	d.	Y
,	,	Z
Zagreb	Zagreb	Npmsn
,	,	Z
Oporovečka	Oporovečka	Npfsn
12	12	Mdc
(	(	Z
Zbirka	zbirka	Ncfsn
filmskog	filmski	Agpnsgy
gradiva	gradivo	Ncnsg
,	,	Z
Zbirka	zbirka	Ncfsn
pripadajućeg	pripadajući	Agpnsgy
popratnog	popratni	Agpnsgy
filmskog	filmski	Agpnsgy
gradiva	gradivo	Ncnsg
)	)	Z
Datum	datum	Ncmsn
:	:	Z
24.02.2015	24.02.2015	Mdo
Klasa	klasa	Ncfsn
:	:	Z
UP	up	Ncmsn
/	/	Z
I-612-06	I-612-06	X
/	/	Z
15	15	Mdc
-	-	Z
27/02	27/02	Agpmsny
Urbroj	urbroj	Ncmsn
:	:	Z
565	565	Mdc
-	-	Z
08/2	08/2	Mdc
-	-	Z
15	15	Mdc
-	-	Z
1	1	Mdc
Z-6487	Z-6487	Y
Zagreb	Zagreb	Npmsn
Ostavština	ostavština	Ncfsn
povijesnih	povijesni	Agpmpgy
dokumenata	dokument	Ncmpg
i	i	Cc
artefakata	artefakt	Ncmpg
pokojnoga	pokojni	Agpmsgy
profesora	profesor	Ncmsg
Tihomila	Tihomil	Npmsg
Stahuljaka	Stahuljak	Npmsg
–	–	Z
Zbirka	zbirka	Ncfsn
namještaja	namještaj	Ncmsg
Datum	datum	Ncmsn
:	:	Z
27.02.2015	27.02.2015	Mdo
Klasa	klasa	Ncfsn
:	:	Z
UP	up	Ncmsn
/	/	Z
I-612-08	I-612-08	X
/	/	Z
14	14	Mdc
-	-	Z
06/0249	06/0249	Agpmsny
Urbroj	urbroj	Ncmsn
:	:	Z
532	532	Mdc
-	-	Z
04	04	Mdc
-	-	Z
01	01	Mdc
-	-	Z
03	03	Mdc
-	-	Z
02/1	02/1	Mdc
-	-	Z
15	15	Mdc
-	-	Z
4	4	Mdc
Z-6476	Z-6476	Y
Zagreb	Zagreb	Npmsn
Zbirka	zbirka	Ncfsn
filmova	film	Ncmpg
u	u	Sl
posjedu	posjed	Ncmsl
Ustanove	ustanova	Ncfsg
ZAGREB	Zagreb	Npmsn
FILM	film	Ncmsn
,	,	Z
Zagreb	Zagreb	Npmsn
,	,	Z
Vlaška	Vlaška	Npfsn
70	70	Mdc
Datum	datum	Ncmsn
:	:	Z
17.02.2015	17.02.2015	Mdo
Klasa	klasa	Ncfsn
:	:	Z
UP	up	Ncmsn
/	/	Z
I-612-06	I-612-06	X
/	/	Z
15	15	Mdc
-	-	Z
27/01	27/01	Agpmsny
Urbroj	urbroj	Ncmsn
:	:	Z
565	565	Mdc
-	-	Z
08/2	08/2	Mdc
-	-	Z
15	15	Mdc
-	-	Z
1	1	Mdc
Z-6488	Z-6488	Mdc
Istarska	istarski	Agpfsny
županija	županija	Ncfsn
Grad	grad	Ncmsn
:	:	Z
POREČ	poreč	Ncmsn
–	–	Z
PARENZO	PARENZO	Npmsn
Poreč	Poreč	Npmsn
Zavičajni	zavičajan	Agpmsny
muzej	muzej	Ncmsn
Poreštine	Poreština	Npfsg
-	-	Z
muzejska	muzejski	Agpfsny
građa	građa	Ncfsn
(	(	Z
Zbirka	zbirka	Ncfsn
sakralnih	sakralan	Agpmpgy
predmeta	predmet	Ncmpg
,	,	Z
Zbirka	zbirka	Ncfsn
starih	star	Agpfpgy
slika	slika	Ncfpg
i	i	Cc
skulptura	skulptura	Ncfpg
,	,	Z
Zbirka	zbirka	Ncfsn
umjetničkog	umjetnički	Agpmsgy
obrta	obrt	Ncmsg
,	,	Z
Zbirka	zbirka	Ncfsn
turizma	turizam	Ncmsg
Poreštine	Poreštine	Npfsn
i	i	Cc
Kasnoantička	kasnoantički	Agpfsny
zbirka	zbirka	Ncfsn
)	)	Z
Datum	datum	Ncmsn
:	:	Z
24.03.2015	24.03.2015	Mdo
Klasa	klasa	Ncfsn
:	:	Z
UP	up	Ncmsn
/	/	Z
I-612-08	I-612-08	X
/	/	Z
10	10	Mdc
-	-	Z
06/0140	06/0140	Agpmsny
Urbroj	urbroj	Ncmsn
:	:	Z
532	532	Mdc
-	-	Z
04	04	Mdc
-	-	Z
01	01	Mdc
-	-	Z
03	03	Mdc
-	-	Z
02/1	02/1	Mdc
-	-	Z
15	15	Mdc
-	-	Z
8	8	Mdc
Z-4516	Z-4516	Mdc
Karlovačka	karlovački	Agpfsny
županija	županija	Ncfsn
Grad	grad	Ncmsn
:	:	Z
KARLOVAC	KARLOVAC	Npmsn
Karlovac	Karlovac	Npmsn
Zbirka	zbirka	Ncfsn
nastavnih	nastavni	Agpnpgy
pomagala	pomagalo	Ncnpg
Gimnazije	gimnazija	Ncfsg
Karlovac	Karlovac	Npmsn
Datum	Datum	Npmsn
:	:	Z
