Gubačevo	gubačev	Agpnsny
Debeljak	Debeljak	Npmsn
(	(	Z
L63104	L63104	X
)	)	Z
–	–	Z
Galovac	Galovac	Npmsn
Ž6042	Ž6042	Npmsn
)	)	Z
4,8	4,8	Mdc
LC	LC	Npmsn
63106	63106	Mdc
Bibinje	Bibinje	Npnsn
–	–	Z
D8	D8	X
0,9	0,9	Mdc
LC	LC	Y
63107	63107	Mdc
Bibinje	Bibinje	Npnsa
(	(	Z
L63106	L63106	X
)	)	Z
–	–	Z
T.	T.	Y
N.	N.	Y
»	»	Z
Padrele	Padrela	Npfsg
«	«	Z
0,7	0,7	Mdc
LC	LC	Y
63108	63108	Mdc
Sukošan	Sukošan	Npmsn
:	:	Z
marina	marina	Ncfsn
»	»	Z
Plitkača	plitkača	Ncfsn
«	«	Z
–	–	Z
Ž6040	Ž6040	X
0,8	0,8	Mdc
LC	LC	Y
63109	63109	Mdc
D110	D110	Mdc
–	–	Z
Uvala	uvala	Ncfsn
Svetog	svet	Agpmsgy
Luke	Luka	Npmsg
0,5	0,5	Mdc
LC	LC	Y
63110	63110	Mdc
D110	D110	Mdc
–	–	Z
Ždrelac	Ždrelac	Npmsn
0,6	0,6	Mdc
LC	LC	Y
63111	63111	Mdc
Banj	Ban	Npmpg
–	–	Z
D110	D110	Mdc
0,2	0,2	Mdc
LC	LC	Y
63112	63112	Mdc
Zemunik	zemunik	Ncmsn
Donji	donji	Agpmsny
(	(	Z
Ž6040	Ž6040	X
)	)	Z
–	–	Z
Ž6044	Ž6044	X
4,0	4,0	Mdc
LC	LC	Y
63113	63113	Mdc
Želj	Želj	Qr
.	.	Z
kolodvor	kolodvor	Ncmsn
Galovac	Galovac	Npmsn
–	–	Z
Ž6042	Ž6042	X
0,9	0,9	Mdc
LC	LC	Y
63114	63114	Mdc
Gorica	Gorica	Npfsn
(	(	Z
Ž6042	Ž6042	X
)	)	Z
–	–	Z
Donje	donji	Agpfsgy
Raštane	Raštana	Npfsg
(	(	Z
Ž6045	Ž6045	X
)	)	Z
3,5	3,5	Mdc
LC	LC	Npmsn
63115	63115	Mdc
L63114	L63114	X
–	–	Z
L63116	L63116	X
2,4	2,4	Mdc
LC	LC	Y
63116	63116	Mdc
Gornje	gornji	Agpfsgy
Raštane	Raštana	Npfsg
(	(	Z
Ž6042	Ž6042	X
)	)	Z
–	–	Z
Sikovo	Sikovo	Npnsa
(	(	Z
Ž6046	Ž6046	X
)	)	Z
3,5	3,5	Mdc
LC	LC	Y
63117	63117	Mdc
Donje	donji	Agpfsgy
Raštane	Raštana	Npfsg
(	(	Z
Ž6045	Ž6045	X
)	)	Z
–	–	Z
Sikovo	Sikovo	Npnsa
(	(	Z
Ž6046	Ž6046	X
)	)	Z
3,6	3,6	Mdc
LC	LC	Npmsn
63118	63118	Mdc
Viterinci	Viterinc	Npmpn
–	–	Z
Gornje	gornji	Agpfsgy
Raštane	Raštana	Npfsg
(	(	Z
Ž6042	Ž6042	X
)	)	Z
1,6	1,6	Mdc
LC	LC	Npmsn
63119	63119	Mdc
Lišane	Lišana	Npfsg
Tinjske	Tinjska	Npfsg
(	(	Z
Ž6047	Ž6047	X
)	)	Z
–	–	Z
Tinj	Tinj	Npmsn
–	–	Z
D503	D503	Mdc
7,5	7,5	Mdc
LC	LC	Y
63120	63120	Mdc
Korlat	Korlat	Xf
–	–	Z
L63121	L63121	X
0,6	0,6	Mdc
LC	LC	Y
63121	63121	Mdc
Korlat	Korlat	Xf
(	(	Z
Ž6023	Ž6023	X
)	)	Z
–	–	Z
Kula	kula	Ncfsn
Atlagić	Atlagić	Npfsn
(	(	Z
Ž6049	Ž6049	X
)	)	Z
3,9	3,9	Mdc
LC	LC	Npmsn
63122	63122	Mdc
Nadin	Nadin	Npmsn
(	(	Z
Ž6021	Ž6021	X
)	)	Z
–	–	Z
D56	D56	X
2,4	2,4	Mdc
LC	LC	Y
63123	63123	Mdc
Benkovac	Benkovac	Npmsn
:	:	Z
D27	D27	X
–	–	Z
Ž6027	Ž6027	X
1,3	1,3	Mdc
LC	LC	Y
63124	63124	Mdc
Benkovac	Benkovac	Npmsn
:	:	Z
L63125	L63125	X
–	–	Z
D27	D27	X
0,6	0,6	Mdc
LC	LC	Y
63125	63125	Mdc
D56	D56	X
–	–	Z
Benkovac	Benkovac	Npmsn
–	–	Z
D56	D56	X
2,8	2,8	Mdc
LC	LC	Y
63126	63126	Mdc
D503	D503	Mdc
–	–	Z
Maričići	Maričić	Npmpn
–	–	Z
G.	G.	Y
Jagodnja	Jagodnj	Npmsay
–	–	Z
Zečevići	Zečević	Npmpn
–	–	Z
D.	D.	Y
Jagodnja	Jagodnj	Npmsay
–	–	Z
D503	D503	Mdc
5,8	5,8	Mdc
LC	LC	Y
63127	63127	Mdc
L63126	L63126	X
–	–	Z
D.	D.	Y
Jagodnja	Jagodnja	Npfsn
0,6	0,6	Mdc
LC	LC	Y
63128	63128	Mdc
Podlug	Podlug	Xf
(	(	Z
Ž6050	Ž6050	X
)	)	Z
–	–	Z
Perušić	Perušić	Npmsn
Benkovački	benkovački	Agpmsny
(	(	Z
Ž6051	Ž6051	X
)	)	Z
3,5	3,5	Mdc
LC	LC	Npmsn
63129	63129	Mdc
Ž6048	Ž6048	X
–	–	Z
Kum	kum	Ncmsn
–	–	Z
Bruška	bruška	Ncfsn
–	–	Z
Rodaljice	Rodaljica	Npfsg
(	(	Z
Ž6052	Ž6052	X
)	)	Z
11,7	11,7	Mdc
LC	LC	Npmsn
63130	63130	Mdc
Buković	Buković	Npfsn
(	(	Z
Ž6027	Ž6027	X
)	)	Z
–	–	Z
Kožlovac	Kožlovac	Npmsn
–	–	Z
D56	D56	X
6,2	6,2	Mdc
LC	LC	Y
63131	63131	Mdc
Ž6027	Ž6027	X
–	–	Z
Popovići	Popović	Npmpn
(	(	Z
Ž6048	Ž6048	X
)	)	Z
3,0	3,0	Mdc
LC	LC	Npmsn
63132	63132	Mdc
Ž6052	Ž6052	X
–	–	Z
L63133	L63133	X
5,9	5,9	Mdc
LC	LC	Y
63133	63133	Mdc
Ž6052	Ž6052	X
–	–	Z
Dobropoljci	Dobropoljc	Npmpn
(	(	Z
Ž6070	Ž6070	X
)	)	Z
6,7	6,7	Mdc
LC	LC	Y
63134	63134	Mdc
Bjelina	Bjelina	Npfsn
(	(	Z
Ž6052	Ž6052	X
)	)	Z
–	–	Z
Ž6026	Ž6026	X
6,8	6,8	Mdc
LC	LC	Y
63135	63135	Mdc
Zaglav	Zaglav	Npmsn
–	–	Z
D109	D109	Mdc
0,6	0,6	Mdc
LC	LC	Y
63136	63136	Mdc
D110	D110	Mdc
–	–	Z
Dobropoljana	Dobropoljana	Npfsn
–	–	Z
Neviđane	Neviđana	Npfsg
–	–	Z
D110	D110	Mdc
3,0	3,0	Mdc
LC	LC	Y
63138	63138	Mdc
D8	D8	Xf
–	–	Z
Turanj	Turanj	Npmsn
–	–	Z
Sv.	Sv.	Y
Filip	Filip	Npmsn
i	i	Cc
Jakov	Jakov	Npmsn
(	(	Z
L63139	L63139	X
)	)	Z
2,6	2,6	Mdc
LC	LC	Npmsn
63139	63139	Mdc
Sv.	Sv.	Y
Filip	Filip	Npmsn
i	i	Cc
Jakov	Jakov	Npmsn
(	(	Z
D8	D8	X
)	)	Z
–	–	Z
Biograd	biograd	Ncmsn
na	na	Sl
moru	more	Ncnsl
(	(	Z
D503	D503	Npmsn
)	)	Z
3,5	3,5	Mdc
LC	LC	Y
63140	63140	Mdc
Kraj	kraj	Ncmsn
(	(	Z
D110	D110	X
)	)	Z
–	–	Z
Ugrinić	Ugrinić	Npmsn
–	–	Z
Tkon	Tkon	Npmsn
(	(	Z
D110	D110	Npmsn
)	)	Z
2,1	2,1	Mdc
LC	LC	Npmsn
63141	63141	Mdc
D.	D.	Y
Miranje	Miranja	Npfsg
(	(	Z
Ž6064	Ž6064	X
)	)	Z
–	–	Z
Donje	donji	Agpnsny
Ceranje	ceranje	Ncnsn
–	–	Z

