-	-	Z
15	15	Mdc
-	-	Z
7	7	Mdc
Z-3801	z-3801	Agpmsny
Osijek	osijek	Ncmsn
Muzej	muzej	Ncmsn
Slavonije	Slavonija	Npfsg
Osijek	osijek	Ncmsn
–	–	Z
muzejska	muzejski	Agpfsny
građa	građa	Ncfsn
:	:	Z
Zbirka	zbirka	Ncfsn
ambalaže	ambalaža	Ncfsg
i	i	Cc
reklamnih	reklamni	Agpmpgy
predmeta	predmet	Ncmpg
,	,	Z
Zbirka	zbirka	Ncfsn
glazbenih	glazben	Agpmpgy
instrumenata	instrument	Ncmpg
i	i	Cc
Zbirka	zbirka	Ncfsn
plesnih	plesni	Agpmpgy
rasporeda	raspored	Ncmpg
,	,	Z
spomenara	spomenar	Ncmpg
,	,	Z
straničnika	straničnik	Ncmpg
i	i	Cc
sl.	sl.	Y

Datum	datum	Ncmsn
:	:	Z
20.07.2015	20.07.2015	Mdo
Klasa	klasa	Ncfsn
:	:	Z
UP	up	Ncmsn
/	/	Z
I-612-08	I-612-08	X
/	/	Z
08	08	Mdc
-	-	Z
06/0473	06/0473	Agpmsny
Urbroj	urbroj	Ncmsn
:	:	Z
532	532	Mdc
-	-	Z
04	04	Mdc
-	-	Z
01	01	Mdc
-	-	Z
03	03	Mdc
-	-	Z
02/1	02/1	Mdc
-	-	Z
15	15	Mdc
-	-	Z
16	16	Mdc
Z-3808	z-3808	Agpmsny
Osijek	osijek	Ncmsn
Pozitiv	pozitiv	Ncmsn
orgulja	orguljati	Vmr3s
u	u	Sl
župnoj	župni	Agpfsly
crkvi	crkva	Ncfsl
Preslavna	preslavan	Agpnsgy
Imena	ime	Ncnsg
Marijina	Marijina	Npfsn
Datum	datum	Ncmsn
:	:	Z
07.09.2015	07.09.2015	Mdo
Klasa	klasa	Ncfsn
:	:	Z
UP	up	Ncmsn
/	/	Z
I-612-08	I-612-08	X
/	/	Z
15	15	Mdc
-	-	Z
06/0166	06/0166	Agpmsny
Urbroj	urbroj	Ncmsn
:	:	Z
532	532	Mdc
-	-	Z
04	04	Mdc
-	-	Z
01	01	Mdc
-	-	Z
03	03	Mdc
-	-	Z
02/2	02/2	Mdc
-	-	Z
15	15	Mdc
-	-	Z
1	1	Mdc
Z-6593	z-6593	Agpmsny
Grad	grad	Ncmsn
:	:	Z
BELI	beli	Agpmsny
MANASTIR	manastir	Ncmsn
Beli	bel	Agpmsny
Manastir	manastir	Ncmsn
Traktor	traktor	Ncmsn
Fordson	Fordson	Npmsn
,	,	Z
model	model	Ncmsn
F	f	Agpmsny
Datum	datum	Ncmsn
:	:	Z
07.05.2015	07.05.2015	Mdo
Klasa	klasa	Ncfsn
:	:	Z
UP	up	Ncmsn
/	/	Z
I-612-08	I-612-08	X
/	/	Z
15	15	Mdc
-	-	Z
06/0098	06/0098	Agpmsny
Urbroj	urbroj	Ncmsn
:	:	Z
532	532	Mdc
-	-	Z
04	04	Mdc
-	-	Z
01	01	Mdc
-	-	Z
03	03	Mdc
-	-	Z
02/3	02/3	Mdc
-	-	Z
15	15	Mdc
-	-	Z
1	1	Mdc
Z-6532	Z-6532	Mdc
Požeško-slavonska	požeško-slavonski	Agpfsny
županija	županija	Ncfsn
Grad	grad	Ncmsn
:	:	Z
PAKRAC	PAKRAC	Npmsn
Pakrac	Pakrac	Npmsn
Glavni	glavni	Agpmsny
oltar	oltar	Ncmsn
u	u	Sl
župnoj	župni	Agpfsly
crkvi	crkva	Ncfsl
Uznesenja	uznesenje	Ncnsg
Blažene	blažen	Agpfsgy
Djevice	djevica	Ncfsg
Marije	Marija	Npfsg
Datum	datum	Ncmsn
:	:	Z
29.04.2015	29.04.2015	Mdo
Klasa	klasa	Ncfsn
:	:	Z
UP	up	Ncmsn
/	/	Z
I-612-08	I-612-08	X
/	/	Z
15	15	Mdc
-	-	Z
06/0088	06/0088	Agpmsny
Urbroj	urbroj	Ncmsn
:	:	Z
532	532	Mdc
-	-	Z
04	04	Mdc
-	-	Z
01	01	Mdc
-	-	Z
03	03	Mdc
-	-	Z
02/2	02/2	Mdc
-	-	Z
15	15	Mdc
-	-	Z
1	1	Mdc
Z-6520	Z-6520	Y
Pakrac	Pakrac	Npmsn
Muzej	muzej	Ncmsn
grada	grad	Ncmsg
Pakraca	Pakrac	Npmsg
–	–	Z
muzejska	muzejski	Agpfsny
građa	građa	Ncfsn
:	:	Z
Etnografska	etnografski	Agpfsny
zbirka	zbirka	Ncfsn
,	,	Z
Kulturnopovijesna	kulturnopovijesni	Agpfsny
zbirka	zbirka	Ncfsn
i	i	Cc
Zbirka	zbirka	Ncfsn
fotografija	fotografija	Ncfpg
Datum	datum	Ncmsn
:	:	Z
25.05.2015	25.05.2015	Mdo
Klasa	klasa	Ncfsn
:	:	Z
UP	up	Ncmsn
/	/	Z
I-612-08	I-612-08	X
/	/	Z
11	11	Mdc
-	-	Z
06/0095	06/0095	Agpmsny
Urbroj	urbroj	Ncmsn
:	:	Z
532	532	Mdc
-	-	Z
04	04	Mdc
-	-	Z
01	01	Mdc
-	-	Z
03	03	Mdc
-	-	Z
02/1	02/1	Mdc
-	-	Z
15	15	Mdc
-	-	Z
2	2	Mdc
Z-5056	Z-5056	Mdc
Primorsko-goranska	primorsko-goranski	Agpfsny
županija	županija	Ncfsn
Grad	grad	Ncmsn
:	:	Z
RIJEKA	rijeka	Ncfsn
Rijeka	Rijeka	Npfsn
Muzej	muzej	Ncmsn
grada	grad	Ncmsg
Rijeke	Rijeka	Npfsg
,	,	Z
muzejska	muzejski	Agpfsny
građa	građa	Ncfsn
:	:	Z
Tehnička	tehnički	Agpfsny
zbirka	zbirka	Ncfsn
,	,	Z
Likovna	likovni	Agpfsny
zbirka	zbirka	Ncfsn
Datum	datum	Ncmsn
:	:	Z
18.09.2015	18.09.2015	Mdo
Klasa	klasa	Ncfsn
:	:	Z
UP	up	Ncmsn
/	/	Z
I-612-08	I-612-08	X
/	/	Z
11	11	Mdc
-	-	Z
06/0703	06/0703	Agpmsny
Urbroj	urbroj	Ncmsn
:	:	Z
532	532	Mdc
-	-	Z
04	04	Mdc
-	-	Z
01	01	Mdc
-	-	Z
03	03	Mdc
-	-	Z
02/1	02/1	Mdc
-	-	Z
15	15	Mdc
-	-	Z
4	4	Mdc
Z-5361	z-5361	Agpmsny
Grad	grad	Ncmsn
:	:	Z
MALI	mali	Agpmsny
LOŠINJ	lošinj	Ncmsn
Mali	mali	Agpmsny
Lošinj	Lošinj	Npmsn
Muzejska	muzejski	Agpfsny
građa	građa	Ncfsn
Lošinjskog	lošinjski	Agpmsgy
muzeja	muzej	Ncmsg
:	:	Z
Paleontološka	paleontološki	Agpfsny
zbirka	zbirka	Ncfsn
Osor	Osor	Npfsn
i	i	Cc
Novovjekovna	novovjekovan	Agpfsny
zbirka	zbirka	Ncfsn
Osor	Osor	Npfsn
Datum	datum	Ncmsn
:	:	Z
03.09.2015	03.09.2015	Mdo
Klasa	klasa	Ncfsn
:	:	Z
UP	up	Ncmsn
/	/	Z
I-612-08	I-612-08	X
/	/	Z
14	14	Mdc
-	-	Z
06/0047	06/0047	Agpmsny
Urbroj	urbroj	Ncmsn
:	:	Z
532	532	Mdc
-	-	Z
04	04	Mdc
-	-	Z
01	01	Mdc
-	-	Z
03	03	Mdc
-	-	Z
02/1	02/1	Mdc
-	-	Z
15	15	Mdc
-	-	Z
4	4	Mdc
Z-6224	Z-6224	Mdc
Sisačko-moslavačka	sisačko-moslavački	Agpfsny
županija	županija	Ncfsn
Općina	općina	Ncfsn
:	:	Z
POPOVAČA	popovača	Ncfsn
Osekovo	osekovo	Agpfsny
Etnografska	etnografski	Agpfsny
zbirka	zbirka	Ncfsn
Od	od	Sg
sjemena	sjeme	Ncnsg
lana	lan	Ncmsg
do	do	Sg
platna	platno	Ncnsg
i	i	Cc
narodne	narodni	Agpfsgy
nošnje	nošnja	Ncfsg
Datum	datum	Ncmsn
:	:	Z
12.06.2015	12.06.2015	Mdo
Klasa	klasa	Ncfsn
:	:	Z
UP	up	Ncmsn
/	/	Z
I-612-08	I-612-08	X
/	/	Z
15	15	Mdc
-	-	Z
06/0120	06/0120	Agpmsny
Urbroj	urbroj	Ncmsn
:	:	Z
532	532	Mdc
-	-	Z
04	04	Mdc
-	-	Z
01	01	Mdc
-	-	Z
03	03	Mdc
-	-	Z
02/2	02/2	Mdc
-	-	Z
15	15	Mdc
-	-	Z
1	1	Mdc
Z-6553	Z-6553	Y
Popovača	popovači	Agpfsny
Zavičajna	zavičajan	Agpfsny
zbirka	zbirka	Ncfsn
Zorke	Zorka	Npfsg
Sever	Sever	Npfsg
–	–	Z
etnografski	etnografski	Agpmpny
predmeti	predmet	Ncmpn
Datum	datum	Ncmsn
:	:	Z
02.07.2015	02.07.2015	Mdo
Klasa	klasa	Ncfsn
:	:	Z
UP	up	Ncmsn
/	/	Z
I-612-08	I-612-08	X
/	/	Z
15	15	Mdc
-	-	Z
06/0124	06/0124	Agpmsny
Urbroj	urbroj	Ncmsn
:	:	Z
532	532	Mdc
-	-	Z
04	04	Mdc
-	-	Z
01	01	Mdc
-	-	Z
03	03	Mdc
-	-	Z
02/3	02/3	Mdc
-	-	Z
15	15	Mdc
-	-	Z
1	1	Mdc
Z-6558	z-6558	Agpmsny
Grad	grad	Ncmsn
:	:	Z
SISAK	SISAK	Npmsn
Sisak	Sisak	Npmsn
Gradska	gradski	Agpfsny
galerija	galerija	Ncfsn
Striegl	Striegl	Npmsn
,	,	Z
muzejska	muzejski	Agpfsny
građa	građa	Ncfsn
:	:	Z
Likovna	likovni	Agpfsny
zbirka	zbirka	Ncfsn
Datum	datum	Ncmsn
:	:	Z
24.08.2015	24.08.2015	Mdo
Klasa	klasa	Ncfsn
:	:	Z
UP	up	Ncmsn
/	/	Z
I-612-08	I-612-08	X
/	/	Z
08	08	Mdc
-	-	Z
06/0182	06/0182	Agpmsny
Urbroj	urbroj	Ncmsn
:	:	Z
532	532	Mdc
-	-	Z
04	04	Mdc
-	-	Z
01	01	Mdc
-	-	Z
03	03	Mdc
-	-	Z
02/1	02/1	Mdc
-	-	Z
15	15	Mdc
-	-	Z
3	3	Mdc
Z-3794	z-3794	Agpmsny
Grad	grad	Ncmsn
:	:	Z
KUTINA	KUTIN	Npmsg
Kutina	Kutin	Npmsg
Muzej	muzej	Ncmsn
Moslavine	Moslavina	Npfsg
Kutina	Kutin	Npmsg
,	,	Z
muzejska	muzejski	Agpfsny
građa	građa	Ncfsn
:	:	Z
Zbirka	zbirka	Ncfsn
varia	varii	Agpfsny
Datum	datum	Ncmsn
:	:	Z
03.09.2015	03.09.2015	Mdo
Klasa	klasa	Ncfsn
:	:	Z
UP	up	Ncmsn
/	/	Z
I-612-08	I-612-08	X
/	/	Z
11	11	Mdc
-	-	Z
06/0748	06/0748	Agpmsny
Urbroj	urbroj	Ncmsn
:	:	Z
532	532	Mdc
-	-	Z
04	04	Mdc
-	-	Z
01	01	Mdc
-	-	Z
03	03	Mdc
-	-	Z
02/1	02/1	Mdc
-	-	Z
15	15	Mdc
-	-	Z
4	4	Mdc
Z-5413	Z-5413	Mdc
Splitsko-dalmatinska	splitsko-dalmatinski	Agpfsny

