ponik	ponik	Ncmsn
–	–	Z
biljke	biljka	Ncfpn
starosti	starost	Ncfsg
do	do	Sg
jedne	jedan	Agpfsgy
godine	godina	Ncfsg
;	;	Z

–	–	Agpmsny
pomladak	pomladak	Ncmsn
–	–	Z
biljke	biljka	Ncfsg
starije	staro	Rgc
od	od	Sg
jedne	jedan	Agpfsgy
godine	godina	Ncfsg
do	do	Sg
dobi	dob	Ncfsg
kada	kada	Cs
se	sebe	Px--sa
oblikuje	oblikovati	Vmr3s
debalce	debalac	Ncmpa
i	i	Cc
krošnja	krošnja	Ncfsn
;	;	Z

–	–	Agpmsny
mladik	mladik	Ncmsn
–	–	Z
stabalca	stabalce	Ncnpn
koja	koji	Pi-npn
imaju	imati	Vmr3p
oblikovano	oblikovan	Agpnsay
deblo	deblo	Ncnsa
i	i	Cc
krošnju	krošnja	Ncfsa
;	;	Z

–	–	Z
koljik	koljik	Pd-nsg
–	i	Agpnsgy
stabalca	stabalce	Ncnsg
prosječnoga	prosječan	Agpmsgy
prsnog	prsni	Agpmsgy
promjera	promjer	Ncmsg
od	od	Sg
5	5	Mdc
do	do	Sg
7	7	Mdc
cm	cm	Ncfsg
;	;	Z

–	–	Z
letvik	letvik	Pd-nsg
–	i	Agpnsgy
stabalca	stabalce	Ncnsg
prosječnoga	prosječan	Agpmsgy
prsnog	prsni	Agpmsgy
promjera	promjer	Ncmsg
od	od	Sg
7	7	Mdc
do	do	Sg
15	15	Mdc
cm	cm	Y
;	;	Z

–	–	Agpmsny
stadij	stadij	Ncmsn
odraslih	odrastao	Agpmpgy
stabala	stablo	Ncmpg
–	i	Agpnsgy
stabla	stablo	Ncnsg
prosječnoga	prosječan	Agpmsgy
prsnog	prsni	Agpmsgy
promjera	promjer	Ncmsg
većeg	velik	Agcmsgy
od	od	Sg
15	15	Mdc
cm	cm	Y
do	do	Sg
polovice	polovica	Ncfsg
ophodnje	ophodnja	Ncfsg
,	,	Z

2.	2.	Mdo
srednjodobne	srednjodoban	Agpfsgy
sastojine	sastojina	Ncfsg
starosti	starost	Ncfsg
iznad	iznad	Sg
polovice	polovica	Ncfsg
do	do	Sg
dvije	dva	Ncfsg
trećine	trećina	Ncfsg
ophodnje	ophodnja	Ncfsg
;	;	Z

3.	3.	Mdo
starije	star	Agcfsgy
sastojine	sastojina	Ncfsg
starosti	starost	Ncfsg
od	od	Sg
dvije	dva	Agpfsgy
trećine	trećina	Ncfsg
ophodnje	ophodnja	Ncfsg
do	do	Sg
zadnjeg	zadnji	Agpmsgy
dobnog	dobni	Agpmsgy
razreda	razred	Ncmsg
;	;	Z

4.	4.	Mdo
stare	star	Agpfsgy
sastojine	sastojina	Ncfsg
starosti	starost	Ncfsg
zadnjeg	zadnji	Agpmsgy
dobnog	dobni	Agpmsgy
razreda	razred	Ncmsg
i	i	Cc
više	mnogo	Rgc
.	.	Z

Članak	članak	Ncmsn
15.	15.	Mdo

Raspored	raspored	Ncmsn
stabala	stablo	Ncmpg
u	u	Sl
sastojini	sastojina	Ncfsl
može	moći	Vmr3s
biti	biti	Van
:	:	Z

1.	1.	Mdo
stablimičan	stablimičan	Agpmsayn
–	–	Agpmsayn
raspored	raspored	Ncmsan
stabala	stablo	Ncmpg
različitih	različit	Agpmpgy
prsnih	prsni	Agpmpgy
promjera	promjer	Ncmpg
i	i	Cc
različitih	različit	Agpfpgy
visina	visina	Ncfpg
u	u	Sl
prebornim	preboran	Agpfply
sastojinama	sastojina	Ncfpl
,	,	Z
odnosno	odnosno	Rgp
različitih	različit	Agpfpgy
vrsta	vrsta	Ncfpg
drveća	drveće	Ncnsg
u	u	Sl
jednodobnim	jednodoban	Agpfply
sastojinama	sastojina	Ncfpl
;	;	Z

2.	2.	Mdo
grupimičan	grupimičan	Agpmsayn
–	–	Agpmsayn
raspored	raspored	Ncmsan
stabala	stablo	Ncmpg
podjednakih	podjednak	Agpmpgy
prsnih	prsni	Agpmpgy
promjera	promjer	Ncmpg
i	i	Cc
podjednakih	podjednak	Agpfpgy
visina	visina	Ncfpg
u	u	Sl
prebornim	prebornia	Ncfsl
,	,	Z
odnosno	odnosno	Rgp
iste	isti	Agpfsgy
vrste	vrsta	Ncfsg
drveća	drveće	Ncnsg
u	u	Sl
jednodobnim	jednodoban	Agpfply
sastojinama	sastojina	Ncfpl
na	na	Sl
površini	površina	Ncfsl
manjoj	mali	Agcfsly
od	od	Sg
0,2	0,2	Mdc
