različitih	različit	Agpfpgy
dobiti	dobit	Ncfsg
i	i	Cc
gubitaka	gubitak	Ncmpg
kad	kad	Cs
ta	taj	Pd-fsn
naknada	naknada	Ncfsn
zadovolji	zadovoljiti	Vmr3s
kriterije	kriterij	Ncmpa
priznavanja	priznavanje	Ncnsg
potraživanja	potraživanje	Ncnsg
.	.	Z

PRESTANAK	prestanak	Ncmsn
PRIZNAVANJA	priznavanje	Ncnsg

6.62.	6.62.	Mdo

Knjigovodstvenu	knjigovodstven	Agpfsay
vrijednost	vrijednost	Ncfsa
pojedine	pojedini	Agpfsgy
dugotrajne	dugotrajan	Agpfsgy
materijalne	materijalan	Agpfsgy
imovine	imovina	Ncfsg
treba	trebati	Vmr3s
prestati	prestati	Vmn
priznavati	priznavati	Vmn
:	:	Z

a	a	Cc
)	)	Z
u	u	Sl
trenutku	trenutak	Ncmsl
otuđivanja	otuđivanje	Ncnsg
,	,	Z
ili	ili	Cc

b	b	I
)	)	Z
kada	kada	Cs
se	sebe	Px--sa
buduće	budući	Agpfsgy
ekonomske	ekonomski	Agpfsgy
koristi	korist	Ncfsg
ne	ne	Qz
očekuju	očekivati	Vmr3p
od	od	Sg
njegove	njegov	Ps3fsg
upotrebe	upotreba	Ncfsg
ili	ili	Cc

