one	onaj	Pd-mpa
dalje	daleko	Rgc
nepripremljeni	nepripremljen	Appmpny
15.13.	15.13.	Mds

Margarin	margarin	Ncmsn
,	,	Z
imitacija	imitacija	Ncfsn
sala	salo	Ncnsg
i	i	Cc
druge	drugi	Mlofpa
jestive	jestiv	Agpfpay
masti	mast	Ncfpa
15.17	15.17	Agpmpny
Ostaci	ostatak	Ncmpn
dobiveni	dobiti	Appmpny
pri	pri	Sl
preradi	prerada	Ncfsl
masnih	mastan	Agpfpgy
tvari	tvar	Ncfpg
ili	ili	Cc
voskova	vosk	Ncmpg
životinjskog	životinjski	Agpnsgy
ili	ili	Cc
biljnog	biljan	Agpnsgy
podrijetla	podrijetlo	Ncnsg
Poglavlje	poglavlje	Ncnsn
16	16	Mdc
Prerađevine	prerađevina	Ncfsg
od	od	Sg
mesa	meso	Ncnsg
,	,	Z
riba	riba	Ncfpg
,	,	Z
rakova	rak	Ncmpg
,	,	Z
mekušaca	mekušac	Ncmpg
Poglavlje	poglavlje	Ncnsn
17	17	Mdc
17.01	17.01	Mdc
Šećer	šećer	Ncmsan
od	od	Sg
šećerne	šećerni	Agpfsgy
repe	repa	Ncfsg
i	i	Cc
šećerne	šećerni	Agpfsgy
trske	trska	Ncfsg
,	,	Z
krut	krut	Agpmsnn
17.02	17.02	Mdc
Ostali	ostali	Agpmpny
šećeri	šećer	Ncmpn
;	;	Z
šećerni	šećerni	Agpmpny
sirupi	sirup	Ncmpn
;	;	Z
umjetni	umjetan	Agpmsny
med	med	Ncmsn
(	(	Z
miješan	miješati	Appmsnn
ili	ili	Cc
ne	ne	Qz
s	sa	Si
prirodnim	prirodan	Agpmsiy
medom	med	Ncmsi
)	)	Z
;	;	Z
karamel	karamel	Ncmsn
17.03	17.0i	Agpfsgy
Melase	melasa	Ncfsg
,	,	Z
obezbojena	obezbojen	Ncmpg
ili	ili	Cc
ne	ne	Qz
17.05	17.05	Mdc
(*)	(*)	Z
Aromatizirani	aromatizirati	Appmpny
ili	ili	Cc
obojeni	obojen	Agpmpny
šećeri	šećer	Ncmpn
,	,	Z
sirupi	sirup	Ncmpn
i	i	Cc
melasa	melasa	Ncfsn
(	(	Z
uključujući	uključivati	Rr
vanilijin	vanilijin	Agpmsayn
šećer	šećer	Ncmsan
ili	ili	Cc
vanilin	vanilin	Ncmsn
)	)	Z
,	,	Z
uz	uz	Sa
iznimku	iznimka	Ncfsa
voćnog	voćni	Agpmsgy
soka	sok	Ncmsg
s	sa	Si
dodanim	dodati	Agpmsiy
šećerom	šećer	Ncmsi
u	u	Sl
bilo	bilo	Qo
kojem	koji	Pi-msl
omjeru	omjer	Ncmsl
Poglavlje	poglavlje	Ncnsn
18	18	Mdc
18.01	18.01	Mdc
Kakao	kakao	Ncmsn
u	u	Sl
zrnu	zrno	Ncnsl
,	,	Z
cijeli	cijel	Agpmsayn
ili	ili	Cc
lomljeni	lomiti	Appmpny
,	,	Z
sirovi	sirov	Agpmpny
ili	ili	Cc
prženi	pržiti	Appmpny
18.02	18.02	Mds
Ljuske	ljuska	Ncfpn
,	,	Z
kore	kora	Ncfsg
,	,	Z
opne	opna	Ncfpn
i	i	Cc
otpaci	otpadak	Ncmpn
od	od	Sg
kakaa	kakao	Ncmsg
Poglavlje	poglavlje	Ncnsn
20	20	Mdc
Proizvodi	proizvod	Ncmpn
od	od	Sg
povrća	povrće	Ncnsg
,	,	Z
voća	voće	Ncnsg
ili	ili	Cc
ostalih	ostali	Agpmpgy
dijelova	dio	Ncmpg
biljaka	biljka	Ncfpg
Poglavlje	poglavlje	Ncnsn
22	22	Mdc
22.04	22.04	Mdc
Mošt	mošt	Ncmsn
od	od	Sg
grožđa	grožđe	Ncnsg
,	,	Z
u	u	Sl
fermentaciji	fermentacija	Ncfsl
,	,	Z
ili	ili	Cc
sa	sa	Si
zaustavljenim	zaustaviti	Agpnsiy
vrenjem	vrenje	Ncnsi
bez	bez	Sg
dodavanja	dodavanje	Ncnsg
alkohola	alkohol	Ncmsg
22.05	22.05	Mds
Vino	vino	Ncnsn
od	od	Sg
svježeg	svjež	Agpnsgy
grožđa	grožđe	Ncnsg
;	;	Z
mošt	mošt	Ncmsan
od	od	Sg
grožđa	grožđe	Ncnsg
čija	čiji	Pi-fsn
je	biti	Var3s
fermentacija	fermentacija	Ncfsn
zaustavljena	zaustaviti	Appfsny
dodatkom	dodatak	Ncmsi
alkohola	alkohol	Ncmsg
22.07	22.07	Mdc
Ostala	Ostala	Npfsn
fermentirana	fermentirati	Ncfsn
pića	piće	Ncnsg
(	(	Z
npr.	npr.	Y
jabukovača	jabukovača	Ncfsn
,	,	Z
kruškovača	kruškovača	Ncfsn
,	,	Z
medovina	medovina	Ncfsn
)	)	Z
isključujući	isključivati	Rr
22.08	22.08	Mdc
(*)	(*)	Z
isključujući	isključivati	Rr
22.09	22.09	Mdc
(*)	(*)	Z
Etilni	etilni	Agpmsny
alkohol	alkohol	Ncmsn
ili	ili	Cc
neutralni	neutralan	Agpmpny
alkoholi	alkohol	Ncmpn
,	,	Z
denaturiran	denaturirati	Appmsnn
ili	ili	Cc
ne	ne	Qz
,	,	Z
bilo	bilo	Qo
koje	koji	Pi-fsg
jačine	jačina	Ncfsg
,	,	Z
dobiven	dobiti	Appmsnn
iz	iz	Sg
poljoprivrednih	poljoprivredni	Agpmpgy
proizvoda	proizvod	Ncmpg
navedenih	naveden	Agpmpgy
u	u	Sl
dodatku	dodatak	Ncmsl
1	1	Mdc
,	,	Z
isključujući	isključivati	Rr
likere	liker	Ncmpa
,	,	Z
ostala	ostali	Agpnpay
alkoholna	alkoholni	Agpnpay
pića	piće	Ncnpa
i	i	Cc
složene	složen	Agpmpay
alkoholne	alkoholni	Agpmpay
pripravke	pripravak	Ncmpa
(	(	Z
poznate	poznat	Agpmpay
kao	kao	Cs
»	»	Z
koncentrirani	koncentrirati	Appmpny
ekstrakti	ekstrakt	Ncmpn
«	«	Z
)	)	Z
–	–	Z
za	za	Sa
uporabu	uporaba	Ncfsa
u	u	Sl
proizvodnji	proizvodnja	Ncfsl
pića	piće	Ncnsg
22.10	22.10	Mds
Ocat	ocat	Ncmsn
i	i	Cc
nadomjesci	nadomjestak	Ncmpn
octa	ocat	Ncmsg
Poglavlje	poglavlje	Ncnsn
23	23	Mdc
Ostaci	ostatak	Ncmpn
i	i	Cc
otpaci	otpadak	Ncmpn
od	od	Sg
prehrambene	prehramben	Agpfsgy
industrije	industrija	Ncfsg
;	;	Z
pripremljena	pripremiti	Appfsny
životinjska	životinjski	Agpfsny
hrana	hrana	Ncfsn
Poglavlje	poglavlje	Ncnsn
24	24	Mdc
24.01	24.01	Mdc
Neprerađeni	neprerađen	Agpmsny
duhan	duhan	Ncmsn
,	,	Z
duhanski	duhanski	Agpmpny
otpaci	otpadak	Ncmpn
Poglavlje	poglavlje	Ncnsn
45	45	Mdc
45.01	45.0i	Agpnsny
Pluto	pluto	Ncnsn
prirodno	prirodan	Agpnsny
,	,	Z
neobrađeno	neobrađen	Agpnsny
,	,	Z
drobljeno	drobiti	Appnsny
,	,	Z
granulirano	granulirati	Appnsny
ili	ili	Cc
mljeveno	mljeveno	Rgp
;	;	Z
otpaci	otpadak	Ncmpn
od	od	Sg
pluta	pluto	Ncnsg
Poglavlje	poglavlje	Ncnsn
54	54	Mdc
54.01	54.01	Mdc
Lan	lan	Ncmsn
,	,	Z
sirov	sirov	Agpmsnn
ili	ili	Cc
prerađen	prerađen	Agpmsnn
,	,	Z
ali	ali	Cc
nepreden	nepresti	Appmsnn
;	;	Z
lanena	lanen	Agpfsny
kučina	kučina	Ncfsn
i	i	Cc
otpaci	otpadak	Ncmpn
(	(	Z
uključujući	uključivati	Rr
otpadnu	otpadni	Agpfsay
pređu	pređa	Ncfsa
i	i	Cc
rastrgane	rastrgati	Agpmpay
tekstilne	tekstilan	Agpmpay
materijale	materijal	Ncmpa
)	)	Z
Poglavlje	poglavlje	Ncnsn
57	57	Mdc
57.01	57.01	Mdc
Prava	prav	Agpfsny
konoplja	konoplja	Ncfsn
(	(	Z
Cannabis	Cannabis	Npmsn
sativa	sativati	Vmr3s
l.	l.	Y
)	)	Z
,	,	Z
sirova	sirov	Agpfsny
ili	ili	Cc
prerađena	prerađen	Agpfsny
,	,	Z
ali	ali	Cc
nepredena	nepreden	Agpfsny
;	;	Z
kučina	kučina	Ncfsn
i	i	Cc
otpaci	otpadak	Ncmpn
od	od	Sg
konoplje	konoplja	Ncfsg
(	(	Z
uključujući	uključivati	Rr
otpadnu	otpadni	Agpfsay
pređu	pređa	Ncfsa
i	i	Cc
rastrgane	rastrgati	Appfpny
tekstilne	tekstilan	Agpfpny

