Norinska	Norinska	Npfsn
sigurnosni	sigurnosni	Agpmsayn
sustav	sustav	Ncmsan
sakupljanja	sakupljanje	Ncnsg
tekućina	tekućina	Ncfsn
(	(	Z
procjednih	procjedan	Agpfpgy
voda	voda	Ncfpg
te	te	Cc
ostalih	ostali	Agpfpgy
tekućina	tekućina	Ncfpg
u	u	Sl
slučaju	slučaj	Ncmsl
ekol	ekoa	Ncfsg
.	.	Z
nezgoda	nezgoda	Ncfsn
i	i	Cc
sl.	sl.	Y
)	)	Z
,	,	Z
kako	kako	Cs
one	oni	Pp3fpn
ne	ne	Qz
bi	biti	Vaa3p
dospjele	dospjeti	Vmp-pf
u	u	Sa
okoliš	okoliš	Ncmsan
.	.	Z

Ostale	ostali	Agpfpny
mjere	mjera	Ncfpn
zaštite	zaštita	Ncfsg
bit	biti	Van
će	htjeti	Var3p
određene	odrediti	Appfpny
sukladno	sukladno	Rgp
posebnim	poseban	Agpmpiy
propisima	propis	Ncmpi
.	.	Z

Članak	članak	Ncmsn
26.	26.	Mdo

(	(	Z
1	1	Mdc
)	)	Z
Postojeći	postojeći	Agpmpny
koridori	koridor	Ncmpn
cestovne	cestovan	Agpfsgy
infrastrukture	infrastruktura	Ncfsg
u	u	Sl
kategoriji	kategorija	Ncfsl
nerazvrstanih	nerazvrstan	Agpfpgy
cesta	cesta	Ncfpg
su	biti	Var3p
»	»	Z
Biokovska	biokovski	Agpfsny
cesta	cesta	Ncfsn
«	«	Z
(	(	Z
D512	D512	Npmsn
–	–	Z
vrh	vrh	Ncmsn
Sv.	Sv.	Y
Jure	Jure	Npmsg
)	)	Z
,	,	Z
cesta	cesta	Ncfsn
Podglogovik	Podglogovik	Npmsn
–	–	Z
Saranač	Saranač	Npmsn
,	,	Z
cesta	cesta	Ncfsn
od	od	Sg
D39	d3a	Ncfsg
do	do	Sg
vojnog	vojni	Agpmsgy
kompleksa	kompleks	Ncmsg
Kuk	kuk	Ncmsn
»	»	Z
0	0	Mdc
«	«	Z
i	i	Cc
spojne	spojni	Agpfpay
ceste	cesta	Ncfpa
od	od	Sg
razvrstanih	razvrstati	Agpfpgy
cesta	cesta	Ncfpg
do	do	Sg
postojećih	postojeći	Agpnpgy
naselja	naselje	Ncnpg
.	.	Z

(	(	Z
2	2	Mdc
)	)	Z
»	»	Z
Biokovska	biokovski	Agpfsny
cesta	cesta	Ncfsn
«	«	Z
(	(	Z
D512	D512	Npmsn
–	–	Z
vrh	vrh	Ncmsn
Sv.	Sv.	Y
Jure	Jure	Npmsg
)	)	Z
je	biti	Var3s
asfaltirana	asfaltiran	Agpfsny
cesta	cesta	Ncfsn
koja	koji	Pi-fsn
se	sebe	Px--sa
može	moći	Vmr3s
rekonstruirati	rekonstruirati	Vmn
u	u	Sa
svrhu	svrha	Ncfsa
tehničkih	tehnički	Agpnpgy
poboljšanja	poboljšanje	Ncnpg
s	sa	Si
mogućnošću	mogućnost	Ncfsi
izgradnje	izgradnja	Ncfsg
mimoilaznica	mimoilaznica	Ncfpg
i	i	Cc
proširenja	proširenje	Ncnsg
.	.	Z

(	(	Z
3	3	Mdc
)	)	Z
Ostale	ostali	Agpfpay
nerazvrstane	nerazvrstan	Agpfpay
ceste	cesta	Ncfpa
i	i	Cc
šumske	šumski	Agpfsgy
ceste	cesta	Ncfsg
koristit	koristiti	Vmn
će	htjeti	Var3s
se	sebe	Px--sa
na	na	Sa
način	način	Ncmsan
kao	kao	Cs
i	i	Cc
do	do	Sg
sada	sada	Rgp
,	,	Z
uz	uz	Sa
potrebne	potreban	Agpfpay
rekonstrukcije	rekonstrukcija	Ncfpa
i	i	Cc
popravke	popravak	Ncmpa
.	.	Z

(	(	Z
4	4	Mdc
)	)	Z
Ostale	ostali	Agpfpny
nerazvrstane	nerazvrstan	Agpfpny
i	i	Cc
šumske	šumski	Agpfpny
ceste	cesta	Ncfpn
grade	graditi	Vmr3p
se	sebe	Px--sa
i	i	Cc
održavaju	održavati	Vmr3p
kao	kao	Cs
makadamske	makadamski	Agpfpny
,	,	Z
a	a	Cc
pokose	pokositi	Ncfpa
nasipa	nasip	Ncmsg
i	i	Cc
usjeka	usjek	Ncmsg
potrebno	potreban	Agpnsny
je	biti	Var3s
ozelenjavati	ozelenjavati	Vmn
autohtonim	autohton	Agpnsiy
biljem	bilje	Ncnsi
gdje	gdje	Cs
je	biti	Var3s
to	taj	Pd-nsn
moguće	moguć	Agpnsny
,	,	Z
odnosno	odnosno	Rgp
održavati	održavati	Vmn
u	u	Sl
skladu	sklad	Ncmsl
s	sa	Si
prirodnom	prirodan	Agpfsiy
vegetacijom	vegetacija	Ncfsi
okolnog	okolni	Agpmsgy
terena	teren	Ncmsg
.	.	Z

U	u	Sl
slučaju	slučaj	Ncmsl
potrebe	potreba	Ncfsg
za	za	Si
izradom	izrada	Ncfsi
viših	visok	Agsmpgy
nasipa	nasip	Ncmpg
i	i	Cc
usjeka	usjek	Ncmpg
koje	koji	Pi-mpa
nije	biti	Var3s
moguće	moguć	Agpnsny
ozelenjavati	ozelenjavati	Vmn
klasičnim	klasičan	Agpmsiy
načinom	način	Ncmsi
dozvoljava	dozvoljavati	Vmr3s
se	sebe	Px--sa
upotreba	upotreba	Ncfsn
polimernih	polimerni	Agpfpgy
mreža	mreža	Ncfpg
za	za	Sa
zadržavanje	zadržavanje	Ncnsa
tla	tlo	Ncnsg
u	u	Sa
svrhu	svrha	Ncfsa
ozelenjavanja	ozelenjavanje	Ncnsg
ili	ili	Cc
je	biti	Var3s
izrađene	izraditi	Appfpny
pokose	pokositi	Vmr3p
potrebno	potreban	Agpnsny
obložiti	obložiti	Vmn
kamenom	kamen	Agpfsiy
(	(	Z
roliranje	roliranje	Ncnsn
pokosa	pokos	Ncmsg
)	)	Z
.	.	Z

Samo	samo	Rgp
u	u	Sl
iznimnim	izniman	Agpmply
slučajevima	slučaj	Ncmpl
dozvoljena	dozvoliti	Appfsny
je	biti	Var3s
izrada	izrada	Ncfsn
betonskih	betonski	Agpmpgy
potpornih	potporni	Agpmpgy
zidova	zid	Ncmpg
koji	koji	Pi-mpn
se	sebe	Px--sa
obavezno	obavezno	Rgp
oblažu	oblagati	Vmr3p
kamenim	kamen	Agpmsiy
materijalom	materijal	Ncmsi
u	u	Sa
svrhu	svrha	Ncfsa
što	što	Cs
boljeg	dobar	Agcnsgy
uklapanja	uklapanje	Ncnsg
u	u	Sa
prirodni	prirodan	Agpmsayn
okoliš	okoliš	Ncmsan
.	.	Z

Postojeće	postojeći	Agpfsgy
makadamske	makadamski	Agpfsgy
ceste	cesta	Ncfsg
moguće	moguć	Agpnsny
je	biti	Var3s
rekonstruirati	rekonstruirati	Vmn
u	u	Sa
svrhu	svrha	Ncfsa
poboljšanja	poboljšanje	Ncnsg
tehničkih	tehnički	Agpmpgy
elemenata	element	Ncmpg
ceste	cesta	Ncfsg
(	(	Z
poprečni	poprečan	Agpmpny
i	i	Cc
uzdužni	uzdužan	Agpmsny
nagib	nagib	Ncmsn
)	)	Z
.	.	Z

Makadamske	makadamski	Agpfpny
ceste	cesta	Ncfpn
mogu	moći	Vmr3p
se	sebe	Px--sa
obnavljati	obnavljati	Vmn
tehnologijom	tehnologija	Ncfsi
hladnog	hladan	Agpnsgy
recikliranja	recikliranje	Ncnsg
postojećeg	postojeći	Agpmsgy
kolnika	kolnik	Ncmsg
.	.	Z

(	(	Z
5	5	Mdc
)	)	Z
Postojeće	postojeći	Agpmpay
povijesne	povijesni	Agpmpay
putove	put	Ncmpa
,	,	Z
posebno	posebno	Rgp
putove	put	Ncmpa
koji	koji	Pi-mpn
su	biti	Var3p
spajali	spajati	Vmp-pm
primarna	primaran	Agpnpay
naselja	naselje	Ncnpa
pod	pod	Si
Biokovom	Biokov	Npmsi
sa	sa	Si
sekundarnim	sekundaran	Agpnsiy
naseljem	naselje	Ncnsi
na	na	Sa
Biokovu	Biokova	Npmsay
,	,	Z
te	te	Cc
povijesne	povijesni	Agpmpay
putove	put	Ncmpa
koji	koji	Pi-mpn
su	biti	Var3p
vodili	voditi	Vmp-pm
preko	preko	Sg
Biokova	Biokov	Npmsg
i	i	Cc
spajali	spajati	Vmp-pm
morsku	morski	Agpfsay
,	,	Z
južnu	južan	Agpfsay
stranu	strana	Ncfsa
sa	sa	Si
sjevernom	sjeverni	Agpfsiy
stranom	strana	Ncfsi
Biokova	biokov	Aspfsny
potrebno	potreban	Agpnsny
je	biti	Var3s

