ELEK	ELEK	Npmsn
179.	179.	Mdo
skupnik	skupnik	Ncmsn
VLADO	VLADO	Npmsn
(	(	Z
Franjin	Franjin	Npmsn
)	)	Z
KARATOVIĆ	KARATOVIĆ	Npmsn

180.	180.	Mdo
skupnik	skupnik	Ncmsn
DRAGO	Drago	Npmsn
(	(	Npmsn
Ivanov	Ivanov	Npmsn
)	)	Z
MATIJAŠEVIĆ	Matijašević	Npmsn

181.	181.	Mdo
skupnik	skupnik	Ncmsn
KRISTIJAN	KRISTIJAN	Npmsn
(	(	Z
Viktorov	Viktorov	Npmsn
)	)	Z
POSTRUŽIN	POSTRUŽIN	Npmsn

182.	182.	Mdo
skupnik	skupnik	Ncmsn
IVAN	Ivan	Npmsn
(	(	Z
Antin	Antin	Npmsn
)	)	Z
POTNAR	POTNAR	Npmsn

183.	183.	Mdo
razvodnik	razvodnik	Ncmsn
IVICA	Ivica	Npmsn
(	(	Z
Matin	Matin	Npmsn
)	)	Z
ABRAM-VULETIĆ	ABRAM-VULETIĆ	Npmsn

184.	184.	Mdo
razvodnik	razvodnik	Ncmsn
IGOR	Igor	Npmsn
(	(	Z
Jozin	Jozin	Npmsn
)	)	Z
BARIŠIĆ	Barišić	Npmsn

185.	185.	Mdo
razvodnik	razvodnik	Ncmsn
MARTIN	Martin	Npmsn
(	(	Z
Jurin	Jurin	Npmsn
)	)	Z
BELAN	BELAN	Npmsn

186.	186.	Mdo
razvodnik	razvodnik	Ncmsn
MATE	MATE	Npfsg
(	(	Z
Milenkov	Milenkov	Npmsn
)	)	Z
BUGARIJA	bugarija	Ncfsn

