zaprimanja	zaprimanje	Ncnsg
500	500	Mdc
1	1	Mdc
180	180	Mdc
paprika	paprika	Ncfpg
500	500	Mdc
1	1	Mdc
180	180	Mdc
patlidžan	patlidžan	Ncmsan
500	500	Mdc
1	1	Mdc
180	180	Mdc
krastavac	krastavac	Ncmsan
500	500	Mdc
1	1	Mdc
180	180	Mdc
dinja	dinja	Ncfpg
500	500	Mdc
1	1	Mdc
180	180	Mdc
lubenica	lubenica	Ncfpg
500	500	Mdc
1	1	Mdc
180	180	Mdc
tikvica	tikvica	Ncfpg
500	500	Mdc
1	1	Mdc
180	180	Mdc
salata	salata	Ncfpg
,	,	Z
endivija	endivija	Ncfsn
500	500	Mdc
1	1	Mdc
180	180	Mdc
špinat	špinat	Ncmsan
,	,	Z
matovilac	matovilac	Ncmsn
,	,	Z
rotkvica**	rotkvica**	Agpmsnn
500	500	Mdc
1	1	Mdc
180	180	Mdc
mrkva	mrkva	Ncfpg
,	,	Z
peršin	peršin	Ncmsn
,	,	Z
pastrnjak	pastrnjak	Ncmsan
,	,	Z
celer**	celer**	Agpmsnn
500	500	Mdc
1	1	Mdc
300	300	Mdc
postrna	postrn	Ncmpg
repa	repa	Ncfpg
,	,	Z
rotkva	rotkva	Ncfsn
500	500	Mdc
1	1	Mdc
300	300	Mdc
cikla	cikla	Ncfpg
,	,	Z
blitva	blitva	Ncfsn
,	,	Z
radič**	radič**	Agpmsnn
500	500	Mdc
1	1	Mdc
300	300	Mdc
luk	luk	Ncmsan
,	,	Z
poriluk	poriluk	Ncmsn
500	500	Mdc
1	1	Mdc
300	300	Mdc
kupus	kupus	Ncmsan
,	,	Z
kelj	kelj	Ncmsan
,	,	Z
cvjetača	cvjetača	Ncfsn
i	i	Cc
korabica**	korabica**	Agpmsnn
500	500	Mdc
1	1	Mdc
300	300	Mdc
češnjak	češnjak	Ncmsan
500	500	Mdc
1	1	Mdc
180	180	Mdc
DUHAN	duhan	Ncmsan
duhan	duhan	Ncmsan
2400	2400	Mdc
1	1	Mdc
180	180	Mdc
ostale	ostali	Agpfsgy
biljne	biljan	Agpfsgy
vrste	vrsta	Ncfsg
1200	1200	Mdc
10	10	Mdc
50	50	Mdc

*	*	Z
Kod	kod	Sg
kukuruza	kukuruz	Ncmsg
se	sebe	Px--sa
zbrajaju	zbrajati	Vmr3p
površine	površina	Ncfpn
hibrida	hibrid	Ncmpg
FAO	fa	Agpfpgy
grupa	grupa	Ncfpg
100	100	Mdc
–	–	Z
400	400	Mdc
i	i	Cc
500	500	Mdc
–	–	Z
700	700	Mdc
i	i	Cc
roditeljske	roditeljski	Agpfsgy
komponente	komponenta	Ncfsg
hibrida	hibrid	Ncmsg
kukuruza	kukuruz	Ncmsg
(	(	Z
inbred	inbred	Sg
linije	linija	Ncfsg
i	i	Cc
njihovi	njihov	Ps3mpn
križanci	križanac	Ncmpn
)	)	Z
.	.	Z

Za	za	Sa
kukuruz	kukuruz	Ncmsan
koji	koji	Pi-msn
nema	nemati	Vmr3s
FAO	fai	Agpfsay
grupu	grupa	Ncfsa
(	(	Z
linije	linija	Ncfpn
,	,	Z
sorte	sorta	Ncfsg
)	)	Z
trošak	trošak	Ncmsan
nadzora	nadzor	Ncmsg
se	sebe	Px--sa
obračunava	obračunavati	Vmr3s
kao	kao	Cs
zasebna	zaseban	Agpfsny
stavka	stavka	Ncfsn
.	.	Z

**Obračunava	**obračunavati	Vmr3s
se	sebe	Px--sa
kao	kao	Cs
jedna	jedan	Mlcfsn
vrsta	vrsta	Ncfsn
.	.	Z

(	(	Z
2	2	Mdc
)	)	Z
Trošak	trošak	Ncmsn
stručnog	stručan	Agpmsgy
nadzora	nadzor	Ncmsg
nad	nad	Si
sjemenskim	sjemenski	Agpmpiy
usjevima	usjev	Ncmpi
obračunava	obračunavati	Vmr3s
se	sebe	Px--sa
po	po	Sl
proizvođaču	proizvođač	Ncmsl
i	i	Cc
proizvodnoj	proizvodni	Agpfsly
površini	površina	Ncfsl
(	(	Z
parceli	parcela	Ncfsl
)	)	Z
.	.	Z

Pod	pod	Si
jednom	jedan	Agpfsiy
proizvodnom	proizvodni	Agpfsiy
površinom	površina	Ncfsi
(	(	Z
parcelom	parcela	Ncfsi
)	)	Z
podrazumijeva	podrazumijevati	Vmr3s
se	sebe	Px--sa
i	i	Qo
više	mnogo	Rgc
parcela	parcela	Ncfpg
koje	koji	Pi-fpn
nisu	biti	Var3p
međusobno	međusobno	Rgp
udaljene	udaljiti	Appfpny
više	mnogo	Rgc
od	od	Sg
5	5	Mdc
km	km	Y
.	.	Z

(	(	Z
3	3	Mdc
)	)	Z
Prvih	prvi	Mlompg
50	50	Mdc
%	%	Z
troška	trošak	Ncmsg
stručnog	stručan	Agpmsgy
nadzora	nadzor	Ncmsg
iz	iz	Sg
stavka	stavak	Ncmsg
2.	2.	Mdo
ovoga	ovaj	Pd-msg
članka	članak	Ncmsg
uplaćuje	uplaćivati	Vmr3s
se	sebe	Px--sa
kod	kod	Sg
prijave	prijava	Ncfsg
sjemenskih	sjemenski	Agpmpgy
usjeva	usjev	Ncmpg
,	,	Z
a	a	Cc
drugih	drugi	Mlompg
50	50	Mdc
%	%	Z
nakon	nakon	Sg
zadnjeg	zadnji	Agpmsgy
pregleda	pregled	Ncmsg
.	.	Z

(	(	Z
4	4	Mdc
)	)	Z
U	u	Sl
slučaju	slučaj	Ncmsl
odbijanja	odbijanje	Ncnsg
proizvodne	proizvodni	Agpfsgy
površine	površina	Ncfsg
:	:	Z

–	–	Npmsn
u	u	Sl
prvom	prvi	Mlomsl
pregledu	pregled	Ncmsl
,	,	Z
naplaćuje	naplaćivati	Vmr3s
se	sebe	Px--sa
samo	samo	Rgp
50	50	Mdc
%	%	Z
naknade	naknada	Ncfsg
i	i	Cc

–	–	Npmsn
u	u	Sl
drugom	drugi	Mlomsl
pregledu	pregled	Ncmsl
naplaćuje	naplaćivati	Vmr3s
se	sebe	Px--sa
ukupna	ukupan	Agpfsny
naknada	naknada	Ncfsn
.	.	Z

(	(	Z
5	5	Mdc
)	)	Z
U	u	Sl
slučaju	slučaj	Ncmsl
kada	kada	Cs
je	biti	Var3s
moguće	moguć	Agpnsny
obaviti	obaviti	Vmn
stručni	stručan	Agpmsayn
nadzor	nadzor	Ncmsan
nad	nad	Si
proizvodnjom	proizvodnja	Ncfsi
sjemena	sjeme	Ncnsg
više	mnogo	Rgc
vrsta	vrsta	Ncfpg
povrtnih	povrtni	Agpfpgy
kultura	kultura	Ncfpg
u	u	Sl
jednom	jedan	Mlcmsl
pregledu	pregled	Ncmsl
,	,	Z
trošak	trošak	Ncmsn
nadzora	nadzor	Ncmsg
obračunava	obračunavati	Vmr3s
se	sebe	Px--sa
kao	kao	Cs
jedna	jedan	Mlcfsn
vrsta	vrsta	Ncfsn
.	.	Z

(	(	Z
6	6	Mdc
)	)	Z
Nadzor	nadzor	Ncmsn
nad	nad	Si
proizvodnjom	proizvodnja	Ncfsi
sjemena	sjeme	Ncnsg
pod	pod	Si
stručnom	stručan	Agpfsiy
kontrolom	kontrola	Ncfsi
iznosi	iznositi	Vmr3s
60	60	Mdc
%	%	Z
vrijednosti	vrijednost	Ncfpg
propisane	propisati	Appfpny
u	u	Sl
stavku	stavak	Ncmsl
1.	1.	Mdo
ovoga	ovaj	Pd-msg
članka	članak	Ncmsg
.	.	Z

(	(	Z
7	7	Mdc
)	)	Z
Trošak	trošak	Ncmsn
utvrđivanja	utvrđivanje	Ncnsg
sortne	sortni	Agpfsgy
podudarnosti	podudarnost	Ncfsg
sjemena	sjeme	Ncnsg
i	i	Cc
njene	njen	Ps3fsg
čistoće	čistoća	Ncfsg
sa	sa	Si
»	»	Z
standardnim	standardan	Agpmsiy
uzorkom	uzorak	Ncmsi
sorte	sorta	Ncfsg
«	«	Z
,	,	Z
pohranjenim	pohraniti	Appmply
u	u	Sl
Zavodu	zavod	Ncmsl
,	,	Z
u	u	Sl
kontrolnom	kontrolan	Agpnsly
polju	polje	Ncnsl
iskazano	iskazati	Appnsny
u	u	Sl
bodovima	bod	Ncmpl
iznosi	iznositi	Vmr3s
:	:	Z

–	i	Agpnsny
za	za	Sa
ratarsko	ratarski	Agpnsay
bilje	bilje	Ncnsa
300	300	Mdc
i	i	Cc

–	i	Agpnsny
za	za	Sa
povrće	povrće	Ncnsa
500.	500.	Mdo

Članak	članak	Ncmsn
9.	9.	Mdo

(	(	Z
1	1	Mdc
)	)	Z
Trošak	trošak	Ncmsn
za	za	Sa
provođenje	provođenje	Ncnsa
stručnog	stručan	Agpmsgy
nadzora	nadzor	Ncmsg
nad	nad	Si
proizvodnjom	proizvodnja	Ncfsi
poljoprivrednog	poljoprivredni	Agpmsgy
sadnog	sadni	Agpmsgy
materijala	materijal	Ncmsg
,	,	Z
ovisno	ovisno	Rgp
o	o	Sl
vrsti	vrsta	Ncfsl
i	i	Cc
načinu	način	Ncmsl
proizvodnje	proizvodnja	Ncfsg
,	,	Z
iskazano	iskazati	Appnsny
u	u	Sl
bodovima	bod	Ncmpl
iznosi	iznositi	Vmr3s
:	:	Z

–	i	Agpfpny
za	za	Sa
voćne	voćni	Agpfpay
sadnice	sadnica	Ncfpa
i	i	Cc
proizvodnju	proizvodnja	Ncfsa
voćnih	voćni	Agpfpgy
podloga	podloga	Ncfpg
:	:	Z

1.	1.	Mdo
1800	1800	Mdc

