točke	točka	Ncfpn
6	6	Mdc
515	515	Mdc
986.67	986.67	Mdc
4719394.30	4719394.30	Mdc
19	19	Mdc
6	6	Mdc
515	515	Mdc
993.92	993.92	Mdc
4719399.98	4719399.98	Mdc
20	20	Mdc
6	6	Mdc
516	516	Mdc
001.01	001.01	Mdc
4719407.37	4719407.37	Mdc
21	21	Mdc
6	6	Mdc
516	516	Mdc
005.86	005.86	Mdc
4719414.45	4719414.45	Mdc
22	22	Mdc
6	6	Mdc
516	516	Mdc
007.72	007.72	Mdc
4719418.49	4719418.49	Mdc
23	23	Mdc
6	6	Mdc
516	516	Mdc
009.03	009.03	Mdc
4719423.95	4719423.95	Mdc
24	24	Mdc
6	6	Mdc
516	516	Mdc
008.95	008.95	Mdc
4719426.83	4719426.83	Mdc
25	25	Mdc
6	6	Mdc
516	516	Mdc
008.13	008.13	Mdc
4719431.39	4719431.39	Mdc
26	26	Mdc
6	6	Mdc
516	516	Mdc
006.88	006.88	Mdc
4719435.00	4719435.00	Mdc
27	27	Mdc
6	6	Mdc
515	515	Mdc
995.51	995.51	Mdc
4719449.43	4719449.43	Mdc
28	28	Mdc
6	6	Mdc
515	515	Mdc
991.39	991.39	Mdc
4719457.28	4719457.28	Mdc
29	29	Mdc
6	6	Mdc
515	515	Mdc
989.52	989.52	Mdc
4719463.52	4719463.52	Mdc
30	30	Mdc
6	6	Mdc
515	515	Mdc
988.15	988.15	Mdc
4719472.12	4719472.12	Mdc
31	31	Mdc
6	6	Mdc
515	515	Mdc
986.65	986.65	Mdc
4719473.99	4719473.99	Mdc
32	32	Mdc
6	6	Mdc
515	515	Mdc
982.54	982.54	Mdc
4719477.22	4719477.22	Mdc
33	33	Mdc
6	6	Mdc
515	515	Mdc
985.55	985.55	Mdc
4719481.00	4719481.00	Mdc
34	34	Mdc
6	6	Mdc
515	515	Mdc
987.56	987.56	Mdc
4719484.64	4719484.64	Mdc
35	35	Mdc
6	6	Mdc
515	515	Mdc
989.54	989.54	Mdc
4719486.91	4719486.91	Mdc
