Opata	opat	Ncmpg
1791	1791	Mdc
,	,	Z
1793	1793	Mdc
,	,	Z
1794	1794	Mdc
,	,	Z
1795	1795	Mdc
,	,	Z
1792	1792	Mdc
,	,	Z
1798	1798	Mdc
,	,	Z
1811	1811	Mdc
,	,	Z
1800	1800	Mdc
,	,	Z
1810	1810	Mdc
,	,	Z
1809	1809	Mdc
,	,	Z
1803	1803	Mdc
,	,	Z
1808	1808	Mdc
,	,	Z
1807	1807	Mdc
,	,	Z
1806	1806	Mdc
,	,	Z
1805	1805	Mdc
,	,	Z
1893	1893	Mdc
,	,	Z
1894	1894	Mdc
,	,	Z
1895	1895	Mdc
,	,	Z
1896	1896	Mdc
,	,	Z
1897	1897	Mdc
,	,	Z
1898/3	1898/3	Mdc
,	,	Z
1898/2	1898/2	Mdc
,	,	Z
1898/1	1898/1	Mdc
,	,	Z
1801	1801	Mdc
,	,	Z
1799,1797	1799,1797	Mdc
,	,	Z
1796	1796	Mdc
,	,	Z
1778	1778	Mdc
,	,	Z
1777	1777	Mdc
,	,	Z
1776	1776	Mdc
,	,	Z
1775	1775	Mdc
,	,	Z
1765	1765	Mdc
,	,	Z
1767	1767	Mdc
,	,	Z
1766	1766	Mdc
,	,	Z
1768	1768	Mdc
,	,	Z
1769	1769	Mdc
,	,	Z
1770	1770	Mdc
,	,	Z
1772	1772	Mdc
,	,	Z
1802	1802	Mdc
,	,	Z
1773	1773	Mdc
,	,	Z
1774	1774	Mdc
,	,	Z
1804	1804	Mdc
,	,	Z
1909/1	1909/1	Mdc
,	,	Z
1909/2	1909/2	Mdc
,	,	Z
1908/2	1908/2	Mdc
,	,	Z
1910	1910	Mdc
,	,	Z
1912	1912	Mdc
,	,	Z
1911	1911	Mdc
,	,	Z
1771/2	1771/2	Mdc
,	,	Z
1771/1	1771/1	Mdc
,	,	Z
1848/2	1848/2	Mdc
,	,	Z
1850	1850	Mdc
,	,	Z
1849	1849	Mdc
,	,	Z
1848/1	1848/1	Mdc
,	,	Z
1845/1	1845/1	Mdc
,	,	Z
1845/2	1845/2	Mdc
,	,	Z
1845/3	1845/3	Mdc
,	,	Z
1846	1846	Mdc
,	,	Z
1847	1847	Mdc
,	,	Z
1855/1	1855/1	Mdc
,	,	Z
1855/2	1855/2	Mdc
,	,	Z
1856	1856	Mdc
,	,	Z
1872	1872	Mdc
,	,	Z
1875	1875	Mdc
,	,	Z
1876	1876	Mdc
,	,	Z
1873	1873	Mdc
,	,	Z
1879	1879	Mdc
,	,	Z
1877	1877	Mdc
,	,	Z
1878	1878	Mdc
,	,	Z
1882	1882	Mdc
,	,	Z
1891	1891	Mdc
,	,	Z
1890	1890	Mdc
,	,	Z
1889	1889	Mdc
,	,	Z
1887	1887	Mdc
,	,	Z
1888	1888	Mdc
,	,	Z
1885	1885	Mdc
,	,	Z
1884	1884	Mdc
,	,	Z
1883	1883	Mdc
,	,	Z
1963/5	1963/5	Mdc
,	,	Z
1963/3	1963/3	Mdc
,	,	Z
1963/1	1963/1	Mdc
,	,	Z
2034	2034	Mdc
,	,	Z
2033	2033	Mdc
,	,	Z
2029	2029	Mdc
,	,	Z
2028	2028	Mdc
,	,	Z
2031	2031	Mdc
,	,	Z
2032	2032	Mdc
,	,	Z
1922	1922	Mdc
,	,	Z
1923	1923	Mdc
,	,	Z
1924	1924	Mdc
,	,	Z
1921	1921	Mdc
,	,	Z
1925	1925	Mdc
,	,	Z
1930	1930	Mdc
,	,	Z
1916	1916	Mdc
,	,	Z
1928	1928	Mdc
,	,	Z
1929	1929	Mdc
,	,	Z
1927	1927	Mdc
,	,	Z
1926	1926	Mdc
,	,	Z
1920	1920	Mdc
,	,	Z
1919	1919	Mdc
,	,	Z
1906	1906	Mdc
,	,	Z
1913	1913	Mdc
,	,	Z
1905/2	1905/2	Mdc
,	,	Z
1905/1	1905/1	Mdc
,	,	Z
1914	1914	Mdc
,	,	Z
1915	1915	Mdc
,	,	Z
1918	1918	Mdc
,	,	Z
1917	1917	Mdc
,	,	Z
1903	1903	Mdc
,	,	Z
1899	1899	Mdc
,	,	Z
1900/1	1900/1	Mdc
,	,	Z
1900/2	1900/2	Mdc
,	,	Z
1901	1901	Mdc
,	,	Z
1902	1902	Mdc
,	,	Z
1904	1904	Mdc
,	,	Z
1907/1	1907/1	Mdc
,	,	Z
1907/2	1907/2	Mdc
,	,	Z
1961	1961	Mdc
,	,	Z
1959	1959	Mdc
,	,	Z
1960	1960	Mdc
,	,	Z
1962	1962	Mdc
,	,	Z
1958	1958	Mdc
,	,	Z
1941	1941	Mdc
,	,	Z
1957/1	1957/1	Mdc
,	,	Z
1957/2	1957/2	Mdc
,	,	Z
1957/3	1957/3	Mdc
,	,	Z
1957/4	1957/4	Mdc
,	,	Z
1956	1956	Mdc
,	,	Z
1955	1955	Mdc
,	,	Z
1940	1940	Mdc
,	,	Z
1939	1939	Mdc
,	,	Z
1931	1931	Mdc
,	,	Z
1935	1935	Mdc
,	,	Z
1934	1934	Mdc
,	,	Z
1933	1933	Mdc
,	,	Z
1932	1932	Mdc
1936	1936	Mdc
,	,	Z
1937	1937	Mdc
,	,	Z
1938	1938	Mdc
,	,	Z
1954	1954	Mdc
,	,	Z
1942	1942	Mdc
,	,	Z
1943	1943	Mdc
,	,	Z
1944	1944	Mdc
,	,	Z
1947	1947	Mdc
,	,	Z
1945	1945	Mdc
,	,	Z
1946	1946	Mdc
,	,	Z
1948	1948	Mdc
,	,	Z
1952	1952	Mdc
,	,	Z
1953	1953	Mdc
,	,	Z
1950	1950	Mdc
,	,	Z
1951	1951	Mdc
,	,	Z
1949	1949	Mdc
,	,	Z
2066	2066	Mdc
,	,	Z
2065	2065	Mdc
,	,	Z
2067	2067	Mdc
,	,	Z
2064	2064	Mdc
,	,	Z
2068	2068	Mdc
,	,	Z
2069	2069	Mdc
,	,	Z
2070	2070	Mdc
,	,	Z
2063	2063	Mdc
,	,	Z
2062	2062	Mdc
,	,	Z
2057	2057	Mdc
,	,	Z
2056	2056	Mdc
,	,	Z
2058	2058	Mdc
,	,	Z
2061	2061	Mdc
,	,	Z
2060	2060	Mdc
,	,	Z
2059	2059	Mdc
,	,	Z
2055	2055	Mdc
,	,	Z
2054	2054	Mdc
,	,	Z
2036/1	2036/1	Mdc
,	,	Z
2053	2053	Mdc
,	,	Z
2051	2051	Mdc
,	,	Z
2052	2052	Mdc
,	,	Z
2050	2050	Mdc
,	,	Z
2049	2049	Mdc
,	,	Z
2037	2037	Mdc
,	,	Z
2036/2	2036/2	Mdc
,	,	Z
2038	2038	Mdc
,	,	Z
2039	2039	Mdc
,	,	Z
2040	2040	Mdc
,	,	Z
2041	2041	Mdc
,	,	Z
2042/1,2042/2	2042/1,2042/i	Agpnsny
,	,	Z
2042/3	2042/3	Mdc
,	,	Z
2042/4	2042/4	Mdc
,	,	Z
2043	2043	Mdc
,	,	Z
2044	2044	Mdc
,	,	Z
2045	2045	Mdc
,	,	Z
2046	2046	Mdc
,	,	Z
2047	2047	Mdc
,	,	Z
1908/1	1908/1	Mdc
,	,	Z
2048	2048	Mdc
,	,	Z
2071	2071	Mdc
i	i	Cc
1761	1761	Mdc
u	u	Sa
k.	k.	Y
o.	o.	Y
Benkovac	Benkovac	Npmsn
i	i	Cc
k.	k.	Y
č.	č.	Y
br	br	Y
:	:	Z
2859	2859	Mdc
,	,	Z
2860/1	2860/1	Mdc
,	,	Z
2860/2	2860/2	Mdc
,	,	Z
2870	2870	Mdc
,	,	Z
2872/1	2872/1	Mdc
,	,	Z
2872/2	2872/2	Mdc
,	,	Z
2873/1	2873/1	Mdc
,	,	Z
2873/2	2873/2	Mdc
,	,	Z
2874	2874	Mdc
,	,	Z
2875	2875	Mdc
,	,	Z
2876	2876	Mdc
,	,	Z
2877	2877	Mdc
,	,	Z
2878	2878	Mdc
,	,	Z
2879	2879	Mdc
,	,	Z
2880/2	2880/2	Mdc
,	,	Z
2880/3	2880/3	Mdc
,	,	Z
2880/4	2880/4	Mdc
,	,	Z
2881	2881	Mdc
,	,	Z
2882	2882	Mdc
,	,	Z
2883/1	2883/1	Mdc
,	,	Z
2883/2	2883/2	Mdc
,	,	Z
2884	2884	Mdc
,	,	Z
2936	2936	Mdc
,	,	Z
2937	2937	Mdc
,	,	Z
2939	2939	Mdc
,	,	Z
2950	2950	Mdc
,	,	Z
2951	2951	Mdc
,	,	Z
2952	2952	Mdc
,	,	Z
2953	2953	Mdc
,	,	Z
2954	2954	Mdc
i	i	Cc
2962	2962	Mdc
u	u	Sa
k.	k.	Y
o.	o.	Y
Buković	Buković	Npmsn
.	.	Z

Zemljišnoknjižni	zemljišnoknjižni	Agpmsny
broj	broj	Ncmsn
čestica	čestica	Ncfpg
:	:	Z
Benkovac	Benkovac	Npmsn
;	;	Z
Buković	Buković	Npmsn
Datum	Datum	Npmsn
:	:	Z
05.02.2015	05.02.2015	Mdo
Klasa	klasa	Ncfsn
:	:	Z
UP	up	Ncmsn
/	/	Z
I-612-08	I-612-08	X
/	/	Z
15	15	Mdc
-	-	Z
06/0026	06/0026	Agpmsny
Urbroj	urbroj	Ncmsn
:	:	Z
532	532	Mdc
-	-	Z
04	04	Mdc
-	-	Z
01	01	Mdc
-	-	Z
03	03	Mdc
-	-	Z
02/1	02/1	Mdc
-	-	Z
15	15	Mdc
-	-	Z
1	1	Mdc
Z-4430	Z-4430	Mdc
č.	č.	Y
zem	z	Ncmsi
.	.	Z
114/2	114/2	Mdc
,	,	Z
č.	č.	Y
zgr	zgr	Ncmsan
.	.	Z
17/18	17/18	Mdc
,	,	Z
č.	č.	Y
zgr	zgr	Ncmsan
.	.	Z
17/25	17/25	Mdc
,	,	Z
č.	č.	Y
zgr	zgr	Ncmsan
.	.	Z
17/29	17/29	Mdc
,	,	Z
č.	č.	Y
zgr	zgr	Ncmsan
.	.	Z
14	14	Mdc
,	,	Z
č.	č.	Y
zem	zei	Agpfsny
.	.	Z
108	108	Mdc
,	,	Z
č.	č.	Y
zgr	zgr	Ncmsan
.	.	Z
17/13	17/13	Mdc
,	,	Z
č.	č.	Y
zgr	zgr	Ncmsan
.	.	Z
17/29	17/29	Mdc
,	,	Z
č.	č.	Y
zem	z	Ncmsi
.	.	Z
114/3	114/3	Mdc
,	,	Z
č.	č.	Y
zgr	zgr	Ncmsan
.	.	Z
17/11	17/11	Mdc
,	,	Z
č.	č.	Y
zgr	zgr	Ncmsan
.	.	Z
17/29	17/29	Mdc
,	,	Z
č.	č.	Y
zgr	zgr	Ncmsan
.	.	Z
17/15	17/15	Mdc
,	,	Z
č.	č.	Y
zgr	zgr	Ncmsan
.	.	Z
17/28	17/28	Mdc
i	i	Cc
č.	č.	Y
zgr	zgr	Ncmsan
.	.	Z
205	205	Mdc
,	,	Z
č.	č.	Y
zgr	zgr	Ncmsan
.	.	Z
17/12	17/12	Mdc
,	,	Z
č.	č.	Y
zem	z	Ncmsi
.	.	Z
116/2	116/2	Mdc
,	,	Z
č.	č.	Y
zem	z	Ncmsi
.	.	Z
116/3	116/3	Mdc
,	,	Z
č.	č.	Y
zem	z	Ncmsi
.	.	Z
116/5	116/5	Mdc
,	,	Z
č.	č.	Y
zgr	zgr	Ncmsan
.	.	Z
67	67	Mdc
,	,	Z
č.	č.	Y
zgr	zgr	Y
.	.	Z
17/10	17/10	Mdc
,	,	Z
č.	č.	Y
zem	z	Ncmsi
.	.	Z
110/2	110/2	Mdc
,	,	Z
č.	č.	Y
zgr	zgr	Ncmsan
.	.	Z
110	110	Mdc
,	,	Z
č.	č.	Y
zgr	zgr	Ncmsan
.	.	Z
156/2	156/2	Mdc
,	,	Z
č.	č.	Y
zem	z	Ncmsi
.	.	Z
110/4	110/4	Mdc
,	,	Z
č.	č.	Y
zem	z	Ncmsi
715/1	715/1	Mdc
,	,	Z
č.	č.	Y
zem	z	Ncmsi
.	.	Z
65/2	65/2	Mdc
,	,	Z
č.	č.	Y
zem	z	Ncmsi
.	.	Z
75/1	75/1	Mdc
,	,	Z
č.	č.	Y
zem	z	Ncmsi
.	.	Z
78/4	78/4	Mdc
,	,	Z
č.	č.	Y
zem	z	Ncmsi
.	.	Z
65/4	65/4	Mdc
,	,	Z
č.	č.	Y
zgr	zgr	Ncmsan
.	.	Z
13/1	13/1	Mdc
,	,	Z
č.	č.	Y
zgr	zgr	Ncmsan
.	.	Z
13/4	13/4	Mdc
,	,	Z
č.	č.	Y
zem	z	Ncmsi
.	.	Z
110/3	110/3	Mdc
,	,	Z
č.	č.	Y
zgr	zgr	Ncmsan
.	.	Z
10/2	10/2	Mdc
,	,	Z
č.	č.	Y
zem	z	Ncmsi
.	.	Z
136	136	Mdc
,	,	Z
č.	č.	Y
zem	ze	Ncnsi
.	.	Z
78/9	78/9	Mdc
,	,	Z
č.	č.	Y
zem	z	Ncmsi
.	.	Z
728/2	728/2	Mdc
,	,	Z
č.	č.	Y
zem	z	Ncmsi
.	.	Z
110/1	110/1	Mdc
,	,	Z
č.	č.	Y
zgr	zgr	Ncmsan
.	.	Z
156/1	156/1	Mdc
,	,	Z
č.	č.	Y
zgr	zgr	Ncmsan
.	.	Z
17/9	17/9	Mdc
,	,	Z
č.	č.	Y
zgr	zgr	Ncmsan
.	.	Z
17/31	17/31	Mdc
,	,	Z
č.	č.	Y
zgr	zgr	Ncmsan
.	.	Z
17/8	17/8	Mdc
,	,	Z
č.	č.	Y
zgr	zgr	Ncmsan
.	.	Z
17/22	17/22	Mdc
,	,	Z
č.	č.	Y
zgr	zgr	Ncmsan
.	.	Z
130	130	Mdc
,	,	Z
č.	č.	Y
zgr	zgr	Ncmsan
.	.	Z
1/9	1/9	Mdc
,	,	Z
č.	č.	Y
zem	z	Ncmsi
.	.	Z
78/5	78/5	Mdc
,	,	Z
č.	č.	Y
zem	z	Ncmsi
.	.	Z
77/8	77/8	Mdc
,	,	Z
č.	č.	Y
zgr	zgr	Ncmsan
.	.	Z
109	109	Mdc
,	,	Z
č.	č.	Y
zem	ze	Ncnsi
.	.	Z
77/9	77/9	Mdc
,	,	Z
č.	č.	Y
zem	z	Ncmsi
.	.	Z
77/5	77/5	Mdc
,	,	Z
č.	č.	Y
zem	z	Ncmsi
.	.	Z
77/4	77/4	Mdc
,	,	Z
č.	č.	Y
zem	z	Ncmsi
.	.	Z
77/7	77/7	Mdc
,	,	Z
č.	č.	Y
zem	z	Ncmsi
.	.	Z
77/6	77/6	Mdc
,	,	Z
č.	č.	Y
zgr	zgr	Ncmsan
.	.	Z
107	107	Mdc
,	,	Z
č.	č.	Y
zgr	zgr	Ncmsan
.	.	Z
16/6	16/6	Mdc
,	,	Z
č.	č.	Y
zgr	zgr	Ncmsan
.	.	Z
16/5	16/5	Mdc
,	,	Z
č.	č.	Y
zgr	zgr	Ncmsan
.	.	Z
16/9	16/9	Mdc
,	,	Z
č.	č.	Y
zgr	zgr	Ncmsan
.	.	Z
16/2	16/2	Mdc
,	,	Z
č.	č.	Y
zgr	zgr	Ncmsan
.	.	Z
16/17	16/17	Mdc
,	,	Z
č.	č.	Y
zem	z	Ncmsi
.	.	Z
75/3	75/3	Mdc
,	,	Z
č.	č.	Y
zem	z	Ncmsi
.	.	Z
76/1	76/1	Mdc
,	,	Z
č.	č.	Y
zem	z	Ncmsi
.	.	Z
75/5	75/5	Mdc
,	,	Z
č.	č.	Y
zem	z	Ncmsi
.	.	Z
75/13	75/13	Mdc
,	,	Z
č.	č.	Y
zem	z	Ncmsi
.	.	Z
75/10	75/10	Mdc
,	,	Z
č.	č.	Y
zem	z	Ncmsi
.	.	Z
75/7	75/7	Mdc
,	,	Z
č.	č.	Y
zem	z	Ncmsi
.	.	Z
75/8	75/8	Mdc
,	,	Z
č.	č.	Y
zem	z	Ncmsi
.	.	Z
75/9	75/9	Mdc
,	,	Z
č.	č.	Y
zgr	zgr	Ncmsan
.	.	Z
16/7	16/7	Mdc
,	,	Z
č.	č.	Y
zgr	zgr	Ncmsan
.	.	Z
17/5	17/5	Mdc
,	,	Z
č.	č.	Y
zgr	zgr	Ncmsan
.	.	Z
174	174	Mdc
,	,	Z
č.	č.	Y
zgr	zgr	Ncmsan
.	.	Z
175	175	Mdc
,	,	Z
č.	č.	Y
zem	ze	Ncnsi
.	.	Z
78/6	78/6	Mdc
,	,	Z
č.	č.	Y
zem	z	Ncmsi
.	.	Z
106/3	106/3	Mdc
,	,	Z
č	č	I
,	,	Z
.	.	Z
zem	ze	Ncnsi
.	.	Z
78/8	78/8	Mdc
,	,	Z
č.	č.	Y
zgr	zgr	Ncmsan
.	.	Z
143/3	143/3	Mdc
,	,	Z
č.	č.	Y
zgr	zgr	Ncmsan
.	.	Z
143/2	143/2	Mdc
,	,	Z
č.	č.	Y
zgr	zgr	Ncmsan
.	.	Z
143/1	143/1	Mdc
,	,	Z
č.	č.	Y
zgr	zgr	Ncmsan
.	.	Z
54	54	Mdc
,	,	Z
č.	č.	Y
zgr	zgr	Ncmsan
.	.	Z
53	53	Mdc
,	,	Z
č.	č.	Y
zgr	zgr	Y
.	.	Z
17/30	17/30	Mdc
,	,	Z
č.	č.	Y
zem	z	Ncmsi
.	.	Z
79/6	79/6	Mdc
,	,	Z
č.	č.	Y
zgr	zgr	Ncmsan
.	.	Z
52/1	52/1	Mdc
,	,	Z
č.	č.	Y
zgr	zgr	Ncmsan
.	.	Z
16/13	16/13	Mdc
,	,	Z
č.	č.	Y
zgr	zgr	Ncmsan
.	.	Z
52/2	52/2	Mdc
,	,	Z
č.	č.	Y
zgr	zgr	Ncmsan
.	.	Z
17/33	17/33	Mdc
,	,	Z
č.	č.	Y
zgr	zgr	Ncmsan
.	.	Z
17/23	17/23	Mdc
,	,	Z
č.	č.	Y
zgr	zgr	Ncmsan
.	.	Z
16/8	16/8	Mdc
,	,	Z
č.	č.	Y
zgr	zgr	Ncmsan
.	.	Z
16/15	16/15	Mdc
,	,	Z
č.	č.	Y
zgr	zgr	Ncmsan
.	.	Z
16/3	16/3	Mdc
,	,	Z
č.	č.	Y
zem	z	Ncmsi
.	.	Z
79/4	79/4	Mdc
,	,	Z
č.	č.	Y
zgr	zgr	Ncmsan
.	.	Z
16/24	16/24	Mdc
,	,	Z
č.	č.	Y
zgr	zgr	Ncmsan
.	.	Z
106	106	Mdc
,	,	Z
č.	č.	Y
zem	ze	Ncnsi
.	.	Z
81/2	81/2	Mdc
,	,	Z
č.	č.	Y
zem	z	Ncmsi
.	.	Z
81/3	81/3	Mdc
,	,	Z
č.	č.	Y
zgr	zgr	Ncmsan
.	.	Z
16/11	16/11	Mdc
,	,	Z
č.	č.	Y
zgr	zgr	Ncmsan
.	.	Z
16/12	16/12	Mdc
,	,	Z
č.	č.	Y
zgr	zgr	Ncmsan
.	.	Z
16/14	16/14	Mdc
,	,	Z
č.	č.	Y
zgr	zgr	Ncmsan
.	.	Z
16/23	16/23	Mdc
,	,	Z
č.	č.	Y
zgr	zgr	Ncmsan
.	.	Z
16/1	16/1	Mdc
,	,	Z
č.	č.	Y
zem	z	Ncmsi
.	.	Z
81/6	81/6	Mdc
,	,	Z
č.	č.	Y
zem	z	Ncmsi
.	.	Z
81/1	81/1	Mdc
,	,	Z
č.	č.	Y
zem	z	Ncmsi
.	.	Z
81/4	81/4	Mdc
,	,	Z
č.	č.	Y

