Broj	broj	Ncmsn
automobili	automobil	Ncmpn
(	(	Z
neto	neto	Agpnsay
)	)	Z
19.	19.	Mdo

Stambene	stambeni	Agpfpny
zgrade	zgrada	Ncfpn
i	i	Cc
stanovi	stan	Ncmpn
(	(	Z
bruto	brut	Agpnsny
)	)	Z
20.	20.	Mdo

Stambene	stambeni	Agpfpny
zgrade	zgrada	Ncfpn
i	i	Cc
stanovi	stan	Ncmpn
(	(	Z
neto	neto	Agpnsny
)	)	Z
21.	21.	Mdo

Ostala	ostali	Agpfsny
materijalna	materijalan	Agpfsny
imovina	imovina	Ncfsn
(	(	Z
bruto	brut	Agpnsny
)	)	Z
22.	22.	Mdo

Ostala	ostali	Agpfsny
materijalna	materijalan	Agpfsny
imovina	imovina	Ncfsn
(	(	Z
neto	neto	Agpnsny
)	)	Z
23.	23.	Mdo

Zalihe	zaliha	Ncfpn
(	(	Z
bruto	brut	Agpnsny
)	)	Z
24.	24.	Mdo

Zalihe	zaliha	Ncfpn
(	(	Z
neto	neto	Agpnsny
)	)	Z
PRIMLJENI	primljen	Agpmpny
KREDITI	kredit	Ncmpn
:	:	Z
25.	25.	Mdo

Primljeni	primljen	Agpmpny
krediti	kredit	Ncmpn
–	–	Z
kratkoročni	kratkoročan	Agpmpny
:	:	Z
a	a	Cc
)	)	Z
Krediti	kredit	Ncmpn
od	od	Sg
trgovačkih	trgovački	Agpnpgy
društava	društvo	Ncnpg
b	b	Agpmpny
)	)	Z
Krediti	kredit	Ncmpn
od	od	Sg
financijskih	financijski	Agpfpgy
institucija	institucija	Ncfpg
c	C	Npmsn
)	)	Z
Krediti	kredit	Ncmpn
od	od	Sg
državnih	državni	Agpfpgy
jedinica	jedinica	Ncfpg
d	a	Ncfsg
)	)	Z
Krediti	kredit	Ncmpn
od	od	Sg
stranih	stran	Agpfpgy
osoba	osoba	Ncfpg
26.	26.	Mdo

Primljeni	primljen	Agpmpny
krediti	kredit	Ncmpn
–	–	Z
dugoročni	dugoročan	Agpmpny
:	:	Z
a	a	Cc
)	)	Z
Krediti	kredit	Ncmpn
od	od	Sg
trgovačkih	trgovački	Agpnpgy
društava	društvo	Ncnpg
b	b	Agpmpny
)	)	Z
Krediti	kredit	Ncmpn
od	od	Sg
financijskih	financijski	Agpfpgy
institucija	institucija	Ncfpg
c	C	Npmsn
)	)	Z
Krediti	kredit	Ncmpn
od	od	Sg
državnih	državni	Agpfpgy
jedinica	jedinica	Ncfpg
d	a	Ncfsg
)	)	Z
Krediti	kredit	Ncmpn
od	od	Sg
stranih	stran	Agpfpgy
osoba	osoba	Ncfpg
RAČUN	račun	Agpfsgy
DOBITI	dobit	Ncfsg
I	i	Cc
GUBITKA	gubitak	Ncmsg
I.	I.	Mdo
KAMATNI	kamatan	Agpmpny
PRIHODI	prihod	Ncmpn
OD	od	Sg
NADOKNADIVIH	nadoknadiv	Agpfpgy
I	i	Cc
DJELOMIČNO	djelomično	Rgp
NADOKNADIVIH	nadoknadiv	Agpmpgy
PLASMANA	plasman	Ncmpg
27.	27.	Mdo

Kamatni	kamatan	Agpmpny
prihodi	prihod	Ncmpn
od	od	Sg
odobrenih	odobren	Agpmpgy
kredita	kredit	Ncmpg
a	a	Cc
)	)	Z
Prihodi	prihod	Ncmpn
od	od	Sg
kredita	kredit	Ncmpg
državnim	državni	Agpfpiy
jedinicama	jedinica	Ncfpi
b	b	Agpfpiy
)	)	Z
Prihodi	prihod	Ncmpn
od	od	Sg
kredita	kredit	Ncmpg
odobrenih	odobren	Agpmpgy
financijskim	financijski	Agpfpiy
institucijama	institucija	Ncfpi
c	C	Npmsn
)	)	Z
Prihodi	prihod	Ncmpn
od	od	Sg
kredita	kredit	Ncmpg
odobrenih	odobren	Agpmpgy
trgovačkim	trgovački	Ncmpg
društvima	društvo	Ncnpd
d	d	Npmsn
)	)	Z
Prihodi	prihod	Ncmpn
od	od	Sg
kredita	kredit	Ncmpg
odobrenih	odobren	Agpmpgy
neprofitnim	neprofitan	Agpfpiy
institucijama	institucija	Ncfpi
e	e	Agpfpiy
)	)	Z
Prihodi	prihod	Ncmpn
od	od	Sg
kredita	kredit	Ncmpg
odobrenih	odobren	Agpmpgy
stanovništvu	stanovništvo	Ncmpg
f	f	Ncfpg
)	)	Z
Prihodi	prihod	Ncmpn
od	od	Sg
kredita	kredit	Ncmpg
odobrenih	odobren	Agpmpgy
stranim	stran	Ncmpg
osobama	osoba	Ncfpd
28.	28.	Mdo

Kamatni	kamatan	Agpmpny
prihodi	prihod	Ncmpn
od	od	Sg
depozita	depozit	Ncmsg
a	a	Cc
)	)	Z
Depoziti	depozit	Ncmpn
kod	kod	Sg
HNB-a	HNB	Npmsg
b		Npmsg
)	)	Z
Depoziti	depozit	Ncmpn
kod	kod	Sg
financijskih	financijski	Agpfpgy
institucija	institucija	Ncfpg
c	C	Npmsn
)	)	Z
Depoziti	depozit	Ncmpn
kod	kod	Sg
stranih	stran	Agpfpgy
financijskih	financijski	Agpfpgy
institucija	institucija	Ncfpg
29.	29.	Mdo

Kamatni	kamatan	Agpmpny
prihodi	prihod	Ncmpn
od	od	Sg
dužničkih	dužnički	Agpmpgy
vrijednosnih	vrijednosan	Agpmpgy
papira	papir	Ncmpg
a	a	Cc
)	)	Z
Blagajnički	blagajnički	Agpmpny
zapisi	zapis	Ncmpn
HNB-a	HNB	Npmsg
b	b	Y
)	)	Z
Dužnički	dužnički	Agpmpny
vrijednosni	vrijednosan	Agpmpny
papiri	papir	Ncmpn
trgovačkih	trgovački	Agpnpgy
društava	društvo	Ncnpg
c	C	Npmsn
)	)	Z
Dužnički	dužnički	Rgp
vrijednosni	vrijednosan	Agpmpny
papiri	papir	Ncmpn
financijskih	financijski	Agpfpgy
institucija	institucija	Ncfpg
d	d	Npmsn
)	)	Z
Dužnički	dužnički	Agpmpny
vrijednosni	vrijednosan	Agpmpny
papiri	papir	Ncmpn
Republike	republika	Ncfsg
Hrvatske	Hrvatska	Npfsg
e	e	Npfsg
)	)	Z
Dužnički	dužnički	Agpmpny
vrijednosni	vrijednosan	Agpmpny
papiri	papir	Ncmpn
ostalih	ostali	Agpfpgy
državnih	državni	Agpfpgy
jedinica	jedinica	Ncfpg
f	f	Npfsi
)	)	Z
Dužnički	dužnički	Agpmpny
vrijednosni	vrijednosan	Agpmpny
papiri	papir	Ncmpn
stranih	stran	Agpfpgy
osoba	osoba	Ncfpg
30.	30.	Mdo

Prihodi	prihod	Ncmpn
od	od	Sg
naknada	naknada	Ncfpg
za	za	Sa
usluge	usluga	Ncfpa
platnog	platni	Agpmsgy
prometa	promet	Ncmsg
i	i	Cc
ostale	ostali	Agpfpay
bankovne	bankovan	Agpfpay
usluge	usluga	Ncfpa
a	a	Cc
)	)	Z
Prihodi	prihod	Ncmpn
od	od	Sg
naknada	naknada	Ncfpg
za	za	Sa
usluge	usluga	Ncfpa
platnog	platni	Agpmsgy
prometa	promet	Ncmsg
i	i	Cc
ostale	ostali	Agpfpay
bankovne	bankovan	Agpfpay
usluge	usluga	Ncfpa
trgovačkim	trgovački	Agpnpdy
društvima	društvo	Ncnpd
b	b	Npmsn
)	)	Z
Prihodi	prihod	Ncmpn
od	od	Sg
naknada	naknada	Ncfpg
za	za	Sa
usluge	usluga	Ncfpa
platnog	platni	Agpmsgy
prometa	promet	Ncmsg
i	i	Cc
ostale	ostali	Agpfpay
bankovne	bankovan	Agpfpay
usluge	usluga	Ncfpa
financijskim	financijski	Agpfpiy
institucijama	institucija	Ncfpi
c	C	Npmsn
)	)	Z
Prihodi	prihod	Ncmpn
od	od	Sg
naknada	naknada	Ncfpg
za	za	Sa
usluge	usluga	Ncfpa
platnog	platni	Agpmsgy
prometa	promet	Ncmsg
i	i	Cc
ostale	ostali	Agpfpay
bankovne	bankovan	Agpfpay
usluge	usluga	Ncfpa
državnim	državni	Agpfpiy
jedinicama	jedinica	Ncfpi
d		Agpfpiy
)	)	Z
Prihodi	prihod	Ncmpn
od	od	Sg
naknada	naknada	Ncfpg
za	za	Sa
usluge	usluga	Ncfpa
platnog	platni	Agpmsgy
prometa	promet	Ncmsg
i	i	Cc
ostale	ostali	Agpfpay
bankovne	bankovan	Agpfpay
usluge	usluga	Ncfpa
neprofitnim	neprofitan	Agpfpiy
institucijama	institucija	Ncfpi
e	e	Agpfpiy
)	)	Z
Prihodi	prihod	Ncmpn
od	od	Sg
naknada	naknada	Ncfpg
za	za	Sa
usluge	usluga	Ncfpa
platnog	platni	Agpmsgy
prometa	promet	Ncmsg
i	i	Cc
ostale	ostali	Agpfpay
bankovne	bankovan	Agpfpay
usluge	usluga	Ncfpa
stanovništvu	stanovništvo	Ncnsl
f	a	Ncfsg
)	)	Z
Prihodi	prihod	Ncmpn
od	od	Sg
naknada	naknada	Ncfpg
za	za	Sa
usluge	usluga	Ncfpa
platnog	platni	Agpmsgy
prometa	promet	Ncmsg
i	i	Cc
ostale	ostali	Agpfpay
bankovne	bankovan	Agpfpay
usluge	usluga	Ncfpa
stranim	stran	Agpfpdy
osobama	osoba	Ncfpd
31.	31.	Mdo

Kamatni	kamatan	Agpmpny
troškovi	trošak	Ncmpn
s	sa	Sg
osnove	osnova	Ncfsg
primljenih	primljen	Agpmpgy
kredita	kredit	Ncmpg
a	a	Cc
)	)	Z
Troškovi	trošak	Ncmpn
na	na	Sa
kredite	kredit	Ncmpa
primljene	primiti	Appmpay
od	od	Sg
državnih	državni	Agpfpgy
jedinica	jedinica	Ncfpg
b		Npmpg
)	)	Z
Troškovi	trošak	Ncmpn
na	na	Sa
kredite	kredit	Ncmpa
primljene	primiti	Appmpay
od	od	Sg
financijskih	financijski	Agpfpgy
institucija	institucija	Ncfpg
c	C	Npmsn
)	)	Z
Troškovi	trošak	Ncmpn
na	na	Sa
kredite	kredit	Ncmpa
primljene	primiti	Appmpay
od	od	Sg
trgovačkih	trgovački	Agpnpgy
društava	društvo	Ncnpg
d	d	Agpmpny
)	)	Z
Troškovi	trošak	Ncmpn
na	na	Sa
kredite	kredit	Ncmpa
primljene	primiti	Appmpay
od	od	Sg
stranih	stran	Agpfpgy
osoba	osoba	Ncfpg
32.	32.	Mdo

Kamatni	kamatan	Agpmpny
troškovi	trošak	Ncmpn
s	sa	Sg
osnove	osnova	Ncfsg
depozita	depozit	Ncmsg
a	a	Cc
)	)	Z
Troškovi	trošak	Ncmpn
na	na	Sa
depozite	depozit	Ncmpa
primljene	primiti	Appmpay
od	od	Sg
državnih	državni	Agpfpgy
jedinica	jedinica	Ncfpg
b		Npmpg
)	)	Z
Troškovi	trošak	Ncmpn
na	na	Sa
depozite	depozit	Ncmpa
primljene	primiti	Appmpay
od	od	Sg
financijskih	financijski	Agpfpgy
institucija	institucija	Ncfpg
c	C	Npmsn
)	)	Z
Troškovi	trošak	Ncmpn
na	na	Sa
depozite	depozit	Ncmpa
primljene	primiti	Appmpay
od	od	Sg
trgovačkih	trgovački	Agpnpgy
društava	društvo	Ncnpg
d	d	Agpmpny
)	)	Z
Troškovi	trošak	Ncmpn
na	na	Sa
depozite	depozit	Ncmpa
primljene	primiti	Appmpay
od	od	Sg
neprofitnih	neprofitan	Agpfpgy
institucija	institucija	Ncfpg
e	e	I
)	)	Z
Troškovi	trošak	Ncmpn
na	na	Sa
depozite	depozit	Ncmpa
primljene	primiti	Appmpay
od	od	Sg
stanovništva	stanovništvo	Ncnsg
f	f	Pi-nsa
)	)	Z
Troškovi	trošak	Ncmpn
na	na	Sa
depozite	depozit	Ncmpa
primljene	primiti	Appmpay
od	od	Sg
stranih	stran	Agpfpgy
osoba	osoba	Ncfpg
33.	33.	Mdo

Kamatni	kamatan	Agpmpny
troškovi	trošak	Ncmpn
na	na	Sa
dužničke	dužnički	Agpmpay
vrijednosne	vrijednosan	Agpmpay
papire	papir	Ncmpa
a	a	Cc
)	)	Z
Kamatni	kamatan	Agpmpny
troškovi	trošak	Ncmpn
na	na	Sl

