doorsets	doorseti	Agpnsny
slojeva	sloj	Ncmpg
uklještenjem	uklještenje	Ncnsi
agregatom	agregat	Ncmsi
15.	15.	Mdo

EAD	EAD	Npmsn
090001	090001	Mdc
-	-	Z
00	00	Mdc
-	-	Z
0404	0404	Mdc
:	:	Z
Predgotovljene	predgotovljen	Agpfpny
prešane	prešan	Agpfpay
ploče	ploča	Ncfpa
od	od	Sg
kamene	kamen	Agpfsgy
vune	vuna	Ncfsg
s	sa	Si
organskim	organski	Agpmpiy
ili	ili	Cc
anorganskim	anorganski	Agpmsiy
zaštitnim	zaštitni	Agpmsiy
slojem	sloj	Ncmsi
i	i	Cc
specificiranim	specificirati	Agpmsiy
pričvrsnim	pričvrsni	Agpmsiy
sustavom	sustav	Ncmsi
16.	16.	Mdo

EAD	EAD	Npmsn
090017	090017	Mdc
-	-	Z
00	00	Mdc
-	-	Z
0404	0404	Mdc
:	:	Z
Okomito	okomito	Rgp
zastakljenje	zastakljenjati	Vmr3s
s	sa	Si
točkastim	točkast	Agpmsiy
osloncem	oslonac	Ncmsi
17.	17.	Mdo

EAD	EAD	Npmsn
120001	120001	Mdc
-	-	Z
00	00	Mdc
-	-	Z
0106	0106	Mdc
:	:	Z
Mikroprizmatične	mikroprizmatičan	Agpfsgy
retrorefleksibne	retrorefleksiban	Agpfsgy
folije	folija	Ncfsg
18.	18.	Mdo

EAD	EAD	Npmsn
120003	120003	Mdc
-	-	Z
00	00	Mdc
-	-	Z
0106	0106	Mdc
:	:	Z
Čelični	čeličan	Agpmpny
rasvjetni	rasvjetni	Agpmpny
stupovi	stup	Ncmpn
19.	19.	Mdo

EAD	EAD	Npmsn
130002	130002	Mdc
-	-	Z
00	00	Mdc
-	-	Z
0304	0304	Mdc
:	:	Z
Pločasti	pločast	Agpmsny
element	element	Ncmsn
od	od	Sg
masivnog	masivan	Agpnsgy
drva	drvo	Ncnsg
–	–	Z
element	element	Ncmsn
od	od	Sg
dasaka	daska	Ncfpg
povezanih	povezan	Agpfpgy
moždanicima	moždanicima	Ncfpg
za	za	Sa
nosive	nosiv	Agpmpay
elemente	element	Ncmpa

