skladanog	skladati	Agpnsgy
15	15	Mdc
izvedbi	izvedba	Ncfpg
realiziranih	realizirati	Appfpgy
u	u	Sa
najmanje	malo	Rgs
3	3	Mdc
različite	različit	Agpfsgy
predstave	predstava	Ncfsg
suvremenog	suvremen	Agpmsgy
plesa	ples	Ncmsg
,	,	Z
originalnoj	originalan	Agpfsly
koreografiji	koreografija	Ncfsl
postavljenoj	postavljen	Agpfsly
za	za	Sa
film	film	Ncmsan
i	i	Cc
video	video	Ncmsan
ili	ili	Cc
u	u	Sl
adaptiranoj	adaptirati	Agpfsly
koreografiji	koreografija	Ncfsl
za	za	Sa
televiziju	televizija	Ncfsa
,	,	Z
film	film	Ncmsan
i	i	Cc
video	video	Ncmsan
.	.	Z

(	(	Z
3	3	Mdc
)	)	Z
Koreograf	koreograf	Ncmsn
klasičnog	klasičan	Agpmsgy
baleta	balet	Ncmsg

a	a	Cc
)	)	Z
4	4	Mdc
realizirane	realizirati	Ncfsg
baletne	baletni	Agpfsgy
koreografije	koreografija	Ncfsg
u	u	Sl
ukupnom	ukupan	Agpnsly
trajanju	trajanje	Ncnsl
od	od	Sg
najmanje	malo	Rgs
60	60	Mdc
minuta	minuta	Ncfpg
,	,	Z
s	sa	Sg
najmanje	malo	Rgs
10	10	Mdc
izvedbi	izvedba	Ncfpg
ili	ili	Cc

b	b	Npmsn
)	)	Z
2	2	Mdc
cjelovečernje	cjelovečernji	Agpfsgy
baletne	baletni	Agpfsgy
predstave	predstava	Ncfsg
u	u	Sl
ukupnom	ukupan	Agpnsly
trajanju	trajanje	Ncnsl
od	od	Sg
najmanje	malo	Rgs
60	60	Mdc
minuta	minuta	Ncfpg
,	,	Z
s	sa	Sg
najmanje	malo	Rgs
10	10	Mdc
izvedbi	izvedba	Ncfpg
.	.	Z

(	(	Z
4	4	Mdc
)	)	Z
Koreograf	koreograf	Ncmsn
folklornog	folkloran	Agpmsgy
plesa	ples	Ncmsg

a	a	Cc
)	)	Z
2	2	Mdc
cjelovečernja	cjelovečernji	Agpmsgn
koncerta	koncert	Ncmsg
u	u	Sl
trajanju	trajanje	Ncnsl
od	od	Sg
najmanje	malo	Rgs
60	60	Mdc
minuta	minuta	Ncfpg
,	,	Z
s	sa	Sg
najmanje	malo	Rgs
10	10	Mdc
izvedbi	izvedba	Ncfpg
ili	ili	Cc

b	b	Npmsn
)	)	Z
6	6	Mdc
koreografija	koreografija	Ncfpg
u	u	Sl
ukupnom	ukupan	Agpnsly
trajanju	trajanje	Ncnsl
od	od	Sg
najmanje	malo	Rgs
40	40	Mdc
minuta	minuta	Ncfpg
,	,	Z
s	sa	Sg
najmanje	malo	Rgs
10	10	Mdc
izvedbi	izvedba	Ncfpg
.	.	Z

(	(	Z
5	5	Mdc
)	)	Z
Koreograf	koreograf	Ncmsn
suvremenog	suvremen	Agpmsgy
plesa	ples	Ncmsg

a	a	Cc
)	)	Z
2	2	Mdc
cjelovečernje	cjelovečernji	Agpfsgy
predstave	predstava	Ncfsg
u	u	Sl
ukupnom	ukupan	Agpnsly
trajanju	trajanje	Ncnsl
od	od	Sg
najmanje	malo	Rgs
90	90	Mdc
minuta	minuta	Ncfpg
,	,	Z
s	sa	Sg
najmanje	malo	Rgs
10	10	Mdc
izvedbi	izvedba	Ncfpg
ili	ili	Cc

b	b	Npmsn
)	)	Z
1	1	Mdc
cjelovečernja	cjelovečernji	Agpfsny
predstava	predstava	Ncfsn
u	u	Sl
trajanju	trajanje	Ncnsl
od	od	Sg
najmanje	malo	Rgs
45	45	Mdc
minuta	minuta	Ncfpg
i	i	Cc
najmanje	malo	Rgs
3	3	Mdc
kratke	kratak	Agpfsgy
koreografije	koreografija	Ncfsg
,	,	Z
odnosno	odnosno	Rgp
originalne	originalan	Agpfpay
koreografije	koreografija	Ncfpa
za	za	Sa
televiziju	televizija	Ncfsa
,	,	Z
adaptaciju	adaptacija	Ncfsa
koreografije	koreografija	Ncfsg
za	za	Sa
televiziju	televizija	Ncfsa
,	,	Z
plesni	plesni	Agpmsayn
film	film	Ncmsan
i	i	Cc
plesni	plesni	Agpmsny
video	video	Ncmsn
u	u	Sl
ukupnom	ukupan	Agpnsly
trajanju	trajanje	Ncnsl
od	od	Sg
najmanje	malo	Rgs
60	60	Mdc
minuta	minuta	Ncfpg
.	.	Z

Likovno	likovno	Rgp
i	i	Cc
multimedijalno	multimedijalan	Agpnsny
stvaralaštvo	stvaralaštvo	Ncnsn

Članak	članak	Ncmsn
22.	22.	Mdo

(	(	Z
1	1	Mdc
)	)	Z
Slikar	slikar	Ncmsn

a	a	Cc
)	)	Z
3	3	Mdc
samostalne	samostalan	Agpfsgy
izložbe	izložba	Ncfsg

b	b	Npmsn
)	)	Z
5	5	Mdc
skupnih	skupni	Agpfpgy
žiriranih	žirirati	Appfpgy
izložbi	izložba	Ncfpg
ili	ili	Cc

c	C	Npmsn
)	)	Z
2	2	Mdc
