učinke	učinak	Ncmpa
Brodogradilište	brodogradilište	Ncnsn
d.	da	Ncfsg
d.	d.	Mro
iz	iz	Sg
2008.	2008.	Mdo
g.	ga	Ncfsg
s	sa	Si
pripadajućim	pripadajući	Agpmpiy
Aneksima	aneks	Ncmpi
.	.	Z

Članak	članak	Ncmsn
85.	85.	Mdo

Ovaj	ovaj	Pd-msn
Kolektivni	kolektivan	Agpmsny
ugovor	ugovor	Ncmsn
sačinjen	sačiniti	Appmsnn
je	biti	Var3s
u	u	Sa
10	10	Mdc
istovjetnih	istovjetan	Agpmpgy
primjeraka	primjerak	Ncmpg
od	od	Sg
kojih	koji	Pi-mpg
po	po	Sa
1	1	Mdc
(	(	Z
jedan	jedan	Mlcmsn
)	)	Z
zadržava	zadržavati	Vmr3s
svaka	svaki	Pi-fsn
ugovorna	ugovoran	Agpfsny
strana	strana	Ncfsn
,	,	Z
a	a	Cc
preostali	preostati	Vmp-pm
se	sebe	Px--sa
dostavljaju	dostavljati	Vmr3p
nadležnom	nadležan	Agpnsly
državnom	državni	Agpnsly
tijelu	tijelo	Ncnsl
radi	radi	Sg
evidencije	evidencija	Ncfsg
.	.	Z

Kolektivni	kolektivan	Agpmsny
ugovor	ugovor	Ncmsn
objavljuje	objavljivati	Vmr3s
se	sebe	Px--sa
na	na	Sa
način	način	Ncmsan
propisan	propisati	Appmsnn
Pravilnikom	pravilnik	Ncmsi
ministra	ministar	Ncmsg
nadležnog	nadležan	Agpmsgy
za	za	Sa
rad	rad	Ncmsan
.	.	Z

SINDIKAT	sindikat	Ncmsn
Sindikat	sindikat	Ncmsn
metalaca	metalac	Ncmpg
Hrvatske	Hrvatska	Npfsg
–	–	Z
Industrijski	industrijski	Agpmsny
sindikat	sindikat	Ncmsn
Đino	Đino	Npmsn
Šverko	Šverko	Npmsn
,	,	Z
v.	v.	Y
r.	r.	Y
Juraj	Juraj	Npmsn
Šoljić	Šoljić	Npmsn
,	,	Z
v.	v.	Y
r.	r.	Y
Vedran	Vedran	Npmsn
Dragičević	Dragičević	Npmsn
,	,	Z
v.	v.	Agpmsny
r.	r.	Agpmsny
Sindikat	sindikat	Ncmsn
Istre	Istra	Npfsg
,	,	Z
Kvarnera	Kvarner	Npmsg
i	i	Cc
Dalmacije	Dalmacija	Npfsg
Rajko	Rajko	Npfsg
Kutlača	kutlača	Ncfsn
,	,	Z
v.	v.	Agpmsny
r.	r.	Agpmsny
Jadranski	jadranski	Agpmsny
Sindikat	sindikat	Ncmsn
Marčelo	Marčelo	Npmsn
Rojnić	Rojnić	Npmsn
,	,	Z
v.	v.	Y
r.	r.	Y
Sindikat	sindikat	Ncmsn
3.	3.	Mdo
MAJ	maj	Ncmsn
Željko	Željko	Npmsn
Maričić	Maričić	Npmsn
,	,	Z
v.	v.	Agpmsny
r.	r.	Agpmsny
POSLODAVAC	poslodavac	Ncmsn
Opunomoćenik	opunomoćenik	Ncmsn
Hrvoje	Hrvoje	Npmsn
Markulinčić	Markulinčić	Npmsn
,	,	Z
v.	v.	Y
r.	r.	Y

