opasnim	opasan	Agpmsiy
tekstilni	tekstilan	Agpmsayn
materijal	materijal	Ncmsan
)	)	Z
od	od	Sg
ramie	ramia	Ncfsg
i	i	Cc
ostala	ostali	Agpfsny
biljna	biljan	Agpfsny
tekstilna	tekstilan	Agpnpay
vlakna	vlakno	Ncnpa
,	,	Z
koja	koji	Pi-npn
nisu	biti	Var3p
nigdje	nigdje	Rgp
drugdje	drugdje	Rgp
uključena	uključen	Agpfsny
–	–	Z
otpadna	otpadni	Agpfsny
(	(	Z
uključujući	uključivati	Rr
kratka	kratak	Agpnpay
vlakna	vlakno	Ncnpa
,	,	Z
pređu	pređa	Ncfsa
i	i	Cc
rastrgani	rastrgati	Agpmsayn
tekstil	tekstil	Ncmsan
)	)	Z
umjetna	umjetan	Agpnsgy
vlakna	vlakno	Ncnsg
:	:	Z
•	•	Z
sintetička	sintetički	Agpnpny
vlakna	vlakno	Ncnpn
•	•	Z
umjetna	umjetan	Agpnpny
vlakna	vlakno	Ncnpn
–	–	Z
rabljena	rabiti	Appfsny
odjeća	odjeća	Ncfsn
i	i	Cc
ostali	ostali	Agpmpny
rabljeni	rabiti	Appmpny
tekstilni	tekstilan	Agpmpny
proizvodi	proizvod	Ncmpn
–	–	Z
rabljene	rabiti	Appfsgy
krpe	krpa	Ncfsg
,	,	Z
niti	niti	Cc
,	,	Z
konopi	konop	Ncmpn
,	,	Z
užad	uže	Ncnpn
i	i	Cc
debela	debeo	Agpnpny
užad	uže	Ncnpn
i	i	Cc
iznošeni	iznositi	Appmpny
predmeti	predmet	Ncmpn
izrađeni	izraditi	Appmpny
od	od	Sg
niti	niti	Qo
,	,	Z
konopa	konop	Ncmpg
,	,	Z
užadi	uže	Ncnsg
i	i	Cc
debele	debeo	Agpfsgy
užadi	uže	Ncfsg
od	od	Sg
tekstilnih	tekstilan	Agpmpgy
materijala	materijal	Ncmpg
:	:	Z
•	•	Z
sortirano	sortirati	Appnsny
•	•	Z
ostalo	ostali	Agpnsny
B3035	b3035	Ncnsn
Otpadne	otpadni	Agpfsgy
tekstilne	tekstilan	Agpfsgy
podne	podni	Agpfsgy
obloge	obloga	Ncfsg
,	,	Z
tepisi	tepih	Ncmpn
B3040	b304i	Agpfsgy
Otpadne	otpadni	Agpfsgy
gume	guma	Ncfsg
,	,	Z
pod	pod	Si
uvjetom	uvjet	Ncmsi
da	da	Cs
nisu	biti	Var3p
pomiješane	pomiješati	Appfpny
s	sa	Si
ostalim	ostali	Agpmsiy
otpadom	otpad	Ncmsi
:	:	Z
–	–	Z
otpad	otpad	Ncmsn
i	i	Cc
ostaci	ostatak	Ncmpn
od	od	Sg
tvrde	tvrd	Agpfsgy
gume	guma	Ncfsg
(	(	Z
npr.	npr.	Y
ebonit	ebonit	Ncmsn
)	)	Z
