Strizirep	Strizirep	I
5,0	5,0	Mdc
LC	LC	Y
67143	67143	Mdc
Grabovac	Grabovac	Npmsn
(	(	Z
D62	D62	X
)	)	Z
–	–	Z
Rastovac	Rastovac	Npmsn
–	–	Z
Zagvozd	Zagvozd	Npmsn
(	(	Z
D62	D62	X
)	)	Z
9,4	9,4	Mdc
LC	LC	Npmsn
67144	67144	Mdc
Crkva	crkva	Ncfsn
Svetog	svet	Agpmsgy
Stjepana	Stjepan	Npmsg
–		Npmsg
Brela	Brel	Npmsg
(	(	Z
D8	D8	X
)	)	Z
1,6	1,6	Mdc
LC	LC	Y
67145	67145	Mdc
Lovreć	Lovreć	Npfsn
(	(	Z
D60	D60	X
)	)	Z
–	i	Agpfsny
Doliča	Doliča	Npfsn
Draga	Draga	Npfsn
(	(	Z
Ž6174	Ž6174	Npmsn
)	)	Z
6,7	6,7	Mdc
LC	LC	Npmsn
67146	67146	Mdc
L67145	L67145	X
–	–	Z
D60	D60	X
6,9	6,9	Mdc
LC	LC	Y
67147	67147	Mdc
Lokvičić	Lokvičić	Npfsn
(	(	Z
Ž6177	Ž6177	X
)	)	Z
–	–	Z
Krivodol	Krivodol	Npmsn
(	(	Z
D60	D60	X
)	)	Z
5,3	5,3	Mdc
LC	LC	Npmsn
67149	67149	Mdc
D62	D62	X
–	–	Z
Stopići	Stopić	Npmpn
–	–	Z
Tomičići	Tomičić	Npmpn
–	–	Z
D76	D76	X
4,7	4,7	Mdc
LC	LC	Y
67150	67150	Mdc
Poljica	Poljica	Npfsn
(	(	Z
D76	D76	X
)	)	Z
–	–	Z
L67160	L67160	X
1,5	1,5	Mdc
LC	LC	Y
67151	67151	Mdc
Zagvozd	Zagvozd	Xf
(	(	Z
D76	D76	X
)	)	Z
–	–	Z
Krstatice	Krstatica	Npfsg
–	–	Z
Slivno	slivni	Agpnsny
(	(	Z
L67182	L67182	X
)	)	Z
15,4	15,4	Mdc
LC	LC	Npmsn
67152	67152	Mdc
Ž6156	Ž6156	X
–	–	Z
Postranje	postranje	Ncnsn
(	(	Z
Ž6175	Ž6175	X
)	)	Z
4,1	4,1	Mdc
LC	LC	Npmsn
67153	67153	Mdc
Gornji	gornji	Agpmsny
Proložac	Proložac	Npmsn
(	(	Z
Ž6184	Ž6184	X
)	)	Z
–	–	Z
Glavina	glavina	Ncfsn
Gornja	Gornja	Npfsn
–	–	Z
Imotski	imotski	Agpmsny
(	(	Z
D76	D76	X
)	)	Z
8,5	8,5	Mdc
LC	LC	Y
67154	67154	Mdc
Glavina	Glavina	Npfsn
Gornja	Gornja	Npfsn
(	(	Z
L67153	L67153	Npmsn
)	)	Z
–	–	Z
Gornji	gornji	Agpmpny
Vinjani	Vinjan	Npmpn
(	(	Z
Ž6185	Ž6185	X
)	)	Z
4,0	4,0	Mdc
LC	LC	Npmsn
67155	67155	Mdc
Ž6185	Ž6185	X
–	–	Z
Jovići	Jović	Npmpn
–	–	Z
gr	gr	Ncmsan
.	.	Z

BiH	BiH	Npfsn
3,3	3,3	Mdc
LC	LC	Y
67157	67157	Mdc
Lug	lug	Ncmsn
–	–	Z
Perinuša	Perinuš	Npmsg
–	–	Z
Glavina	glavina	Ncfsn
Donja	Donja	Npfsn
(	(	Z
Ž6157	Ž6157	Npmsn
)	)	Z
2,5	2,5	Mdc
LC	LC	Y
67158	67158	Mdc
Perinuša	Perinuš	Npmsg
(	(	Z
Ž6181	Ž6181	X
)	)	Z
–	–	Z
Grubine	Grubina	Npfsg
(	(	Z
D60	D60	X
)	)	Z
2,5	2,5	Mdc
LC	LC	Y
67159	67159	Mdc
Grubine	Grubina	Npfsg
(	(	Z
D60	D60	X
)	)	Z
–	–	Z
Drum	Drum	Npmsn
(	(	Z
Ž6187	Ž6187	X
)	)	Z
2,2	2,2	Mdc
LC	LC	Y
67160	67160	Mdc
Krivodol	Krivodol	Npmsn
(	(	Z
D76	D76	X
)	)	Z
–	–	Z
Gornje	gornji	Agpfsgy
Podboblje	Podboblja	Npfsg
–	–	Z
Podosoje	Podosoje	Npnsa
(	(	Z
L67163	L67163	X
)	)	Z
9,5	9,5	Mdc
LC	LC	Y
67161	67161	Mdc
Glavina	Glavina	Npfsn
Donja	Donja	Npfsn
(	(	Z
D60	D60	Mds
)	)	Z
–	–	Z
Medvidovića	Medvidović	Npmsay
Draga	Dri	Npmsay
–	–	Z
D60	d60	Ncfsn
3,8	3,8	Mdc
LC	LC	Y
67162	67162	Mdc
Ž6182	Ž6182	X
–	–	Z
Gudelji	Gudelja	Npfsl
–	–	Z
Zmijavci	Zmijavc	Npmpn
(	(	Z
Ž6182	Ž6182	X
)	)	Z
2,2	2,2	Mdc
LC	LC	Npmsn
67163	67163	Mdc
Ž6182	Ž6182	X
–	–	Z
Podosoje	Podosoja	Npfsg
–	–	Z
L67160	L67160	X
4,1	4,1	Mdc
LC	LC	Y
67164	67164	Mdc
Hršćevani	Hršćevan	Npmpn
(	(	Z
Ž6186	Ž6186	X
)	)	Z
–	–	Z
Gornje	gornji	Agpfsgy
Podbablje	Podbablja	Npfsg
(	(	Z
L67160	L67160	X
)	)	Z
3,3	3,3	Mdc
LC	LC	Npmsn
67165	67165	Mdc
L67151	L67151	X
–	–	Z
Lovrinčevići	Lovrinčevići	Npfsl
(	(	Z
D62	D62	X
)	)	Z
4,7	4,7	Mdc
LC	LC	Y
67166	67166	Mdc
Kukavice	kukavica	Ncfsg
–	–	Z
L67155	L67155	X
2,1	2,1	Mdc
LC	LC	Y
67167	67167	Mdc
L67155	L67155	X
–	–	Z
Leke	Leka	Npfsg
(	(	Z
D76	D76	X
)	)	Z
2,3	2,3	Mdc
LC	LC	Npmsn
67168	67168	Mdc
D76	D76	X
–	–	Z
Jelavići	Jelavić	Npmpn
1,8	1,8	Mdc
LC	LC	Y
67169	67169	Mdc
D76	D76	X
–	–	Z
Crna	crn	Agpfsny
Gora	gora	Ncfsn
1,7	1,7	Mdc
LC	LC	Y
67170	67170	Mdc
Donji	donji	Agpmsny
Vinjani	Vinjani	Npmsn
(	(	Z
D60	D60	X
)	)	Z
–	–	Z
Runović	Runović	Npmsn
(	(	Z
Ž6182	Ž6182	X
)	)	Z
5,0	5,0	Mdc
LC	LC	Npmsn
67171	67171	Mdc
Splitska	splitski	Agpfsny
(	(	Z
Ž6161	Ž6161	Npmsn
)	)	Z
–	–	Agpmsny
Škrip	škrip	Ncmsn
(	(	Z
Ž6189	Ž6189	X
)	)	Z
3,0	3,0	Mdc
LC	LC	Npmsn
67172	67172	Mdc
D113	D113	Mdc
–	–	Z
Donji	donji	Agpmsny
Humac	Humac	Npmsn
(	(	Z
Ž6188	Ž6188	X
)	)	Z
2,3	2,3	Mdc
LC	LC	Npmsn
67173	67173	Mdc
Donji	donji	Agpmsny
Humac	Humac	Npmsn
(	(	Z
Ž6188	Ž6188	X
)	)	Z
–	–	Z
Nerežišća	Nerežišć	Npmsay
(	(	Z
D113	D113	Npmsn
)	)	Z
1,8	1,8	Mdc
LC	LC	Npmsn
67174	67174	Mdc
D113	D113	Mdc
–	–	Z
Osrike	Osrika	Npfsg
–	–	Sg
Selca	selce	Ncnsg
(	(	Z
D113	D113	Npmsn
)	)	Z
6,1	6,1	Mdc
LC	LC	Npmsn
67175	67175	Mdc
D113	D113	Mdc
–	–	Z
Nadsela	Nadsel	Npmsg
0,9	0,9	Mdc
LC	LC	Y
67176	67176	Mdc
Osrike	Osrika	Npfsg
(	(	Z
L67174	L67174	X
)	)	Z
–	–	Z
Polsmrčevik	Polsmrčevik	Npmsn
0,6	0,6	Mdc
LC	LC	Y
67177	67177	Mdc
D76	D76	X
–	–	Z
Bast	Bast	Npmsn
1,1	1,1	Mdc
LC	LC	Y
67178	67178	Mdc
D8	D8	Xf
–	–	Z
Baška	baški	Agpfsny
Voda	voda	Ncfsn
–	–	Z
D8	D8	X
1,7	1,7	Mdc
LC	LC	Y
67179	67179	Mdc
D8	D8	Xf
–	–	Z
Promajna	Promajna	Npfsn
–	–	Z
Obala	obala	Ncfsn
0,8	0,8	Mdc
LC	LC	Y
67180	67180	Mdc
D8	D8	Xf
–	–	Z
Krvavica	krvavica	Ncfsn
–	–	Z
Obala	obala	Ncfsn
1,8	1,8	Mdc
LC	LC	Y
67181	67181	Mdc
Lovrinčevići	Lovrinčevići	Xf
(	(	Z
L67165	L67165	X
)	)	Z
–	–	Z
Biokovsko	biokovski	Agpnsny
Selo	selo	Ncnsn
–	–	Z
Rašćani	rašćan	Agpmsny
Gornji	gornji	Agpmsny
(	(	Z
Ž6199	Ž6199	X
)	)	Z
11,5	11,5	Mdc
LC	LC	Npmsn
67182	67182	Mdc
Slivno	slivni	Agpnsny
(	(	Z
Ž6199	Ž6199	X
)	)	Z
–	–	Z
Mijaca	Mijac	Npmpg
–	–	Z
Ž6201	Ž6201	X
15,7	15,7	Mdc
LC	LC	Npmsn
67183	67183	Mdc
D62	D62	X
–	–	Z
Poljica	Poljica	Npfsn
Kozička	Kozička	Npfsn
(	(	Z
Ž6201	Ž6201	X
)	)	Z
11,2	11,2	Mdc
LC	LC	Npmsn
67184	67184	Mdc
L67182	L67182	X
–	–	Z
Vrdoljaci	Vrdoljac	Npmpn
(	(	Z
L67185	L67185	X
)	)	Z
3,3	3,3	Mdc
LC	LC	Npmsn
67185	67185	Mdc
L67182	L67182	X
–	–	Z
Vrdoljaci	Vrdoljac	Npmpn
–	–	Z
Čale	Čale	Npmsn
4,6	4,6	Mdc
LC	LC	Y
67186	67186	Mdc
L67182	L67182	X
–	–	Z
Poljica	Poljica	Npfsn
Kozička	Kozička	Npfsn
(	(	Z
Ž6201	Ž6201	X
)	)	Z
3,6	3,6	Mdc
LC	LC	Npmsn
67187	67187	Mdc
D116	D116	Mdc
–	–	Z
Stari	star	Agpmsny
Grad	grad	Ncmsn
(	(	Z
Ž6202	Ž6202	X
)	)	Z
2,2	2,2	Mdc
LC	LC	Npmsn
67188	67188	Mdc
V.	V.	Y
Rudine	rudina	Ncfsg
–	–	Z
Stari	star	Agpmsny
Grad	grad	Ncmsn
(	(	Z
Ž6202	Ž6202	X
)	)	Z
3,0	3,0	Mdc
LC	LC	Npmsn
67189	67189	Mdc
Uvala	uvala	Ncfsn
Ključna	ključan	Agpfsny
–	–	Z
Stari	star	Agpmsny
Grad	grad	Ncmsn
(	(	Z
L67188	L67188	X
)	)	Z
3,7	3,7	Mdc
LC	LC	Npmsn
67190	67190	Mdc
Sv.	Sv.	Y
Nedija	Nedij	Npmsay
–	–	Z
Pitve	Pitva	Npfsg
–	–	Z
Vrisnik	vrisnik	Ncmsn
–	–	Z
Svirče	Svirča	Npfsg
(	(	Z
Ž6206	Ž6206	X
)	)	Z
15,2	15,2	Mdc
LC	LC	Npmsn
67191	67191	Mdc
Basina	Basin	Npmsg
–	–	Z
D116	D116	X

