se	sebe	Px--sa
plovidbe	plovidba	Ncfsg
;	;	Z

–	–	Z
Red	red	Ncmsn
u	u	Sl
pristaništu	pristanište	Ncnsl
,	,	Z
sidrištu	sidrište	Ncnsl
i	i	Cc
zimovniku	zimovnik	Ncmsl
;	;	Z

–	i	Agpnsny
Reguliranje	reguliranje	Ncnsn
plovidbe	plovidba	Ncfsg
putem	put	Sg
signalnih	signalni	Agpfpgy
stanica	stanica	Ncfpg
;	;	Z

–	i	Agpnsny
Detaljno	detaljan	Agpnsny
poznavanje	poznavanje	Ncnsn
plovnog	plovan	Agpmsgy
puta	put	Ncmsg
i	i	Cc
objekata	objekt	Ncmpg
sigurnosti	sigurnost	Ncfsg
plovidbe	plovidba	Ncfsg
za	za	Sa
samostalno	samostalan	Agpnsay
upravljanje	upravljanje	Ncnsa

kormilom	kormilo	Ncnsi
plovila	plovilo	Ncnpg
na	na	Sl
dionici	dionica	Ncfsl
plovnog	plovan	Agpmsgy
puta	put	Ncmsg
za	za	Sa
koju	koji	Pi-fsa
se	sebe	Px--sa
traži	tražiti	Vmr3s
ovlaštenje	ovlaštenje	Ncnsn
;	;	Z

–	i	Agpfsny
Pomorska	pomorski	Agpfsny
karta	karta	Ncfsn
(	(	Z
vrste	vrsta	Ncfsg
,	,	Z
sadržaj	sadržaj	Ncmsn
karte	karta	Ncfsg
,	,	Z
oznake	oznaka	Ncfsg
na	na	Sl
karti	karta	Ncfsl
,	,	Z
markantni	markantan	Agpmpny
objekti	objekt	Ncmpn
,	,	Z
mjerila	mjerilo	Ncnpn
)	)	Z

–	i	Agpfpny
Koordinate	koordinata	Ncfpn
,	,	Z
mjerenje	mjerenje	Ncnsn
udaljenosti	udaljenost	Ncfsg
,	,	Z
varijacija	varijacija	Ncfsn
,	,	Z
ruža	ruža	Ncfsn
vjetrova	vjetrov	Ncmpg
)	)	Z

–	i	Agpnsny
Određivanje	određivanje	Ncnsn
kurseva	kurs	Ncmpg
i	i	Cc
azimuta	azimut	Ncmsg
,	,	Z
istovremeno	istovremen	Agpnsay
opažanje	opažanje	Ncnsa
,	,	Z
procijenjena	procijeniti	Appfsny
pozicija	pozicija	Ncfsn
i	i	Cc
točka	točka	Ncfsn
broda	brod	Ncmsg

–	i	Agpfsny
Plovidba	plovidba	Ncfsn
uz	uz	Sa
obalu	obala	Ncfsa
,	,	Z
u	u	Sl
magli	magla	Ncfsl
,	,	Z
kroz	kroz	Sa
opasna	opasan	Agpnpay
područja	područje	Ncnpa
i	i	Cc
pod	pod	Si
utjecajem	utjecaj	Ncmsi
vjetra	vjetar	Ncmsg
,	,	Z
zanos	zanos	Ncmsn

–	–	Pd-mpn
Plovni	plovan	Agpmpny
putovi	put	Ncmpn
i	i	Cc
balisaža	balisaža	Ncfpn
,	,	Z
tjesnaci	tjesnac	Ncmpn
,	,	Z
sidrišta	sidrište	Ncnsg

–	i	Agpnsny
Izbjegavanje	izbjegavanje	Ncnsn
sudara	sudar	Ncmsg
na	na	Sl
moru	more	Ncnsl

–	–	Agpmpny
Peljari	peljar	Ncmpn
,	,	Z
priručnici	priručnik	Ncmpn
za	za	Sa
navigaciju	navigacija	Ncfsa
,	,	Z
