djevojaka	djevojka	Ncfpg
postojanja	postojanje	Ncnsg
i	i	Cc
rada	rad	Ncmsg
10.000,00	10.000,00	Mdc
4.22.	4.22.	Mdo

ZAJEDNICA	zajednica	Ncfsn
MAĐARA	Mađar	Npmsg
GRADA	GRAD	Npmsg
VINKOVACA	VINKOVAC	Npmsg
20.000,00	20.000,00	Mdc
1.	1.	Mdo
Kulturni	kulturan	Agpmsny
amaterizam	amaterizam	Ncmsn
:	:	Z
–	–	Z
mješoviti	mješovit	Agpmsny
zbor	zbor	Ncmsn
15.000,00	15.000,00	Mdc
2.	2.	Mdo
Kulturne	kulturan	Agpfsgy
manifestacije	manifestacija	Ncfsg
:	:	Z
–	–	Z
smotra	smotra	Ncfsn
pjevačkih	pjevački	Agpmpgy
zborova	zbor	Ncmpg
,	,	Z
Vinkovci	Vinkovc	Npmpn
5.000,00	5.000,00	Mdc
4.23.	4.23.	Mdo

ZAJEDNICA	zajednica	Ncfsn
MAĐARA	Mađar	Npmsg
GRADA	GRAD	Npmsg
BJELOVARA	BJELOVAR	Npmsg
32.000,00	32.000,00	Mdc
1.	1.	Mdo
Kulturni	kulturan	Agpmsny
amaterizam	amaterizam	Ncmsn
:	:	Z
20.000,00	20.000,00	Mdc
–	–	Z
Folklorna	folkloran	Agpfsny
skupina	skupina	Ncfsn
za	za	Sa
odrasle	odrastao	Agpmpay
–	–	Z
Dječja	dječji	Agpfsny
igraonica	igraonica	Ncfsn
»	»	Z
Nyusi	Nyus	Npmpn
«	«	Z
–	–	Z
Mješoviti	mješovit	Agpmsny
zbor	zbor	Ncmsn
za	za	Sa
odrasle	odrastao	Agpmpay
2.	2.	Mdo
Kulturne	kulturan	Agpfpay
manifestacije	manifestacija	Ncfpa
:	:	Z
–	–	Z
Dani	dan	Ncmpn
Mađara	Mađar	Npmsg
grada	grad	Ncmsg
Bjelovara	Bjelovar	Npmsg
7.000,00	7.000,00	Mdc
–	–	Z
2.	2.	Mdo
dječje	dječji	Agpnsay
stvaralaštvo	stvaralaštvo	Ncnsa
BBŽ-a	bbž-a	Ncfsg
2015.	2015.	Mdo
5.000,00	5.000,00	Mdc
4.24.	4.24.	Mdo

DRUŠTVO	društvo	Ncnsn
MAĐARA	Mađar	Npmsg
PAKRAC	PAKRAC	Npmsn
7.000,00	7.000,00	Mdc
1.	1.	Mdo
Kulturni	kulturan	Agpmsny
amaterizam	amaterizam	Ncmsn
:	:	Z
–	–	Z
Promidžba	promidžba	Ncfsn
kulture	kultura	Ncfsg
i	i	Cc
običaja	običaj	Ncmsg
mađarske	mađarski	Agpfsgy
nacionalne	nacionalan	Agpfsgy
manjine	manjina	Ncfsg
7.000,00	7.000,00	Mdc
4.25.	4.25.	Mdo

NOVI	nov	Agpmsny
MAĐARSKI	mađarski	Agpmsny
KULTURNI	kulturan	Agpmsny
CENTAR	centar	Ncmsn
SPLIT	Split	Npmsn
30.000,00	30.000,00	Mdc
1.	1.	Mdo
Kulturni	kulturan	Agpmsny
amaterizam	amaterizam	Ncmsn
:	:	Z
25.000,00	25.000,00	Mdc
–	–	Z
folklorno-plesna	folklorno-plesan	Agpfsny
ženska	ženski	Agpfsny
grupa	grupa	Ncfsn
»	»	Z
Čardaš	čardaš	Ncmsn
«	«	Z
–	–	Z
dječja	dječji	Agpfsny
skupina	skupina	Ncfsn
»	»	Z
Bobita	Bobit	Npmsg
«	«	Z
–	–	Z
mješoviti	mješovit	Agpmsny
pjevački	pjevački	Agpmsny
zbor	zbor	Ncmsn
»	»	Z
Viola	viola	Ncfsn
«	«	Z
–	–	Z
likovna	likovni	Agpfsny
radionica	radionica	Ncfsn
–		Agpfpgy
etnoradionica	etnoradionica	Ncfpg
2.	2.	Mdo
Kulturne	kulturan	Agpfsgy
manifestacije	manifestacija	Ncfsg
–	–	Z
tjedan	tjedan	Ncmsan
dječje	dječji	Agpfsgy
radionice	radionica	Ncfsg
,	,	Z
Split	Split	Npmsn
,	,	Z
Omiš	Omiš	Npfsn
3.000,00	3.000,00	Mdc
–	–	Z
susret	susret	Ncmsan
Mađara	Mađar	Npmsg
iz	iz	Sg
Dalmacije	Dalmacija	Npfsg
1.000,00	1.000,00	Mdc
–	–	Z
proslava	proslava	Ncfsn
povodom	povod	Sg
obilježavanja	obilježavanje	Ncnsg
nacionalnog	nacionalan	Agpmsgy
praznika	praznik	Ncmsg
,	,	Z
Split	Split	Npmsn
1.000,00	1.000,00	Mdc
4.26.	4.26.	Mdo

ZAJEDNICA	zajednica	Ncfsn
MAĐARA	Mađar	Npmsg
PISANICA	pisanica	Ncfsn
,	,	Z
VELIKA	velik	Agpfsny
PISANICA	pisanica	Ncfsn
23.000,00	23.000,00	Mdc
1.	1.	Mdo
Kulturni	kulturan	Agpmsny
amaterizam	amaterizam	Ncmsn
:	:	Z
18.000,00	18.000,00	Mdc
–	–	Z
mješoviti	mješovit	Agpmsny
pjevački	pjevački	Agpmsny
zbor	zbor	Ncmsn
–	–	Z
dječja	dječji	Agpfsny
folklorna	folkloran	Agpfsny
skupina	skupina	Ncfsn
–	–	Z
tamburaški	tamburaški	Agpmsny
sastav	sastav	Ncmsn
2.	2.	Mdo
Kulturne	kulturan	Agpfsgy
manifestacije	manifestacija	Ncfsg
:	:	Z
–	–	Z
Dan	dan	Ncmsn
mađarske	mađarski	Agpfsgy
pjesme	pjesma	Ncfsg
i	i	Cc
plesa	ples	Ncmsg
,	,	Z
Velika	velik	Agpfsny
Pisanica	pisanica	Ncfsn
5.000,00	5.000,00	Mdc
4.27.	4.27.	Mdo

MAĐARSKO	mađarski	Agpnsny
KULTURNO	kulturan	Agpnsny
DRUŠTVO	društvo	Ncnsn
»	»	Z
TANC	tanc	Ncmsn
«	«	Z
KAMENAC	kamenac	Ncmsn
8.000,00	8.000,00	Mdc
1.	1.	Mdo
Kulturne	kulturan	Agpfsgy
manifestacije	manifestacija	Ncfsg
:	:	Z
–	–	Z
Smotra	smotra	Ncfsn
etno	Etna	Rgp
glazbeno-pjevačkih	glazbeno-pjevački	Agpmpgy
sastava	sastav	Ncmpg
i	i	Cc
tradicionalna	tradicionalan	Agpfsny
izložba	izložba	Ncfsn
,	,	Z
Kamenac	kamenac	Ncmsn
8.000,00	8.000,00	Mdc
4.28.	4.28.	Mdo

MAĐARSKO	mađarski	Agpnsny
KULTURNO	kulturan	Agpnsny

