mlijeka	mlijeko	Ncnsg
udjela	udjel	Ncmsg
suhe	suh	Agpfsgy
tvari	tvar	Ncfsg
Gravimetrijska	gravimetrijski	Agpfsny
metoda	metoda	Ncfsn
HRN	HRN	Npmsn
ISO	ISO	Npmsn
13580	13580	Mdc
(	(	Z
ISO	ISO	Npmsn
13580	13580	Mdc
)	)	Z
Određivanje	određivanje	Ncnsn
udjela	udjel	Ncmsg
masti	mast	Ncfpg
Gravimetrijska	gravimetrijski	Agpfsny
metoda	metoda	Ncfsn
Vlastita	vlastit	Agpfsny
metoda	metoda	Ncfsn
RU	R	Npmsg
4.2.1-KA	4.2.1-K	Npmsg
-41	-4	Npmsg
modificirana	modificirati	Appfsny
HRN	HRN	Npfsn
EN	EN	Npfsn
ISO	ISO	Npmsn
1211	1211	Mdc
Određivanje	određivanje	Ncnsn
titracijske	titracijski	Agpfsgy
kiselosti	kiselost	Ncfsg
–	–	Z
potenciometrijska	potenciometrijski	Agpfsny
metoda	metoda	Ncfsn
HRN	HRN	Npmsn
ISO	ISO	Npmsn
11869	11869	Mdc
(	(	Z
ISO	ISO	Npmsn
11869	11869	Mdc
)	)	Z
Određivanje	određivanje	Ncnsn
udjela	udjel	Ncmsg
mliječne	mliječan	Agpfsgy
kiseline	kiselina	Ncfsg
metodom	metoda	Ncfsi
infracrvene	infracrven	Agpfsgy
spektrometrije	spektrometrija	Ncfsg
Vlastita	vlastit	Agpfsny
metoda	metoda	Ncfsn
RU	R	Npmsg
4.2.1-KA	4.2.1-K	Npmsg
-43	-4	Npmsg

2.	2.	Mdo
Institut	institut	Ncmsn
za	za	Sa
oceanografiju	oceanografija	Ncfsa
i	i	Cc
ribarstvo	ribarstvo	Ncnsa
,	,	Z
Šetalište	šetalište	Ncnsn
Ivana	Ivan	Npmsg
Meštrovića	Meštrović	Npmsg
63	63	Mdc
,	,	Z
21000	21000	Mdc
Split	Split	Npmsn

Praćenje	praćenje	Ncnsn
morskih	morski	Agpmpgy
biotoksina	biotoksin	Ncmpg

Materijali	materijal	Ncmpn
/	/	Z
Proizvodi	proizvod	Ncmpn
Vrsta	vrsta	Ncfsn
ispitivanja	ispitivanje	Ncnsg
/	/	Z
Svojstvo	svojstvo	Ncnsn
Metoda	metoda	Ncfsn
ispitivanja	ispitivanje	Ncnsg
Školjkaši	školjkaš	Agpnsny
Ispitivanje	ispitivanje	Ncnsn
DSP	ds	Ncmpg
toksina	toksin	Ncmpg
(	(	Z
Diarrhetic	Diarrhetic	Npmsn
Shellfish	Shellfish	Npmsn
Poisoning	Poisoning	Npmsn
)	)	Z
Biološki	biološki	Agpmsny
test	test	Ncmsn
na	na	Sl
miševima	miš	Ncmpl
,	,	Z
Yasumoto	Yasumoto	Npmsn
et	et	Mlc
al.	al.	Y
(	(	Z
1984	1984	Mdc
)	)	Z
Ispitivanje	ispitivanje	Ncnsn
PSP	PS	Npmsg
toksina	toksin	Ncmsg
(	(	Z
Paralytic	Paralytic	Npmsn
Shellfish	Shellfish	Npmsn
Poisoning	Poisoning	Npmsn
)	)	Z
Biološki	biološki	Agpmsny
test	test	Ncmsn
na	na	Sl
miševima	miš	Ncmpl
,	,	Z
AOAC	AOA	Npmsl
(	(	Z
1990	1990	Mdc
)	)	Z
Ispitivanje	ispitivanje	Ncnsn
ASP	AS	Npmsg
(	(	Z
Amnesic	Amnesic	Npmsn
Shellfish	Shellfish	Npmsn
Poisoning	Poisoning	Npmsn
)	)	Z
toksina	toksin	Ncmsg
(	(	Z
domoična	domoičan	Agpfsny
i	i	Cc
epi-domoična	epi-domoičan	Agpfsny
kiselina	kiselina	Ncfsn
)	)	Z
HPLC	hpl	Agpfpgy
analiza	analiza	Ncfpg
,	,	Z
Quilliam	Quilliam	Npmsn
et	et	Mlc
al.	al.	Y
(	(	Z
1995	1995	Mdc
)	)	Z
Ispitivanje	ispitivanje	Ncnsn
DSP	DS	Npmsg
toksina	toksin	Ncmsg
(	(	Z
Diarrhetic	Diarrhetic	Npmsn
Shellfish	Shellfish	Npmsn
Poisoning	Poisoning	Npmsn
)	)	Z
,	,	Z
YTX	YT	Npmsl
(	(	Z
Yessotoxins	Yessotoxins	Npmsn
)	)	Z
Biološki	biološki	Agpmsny
test	test	Ncmsn
na	na	Sl
miševima	miš	Ncmpl
,	,	Z
Sar	Sar	Npmsn
et	et	Mlc
al.	al.	Y
(	(	Z
2002	2002	Mdc
)	)	Z
Ispitivanje	ispitivanje	Ncnsn
DSP	DS	Npmsg
toksina	toksin	Ncmsg
(	(	Z
Diarrhetic	Diarrhetic	Npmsn
Shellfish	Shellfish	Npmsn
Poisoning	Poisoning	Npmsn
)	)	Z
(	(	Z
AZA-1	aza-i	Agpnsny
,	,	Z
AZA-2	AZA-2	Mdm
,	,	Z
AZA-3	AZA-3	Mdm
,	,	Z
DTX-1	DTX-1	Mdm
,	,	Z
DTX-2	DTX-2	Mdm
,	,	Z
GYM	GYM	Npmsn
,	,	Z
OA	O	Npmsg
,	,	Z
ukupno	ukupno	Rgp
OA	o	Agpfpgy
skupina	skupina	Ncfpg
,	,	Z
PTX-1	PTX-1	Mdm
,	,	Z
PTX-2	PTX-2	Mdm
,	,	Z
SPX	SP	Npmsl
,	,	Z
YTX	YT	Npmsl
,	,	Z
HYTX	HYT	Npmsl
,	,	Z
YTX-45-OH	YTX-45-OH	Npmsn
i	i	Cc
YTX-h-45-OH	YTX-h-45-OH	Npfsl
)	)	Z
LC	LC	Npmsn
MS	MS	Npmsn
/	/	Z
MS		Ncmsi
EU	E	Npmsg
Harmonised	Harmonis	Npmsi
SOP	S	Npmsi
version	version	Xf
4	4	Mdc
(	(	Z
July	July	Npmsn
,	,	Z
2011	2011	Mdc
)	)	Z
Ispitivanje	ispitivanje	Ncnsn
PSP	PS	Npmsg
toksina	toksin	Ncmsg
(	(	Z
Paralytic	Paralytic	Npmsn
Shellfish	Shellfish	Npmsn
Poisoning	Poisoning	Npmsn
)	)	Z
(	(	Z
C1	ci	Agpnsny
,	,	Z
2	2	Mdc
,	,	Z
dcGTX2	dcgtxi	Agpnsny
,	,	Z
3	3	Mdc
,	,	Z
dcNEO	dcnei	Agpnsny
,	,	Z
dcSTX	dcsti	Agpnsny
,	,	Z
GTX1	GTX	Npmsl
,	,	Z
4	4	Mdc
,	,	Z
GTX2	GTX	Npmsl
,	,	Z
3	3	Mdc
,	,	Z
GTX5	GTX5	Pd-nsn
,	,	Z
NEO	neo	Ncmsn
i	i	Cc
STX	STX	Pp1-pn
Lawrenceova	lawrenceov	Aspfsny
metoda	metoda	Ncfsn
HPLC-FLD	hplc-fti	Appfsny
metoda	metoda	Ncfsn
s	sa	Si
prethodnom	prethodan	Agpfsiy
oksidacijom	oksidacija	Ncfsi

3.	3.	Mdo
Hrvatski	hrvatski	Agpmsny
veterinarski	veterinarski	Agpmsny
institut	institut	Ncmsn
,	,	Z
Savska	savski	Agpfsny
cesta	cesta	Ncfsn
143	143	Mdc
,	,	Z
10000	10000	Mdc
Zagreb	Zagreb	Npmsn

Meso	meso	Ncnsn
peradi	perad	Ncfsg

Odjel	odjel	Ncmsn
za	za	Sa
veterinarsko	veterinarski	Agpnsay
javno	javan	Agpnsay
zdravstvo	zdravstvo	Ncnsa
,	,	Z
Laboratorij	laboratorij	Ncmsn
za	za	Sa
analitičku	analitički	Agpfsay
kemiju	kemija	Ncfsa
,	,	Z
HVI	HVI	Npmsn
Zagreb	Zagreb	Npmsn

Područje	područje	Ncnsn
ispitivanja	ispitivanje	Ncnsg
Vrsta	vrsta	Ncfsn
ispitivanja	ispitivanje	Ncnsg
Metoda	metoda	Ncfsn
ispitivanja	ispitivanje	Ncnsg
Meso	meso	Ncnsn
i	i	Cc
mesni	mesni	Agpmpny
proizvodi	proizvoditi	Vmr3s
Određivanje	određivanje	Ncnsa
udjela	udjel	Ncmsg
vode	voda	Ncfsg
ISO	ISO	Npmsn
1442:1997	1442:1997	Mdc
Određivanje	određivanje	Ncnsn
količine	količina	Ncfsg
sirovih	sirov	Agpfpgy
bjelančevina	bjelančevina	Ncfpg
HRN	HRN	Npmsn
ISO	ISO	Npmsn
937:1999	937:199i	Agpnsny
Određivanje	određivanje	Ncnsn
ukupne	ukupan	Agpfsgy
količine	količina	Ncfsg
masti	mast	Ncfsg
HRN	HRN	Npmsn
ISO	ISO	Npmsn
1443:1999	1443:1999	Mdc
Određivanje	određivanje	Ncnsn
količine	količina	Ncfsg
nitrita	nitrit	Ncmsg
HRN	HRN	Npmsn
EN	EN	Npmsn
12014	12014	Mdc
-	-	Z
3:2007	3:200i	Agpnsny
Određivanje	određivanje	Ncnsn
količine	količina	Ncfsg
polifosfata	polifosfat	Ncmsg
HRN	HRN	Npmsn
ISO	ISO	Npmsn
13730:1999	13730:1999	Mdc
Određivanje	određivanje	Ncnsn
količine	količina	Ncfsg
hidroksiprolina	hidroksiprolin	Ncmsg
HRN	HRN	Npmsn
ISO	ISO	Npmsn
3496:1999	3496:1999	Mdc

Escherichia	Escherichia	Npfsn
coli	coli	Cc
,	,	Z
uključujući	uključivati	Rr
verotoksigene	verotoksigen	Agpmpay
sojeve	soj	Ncmpa
vrste	vrsta	Ncfsg
E.	ti	Vmr3p
coli	coli	Cs

Laboratorij	laboratorij	Ncmsn
za	za	Sa
mikrobiologiju	mikrobiologija	Ncfsa
hrane	hrana	Ncfsg
,	,	Z
HVI	HVI	Npmsn
Zagreb	Zagreb	Npmsn

Područje	područje	Ncnsn
ispitivanja	ispitivanje	Ncnsg
Vrsta	vrsta	Ncfsn
ispitivanja	ispitivanje	Ncnsg
Metoda	metoda	Ncfsn
ispitivanja	ispitivanje	Ncnsg
Hrana	hrana	Ncfsn
i	i	Cc
hrana	hrana	Ncfsn
za	za	Sa
životinje	životinja	Ncfpa
Metoda	metoda	Ncfsn
brojenja	brojenje	Ncnsg
beta-glukuronidaza	beta-glukuronidaz	Ncmsg
pozitivne	pozitivan	Agpfsgy
E.	ei	Agpfsgy
coli	col	Ncfsg
–	–	Z
Dio	dio	Ncmsn
2.	2.	Mdo
:	:	Z
Brojenje	brojenje	Ncnsn
kolonija	kolonija	Ncfpg
pri	pri	Sl
44	44	Mdc
°	°	Z
C	C	X
uporabom	uporaba	Ncfsi
5-bromo	5-bromo	Npfsg
-4-chloro	-4-chloro	Npfsg
-3-indolyl	-3-indolyl	Npfsg
beta-D-glucuronide	beta-D-glucuronida	Npfsg
HRN	HRN	Npfsg
ISO	ISO	Npmsn
16649	16649	Mdc
-	-	Z
2:2001	2:2001	Mdc
Horizontalna	horizontalan	Agpfsny
metoda	metoda	Ncfsn
za	za	Sa
brojenje	brojenje	Ncnsa
beta	beta	Ncfpg
–	–	Z
glukuronidase-pozitivne	glukuronidase-pozitivan	Agpfpny
E.	E.	Y
coli	col	Agpmsny
–	–	Agpmsny
Dio	dio	Ncmsn
3	3	Mdc
:	:	Z
Postupak	postupak	Ncmsn
najvjerojatnijeg	vjerojatan	Agsmsgy
broja	broj	Ncmsg
upotrebom	upotreba	Ncfsi
5-bromo	5-bromo	Xf
-4-kloro	-4-kloro	Xf
-3-indolil	-3-indolil	Xf
-	-	Z
beta-D-glukuronida	beta-D-glukuronida	Npfsn
HRN	HRN	Npmsn
ISO	ISO	Npmsn
/	/	Z
TS	TS	Npmsn
16649	16649	Mdc
-	-	Z
3:2008	3:2008	Mdc
Horizontalna	horizontalan	Agpfsny
metoda	metoda	Ncfsn
za	za	Sa
otkrivanje	otkrivanje	Ncnsa
Escherichia	Escherichia	Npfsn
coli	coli	Cc
O157	O157	Npmsn
HRN	HRN	Npmsn
EN	EN	Npmsn
ISO	ISO	Npmsn
16654:2003	16654:2003	Mdc

Koagulaza	Koagulaza	Npfsn
pozitivni	pozitivan	Agpmpny
stafilokoki	stafilokok	Ncmpn
,	,	Z
uključujući	uključivati	Rr
Staphylococcus	Staphylococcus	Npmsan
aureus	aureus	Ncmsan

Laboratorij	laboratorij	Ncmsn
za	za	Sa
mikrobiologiju	mikrobiologija	Ncfsa
hrane	hrana	Ncfsg
,	,	Z
HVI	HVI	Npmsn
Zagreb	Zagreb	Npmsn

Područje	područje	Ncnsn
ispitivanja	ispitivanje	Ncnsg
Vrsta	vrsta	Ncfsn
ispitivanja	ispitivanje	Ncnsg
Metoda	metoda	Ncfsn
ispitivanja	ispitivanje	Ncnsg
Hrana	hrana	Ncfsn
i	i	Cc
hrana	hrana	Ncfsn
za	za	Sa
životinje	životinja	Ncfpa
Horizontalni	horizontalan	Agpmsayn
postupak	postupak	Ncmsan
brojanja	brojanje	Ncnsg
koagulaza	koagulaz	Ncmpg
pozitivnih	pozitivan	Agpmpgy
stafilokoka	stafilokok	Ncmpg
(	(	Z
Staphylococcus	Staphylococcus	Npmsn
aureus	aureus	Ncmsn
i	i	Cc
druge	drugi	Mlofsg
vrste	vrsta	Ncfsg
)	)	Z
–	–	Z
Dio	dio	Ncmsn
1.	1.	Mdo
:	:	Z
Postupak	postupak	Ncmsn
primjene	primjena	Ncfsg
Baird-Parkerove	baird-parkerov	Agpfsgy
hranjive	hranjiv	Agpfsgy
podloge	podloga	Ncfsg
HRN	HRN	Npmsn
EN	EN	Npmsn
ISO	ISO	Npmsn
6888	6888	Mdc
-	-	Z
1:2004	1:200i	Agpnsny
Određivanje	određivanje	Ncnsn
stafilokoknih	stafilokokni	Agpmpgy
enterotoksina	enterotoksin	Ncmpg
tipa	tip	Ncmsg
SEA	SE	Npmsg
do	do	Sg
SEE	SEE	Npfsg
VIDAS	VIDAS	Npfsg
®	®	Z
SET2	sei	Agpfsiy
metodom	metoda	Ncfsi
A	a	Cc
)	)	Z
European	european	Agpmsny
screening	screening	Ncmsn
methods	methods	Xf
of	of	Xf
the	the	Xf
EURL	EURL	Xf
Version	Version	Xf
5	5	Mdc
,	,	Z
September	September	Npmsn
,	,	Z
2010	2010	Mdc
B	b	Y
)	)	Z
AOAC	AOAC	Npmsn
Ref	Ref	Npmsn
.	.	Z
2007.06	2007.06	Mds

Paraziti	parazit	Ncmpn
(	(	Z
rod	rod	Ncmsn
Trichinella	Trichinell	Npmsg
)	)	Z

Laboratorij	laboratorij	Ncmsn
za	za	Sa

