ulozi	ulog	Ncmpn
vlasništvo	vlasništvo	Ncnsa
nad	nad	Si
dobrom	dobar	Agpfsiy
ili	ili	Cc
aktivom	aktiva	Ncfsi
preko	preko	Sg
transakcija	transakcija	Ncfpg
s	sa	Si
drugim	drugi	Agpfpiy
institucionalnim	institucionalan	Agpfpiy
jedinicama	jedinica	Ncfpi
;	;	Z

(	(	Z
b	b	X
)	)	Z
moći	moći	Vmn
donositi	donositi	Vmn
ekonomske	ekonomski	Agpfpay
odluke	odluka	Ncfpa
i	i	Cc
obavljati	obavljati	Vmn
ekonomske	ekonomski	Agpfpay
aktivnosti	aktivnost	Ncfpa
za	za	Sa
koje	koji	Pi-fpa
je	biti	Var3s
pravno	pravno	Rgp
odgovoran	odgovoran	Agpmsnn
;	;	Z

(	(	Z
c	C	X
)	)	Z
moći	moći	Vmn
preuzimati	preuzimati	Vmn
obveze	obveza	Ncfpa
u	u	Sa
vlastito	vlastit	Agpnsay
ime	ime	Ncnsa
,	,	Z
preuzimati	preuzimati	Vmn
druge	drugi	Agpfpay
obveze	obveza	Ncfpa
i	i	Cc
sklapati	sklapati	Vmn
ugovore	ugovor	Ncmpa
;	;	Z
i	i	Cc

(	(	Z
d	d	X
)	)	Z
moći	moći	Vmn
sastaviti	sastaviti	Vmn
potpuni	potpun	Agpmsayn
skup	skup	Ncmsan
računa	račun	Ncmpg
sastavljen	sastaviti	Appmsnn
od	od	Sg
računovodstvene	računovodstveni	Agpfsgy
dokumentacije	dokumentacija	Ncfsg
koja	koji	Pi-fsn
obuhvaća	obuhvaćati	Vmr3s
sve	sav	Agpfpay
transakcije	transakcija	Ncfpa
izvršene	izvršiti	Appfpny
tijekom	tijekom	Sg
računovodstvenog	računovodstveni	Agpnsgy
razdoblja	razdoblje	Ncnsg
,	,	Z
kao	kao	Cs
i	i	Cc
bilancu	bilanca	Ncfsa
imovine	imovina	Ncfsg
i	i	Cc
obveza	obveza	Ncfpg
.	.	Z

2.13.	2.13.	Mdo

Sljedeća	sljedeći	Agpnpny
načela	načelo	Ncnpn
primjenjuju	primjenjivati	Vmr3p
se	sebe	Px--sa
u	u	Sl
slučaju	slučaj	Ncmsl
da	da	Cs
subjekt	subjekt	Ncmsn
ne	ne	Qz
posjeduje	posjedovati	Vmr3s
obilježja	obilježje	Ncnpa
institucionalne	institucionalan	Agpfsgy
jedinice	jedinica	Ncfsg
