Toplice	toplice	Ncfpn
6,7	6,7	Mdc
ŽC	ŽC	Npmsn
2202	2202	Mdc
Podgrađe	Podgrađa	Npfsg
–	–	Z
Tugonica	Tugonica	Npfsn
(	(	Z
D29	D29	X
)	)	Z
0,9	0,9	Mdc
ŽC	ŽC	Npmsn
2204	2204	Mdc
Konjščina	Konjščin	Npmsg
(	(	Z
D24	D24	X
)	)	Z
–	–	Z
Sušobreg	Sušobreg	Npmsn
–	–	Z
Poljanica	poljanica	Ncfsn
Bistrička	bistrički	Agpfsny
–	–	Ncfsn
Marija	Marija	Npfsn
Bistrica	Bistrica	Npfsn
(	(	Z
Ž2221	Ž2221	X
)	)	Z
8,1	8,1	Mdc
ŽC	ŽC	Npmsn
2205	2205	Mdc
Konjščina	Konjščin	Npmsg
(	(	Z
Ž2204	Ž2204	X
)	)	Z
–	–	Z
Ž2221	Ž2221	X
6,1	6,1	Mdc
ŽC	ŽC	Npmsn
2206	2206	Mdc
Ž2205	Ž2205	X
–	–	Z
Turkovčina	Turkovčin	Npmsg
5,0	5,0	Mdc
ŽC	ŽC	Y
2207	2207	Mdc
Mirkovec	Mirkovec	Npmsn
(	(	Z
D3	D3	X
)	)	Z
–	–	Z
Bisag	Bisag	Npmsn
–	–	Z
Drašković	Drašković	Npmsn
4,9	4,9	Mdc
ŽC	ŽC	Npmsn
2208	2208	Mdc
Gregurovec	Gregurovec	Npmsn
(	(	Z
Ž3002	Ž3002	X
)	)	Z
–	–	Z
Veliki	velik	Agpmsny
Raven	Raven	Npmsn
(	(	Z
Ž3034	Ž3034	X
)	)	Z
7,1	7,1	Mdc
ŽC	ŽC	Npmsn
2209	2209	Mdc
Križevci	Križevc	Npmpn
:	:	Z
D22	D22	X
–	–	Z
N.	ni	Agpfpny
Tesle	tesla	Ncfpn
–	–	Z
Tomislavova	tomislavov	Aspfsny
–	–	Z
D22	D22	X
2,4	2,4	Mdc
ŽC	ŽC	Npmsn
2210	2210	Mdc
V.	V.	Y
Potočec	Potočec	Npmsn
–	–	Z
Križevci	Križevc	Npmpn
(	(	Z
D22	D22	X
)	)	Z
3,9	3,9	Mdc
ŽC	ŽC	Npmsn
2211	2211	Mdc
Cubinec	Cubinec	Npmsn
(	(	Z
D22	D22	X
)	)	Z
–	–	Z
Poljana	poljana	Ncfsn
Križevačka	križevački	Agpfsny
–	–	Z
Cugovec	Cugovec	Npmsn
–	–	Z
Dubrava	dubrava	Ncfsn
(	(	Z
D26	D26	X
)	)	Z
19,9	19,9	Mdc
ŽC	ŽC	Npmsn
2212	2212	Mdc
Majurec	Majurec	Npmsn
(	(	Z
D41	D41	X
)	)	Z
–	–	Z
Sv.	Sv.	Y
Petar	Petar	Npmsn
Čvrstec	Čvrstec	Npmsn
–	–	Z
Zrinski	Zrinski	Npmsn
Topolovac	Topolovac	Npmsn
(	(	Z
Ž2143	Ž2143	X
)	)	Z
17,9	17,9	Mdc
ŽC	ŽC	Npmsn
2213	2213	Mdc
Đurđevac	Đurđevac	Npmsn
(	(	Z
D2	D2	X
)	)	Z
–	–	Z
Budrovac	Budrovac	Npmsn
–	–	Z
Sirova	sirov	Agpfsny
Katalena	Katalena	Npfsn
–	–	Z
Ž2232	Ž2232	X
12,3	12,3	Mdc
ŽC	ŽC	Npmsn
2214	2214	Mdc
Đurđevac	Đurđevac	Npmsn
(	(	Z
Ž2184	Ž2184	X
)	)	Z
–	–	Z
Kalinovac	Kalinovac	Npmsn
–	–	Z
Ferdinandovac	Ferdinandovac	Npmsn
(	(	Z
Ž2185	Ž2185	X
)	)	Z
11,2	11,2	Mdc
ŽC	ŽC	Npmsn
2215	2215	Mdc
Sveti	svet	Agpmsny
Križ	Križ	Npmsn
(	(	Z
D205	D205	X
)	)	Z
–	–	Z
Lučelnica	lučelnica	Ncfsn
–	–	Z
Radakovo	Radakovo	Npnsn
–	–	Z
Ž2186	Ž2186	X
12,8	12,8	Mdc
ŽC	ŽC	Npmsn
2216	2216	Mdc
Oroslavje	Oroslavje	Npnsa
(	(	Z
Ž2197	Ž2197	X
)	)	Z
–	–	Z
Ž2217	Ž2217	X
2,7	2,7	Mdc
ŽC	ŽC	Y
2217	2217	Mdc
Žejinci	Žejinc	Npmpn
(	(	Z
Ž2195	Ž2195	X
)	)	Z
–	–	Z
Stubička	stubički	Agpfsny
Slatina	slatina	Ncfsn
–	–	Z
Krušljevo	krušljev	Agpnsny
Selo	selo	Ncnsn
–	–	Z
Stubičke	stubički	Agpfpny
Toplice	toplice	Ncfpn
(	(	Z
Ž2219	Ž2219	X
)	)	Z
7,7	7,7	Mdc
ŽC	ŽC	Npmsn
2218	2218	Mdc
Ž2217	Ž2217	X
–	–	Z
Igrišće	Igrišće	Npnsn
2,5	2,5	Mdc
ŽC	ŽC	Y
2219	2219	Mdc
Stubičke	stubički	Agpfpny
Toplice	toplice	Ncfpn
(	(	Z
D307	D307	Npmsn
)	)	Z
–	–	Z
Pila	pila	Ncfsn
–	–	Z
A.	A.	Mro
G.	G.	Y
Grada	Grad	Npmsg
Zagreba	Zagreb	Npmsg
16,3	16,3	Mdc
ŽC	ŽC	Npmsn
2220	2220	Mdc
Strmec	Strmec	Npmsn
Stubički	stubički	Agpmsny
(	(	Z
Ž2219	Ž2219	X
)	)	Z
–	–	Z
Gornja	gornji	Agpfsny
Bistra	Bistra	Npfsn
–	–	Z
Novaki	Novak	Agpmsny
Bistranski	bistranski	Agpmsny
–	–	Z
Ivanec	Ivanec	Npmsn
Bistranski	Bistranski	Npmsn
–	–	Z
A.	A.	Y
G.	G.	Y
Grada	Grad	Npmsg
Zagreba	Zagreb	Npmsg
17,3	17,3	Mdc
ŽC	ŽC	Npmsn
2221	2221	Mdc
Marija	Marija	Npfsn
Bistrica	Bistrica	Npfsn
(	(	Z
D29	D29	X
)	)	Z
–	–	Z
D.	D.	Y
Orešje	Orešja	Npfsg
–	–	Z
Hrastje	Hrastje	Npnsa
(	(	Z
D3	D3	X
)	)	Z
17,0	17,0	Mdc
