DLAKA	dlaka	Ncfsn
rednim	redni	Agpmsiy
brojem	broj	Ncmsi
3.	3.	Mdo
)	)	Z
4.	4.	Mdo
MIRO	Miro	Npmsn
KOVAČ	KOVAČ	Npmsn
(	(	Z
kandidat	kandidat	Ncmsn
na	na	Sl
kandidacijskoj	kandidacijski	Agpfsly
listi	lista	Ncfsl
pod	pod	Si
rednim	redni	Agpmsiy
brojem	broj	Ncmsi
4.	4.	Mdo
)	)	Z
5.	5.	Mdo
DARKO	Darko	Npmsn
SOBOTA	SOBOTA	Npmsn
(	(	Z
kandidat	kandidat	Ncmsn
na	na	Sl
kandidacijskoj	kandidacijski	Agpfsly
listi	lista	Ncfsl
pod	pod	Si
rednim	redni	Agpmsiy
brojem	broj	Ncmsi
5.	5.	Mdo
)	)	Z
6.	6.	Mdo
DARIO	DARIO	Npmsn
HREBAK	HREBAK	Npmsn
(	(	Z
kandidat	kandidat	Ncmsn
na	na	Sl
kandidacijskoj	kandidacijski	Agpfsly
listi	lista	Ncfsl
pod	pod	Si
rednim	redni	Agpmsiy
brojem	broj	Ncmsi
6.	6.	Mdo
)	)	Z
2.	2.	Mdo
SOCIJALDEMOKRATSKA	socijaldemokratski	Agpfsny
PARTIJA	partija	Ncfsn
HRVATSKE	Hrvatska	Npfsg
–	–	Z
SDP	SDP	Npmsn
HRVATSKA	hrvatski	Agpfsny
NARODNA	narodni	Agpfsny
STRANKA	stranka	Ncfsn
–	–	Z
LIBERALNI	liberalan	Agpmpny
DEMOKRATI	demokrat	Ncmpn
–	–	Z
HNS	HNS	Npmsn
HRVATSKA	hrvatski	Agpfsny
STRANKA	stranka	Ncfsn
UMIROVLJENIKA	umirovljenik	Ncmpg
–	–	Z
HSU	HSU	Var3p
HRVATSKI	hrvatski	Agpmpny
LABURISTI	laburist	Ncmpn
–	–	Z
STRANKA	stranka	Ncfsn
RADA	rad	Ncmsg
AUTOHTONA	autohton	Agpfsny
–	–	Z
HRVATSKA	hrvatski	Agpfsny
SELJAČKA	seljački	Agpfsny
STRANKA	stranka	Ncfsn
–	–	Z
A	a	Cc
–	–	Z
HSS	HSS	Npmsn
ZAGORSKA	zagorski	Agpfsny
STRANKA	stranka	Ncfsn
–	–	Z
ZS	ZS	Npmsn
dobila	dobiti	Vmp-sf
je	biti	Var3s
5	5	Mdc
mjesta	mjesto	Ncnpg
,	,	Z
te	te	Cc
su	biti	Var3p
s	sa	Sg
ove	ovaj	Pd-fsg
liste	lista	Ncfsg
izabrani	izabran	Agpmpny
kandidati	kandidat	Ncmpn
:	:	Z
1.	1.	Mdo
JOSIP	Josip	Npmsn
LEKO	LEKO	Npmsn
(	(	Z
kandidat	kandidat	Ncmsn
na	na	Sl
kandidacijskoj	kandidacijski	Agpfsly
listi	lista	Ncfsl
pod	pod	Si
rednim	redni	Agpmsiy
brojem	broj	Ncmsi
1.	1.	Mdo
)	)	Z
2.	2.	Mdo
ANKA	ANKA	Npfsn
MRAK-TARITAŠ	MRAK-TARITAŠ	Npfsn
(	(	Z
kandidatkinja	kandidatkinja	Ncfsn
na	na	Sl
kandidacijskoj	kandidacijski	Agpfsly
listi	lista	Ncfsl
pod	pod	Si
rednim	redni	Agpmsiy
brojem	broj	Ncmsi
8.	8.	Mdo
)	)	Z
3.	3.	Mdo
GORDAN	GORDAN	Npmsn
MARAS	MARAS	Npmsn
(	(	Z
kandidat	kandidat	Ncmsn
na	na	Sl
kandidacijskoj	kandidacijski	Agpfsly
listi	lista	Ncfsl
pod	pod	Si
rednim	redni	Agpmsiy
brojem	broj	Ncmsi
2.	2.	Mdo
)	)	Z
4.	4.	Mdo
VEDRAN	VEDRAN	Npmsn
BABIĆ	Babić	Npmsn
(	(	Z
kandidat	kandidat	Ncmsn
na	na	Sl
kandidacijskoj	kandidacijski	Agpfsly
listi	lista	Ncfsl
pod	pod	Si
rednim	redni	Agpmsiy
brojem	broj	Ncmsi
3.	3.	Mdo
)	)	Z
5.	5.	Mdo
GORDANA	GORDANA	Npfsn
SOBOL	sobol	Ncmsn
(	(	Z
kandidatkinja	kandidatkinja	Ncfsn
na	na	Sl
kandidacijskoj	kandidacijski	Agpfsly
listi	lista	Ncfsl
pod	pod	Si
rednim	redni	Agpmsiy
brojem	broj	Ncmsi
4.	4.	Mdo
)	)	Z
3.	3.	Mdo
MOST	most	Ncmsn
NEZAVISNIH	nezavisan	Agpfpgy
LISTA	lista	Ncfpg
–	–	Z
MOST	most	Ncmsan
dobila	dobiti	Vmp-sf
je	biti	Var3s
2	2	Mdc
mjesta	mjesto	Ncnpg
,	,	Z
te	te	Cc
su	biti	Var3p
s	sa	Sg
ove	ovaj	Pd-fsg
liste	lista	Ncfsg
izabrani	izabran	Agpmpny
kandidati	kandidat	Ncmpn
:	:	Z
1.	1.	Mdo
prof.	prof.	Y
dr.	dr.	Y
sc.	sc.	Y
IVAN	Ivan	Npmsn
LOVRINOVIĆ	LOVRINOVIĆ	Npmsn
(	(	Z
kandidat	kandidat	Ncmsn
na	na	Sl
kandidacijskoj	kandidacijski	Agpfsly
listi	lista	Ncfsl
pod	pod	Si
rednim	redni	Agpmsiy
brojem	broj	Ncmsi
1.	1.	Mdo
)	)	Z
2.	2.	Mdo
LJUBICA	ljubica	Ncfsn
AMBRUŠEC	AMBRUŠEC	Npmsn
,	,	Z
struč	struč	Ncmsn
.	.	Z
spec.	spec.	Y
ing.	ing.	Y
agr	agr	Y
.	.	Z
(	(	Z
kandidatkinja	kandidatkinja	Ncfsn
na	na	Sl
kandidacijskoj	kandidacijski	Agpfsly
listi	lista	Ncfsl
pod	pod	Si
rednim	redni	Agpmsiy
brojem	broj	Ncmsi
2.	2.	Mdo
)	)	Z
4.	4.	Mdo
»	»	Z
BANDIĆ	Bandić	Npmsn
MILAN	Milan	Npmsn
365	365	Mdc
–	–	Z
STRANKA	stranka	Ncfsn
RADA	rad	Ncmsg
I	i	Cc
SOLIDARNOSTI	solidarnost	Ncfsg
«	«	Z
DEMOKRATSKA	demokratski	Agpfsny
PRIGORSKO-ZAGREBAČKA	prigorsko-zagrebački	Agpfsny
STRANKA	stranka	Ncfsn
–	–	Z
DPS	dpi	Agpfsny
DEMOKRATSKA	demokratski	Agpfsny
STRANKA	stranka	Ncfsn
ŽENA	žena	Ncfpg
–	–	Z
DSŽ	DSŽ	Npmsn
HRVATSKA	hrvatski	Agpfsny
EUROPSKA	europski	Agpfsny
STRANKA	stranka	Ncfsn
–	–	Z
HES	hes	Ncmsn
HRVATSKA	hrvatski	Agpfsny
RADNIČKA	radnički	Agpfsny
STRANKA	stranka	Ncfsn
–	–	Z
HRS	HRS	Npmsn
HRVATSKA	hrvatski	Agpfsny
STRANKA	stranka	Ncfsn
ZELENIH	zelen	Agpmpgy
–	–	Z
EKO	eko	Agpmsny
SAVEZ	savez	Ncmsn
–	–	Z
ZELENI	zelen	Agpmpny
ISTARSKI	istarski	Agpmpny
DEMOKRATI	demokrat	Ncmpn
–	–	Z
DEMOCRATICI	DEMOCRATIC	Npmpn
ISTRIANI	ISTRIAN	Npmpn
–	–	Z
ID	ID	Npmsn
–	–	Z
DI	da	Ncfsl
MEĐIMURSKA	međimurski	Agpfsny
STRANKA	stranka	Ncfsn
–	–	Z
MS	MS	Npmsn
NEZAVISNI	nezavisan	Agpmpny
SELJACI	seljak	Ncmpn
HRVATSKE	Hrvatska	Npfsg
–	–	Z
NSH	NSH	Npmsn
NOVI	nov	Agpmsny
VAL	val	Ncmsn
–	–	Z
STRANKA	stranka	Ncfsn
RAZVOJA	razvoj	Ncmsg
–	–	Z
NOVI	nov	Agpmsayn
VAL	val	Ncmsan
STRANKA	stranka	Ncfsn
