posredovanja	posredovanje	Ncnsg
po	po	Sl
propisima	propis	Ncmpl
su	biti	Var3p
određene	određen	Agpfpny
skupine	skupina	Ncfpn
stanovništva	stanovništvo	Ncnsg
obvezne	obvezan	Agpfsgy
sudjelovati	sudjelovati	Vmn
u	u	Sl
sustavu	sustav	Ncmsl
ili	ili	Cc
plaćati	plaćati	Vmn
doprinose	doprinositi	Vmr3p
;	;	Z
i	i	Cc

(	(	Z
b	b	X
)	)	Z
ukupna	ukupan	Agpfsny
država	država	Ncfsn
je	biti	Var3s
odgovorna	odgovoran	Agpfsny
za	za	Sa
upravljanje	upravljanje	Ncnsa
institucijama	institucija	Ncfpi
u	u	Sl
pogledu	pogled	Ncmsl
određivanja	određivanje	Ncnsg
ili	ili	Cc
odobravanja	odobravanje	Ncnsg
doprinosa	doprinos	Ncmpg
i	i	Cc
naknada	naknada	Ncfpg
,	,	Z
neovisno	neovisan	Agpnsny
o	o	Sl
svojoj	svoj	Pi-fsl
ulozi	uloga	Ncfsl
nadzornog	nadzorni	Agpnsgy
tijela	tijelo	Ncnsg
ili	ili	Cc
poslodavca	poslodavac	Ncmsg
.	.	Z

Iznos	iznos	Ncmsn
doprinosa	doprinos	Ncmsg
koji	koji	Pi-msn
plaća	plaćati	Vmr3s
određena	određen	Agpfsny
osoba	osoba	Ncfsn
obično	obično	Rgp
nije	biti	Var3s
izravno	izravno	Rgp
povezan	povezan	Agpmsnn
s	sa	Si
rizikom	rizik	Ncmsi
kojem	koji	Pi-msl
je	biti	Var3s
ta	taj	Pd-fsn
osoba	osoba	Ncfsn
izložena	izložiti	Appfsny
.	.	Z

Kućanstva	kućanstvo	Ncnpn
(	(	Z
S.	S.	Y
14	14	Mdc
)	)	Z

2.118.	2.118.	Mdo

Definicija	definicija	Ncfsn
:	:	Z
sektor	sektor	Ncmsn
kućanstava	kućanstvo	Ncnpg
(	(	Z
S.	S.	Y
14	14	Mdc
)	)	Z
sastoji	sastojati	Vmr3s
se	sebe	Px--sa
od	od	Sg
pojedinaca	pojedinac	Ncmpg
ili	ili	Cc
grupa	grupa	Ncfsn
pojedinaca	pojedinac	Ncmpg
kao	kao	Cs
potrošača	potrošač	Ncmpg
i	i	Cc
poduzetnika	poduzetnik	Ncmpg
koji	koji	Pi-mpn
proizvode	proizvoditi	Vmr3p
tržišna	tržišni	Agpnpay
dobra	dobro	Ncnpa
i	i	Cc

