Evaluation	Evaluation	Xf
betonski	betonski	Agpmpny
proizvodi	proizvod	Ncmpn
--	--	Z
Ploče	ploča	Ncfpn
sa	sa	Si
šupljinama	šupljina	Ncfpi
EN	EN	Npfsg
1168:2005	1168:2005	Mdc
+	+	Z
A3	A3	X
:	:	Z
2011	2011	Mdc
Precast	Precast	Npfpg
concrete	concrati	Vmr2p
products	products	Ncmsan
--	--	Z
Hollow	Hollow	Xf
core	core	Xf
slabs	slabs	Xf
HRN	HRN	Npmsn
EN	EN	Npmsn
1168:2009	1168:2009	Mdc
(	(	Z
EN	EN	Npmsn
1168:2005	1168:2005	Mdc
+	+	Z
A2	A2	X
:	:	Z
2009	2009	Mdc
)	)	Z
1.	1.	Mdo
7.	7.	Mdo
2012.	2012.	Mdo
1.	1.	Mdo
7.	7.	Mdo
2013.	2013.	Mdo

HRN	HRN	Npmsn
EN	EN	Npmsn
1279	1279	Mdc
-	-	Z
5:2010	5:201i	Agpnsny
Staklo	staklo	Ncnsn
u	u	Sl
graditeljstvu	graditeljstvo	Ncnsl
--	--	Z
Izolacijsko	izolacijski	Agpnsny
staklo	staklo	Ncnsn
--	--	Z
5.	5.	Mdo
dio	dio	Ncmsn
:	:	Z
Vrednovanje	vrednovanje	Ncnsn
sukladnosti	sukladnost	Ncfsg
EN	EN	Npmsn
1279	1279	Mdc
-	-	Z
5:2005	5:2005	Mdc
+	+	Z
A2	A2	X
:	:	Z
2010	2010	Mdc
Glass	Glass	Xf
in	in	Xf
building	building	Xf
--	--	Z
Insulating	Insulating	Xf
glass	glass	Xf
units	units	Xf
--	--	Z
Part	Part	Npmsn
5	5	Mdc
:	:	Z
Evaluation	Evaluation	Xf
of	of	Xf
conformity	conformity	Xf
HRN	HRN	Npmsn
EN	EN	Npmsn
1279	1279	Mdc
-	-	Z
5:2008	5:2008	Mdc
(	(	Z
EN	EN	Npmsn
1279	1279	Mdc
-	-	Z
5:2005	5:2005	Mdc
+	+	Z
A1	A1	Xf
:	:	Z
2008	2008	Mdc
)	)	Z
1.	1.	Mdo
2.	2.	Mdo
2011.	2011.	Mdo
1.	1.	Mdo
2.	2.	Mdo
2012.	2012.	Mdo

HRN	HRN	Npmsn
EN	EN	Npmsn
1304:2005	1304:2005	Mdc
Glineni	glinen	Agpmsny
crijep	crijep	Ncmsn
i	i	Cc
pomoćni	pomoćan	Agpmpny
dijelovi	dio	Ncmpn
--	--	Z
Definicije	definicija	Ncfsg
i	i	Cc
specifikacije	specifikacija	Ncfsg
proizvoda	proizvod	Ncmpg
EN	EN	Npmsn
1304:2005	1304:2005	Mdc
Clay	Clay	Xf
roofing	roofing	Xf
tiles	tiles	Xf
and	and	Xf
fittings	fittings	Xf
--	--	Xf
Product	Product	Xf
definitions	definitions	Xf
and	and	Xf
specifications	specifications	Xf
1.	1.	Mdo
2.	2.	Mdo
2006.	2006.	Mdo
1.	1.	Mdo
2.	2.	Mdo
2007.	2007.	Mdo

HRN	HRN	Npmsn
EN	EN	Npmsn
1317	1317	Mdc
-	-	Z
5:2012	5:2012	Mdc
Zaštitni	zaštitni	Agpmpny
cestovni	cestovan	Agpmpny
sustavi	sustav	Ncmpn
--	--	Z
5.	5.	Mdo
dio	dio	Ncmsn
:	:	Z
Zahtjevi	zahtjev	Ncmpn
za	za	Sa
proizvod	proizvod	Ncmsan
i	i	Cc
ocjenjivanje	ocjenjivanje	Ncnsa
sukladnosti	sukladnost	Ncfsg
za	za	Sa
zaštitne	zaštitni	Agpmpay
cestovne	cestovan	Agpmpay
sustave	sustav	Ncmpa
EN	EN	Npmsn
1317	1317	Mdc
-	-	Z
5:2007	5:2007	Mdc
+	+	Z
A2	A2	X
:	:	Z
2012	2012	Mdc
Road	Road	Xf
restraint	restraint	Xf
systems	systems	Xf
--	--	Z
Part	Part	Npmsn
5	5	Mdc
:	:	Z
Product	Product	Xf
requirements	requirements	Xf
and	and	Xf
evaluation	evaluation	Xf
of	of	Xf
conformity	conformity	Xf
for	for	Xf
vehicle	vehicle	Xf
restraint	restraint	Xf
systems	systems	Xf
HRN	HRN	Npmsn
EN	EN	Npmsn
1317	1317	Mdc
-	-	Z
5:2009	5:2009	Mdc
(	(	Z
EN	EN	Npmsn
1317	1317	Mdc
-	-	Z
5:2007	5:2007	Mdc
+	+	Z
A1	A1	Xf
:	:	Z
2008	2008	Mdc
)	)	Z
1.	1.	Mdo
1.	1.	Mdo
2013.	2013.	Mdo
1.	1.	Mdo
1.	1.	Mdo
2013.	2013.	Mdo

HRN	HRN	Npmsn
EN	EN	Npmsn
1317	1317	Mdc
-	-	Z
5:2012	5:2012	Mdc
/	/	Z
Ispr	Ispr	Npmsn
.	.	Z
1:2012	1:2012	Mdc
EN	EN	Npmsn
1317	1317	Mdc
-	-	Z
5:2007	5:2007	Mdc
+	+	Z
A2	A2	X
:	:	Z
2012	2012	Mdc
/	/	Z
AC	ac	Ncmsn
:	:	Z
2012	2012	Mdc
1.	1.	Mdo
3.	3.	Mdo
2013.	2013.	Mdo
1.	1.	Mdo
3.	3.	Mdo
2013.	2013.	Mdo

HRN	HRN	Npmsn
EN	EN	Npmsn
1319:2010	1319:2010	Mdc
Kućanski	kućanski	Agpmpny
plinski	plinski	Agpmpny
generatori	generator	Ncmpn
toplog	topao	Agpmsgy
zraka	zrak	Ncmsg
s	sa	Si
prisilnom	prisilan	Agpfsiy
konvekcijom	konvekcija	Ncfsi
za	za	Sa
grijanje	grijanje	Ncnsa
prostora	prostor	Ncmsg
,	,	Z
s	sa	Si
ventilatorom	ventilator	Ncmsi
kao	kao	Cs
potporom	potpora	Ncfsi
plinskim	plinski	Agpmpiy
plamenicima	plamenik	Ncmpi
s	sa	Si
nazivnim	nazivni	Agpmpiy
toplinskim	toplinski	Agpnsiy
opterećenjem	opterećenje	Ncnsi
jednakim	jednak	Agpnsiy
ili	ili	Cc
manjim	mali	Agcmsiy
od	od	Sg
70	70	Mdc
kW	kW	Y
EN	EN	Npmsn
1319:2009	1319:2009	Mdc
Domestic	Domestic	Xf
gas-fired	gas-fired	Xf
forced	forced	Xf
convection	convection	Xf
air	air	Xf
heaters	heaters	Xf
for	for	Xf
space	space	Xf
heating	heating	Xf
,	,	Z
with	with	Xf
fan-assisted	fan-assisted	Xf
burners	burners	Xf
not	not	Xf
exceeding	exceeding	Xf
a	a	Cc
net	net	Ncmsan
heat	heat	Agpmsann
input	input	Ncmsan
of	oi	Agpfsgy
70	70	Mdc
kW	kW	Y
1.	1.	Mdo
10.	10.	Mdo
2010.	2010.	Mdo
1.	1.	Mdo
10.	10.	Mdo
2011.	2011.	Mdo

HRN	HRN	Npmsn
EN	EN	Npmsn
1337	1337	Mdc
-	-	Z
3:2005	3:2005	Mdc
Konstrukcijski	konstrukcijski	Agpmpny
ležajevi	ležaj	Ncmpn
--	--	Z
3.	3.	Mdo
dio	dio	Ncmsn
:	:	Z
Elastomerni	elastomeran	Agpmpny
ležajevi	ležaj	Ncmpn
EN	EN	Npmsn
1337	1337	Mdc
-	-	Z
3:2005	3:2005	Mdc
Structural	Structural	Xf
bearings	bearings	Xf
--	--	Z
Part	Part	Npmsn
3	3	Mdc
:	:	Z
Elastomeric	Elastomeric	Xf
bearings	bearingi	Agpfsny
1.	1.	Mdo
1.	1.	Mdo

