3191/49	3191/49	Mds
Urbroj	urbroj	Ncmsn
:	:	Z
532	532	Mdc
-	-	Z
04	04	Mdc
-	-	Z
01	01	Mdc
-	-	Z
03	03	Mdc
-	-	Z
02/2	02/2	Mdc
-	-	Z
15	15	Mdc
-	-	Z
1	1	Mdc
Z-6600	Z-6600	Mdc
Osječko-baranjska	osječko-baranjski	Agpfsny
županija	županija	Ncfsn
Općina	općina	Ncfsn
BILJE	bilje	Ncnsn
Kopačevo	kopačev	Aspnsay
Arheološko	arheološki	Agpnsny
nalazište	nalazište	Ncnsn
»	»	Z
Mali	mali	Agpmsny
Sakadaš	sakadaš	Ncmsn
«	«	Z
k.	k.	Y
č.	č.	Y
402/1	402/1	Mdc
(	(	Z
zk	zk	Rgp
.	.	Z
ul	UL	Ncmsn
.	.	Z
410	410	Mdc
)	)	Z
,	,	Z
4022	4022	Mdc
(	(	Z
zk	zk	Rgp
.	.	Z
ul	UL	Ncmsn
.	.	Z
619	619	Mdc
)	)	Z
,	,	Z
403	403	Mdc
(	(	Z
zk	zk	Rgp
.	.	Z
ul	UL	Ncmsn
.	.	Z
152	152	Mdc
)	)	Z
,	,	Z
404	404	Mdc
(	(	Z
zk	zk	Rgp
.	.	Z
ul	UL	Ncmsn
.	.	Z
470	470	Mdc
)	)	Z
,	,	Z
405	405	Mdc
(	(	Z
zk	zk	Rgp
.	.	Z
ul	UL	Ncmsn
.	.	Z
213	213	Mdc
)	)	Z
,	,	Z
406	406	Mdc
(	(	Z
zk	zk	Rgp
.	.	Z
ul	UL	Ncmsn
.	.	Z
180	180	Mdc
)	)	Z
,	,	Z
407	407	Mdc
(	(	Z
zk	zk	Rgp
.	.	Z
ul	UL	Ncmsn
.	.	Z
408	408	Mdc
)	)	Z
,	,	Z
408	408	Mdc
(	(	Z
zk	zk	Rgp
.	.	Z
ul	UL	Ncmsn
.	.	Z
408	408	Mdc
)	)	Z
,	,	Z
409/1	409/1	Mdc
(	(	Z
zk	zk	Rgp
.	.	Z
ul	UL	Ncmsn
.	.	Z
408	408	Mdc
)	)	Z
,	,	Z
409/2	409/2	Mdc
(	(	Z
zk	zk	Rgp
.	.	Z
ul	UL	Ncmsn
.	.	Z
511	511	Mdc
)	)	Z
,	,	Z
409/3	409/3	Mdc
(	(	Z
zk	zk	Rgp
.	.	Z
ul	UL	Ncmsn
.	.	Z
513	513	Mdc
)	)	Z
,	,	Z
409/4	409/4	Mdc
(	(	Z
zk	zk	Rgp
.	.	Z
ul	UL	Ncmsn
.	.	Z
512	512	Mdc
)	)	Z
,	,	Z
409/5	409/5	Mdc
(	(	Z
zk	zk	Rgp
.	.	Z
ul	UL	Ncmsn
.	.	Z
556	556	Mdc
)	)	Z
,	,	Z
409/6	409/6	Mdc
(	(	Z
zk	zk	Rgp
.	.	Z
ul	UL	Ncmsn
.	.	Z
517	517	Mdc
)	)	Z
,	,	Z
409/7	409/7	Mdc
(	(	Z
zk	zk	Rgp
.	.	Z
ul	UL	Ncmsn
.	.	Z
516	516	Mdc
)	)	Z
,	,	Z
409/8	409/8	Mdc
(	(	Z
zk	zk	Rgp
.	.	Z
ul	UL	Ncmsn
.	.	Z
548	548	Mdc
)	)	Z
,	,	Z
409/9	409/9	Mdc
(	(	Z
zk	zk	Rgp
.	.	Z
ul	UL	Ncmsn
.	.	Z
514	514	Mdc
)	)	Z
,	,	Z
409/10	409/10	Mdc
(	(	Z
zk	zk	Rgp
.	.	Z
ul	UL	Ncmsn
.	.	Z
541	541	Mdc
)	)	Z
,	,	Z
409/11	409/11	Mdc
(	(	Z
zk	zk	Rgp
.	.	Z
ul	UL	Ncmsn
.	.	Z
515	515	Mdc
)	)	Z
,	,	Z
409/12	409/12	Mdc
(	(	Z
zk	zk	Rgp
.	.	Z
ul	UL	Ncmsn
.	.	Z
408	408	Mdc
)	)	Z
,	,	Z
409/13	409/13	Mdc
(	(	Z
zk	zk	Rgp
.	.	Z
ul	UL	Ncmsn
.	.	Z
408	408	Mdc
)	)	Z
,	,	Z
409/14	409/14	Mdc
(	(	Z
zk	zk	Rgp
.	.	Z
ul	UL	Ncmsn
.	.	Z
589	589	Mdc
)	)	Z
,	,	Z
410	410	Mdc
(	(	Z
zk	zk	Rgp
.	.	Z
ul	UL	Ncmsn
.	.	Z
408	408	Mdc
)	)	Z
,	,	Z
411	411	Mdc
(	(	Z
zk	zk	Rgp
.	.	Z
ul	UL	Ncmsn
.	.	Z
210	210	Mdc
)	)	Z
,	,	Z
412	412	Mdc
(	(	Z
zk	zk	Rgp
.	.	Z
ul	UL	Ncmsan
.	.	Z
12	12	Mdc
)	)	Z
,	,	Z
413	413	Mdc
(	(	Z
zk	zk	Rgp
.	.	Z
ul	UL	Ncmsan
.	.	Z
39	39	Mdc
)	)	Z
,	,	Z
414	414	Mdc
(	(	Z
zk	zk	Rgp
.	.	Z
ul	UL	Ncmsan
.	.	Z
63	63	Mdc
)	)	Z
,	,	Z
415	415	Mdc
(	(	Z
zk	zk	Rgp
.	.	Z
ul	UL	Ncmsn
.	.	Z
643	643	Mdc
)	)	Z
,	,	Z
416	416	Mdc
(	(	Z
zk	zk	Rgp
.	.	Z
ul	UL	Xf
.	.	Z
4	4	Mdc
)	)	Z
,	,	Z
417	417	Mdc
(	(	Z
zk	zk	Rgp
.	.	Z
ul	UL	Ncmsn
.	.	Z
351	351	Mdc
)	)	Z
,	,	Z
418	418	Mdc
(	(	Z
zk	zk	Rgp
.	.	Z
ul	UL	Ncmsan
.	.	Z
14	14	Mdc
)	)	Z
,	,	Z
419	419	Mdc
(	(	Z
zk	zk	Rgp
.	.	Z
ul	UL	Ncmsn
.	.	Z
173	173	Mdc
)	)	Z
,	,	Z
420	420	Mdc
(	(	Z
zk	zk	Rgp
.	.	Z
ul	UL	Ncmsn
.	.	Z
177	177	Mdc
)	)	Z
,	,	Z
421	421	Mdc
(	(	Z
zk	zk	Rgp
.	.	Z
ul	UL	Ncmsan
.	.	Z
34	34	Mdc
)	)	Z
,	,	Z
422	422	Mdc
(	(	Z
zk	zk	Rgp
.	.	Z
ul	UL	Ncmsn
.	.	Z
578	578	Mdc
)	)	Z
,	,	Z
423	423	Mdc
(	(	Z
zk	zk	Rgp
.	.	Z
ul	UL	Ncmsn
.	.	Z
322	322	Mdc
)	)	Z
,	,	Z
424	424	Mdc
(	(	Z
zk	zk	Rgp
.	.	Z
ul	UL	Ncmsan
.	.	Z
72	72	Mdc
)	)	Z
,	,	Z
425	425	Mdc
(	(	Z
zk	zk	Rgp
.	.	Z
ul	UL	Ncmsn
.	.	Z
267	267	Mdc
)	)	Z
,	,	Z
426	426	Mdc
(	(	Z
zk	zk	Rgp
.	.	Z
ul	UL	Ncmsn
.	.	Z
149	149	Mdc
)	)	Z
,	,	Z
427	427	Mdc
(	(	Z
zk	zk	Rgp
.	.	Z
ul	UL	Ncmsn
.	.	Z
408	408	Mdc
)	)	Z
,	,	Z
428	428	Mdc
(	(	Z
zk	zk	Rgp
.	.	Z
ul	UL	Ncmsn
.	.	Z
213	213	Mdc
)	)	Z
,	,	Z
429	429	Mdc
(	(	Z
zk	zk	Rgp
.	.	Z
ul	UL	Ncmsn
.	.	Z
123	123	Mdc
)	)	Z
,	,	Z
430	430	Mdc
(	(	Z
zk	zk	Rgp
.	.	Z
ul	UL	Ncmsn
.	.	Z
363	363	Mdc
)	)	Z
,	,	Z
431	431	Mdc
(	(	Z
zk	zk	Rgp
.	.	Z
ul	UL	Ncmsn
.	.	Z
213	213	Mdc
)	)	Z
,	,	Z
432	432	Mdc
(	(	Z
zk	zk	Rgp
.	.	Z
ul	UL	Ncmsn
.	.	Z
213	213	Mdc
)	)	Z
,	,	Z
433	433	Mdc
(	(	Z
zk	zk	Rgp
.	.	Z
ul	UL	Ncmsn
.	.	Z
165	165	Mdc
)	)	Z
,	,	Z
434	434	Mdc
(	(	Z
zk	zk	Rgp
.	.	Z
ul	UL	Ncmsn
.	.	Z
337	337	Mdc
)	)	Z
,	,	Z
435	435	Mdc
(	(	Z
zk	zk	Rgp
.	.	Z
ul	UL	Ncmsn
.	.	Z
167	167	Mdc
)	)	Z
,	,	Z
436	436	Mdc
(	(	Z
zk	zk	Rgp
.	.	Z
ul	UL	Ncmsn
.	.	Z
643	643	Mdc
)	)	Z
,	,	Z
437	437	Mdc
(	(	Z
zk	zk	Rgp
.	.	Z
ul	UL	Ncmsn
.	.	Z
337	337	Mdc
)	)	Z
,	,	Z
438	438	Mdc
(	(	Z
zk	zk	Rgp
.	.	Z
ul	UL	Ncmsn
.	.	Z
571	571	Mdc
)	)	Z
,	,	Z
439	439	Mdc
(	(	Z
zk	zk	Rgp
.	.	Z
ul	UL	Ncmsn
.	.	Z
510	510	Mdc
)	)	Z
,	,	Z
440	440	Mdc
(	(	Z
zk	zk	Rgp
.	.	Z
ul	UL	Ncmsn
.	.	Z
226	226	Mdc
)	)	Z
,	,	Z
441	441	Mdc
(	(	Z
zk	zk	Rgp
.	.	Z
ul	UL	Ncmsn
.	.	Z
504	504	Mdc
)	)	Z
,	,	Z
442	442	Mdc
(	(	Z
zk	zk	Rgp
.	.	Z
ul	UL	Ncmsn
.	.	Z
527	527	Mdc
)	)	Z
,	,	Z
443	443	Mdc
(	(	Z
zk	zk	Rgp
.	.	Z
ul	UL	Ncmsn
.	.	Z
413	413	Mdc
)	)	Z
,	,	Z
444	444	Mdc
(	(	Z
zk	zk	Rgp
.	.	Z
ul	UL	Ncmsn
.	.	Z
380	380	Mdc
)	)	Z
,	,	Z
445	445	Mdc
(	(	Z
zk	zk	Rgp
.	.	Z
ul	UL	Ncmsan
.	.	Z
87	87	Mdc
)	)	Z
,	,	Z
446	446	Mdc
(	(	Z
zk	zk	Rgp
.	.	Z
ul	UL	Ncmsn
.	.	Z
171	171	Mdc
)	)	Z
,	,	Z
447	447	Mdc
(	(	Z
zk	zk	Rgp
.	.	Z
ul	UL	Ncmsn
.	.	Z
289	289	Mdc
)	)	Z
,	,	Z
448	448	Mdc
(	(	Z
zk	zk	Rgp
.	.	Z
ul	UL	Ncmsan
.	.	Z
92	92	Mdc
)	)	Z
,	,	Z
449	449	Mdc
(	(	Z
zk	zk	Rgp
.	.	Z
ul	UL	Ncmsn
.	.	Z
122	122	Mdc
)	)	Z
,	,	Z
450	450	Mdc
(	(	Z
zk	zk	Rgp
.	.	Z
ul	UL	Ncmsn
.	.	Z
601	601	Mdc
)	)	Z
,	,	Z
451	451	Mdc
(	(	Z
zk	zk	Rgp
.	.	Z
ul	UL	Ncmsn
.	.	Z
663	663	Mdc
)	)	Z
,	,	Z
452	452	Mdc
(	(	Z
zk	zk	Rgp
.	.	Z
ul	UL	Ncmsn
.	.	Z
267	267	Mdc
)	)	Z
,	,	Z
453	453	Mdc
(	(	Z
zk	zk	Rgp
.	.	Z
ul	UL	Ncmsn
.	.	Z
104	104	Mdc
)	)	Z
,	,	Z
454	454	Mdc
(	(	Z
zk	zk	Rgp
.	.	Z
ul	UL	Ncmsn
.	.	Z
171	171	Mdc
)	)	Z
,	,	Z
455	455	Mdc
(	(	Z
zk	zk	Rgp
.	.	Z
ul	UL	Ncmsn
.	.	Z
371	371	Mdc
)	)	Z
,	,	Z
456	456	Mdc
(	(	Z
zk	zk	Rgp
.	.	Z
ul	UL	Ncmsn
.	.	Z
609	609	Mdc
)	)	Z
,	,	Z
457	457	Mdc
(	(	Z
zk	zk	Rgp
.	.	Z
ul	UL	Ncmsn
.	.	Z
289	289	Mdc
)	)	Z
,	,	Z
458	458	Mdc
(	(	Z
zk	zk	Rgp
.	.	Z
ul	UL	Ncmsn
.	.	Z
123	123	Mdc
)	)	Z
,	,	Z
459	459	Mdc
(	(	Z
zk	zk	Rgp
.	.	Z
ul	UL	Ncmsn
.	.	Z

