točke	točka	Ncfpa
»	»	Z
tretirano	tretirati	Appnsny
«	«	Z
i	i	Cc
naziv	naziv	Ncmsn
aktivne	aktivan	Agpfsgy
tvari	tvar	Ncfsg
.	.	Z

Sitna	sitan	Agpnpny
pakiranja	pakiranje	Ncnpn
sjemena	sjeme	Ncnsg
naznaku	naznaka	Ncfsg
:	:	Z
»	»	Z
tretirano	tretirati	Rgp
i	i	Qo
naziv	naziv	Ncmsn
aktivne	aktivan	Agpfsgy
tvari	tvar	Ncfsg
«	«	Z
mogu	moći	Vmr3p
imati	imati	Vmn
otisnutu	otisnuti	Agpfsay
izravno	izravno	Rgp
na	na	Sl
pakiranju	pakiranje	Ncnsl
ili	ili	Cc
s	sa	Sg
unutarnje	unutarnji	Agpfsgy
strane	strana	Ncfsg
pakiranja	pakiranje	Ncnsg
.	.	Z
«	«	Z
.	.	Z

Članak	članak	Ncmsn
9.	9.	Mdo

U	u	Sl
članku	članak	Ncmsl
22.	22.	Mdo
u	u	Sl
stavku	stavak	Ncmsl
2.	2.	Mdo
iza	iza	Sg
riječi	riječ	Ncfsg
:	:	Z
»	»	Z
plombiranja	plombiranje	Ncnsg
sjemena	sjeme	Ncnsg
povrća	povrće	Ncnsg
«	«	Z
dodaju	dodati	Vmr3p
se	sebe	Px--sa
riječi	riječ	Ncfpn
:	:	Z
»	»	Z
,	,	Z
osim	osim	Sg
sitnih	sitan	Agpnpgy
pakiranja	pakiranje	Ncnpg
,	,	Z
«	«	Z
.	.	Z

Stavak	stavak	Ncmsn
4.	4.	Mdo
mijenja	mijenjati	Vmr3s
se	sebe	Px--sa
i	i	Cc
glasi	glasiti	Vmr3s
:	:	Z

»	»	Z
(	(	Z
4	4	Mdc
)	)	Z
Na	na	Sl
Certifikatu	certifikat	Ncmsl
o	o	Sl
sjemenu	sjeme	Ncnsl
na	na	Sl
pakiranju	pakiranje	Ncnsl
i	i	Cc
Certifikatu	certifikat	Ncmsl
proizvođača	proizvođač	Ncmpg
koji	koji	Pi-mpn
su	biti	Var3p
izdani	izdati	Appmpny
nakon	nakon	Sg
ponovnog	ponovan	Agpnsgy
plombiranja	plombiranje	Ncnsg
mora	morati	Vmr3s
se	sebe	Px--sa
staviti	staviti	Vmn
naznaka	naznaka	Ncfsn
:	:	Z
»	»	Z
prepakirano	prepakirati	Appnsny
«	«	Z
,	,	Z
uz	uz	Sa
navođenje	navođenje	Ncnsa
originalnog	originalan	Agpmsgy
broja	broj	Ncmsg
partije	partija	Ncfsg
,	,	Z
datuma	datum	Ncmsg
ponovnog	ponovan	Agpnsgy
plombiranja	plombiranje	Ncnsg
,	,	Z
pakiranja	pakiranje	Ncnsg
i	i	Cc
