Pristeg	pristi	Agpnsgy
Uzdolje	Uzdolje	Npnsn
(	(	Z
Ž6247	Ž6247	X
)	)	Z
8,9	8,9	Mdc
LC	LC	Npmsn
65016	65016	Mdc
Gr	Gr	Y
.	.	Z

BiH	BiH	Npfsg
–	–	Z
Kijevo	Kijevo	Npnsa
(	(	Z
D1	D1	X
)	)	Z
11,6	11,6	Mdc
LC	LC	Npmsn
65017	65017	Mdc
Žažvić	Žažvić	Npfsn
(	(	Z
D56	D56	X
)	)	Z
–	–	Z
Međare	Međare	Npmsn
–	–	Z
Čista	čist	Agpfsny
Velika	velik	Agpfsny
(	(	Z
Ž6069	Ž6069	Mds
)	)	Z
5,1	5,1	Mdc
LC	LC	Y
65018	65018	Mdc
Cicvare	cicvara	Ncfsg
(	(	Z
L65017	L65017	X
)	)	Z
–	–	Z
Krković	Krković	Npmsn
–	–	Z
Ž6073	Ž6073	X
6,2	6,2	Mdc
LC	LC	Y
65019	65019	Mdc
Piramatovci	Piramatovc	Npmpn
(	(	Z
L65018	L65018	X
)	)	Z
–	–	Z
Sonković	Sonković	Npmsn
(	(	Z
Ž6089	Ž6089	X
)	)	Z
5,5	5,5	Mdc
LC	LC	Npmsn
65020	65020	Mdc
D56	D56	X
–	–	Z
Ždrapanj	Ždrapanj	Npmsn
1,9	1,9	Mdc
LC	LC	Y
65021	65021	Mdc
D56	D56	X
–	–	Z
Pekovića	Peković	Npmsay
Kula	Kul	Npmsay
–	–	Z
L65019	L65019	X
1,8	1,8	Mdc
LC	LC	Y
65022	65022	Mdc
Ž6246	Ž6246	X
–	–	Z
Ićevo	Ićevo	Npnsn
–	–	Z
Bratiškovci	Bratiškovc	Npmpn
–	–	Z
Gorice	gorica	Ncfpn
–	–	Z
Vaćani	Vaćan	Npmpn
(	(	Z
D56	D56	X
)	)	Z
9,1	9,1	Mdc
LC	LC	Y
65023	65023	Mdc
Kistanje	kistanje	Ncnsn
(	(	Z
D59	D59	X
)	)	Z
–	–	Z
Smrdelje	Smrdelje	Npnsn
(	(	Z
Ž6246	Ž6246	X
)	)	Z
8,0	8,0	Mdc
LC	LC	Y
65024	65024	Mdc
Ićevo	Ićevo	Npnsa
(	(	Z
L65022	L65022	X
)	)	Z
–	–	Z
Ž6075	Ž6075	X
3,7	3,7	Mdc
LC	LC	Y
65026	65026	Mdc
Ž6074	Ž6074	X
–	–	Z
D56	D56	X
5,0	5,0	Mdc
LC	LC	Y
65027	65027	Mdc
Trbounje	Trbounje	Npnsa
(	(	Z
Ž6078	Ž6078	X
)	)	Z
–	–	Z
Ž6246	Ž6246	X
2,4	2,4	Mdc
LC	LC	Y
65028	65028	Mdc
Ž6055	Ž6055	X
–	–	Z
Velušić	Velušić	Npmsn
1,5	1,5	Mdc
LC	LC	Y
65029	65029	Mdc
Štikovo	Štikovo	Npnsn
–	–	Z
Ž6082	Ž6082	X
2,5	2,5	Mdc
LC	LC	Y
65030	65030	Mdc
Cetina	Cetin	Npmsay
(	(	Z
Ž6083	Ž6083	X
)	)	Z
–	–	Z
Ž6082	Ž6082	X
5,4	5,4	Mdc
LC	LC	Y
65031	65031	Mdc
Kašić	Kašić	Npfsn
Banjevački	Banjevački	Npfsn
(	(	Z
Ž6068	Ž6068	X
)	)	Z
–	–	Z
Putičanje	putičanje	Ncnsn
(	(	Z
D59	D59	X
)	)	Z
3,3	3,3	Mdc
LC	LC	Npmsn
65032	65032	Mdc
D121	D121	Mdc
–	–	Z
L65032	L65032	X
7,2	7,2	Mdc
LC	LC	Y
65033	65033	Mdc
Ivinj	Ivinj	Npmsan
(	(	Z
D8	D8	X
)	)	Z
–	–	Z
Tribunj	Tribunj	Npmsn
(	(	Z
L65032	L65032	X
)	)	Z
2,6	2,6	Mdc
LC	LC	Npmsn
65038	65038	Mdc
L65026	L65026	X
–	–	Z
Velika	velik	Agpfsny
Glava	glava	Ncfsn
–	–	Z
Ž6075	Ž6075	X
3,0	3,0	Mdc
LC	LC	Y
65039	65039	Mdc
Bičine	Bičina	Npfsg
–	–	Z
D56	D56	X
1,6	1,6	Mdc
LC	LC	Y
65040	65040	Mdc
Stubalj	Stubalj	Xf
–	–	Z
Bilice	Bilica	Npfsg
(	(	Z
Ž6277	Ž6277	X
)	)	Z
