)	)	Z
2.	2.	Mdo
HRVATSKA	hrvatski	Agpfsny
DEMOKRATSKA	demokratski	Agpfsny
ZAJEDNICA	zajednica	Ncfsn
–	–	Z
HDZ	HDZ	Npmsn
HRVATSKA	Hrvatska	Npfsn
SOCIJALNO-LIBERALNA	socijalno-liberalan	Agpfsny
STRANKA	stranka	Ncfsn
–	–	Z
HSLS	HSLS	Npmsn
dobila	dobiti	Vmp-sf
je	biti	Var3s
5	5	Mdc
mjesta	mjesto	Ncnpg
,	,	Z
te	te	Cc
su	biti	Var3p
s	sa	Sg
ove	ovaj	Pd-fsg
liste	lista	Ncfsg
izabrani	izabran	Agpmpny
kandidati	kandidat	Ncmpn
:	:	Z
1.	1.	Mdo
mr.	mr.	Y
sc.	sc.	Y
ANDREJ	Andrej	Npmsn
PLENKOVIĆ	PLENKOVIĆ	Npmsn
(	(	Z
kandidat	kandidat	Ncmsn
na	na	Sl
kandidacijskoj	kandidacijski	Agpfsly
listi	lista	Ncfsl
pod	pod	Si
rednim	redni	Agpmsiy
brojem	broj	Ncmsi
1.	1.	Mdo
)	)	Z
2.	2.	Mdo
BRUNA	BRUNA	Npfsn
ESIH	ESIH	Npfsn
(	(	Z
kandidatkinja	kandidatkinja	Ncfsn
na	na	Sl
kandidacijskoj	kandidacijski	Agpfsly
listi	lista	Ncfsl
pod	pod	Si
rednim	redni	Agpmsiy
brojem	broj	Ncmsi
11.	11.	Mdo
)	)	Z
3.	3.	Mdo
GORDAN	GORDAN	Npmsn
JANDROKOVIĆ	Jandroković	Npmsn
(	(	Z
kandidat	kandidat	Ncmsn
na	na	Sl
kandidacijskoj	kandidacijski	Agpfsly
listi	lista	Ncfsl
pod	pod	Si
rednim	redni	Agpmsiy
brojem	broj	Ncmsi
2.	2.	Mdo
)	)	Z
4.	4.	Mdo
DARINKO	DARINKO	Npfsn
KOSOR	Kosor	Npfsn
(	(	Z
kandidat	kandidat	Ncmsn
na	na	Sl
kandidacijskoj	kandidacijski	Agpfsly
listi	lista	Ncfsl
pod	pod	Si
rednim	redni	Agpmsiy
brojem	broj	Ncmsi
3.	3.	Mdo
)	)	Z
5.	5.	Mdo
akademik	akademik	Ncmsn
ŽELJKO	Željko	Npmsn
REINER	REINER	Npmsn
(	(	Z
kandidat	kandidat	Ncmsn
na	na	Sl
kandidacijskoj	kandidacijski	Agpfsly
listi	lista	Ncfsl
pod	pod	Si
rednim	redni	Agpmsiy
brojem	broj	Ncmsi
4.	4.	Mdo
)	)	Z
3.	3.	Mdo
MOST	most	Ncmsn
NEZAVISNIH	nezavisan	Agpfpgy
LISTA	lista	Ncfpg
–	–	Z
MOST	most	Ncmsan
dobila	dobiti	Vmp-sf
je	biti	Var3s
1	1	Mdc
mjesto	mjesto	Ncnsn
,	,	Z
te	te	Cc
je	biti	Var3s
s	sa	Si
ove	ovaj	Pd-fsg
liste	lista	Ncfsg
izabran	izabrati	Appmsnn
kandidat	kandidat	Ncmsn
:	:	Z
1.	1.	Mdo
VLAHO	VLAHO	Npfsn
OREPIĆ	OREPIĆ	Npfsn
(	(	Z
kandidat	kandidat	Ncmsn
na	na	Sl
kandidacijskoj	kandidacijski	Agpfsly
listi	lista	Ncfsl
pod	pod	Si
rednim	redni	Agpmsiy
brojem	broj	Ncmsi
1.	1.	Mdo
)	)	Z
4.	4.	Mdo
ŽIVI	živjeti	Vmr3s
ZID	zid	Ncmsan
PROMIJENIMO	promijeniti	Vmr1p
HRVATSKU	hrvatski	Agpfpgy
AKCIJA	akcija	Ncfpg
MLADIH	mlad	Agpfpgy
ABECEDA	abeceda	Ncfpg
DEMOKRACIJE	demokracija	Ncfsg
dobila	dobiti	Vmp-sf
je	biti	Var3s
1	1	Mdc
mjesto	mjesto	Ncnsn
,	,	Z
te	te	Cc
je	biti	Var3s
s	sa	Si
ove	ovaj	Pd-fsg
liste	lista	Ncfsg
izabran	izabrati	Appmsnn
kandidat	kandidat	Ncmsn
:	:	Z
1.	1.	Mdo
GORAN	GORAN	Npfsn
ALEKSIĆ	ALEKSIĆ	Npfsn
(	(	Z
kandidat	kandidat	Ncmsn
na	na	Sl
kandidacijskoj	kandidacijski	Agpfsly
listi	lista	Ncfsl
pod	pod	Si
rednim	redni	Agpmsiy
brojem	broj	Ncmsi
1.	1.	Mdo
)	)	Z

Klasa	klasa	Ncfsn
:	:	Z
013	013	Mdc
-	-	Z
03/16	03/16	Mdc
-	-	Z
01/125	01/125	Mdc
Urbroj	urbroj	Ncmsn
:	:	Z
507/11	507/11	Mdc
-	-	Z
16	16	Mdc
-	-	Z
01	01	Mdc
Zagreb	Zagreb	Npmsn
,	,	Z
26.	26.	Mdo
rujna	rujan	Ncmsg
2016.	2016.	Mdo

Predsjednik	predsjednik	Ncmsn
Branko	Branko	Npmsn
Hrvatin	Hrvatin	Npmsn
,	,	Z
dipl.	dipl.	Y
iur.	iur.	Y
,	,	Z
v.	v.	Y
r.	r.	Y

