Gymnothorax	gymnothoti	Rr
iverak	iverak	Ncmsn
zlatopjeg	zlatopje	Agpfsgy
palamide	palamida	Ncfsg
Sarda	Sard	Npmpg
spp	sp	Ncmpg
.	.	Z

Pleuronectidae	pleuronectidae	Agpmpny
iverci	iverak	Ncmpn
papalina	papalina	Ncfpg
Sprattus	Sprattus	Npfsg
sprattus	sprattan	Agpfsgy
Pleuronectiformes	pleuronectiformei	Agpfsgy
plosnatice	plosnatica	Ncfsg
papaline	papalina	Ncfsg
Sprattus	Sprattu	Npmpg
spp	sp	Ncmpg
.	.	Z

Pollachius	pollachiui	Agpfsny
pollachius	pollachiui	Agpfsny
kolja	kolja	Ncfsn
papigača	papigač	Ncmpg
Sparisoma	Sparisom	Npmsg
cretense	cretense	Xf
Pollachius	Pollachius	Xf
spp	spp	Ncmsan
.	.	Z
kolje	kolja	Ncfsg
papigače	papigakati	Vmr3s
Scarus	Scarus	Xf
spp	spp	Xf
.	.	Z

Pollachius	Pollachius	Npfsn
virens	virean	Agpfsny
crna	crn	Agpfsny
kolja	kolja	Ncfsn
,	,	Z
crni	crn	Agpmsny
bakalar	bakalar	Ncmsn
papigače	papigača	Ncfsg
Sparisoma	Sparisom	Npmsg
spp	spp	Mro
.	.	Z

Polyprion	Polyprion	Xf
americanus	americanus	Xf
kirnja	kirnja	Ncfsn
glavulja	glavulj	Ncmpg
pas	pas	Ncmsn
glavonja	glavonje	Ncnsg
Hexanchus	Hexanchus	Xf
griseus	griseus	Xf
Polyprion	Polyprion	Xf
spp	spp	Ncmsan
.	.	Z
kirnje	kirnja	Ncfsg
glavulje	glavulje	Agpmsny
pas	pas	Ncmsn
kostelj	kostelj	Ncmsn
(	(	Z
vlastelin	vlastelin	Ncmsn
)	)	Z
Squalus	squalus	Agpmsny
blainville	blainville	Agpmsny
Pomadasys	Pomadasys	Npmsn
sp	sp	Agpmsnn
.	.	Z
grunt	grunt	Agpmsny
pas	pas	Ncmsn
lisica	lisica	Ncfpg
Alopias	Alopias	Npmsn
vulpinus	vulpinus	Xf
Pomatomidae	Pomatomidae	Xf
strijelke	strijelke	Agpmsny
pas	pas	Ncmsn
mekuš	meku	Agpmsny
piknjavac	piknjavac	Ncmsn
Mustelus	Mustelus	Xf
punctulatus	punctulatus	Xf
Poronotus	Poronotus	Xf
spp	spp	Xf
.	.	Z
plotice	plotica	Ncfpn
morske	morski	Agpfsgy
pas	pas	Ncmsn
mekuš	meku	Agpfsgy
Mustelus	Mustelus	Xf
asterias	asterias	Xf
Priacanthus	Priacanthus	Xf
spp	spp	Xf
.	.	Z
velikookani	velikookan	Agpmsny
pas	pas	Ncmsn
modrulj	modrulj	Ncmsn
Prionace	Prionaca	Npfsg
glauca	glauc	Ncmpg
Prionace	Prionaca	Npfsg
glauca	glauca	Agpmsny
pas	pas	Ncmsn
modrulj	modrulj	Ncmsn
pas	pas	Ncmsn
prasac	prasac	Ncmsn
Oxynotus	Oxynotus	Npfsg
centrina	centrina	Npfsg
Pristidae	Pristidaa	Npfsg
pilani	pilana	Ncfsl
pas	pas	Ncmsn
tupan	tupan	Xf
Carcharhinus	Carcharhinus	Xf
plumbeus	plumbeus	Xf
Pristis	Pristis	Xf
pectinata	pectint	Ncmpg
pilan	pilati	Appmsnn
pas	pas	Ncmsn
volonja	volonje	Ncnsg
Heptranchias	Heptranchias	Pp2-pa
perlo	perla	Sg
Psetta	Psett	Npmsg
maxima	maxian	Agpmsayn
romb	romb	Ncmsan
pas	pas	Ncmsn
zvjezdaš	zvjezdaš	Xf
Echinorhinus	Echinorhinus	Xf
brucus	brucus	Xf
Pseudocaranx	Pseudocaranx	Xf
dentex	dentex	Xf
šnjurak	šnjurak	Agpmpny
pastiri	pastir	Ncmpn
Centrolophidae	Centrolophidaa	Npmsg
Pseudocyttus	Pseudocyttus	Xf
maculatus	maculatus	Xf
novozelandski	novozelandski	Agpmsny
oreo	oreo	Ncmsn
patarača	patarač	Ncmpg
Citharus	Citharus	Xf
linguatula	linguatula	Xf
Pseudopleuronectes	Pseudopleuronectes	Xf
americanus	americanus	Xf
američki	američki	Agpmsny
iverak	iverak	Ncmsn
patarača	patarač	Ncmpg
crnopjega	crnopjeg	Ncmpg
Lepidorhombus	Lepidorhombus	Xf
boscii	boscii	Xf
Pseudotolithus	Pseudotolithus	Xf
spp	spp	Xf
.	.	Z
roktaši	roktaš	Ncmpn
patarača	patarač	Ncmpg
oštronoska	oštronoski	Agpfsny
Lepidorhombus	Lepidorhombus	Xf
whiffiagonis	whiffiagonis	Xf
Pterogymnus	Pterogymnus	Xf
laniarius	laniarius	Xf
morska	morski	Agpfsny
panga	panga	Ncfsn
patarače	patarača	Ncfsg
Lepidorhombus	Lepidorhombus	Xf
spp	spp	Xf
.	.	Z

Pteroplatytrygon	Pteroplatytrygon	Npmsn
violacea	violacei	Agpfsny
žutuga	žutuga	Ncfsn
ljubičasta	ljubičast	Agpfsny
pauci	pauk	Ncmpn
Trachinus	Trachinus	Xf
spp	spp	Xf
.	.	Z

Rachycentridae	rachycentridae	Ncnsn
kobije	kobije	Agpmsann
pauk	pauk	Ncmsan
Trachinus	Trachinus	Xf
draco	draco	Xf
Raja	raj	Ncmsg
asterias	asterias	Agpfsny
raža	raža	Ncfsn
zvjezdopjega	zvjezdopjeg	Ncmpg
pauk	pauk	Ncmsn
Trachinus	Trachinus	Xf
araneus	araneus	Xf
Raja	raj	Ncmsg
clavata	clavat	Agpfsny
raža	raža	Ncfsn
kamenica	kamenica	Ncfpg
pauk	pauk	Ncmsn
Trachinus	Trachinus	Xf
radiatus	radiatus	Xf
Raja	raj	Ncmsg
miraletus	miraletu	Agpfsny
raža	raža	Ncfsn
modropjega	modropjeg	Ncmpg
pauk	pauk	Ncmsn
Echiichthys	Echiichthy	Npmpg
vipera	viper	Ncmpg
Raja	raj	Ncmsg
montagui	montagui	Agpfsny
raža	raža	Ncfsn
crnopjega	crnopjeg	Agpfsny
pavlinka	pavlinka	Ncfsn
Symphodus	Symphodus	Xf
ocellatus	ocellatus	Xf
Raja	raj	Ncmsg
polystigma	polystigm	Agpfsny
raža	raža	Ncfsn
crnožiga	crnožiga	Var3s
peruanski	peruanski	Agpmsny
inćun	inćun	Ncmsn
Engraulis	Engraulis	Npmsn
ringens	ringens	Sg
Raja	raj	Ncmsg
radula	raduo	Agpfsny
raža	raža	Ncfsn
tuponoska	tuponoski	Agpfsny
pic	pic	Ncmsn
Diplodus	Diplodus	Npfsg
puntazzo	puntazzo	Sg
Raja	raj	Ncmsg
spp	sp	Ncmpg
.	.	Z
raže	raža	Ncfsg
pilan	pilati	Appmsnn
Pristis	Pristi	Npmpg
pectinata	pectint	Ncmpg
Raja	raj	Ncmsg
undulata	undulat	Agpfsny
raža	raža	Ncfsn
vijošarka	vijošarkati	Vmr3s
pilani	pilati	Appmpny
Pristidae	Pristidae	Npfsn
Ranzania	Ranzania	Npfsn
leavis	leavis	Agpmsny
bucanj	bucanj	Ncmsn
mali	mali	Agpmsny
pirka	pirka	Ncfsn
Serranus	Serranus	Xf
scriba	scriba	Xf
Reinhardtius	Reinhardtius	Xf
hippoglossoides	hippoglossoides	Xf
grenlandski	grenlandski	Agpmsny
halibut	halibtan	Agpmsny
pišmolj	pišmolj	Ncmsn
Merlangius	Merlangius	Xf
merlangus	merlangus	Xf
Remora	Remora	Xf
australis	australis	Xf
priljepuša	priljepuš	Agpfsny
australska	australski	Agpfsny
pjevčina	pjevčin	Agpfsny
pučinka	pučinka	Ncfsn
Luvarus	Luvarus	Xf
imperialis	imperialis	Xf
Remora	Remor	Npmsg
remora	remor	Ncmsg
priljepuša	priljepuša	Pi-msn
plavi	plav	Agpmsny
trkač	trkač	Ncmsn
Caranx	Caranx	Npfsg
crysos	crysos	Sg
Remora	Remor	Npmsg
spp	spp	Mro
.	.	Z
priljepuše	priljepuš	Agpfpay
plavice	plavica	Ncfpa
,	,	Z
skušovke	skušovka	Ncfpa
Scomber	Scomber	Npmsan
spp	spp	Ncmsan
.	.	Z

Rhinobatidae	rhinobatidaa	Ncfpn
ražopsi	ražopsa	Ncfpg
plavoperajna	plavoperajan	Agpfsny
tuna	tuna	Ncfsn
,	,	Z
plavoperajni	plavoperajan	Agpmsny
tunj	tunj	Ncmsn
Thunnus	Thunnus	Xf
thynnus	thynnus	Xf
Rhinobatos	Rhinobatos	Npmsn
rhinobatos	rhinobato	Agpfpgy
ražopas	ražopas	Agpfpgy
plosnatica	plosnatica	Ncfpg
bljedica	bljedica	Ncfpg
Arnoglossus	Arnoglossu	Npmsg
laterna	latern	Npmsg
Rhombosolea	Rhombosole	Npmsg
spp	spp	Mro
.	.	Z
pacifički	pacifički	Agpmpny
iverci	iverak	Ncmpn
plosnatice	plosnatica	Ncfsg
Pleuronectiformes	Pleuronectiformes	Npfsn
Rostroraja	Rostroraja	Npfsn
alba	alb	Agpfsny
volina	volina	Ncfsn
bjelica	bjelica	Ncfpg
plotica	plotica	Ncfpg
morska	morski	Agpfsny
Stromateus	Stromateus	Npfsn
fiatola	fiatola	Npfsn
Ruvettus	Ruvettus	Npfsn
pretiosus	pretiosu	Agpfsgy
ljuskotrn	ljuskotr	Agpfsgy
plotice	plotica	Ncfsg
morske	morski	Agpfsgy
Poronotus	Poronotus	Npfsg
spp	spp	Ncfpg
.	.	Z

Ruvettus	Ruvettus	Xf
spp	spp	Xf
.	.	Z
ljuskotrni	ljuskotrna	Ncfsl
podujka	podujak	Ncmsg
Symphodus	Symphodus	Npmsn

