repaš	repati	Vmr2s
Mustelus	Mustelus	Xf
asterias	asterias	Agpmsny
pas	pas	Ncmsn
mekuš	meku	Agpfsgy
menhadeni	menhaden	Ncfsg
Brevoortia	Brevoortia	Npfsn
spp	spp	Ncmsan
.	.	Z

Mustelus	mustelus	Rgp
mustelus	mustelus	Pi-msan
čukov	čukov	Agpmsayn
mišić	mišić	Ncmsan
Callionymus	Callionymus	Xf
lyra	lyra	Xf
Mustelus	Mustelus	Xf
punctulatus	punctulatus	Xf
pas	pas	Ncmsn
mekuš	mekušti	Vmr3s
piknjavac	piknjavac	Agpmsayn
mlat	mlat	Ncmsan
Sphyrna	Sphyrn	Npmsg
zygaena	zygaen	Npmsg
Mustelus	Mustelu	Npmsg
spp	spp	Mro
.	.	Z
čukovi	čukov	Agpmpny
mlatovi	mlat	Ncmpn
Sphyrna	Sphyrn	Npmsg
spp	spp	Pi-mpi
.	.	Z

Mycteroperca	mycteroperca	Ncfsn
rubra	rubar	Agpfsny
češljasta	češljast	Agpfsny
kirnja	kirnja	Ncfsn
mlatovi	mlat	Ncmpn
Sphyrnidae	Sphyrnidaa	Npfsg
Myctophidae	Myctophidaa	Npfsg
gušterani	gušteran	Agpmsny
mliječ	mliječ	Ncfsn
ružični	ružična	Ncfpg
Aphia	aphii	Agpfsny
minuta	minuta	Ncfsn
Myliobatidae	Myliobatidae	Pd-mpn
golubovi	golub	Ncmpn
modrak	modraa	Ncfsg
Spicara	Spicara	Npfsn
maena	maen	Agpfsny
Myliobatis	Myliobatis	Npfsn
aquila	aquiti	Vmp-sf
golub	golub	Ncmsan
morska	morski	Agpfsny
panga	panga	Ncfsn
Pterogymnus	Pterogymnus	Xf
laniarius	laniarius	Xf
Naucrates	Naucrates	Xf
ductur	ductur	Xf
fanfan	fanfan	Agpfsgy
morske	morski	Agpfsgy
mačke	mačka	Ncfsg
Scyliorhinus	Scyliorhinus	Xf
spp	spp	Xf
Nemipterus	Nemipterus	Xf
spp	spp	Xf
.	.	Z
nitorepke	nitorepke	Agpmsny
morski	morski	Agpmsny
slon	slon	Ncmsn
,	,	Z
himera	himera	Ncfsn
slon	slon	Ncmsn
Callorhinchus	Callorhinchus	Npmsn
sp	sp	Npmsn
.	.	Z

Nerophis	Nerophis	Npmsn
maculatus	maculatusti	Vmr3s
šilo	šilo	Ncnsa
morski	morski	Agpmpny
somovi	som	Ncmpn
Ariidae	Ariidae	Npmsn
Nerophis	Nerophis	Npmsn
ophidion	ophidionti	Vmr3s
šilo	šilo	Ncnsa
murina	murina	Ncfpg
Muraena	Muraen	Npmsg
helena	Helena	Npfsn
Nerophis	Nerophis	Npfsn
spp	spp	Ncmsan
.	.	Z
šilca	šilc	Agpfsny
murina	murina	Ncfsn
crnka	crnka	Ncfsn
Gymnothorax	Gymnothorax	Xf
unicolor	unicolor	Xf
Oblada	Oblada	Npfsn
melanura	melanur	Agpfsny
ušata	ušata	Ncfsn
murine	murina	Ncfsg
Muraena	Muraen	Npmsg
spp	spp	Qr
.	.	Z

Odontapsis	odontapsis	Agpfpgy
ferox	fero	Agpfpgy
psina	psina	Ncfpg
zmijozuba	zmijozub	Ncmpg
,	,	Z
petošiljka	petošiljka	Ncfsn
murine	murina	Ncfsg
Muraenesox	muraenes	Aspmpgy
spp	sp	Ncmpg
.	.	Z

Odontaspis	Odontaspis	Npmsn
spp	sti	Vmr3p
.	.	Z
psine	psina	Ncfsg
zmijozube	zmijozub	Agpfsgy
murine	murina	Ncfsg

