4.3	4.3	Agpmpny
000,00	000,00	Mdc
800,00	800,00	Mdc
1	1	Mdc
600,00	600,00	Mdc
2	2	Mdc
400,00	400,00	Mdc
1	1	Mdc
800,00	800,00	Mdc
1	1	Mdc
500,00	500,00	Mdc
1	1	Mdc
200,00	200,00	Mdc
Sustav	sustav	Ncmsn
automatske	automatski	Agpfsgy
dojave	dojava	Ncfsg
požara	požar	Ncmsg
3	3	Mdc
200,00	200,00	Mdc
5	5	Mdc
400,00	400,00	Mdc
1	1	Mdc
200,00	200,00	Mdc
2	2	Mdc
400,00	400,00	Mdc
4	4	Mdc
200,00	200,00	Mdc
3	3	Mdc
200,00	200,00	Mdc
2	2	Mdc
700,00	700,00	Mdc
2	2	Mdc
200,00	200,00	Mdc
Sustav	sustav	Ncmsn
za	za	Sa
automatsko	automatski	Agpnsay
gašenje	gašenje	Ncnsa
požara	požar	Ncmsg
7	7	Mdc
500,00	500,00	Mdc
10	10	Mdc
000,00	000,00	Mdc
5	5	Mdc
000,00	000,00	Mdc
7	7	Mdc
500,00	500,00	Mdc
10	10	Mdc
000,00	000,00	Mdc
6	6	Mdc
500,00	500,00	Mdc
5	5	Mdc
000,00	000,00	Mdc
4	4	Mdc
000,00	000,00	Mdc
NAPOMENE	napomena	Ncfsg
1	1	Mdc
)	)	Z
Za	za	Sa
primarnu	primaran	Agpfsay
konstrukciju	konstrukcija	Ncfsa
krova	krov	Ncmsg
dovoljna	dovoljan	Agpfsny
je	biti	Var3s
otpornost	otpornost	Ncfsn
na	na	Sa
požar	požar	Ncmsan
R30	R30	Mds
(	(	Z
2	2	Mdc
)	)	Z
Za	za	Sa
primarnu	primaran	Agpfsay
konstrukciju	konstrukcija	Ncfsa
krova	krov	Ncmsg
dovoljna	dovoljan	Agpfsny
je	biti	Var3s
otpornost	otpornost	Ncfsn
na	na	Sa
požar	požar	Ncmsan
R60	R60	Qr
.	.	Z

Tablica	tablica	Ncfsn
3.	3.	Mdo
Otpornost	otpornost	Ncfsn
na	na	Sa
požar	požar	Ncmsan
sigurnosnih	sigurnosni	Agpmpgy
stubišnih	stubišni	Agpmpgy
prostora	prostor	Ncmpg

Predmet	predmet	Ncmsn
ZPS2	ZPS	Npmsg
(	(	Z
1	1	Mdc
)	)	Z
ZPS3	ZPS	Npmsl
(	(	Z
1	1	Mdc
)	)	Z
ZPS4	zps4	Rgp
ZPS5	ZPS5	Mdc
1	1	Mdc
Zidovi	zid	Ncmpn
stubišta	stubište	Ncnsg
1.1	1.1	Mdc
suteren	suteren	Ncmsan
,	,	Z
prizemlje	prizemlje	Ncnsn
i	i	Cc
katovi	kat	Ncmpn
(	(	Z
2	2	Mdc
)	)	Z
REI	REI	Npmsn
30	30	Mdc
EI30	EI30	Mdc
REI	REI	Y
60	60	Mdc
EI	EI	Y
60	60	Mdc
REI	REI	Y
60	60	Mdc
(	(	Z
3	3	Mdc
)	)	Z
EI	EI	Y
60	60	Mdc
(	(	Z
3	3	Mdc
)	)	Z
REI	REI	Y
90	90	Mdc
(	(	Z
3	3	Mdc
)	)	Z
EI	EI	Y
90	90	Mdc
(	(	Z
3	3	Mdc
)	)	Z
1.2	1.2	Mdc
podrumske	podrumski	Agpfsgy
(	(	Z
podzemne	podzeman	Agpfsgy
etaže	etaža	Ncfsg
)	)	Z
REI	REI	Y
30	30	Mdc
EI	EI	Y
30	30	Mdc
REI	REI	Y
90	90	Mdc
(	(	Z
3	3	Mdc
)	)	Z
EI	EI	Y
90	90	Mdc
(	(	Z
3	3	Mdc
)	)	Z
2	2	Mdc
Strop	strop	Ncmsan
iznad	iznad	Sg
stubišta	stubište	Ncnsg
(	(	Z
4	4	Mdc
)	)	Z
REI	REI	Y
30	30	Mdc
REI	REI	Y
60	60	Mdc
EI	EI	Y
60	60	Mdc
REI	REI	Y
60	60	Mdc
(	(	Z
3	3	Mdc
)	)	Z
EI	EI	Y
60	60	Mdc
(	(	Z
3	3	Mdc
)	)	Z
REI	reiti	Vmr3s
90	90	Mdc
3	3	Mdc
Vrata	vrata	Ncnpg
u	u	Sl
zidovima	zid	Ncmpl
stubišta	stubište	Ncnsg
bez	bez	Sg
zapornice	zapornica	Ncfsg
3.1	3.1	Mdc
za	za	Sa
stanove	stan	Ncmpa
,	,	Z
poslovne	poslovan	Agpmpay
prostore	prostor	Ncmpa
i	i	Cc
druge	drugi	Agpmpay
prostore	prostor	Ncmpa
koji	koji	Pi-mpn
izravno	izravno	Rgp
vode	voditi	Vmr3p
na	na	Sa
stubište	stubište	Ncnsa
EI2	ei	Agpmsgy
30	30	Mdc
EI2	EI2	Xf
30-C	30-C	Xf
EI2	EI2	Xf
30-C	30-C	Xf
-	-	Z
Sm	Sm	Xf
EI2	EI2	Xf
30-C	30-C	Xf
-	-	Z
Sm	Sm	I
sa	sa	Si
sustavom	sustav	Ncmsi
za	za	Sa
automatsku	automatski	Agpfsay
dojavu	dojava	Ncfsa
požara	požar	Ncmsg
ili	ili	Cc
s	sa	Si
autonomnim	autonoman	Agpmsiy
dojavnim	dojavni	Agpmsiy
uređajem	uređaj	Ncmsi
(	(	Z
7	7	Mdc
)	)	Z
i	i	Cc
uređajem	uređaj	Ncmsi
za	za	Sa
odvodnju	odvodnja	Ncfsa
dima	dim	Ncmsg
ili	ili	Cc
EI2	EI	Npmsl
30-C	30-a	Ncfsl
sa	sa	Si
sustavom	sustav	Ncmsi
mehaničke	mehanički	Agpfsgy
ventilacije	ventilacija	Ncfsg
3.2	3.2	Mdc
za	za	Sa
hodnike	hodnik	Ncmpa
koji	koji	Pi-mpn
vode	voditi	Vmr3p
na	na	Sa
stubište	stubište	Ncnsa
u	u	Sl
suterenu	suteren	Ncmsl
,	,	Z
prizemlju	prizemlje	Ncnsl
i	i	Cc
katovima	kat	Ncmpl
BEZ	bez	Sg
ZAHTJEVA	zahtjev	Ncmpg
E	E	Npfsg
30-C	30-C	Npfsg
3.3	3.3	Mdc
za	za	Sa
hodnike	hodnik	Ncmpa
i	i	Cc
prostorije	prostorija	Ncfpa
u	u	Sl
podzemnim	podzeman	Agpfply
etažama	etaža	Ncfpl
koje	koji	Pi-fpn
izravno	izravno	Rgp
vode	voditi	Vmr3p
na	na	Sa
stubište	stubište	Ncnsa
EI2	ei	Agpmsgy
30	30	Mdc
EI2	EI2	Y
30-C	30-C	Npmsn
4	4	Mdc
Vrata	vrat	Ncmsg
u	u	Sl
zidovima	zid	Ncmpl
stubišta	stubište	Ncnsg
s	sa	Si
učinkovitom	učinkovit	Agpfsiy
ventilacijom	ventilacija	Ncfsi
u	u	Sl
predprostoru	predprostor	Ncmsl
(	(	Z
zapornici	zapornica	Ncfsl
)	)	Z
4.1	4.1	Mdc
od	od	Sg
zapornice	zapornica	Ncfsg
prema	prema	Sl
hodniku	hodnik	Ncmsl
i	i	Cc
stubištu	stubište	Ncnsl
nije	biti	Var3s
potrebno	potreban	Agpnsny
E	e	Ncnsn
60-C	60-e	Npnpg
4.2	4.2	Mdc
od	od	Sg
stambenih	stambeni	Agpfpgy
ili	ili	Cc
poslovnih	poslovan	Agpfpgy
jedinica	jedinica	Ncfpg
,	,	Z
kao	kao	Cs
i	i	Cc
drugih	drugi	Mlompg
prostora	prostor	Ncmsg
prema	prema	Sl
zapornici	zapornica	Ncfsl
nije	biti	Var3s
potrebno	potreban	Agpnsny
EI2	eii	Agpnsny
60-C	60-i	Agpnsny
5	5	Mdc
Krakovi	krak	Ncmpn
i	i	Cc
podesti	podest	Ncmpn
stubišta	stubište	Ncnsg
5.1	5.1	Mdc
u	u	Sl
stubištima	stubište	Ncnpl
bez	bez	Sg
predprostora	predprostor	Ncmsg
R	R	Y
30	30	Mdc
R	R	Y
60	60	Mdc
R	R	Y
60	60	Mdc
i	i	Cc
najmanje	malo	Rgs
A2	A2	X
R	R	X
90	90	Mdc
5.2	5.2	Mdc
u	u	Sl
stubištima	stubište	Ncnpl
sa	sa	Si
zapornicom	zapornica	Ncfsi
,	,	Z
u	u	Sa
koju	koji	Pi-fsa
vode	voditi	Vmr3p
automatska	automatski	Agpnpay
samozatvarajuća	samozatvarajući	Agpnpay
vrata	vrata	Ncnpa
,	,	Z
E	E	Npmsn
30-C	30-C	Npmsn
i	i	Cc
/	/	Z
ili	ili	Cc
EI2	EI2	Pd-nsn
30-C	30-i	Agpnsny
,	,	Z
EI2	EI2	Npmsn
30-C	30-C	Npmsn
-	-	Z
Sm	sti	Vmm2s
BEZ	bez	Sg
ZAHTJEVA	zahtjev	Ncmpg
R	R	Y
30	30	Mdc
ili	ili	Cc
najmanje	malo	Rgs
A2	A2	Pi-fpa
R	a	Ncfpa
30	30	Mdc
i	i	Cc
najmanje	malo	Rgs
A2	A2	X
R	R	X
60	60	Mdc
i	i	Cc
najmanje	malo	Rgs
A2	A2	Xf
6	6	Mdc
Sustav	sustav	Ncmsn
za	za	Sa
automatsku	automatski	Agpfsay
dojavu	dojava	Ncfsa
požara	požar	Ncmsg
u	u	Sl
stubištima	stubište	Ncnpl
,	,	Z
bez	bez	Sg
zapornice	zapornica	Ncfsg
nije	biti	Var3s
potrebno	potreban	Agpnsny
u	u	Sl
stubištu	stubište	Ncnsl
,	,	Z
uključujući	uključivati	Rr
i	i	Cc
opće	opće	Rgp
dostupna	dostupan	Agpnpny
područja	područje	Ncnpn
kao	kao	Cs
što	što	Cs
su	biti	Var3p
hodnici	hodnik	Ncmpn
i	i	Cc
podrumske	podrumski	Agpfpny
prostorije	prostorija	Ncfpn
,	,	Z
s	sa	Si
minimalnom	minimalan	Agpfsiy
funkcijom	funkcija	Ncfsi
alarma	alarm	Ncmsg
,	,	Z
osim	osim	Cs
kod	kod	Sg
stambenih	stambeni	Agpfpgy
zgrada	zgrada	Ncfpg
s	sa	Si
autonomnim	autonoman	Agpmsiy
dojavnim	dojavni	Agpmsiy
uređajem	uređaj	Ncmsi
(	(	Z
7	7	Mdc
)	)	Z
samo	samo	Rgp
u	u	Sl
prostoru	prostor	Ncmsl
stubišta	stubište	Ncnsg
7	7	Mdc
Mehanička	mehanički	Agpfsny
ventilacija	ventilacija	Ncfsn
u	u	Sl
stubištima	stubište	Ncnpl
bez	bez	Sg
zapornice	zapornica	Ncfsg
nije	biti	Var3s
potrebno	potreban	Agpnsny
potrebno	potreban	Agpnsny
je	biti	Var3s
uvesti	uvesti	Vmn
neki	neki	Pi-mpn
od	od	Sg
sustava	sustav	Ncmsg
za	za	Sa
sprječavanje	sprječavanje	Ncnsa
ulaska	ulazak	Ncmsg
dima	dim	Ncmsg
ili	ili	Cc
njegovo	njegov	Ps3nsa
razrjeđivanje	razrjeđivanje	Ncnsa
(	(	Z
8	8	Mdc
)	)	Z
8	8	Mdc
UREĐAJ	uređaj	Ncmsan
ZA	za	Sa
ODVODNJU	odvodnja	Ncfsa
DIMA	dim	Ncmsg
(	(	Z
5,6	5,6	Mdc
)	)	Z
8.1	8.1	Mdc
Lokacija	lokacija	Ncfsn
na	na	Sl
vrhu	vrh	Ncmsl
stubišta	stubište	Ncnsg
8.2	8.2	Mdc
Veličina	veličina	Ncfpg
područje	područje	Ncnsn
slobodnog	slobodan	Agpmsgy
presjeka	presjek	Ncmsg
od	od	Sg
1,00	1,00	Mdc
m²	m²	Agpmpny
8.3	8.3	Agpmpny
uređaji	uređaj	Ncmpn
za	za	Sa
otvaranje	otvaranje	Ncnsa
Na	na	Sl
posljednjem	posljednji	Agpmsly
podestu	podest	Ncmsl
i	i	Cc
prizemlju	prizemlje	Ncnsl
odnosno	odnosno	Rgp
katu	kat	Ncmsl
na	na	Sa
koji	koji	Pi-msan
mogu	moći	Vmr3p
pristupiti	pristupiti	Vmn
vatrogasci	vatrogasac	Ncmpn
.	.	Z

Otvaranje	otvaranje	Ncnsn
mora	morati	Vmr3s
biti	biti	Van
neovisno	neovisan	Agpnsny
o	o	Sl
općem	opći	Agpnsly
napajanju	napajanje	Ncnsl
električnom	električan	Agpfsiy
energijom	energija	Ncfsi
.	.	Z

Da	da	Cs
bi	biti	Vaa3s
se	sebe	Px--sa
osigurao	osigurati	Vmp-sm
prirodni	prirodan	Agpmsny
uzgon	uzgon	Ncmsn
odvođenja	odvođenje	Ncnsg
dima	dim	Ncmsg
iz	iz	Sg
stubišta	stubište	Ncnsg
nužno	nužan	Agpnsny
je	biti	Var3s
osigurati	osigurati	Vmn
dovod	dovod	Ncmsan
vanjskog	vanjski	Agpmsgy
zraka	zrak	Ncmsg
i	i	Cc
to	to	Qo
kanalom	kanal	Ncmsi
ili	ili	Cc
prozorom	prozor	Ncmsi
dovoljnog	dovoljan	Agpmsgy
poprečnog	poprečan	Agpmsgy
presjeka	presjek	Ncmsg
sa	sa	Si
stalnim	stalan	Agpmsiy
otvorom	otvor	Ncmsi
ili	ili	Cc
vratima	vrata	Ncnpl
povezanim	povezan	Agpmpiy
sa	sa	Si
vanjskim	vanjski	Agpmsiy
prostorom	prostor	Ncmsi
opremljena	opremiti	Appfsny
uređajem	uređaj	Ncmsi
za	za	Sa
fiksiranje	fiksiranje	Ncnsa
u	u	Sl
stalno	stalno	Rgp
otvorenom	otvoren	Agpmsly
položaju	položaj	Ncmsl
.	.	Z

Otvori	otvor	Ncmpn
za	za	Sa
dovod	dovod	Ncmsan
vanjskog	vanjski	Agpmsgy
zraka	zrak	Ncmsg
moraju	morati	Vmr3p
se	sebe	Px--sa
nalaziti	nalaziti	Vmn
ispod	ispod	Sg
jedne	jedan	Mlcfsg
polovice	polovica	Ncfsg
srednje	srednji	Agpfsgy
konstrukcijske	konstrukcijski	Agpfsgy
visine	visina	Ncfsg
stubišta	stubište	Ncnsg
.	.	Z

Pokretanje	pokretanje	Ncnsn
preko	preko	Sg
sustava	sustav	Ncmsg
za	za	Sa
automatsku	automatski	Agpfsay
dojavu	dojava	Ncfsa
požara	požar	Ncmsg
ili	ili	Cc
pokretanje	pokretanje	Ncnsa
preko	preko	Sg
autonomnog	autonoman	Agpmsgy
dojavnog	dojavni	Agpmsgy
uređaja	uređaj	Ncmsg
(	(	Z
7	7	Mdc
)	)	Z
i	i	Cc
dodatna	dodatan	Agpfsny
opcija	opcija	Ncfsn
–	–	Z
ručno	ručni	Agpnsny
otvaranje	otvaranje	Ncnsn
na	na	Sl
posljednjem	posljednji	Agpmsly
podestu	podest	Ncmsl
i	i	Cc
prizemlju	prizemlje	Ncnsl
odnosno	odnosno	Rgp
katu	kat	Ncmsl
na	na	Sa
koji	koji	Pi-msan
mogu	moći	Vmr3p
pristupiti	pristupiti	Vmn
vatrogasci	vatrogasac	Ncmpn
.	.	Z

Otvaranje	otvaranje	Ncnsn
mora	morati	Vmr3s
biti	biti	Van
neovisno	neovisan	Agpnsny
o	o	Sl
općem	opći	Agpnsly
napajanju	napajanje	Ncnsl
električnom	električan	Agpfsiy
energijom	energija	Ncfsi
.	.	Z
9	9	Mdc
VANJSKO	vanjski	Agpnsny
STUBIŠTE	stubište	Ncnsn
najmanje	malo	Rgs
A2	a2ti	Vmr3s
uz	uz	Sa
uvjet	uvjet	Ncmsan
da	da	Cs
je	biti	Var3s
stubište	stubište	Ncnsn
zaštićeno	zaštititi	Appnsny
od	od	Sg
prodora	prodor	Ncmsg
vatre	vatra	Ncfsg
i	i	Cc
dima	dim	Ncmsg
preko	preko	Sg

