muzike	muzika	Ncfpa
XIV	xiv	Ncmsn
godišnji	godišnji	Agpmsny
koncert	koncert	Ncmsn
RKUD-a	RKUD	Npmsg
»	»	Z
Darda	Dard	Npmpg
«	«	Z
,	,	Z
Darda	Darda	Npfsn
8.000,00	8.000,00	Mdc
3.	3.	Mdo
UDRUGA	udruga	Ncfsn
MLADEŽI	mladež	Ncfsg
ROMA	Rom	Npmsg
HRVATSKE	hrvatski	Agpfsgy
5.000,00	5.000,00	Mdc
1.	1.	Mdo
Kulturna	kulturan	Agpfsny
manifestacije	manifestacija	Ncfsg
:	:	Z
–	–	Z
Obilježavanje	obilježavanje	Ncnsn
i	i	Cc
proslava	proslava	Ncfsn
Đurđevdana	Đurđevdana	Npfsn
5.000,00	5.000,00	Mdc
4.	4.	Mdo
HUMANITARNA	humanitaran	Agpfsny
ORGANIZACIJA	organizacija	Ncfsn
SVJETSKA	svjetski	Agpfsny
ORGANIZACIJA	organizacija	Ncfsn
ROMA	Rom	Npmsg
U	u	Sl
HRVATSKOJ	Hrvatska	Npfsl
,	,	Z
ZAGREB	Zagreb	Npmsn
70.000,00	70.000,00	Mdc
1.	1.	Mdo
Informiranje	informiranje	Ncnsn
70.000,00	70.000,00	Mdc
–	–	Z
Časopis	časopis	Ncmsn
za	za	Sa
djecu	dijete	Ncnpa
i	i	Cc
mladež	mladež	Ncfsa
»	»	Z
Čhavorikano	Čhavorikano	Npmsan
lil	lil	Ncmsan
«	«	Z
»	»	Z
Romska	romski	Agpnpny
djeca	dijete	Ncnpn
«	«	Z
,	,	Z
4	4	Mdc
broja	broj	Ncmsg
,	,	Z
naklada	naklada	Ncfsn
1000	1000	Mdc
kom	kom	Ncmsan
,	,	Z
A	a	Cc
4	4	Mdc
,	,	Z
35	35	Mdc
-	-	Z
40	40	Mdc
str.	str.	Y
5.	5.	Mdo
UDRUGA	udruga	Ncfsn
ŽENA	ŽENA	Npfsn
ROMKINJA	ROMKINJA	Npfsn
HRVATSKE	Hrvatska	Npfsg
»	»	Z
BOLJA	dobar	Agcfsny
BUDUĆNOST	budućnost	Ncfsn
«	«	Z
ZAGREB	Zagreb	Npmsn
80.000,00	80.000,00	Mdc
1.	1.	Mdo
Informiranje	informiranje	Ncnsn
:	:	Z
–	–	Z
Budućnost	budućnost	Ncfsn
/	/	Z
Anglunipe	Anglunipa	Npfsg
,	,	Z
časopis	časopis	Ncmsn
,	,	Z
4	4	Mdc
broja	broj	Ncmsg
,	,	Z
A	a	Cc
4	4	Mdc
,	,	Z
30	30	Mdc
-	-	Z
36	36	Mdc
stranica	stranica	Ncfpg
,	,	Z
naklada	naklada	Ncfsn
1000	1000	Mdc
70.000,00	70.000,00	Mdc
2.	2.	Mdo
Kulturni	kulturan	Agpmsny
amaterizam	amaterizam	Ncmsn
:	:	Z
–	–	Z
Romske	romski	Agpfsgy
zvjezdice	zvjezdica	Ncfsg
10.000,00	10.000,00	Mdc
6.	6.	Mdo
UDRUGA	udruga	Ncfsn
ZA	za	Sa
RAZVOJ	razvoj	Ncmsan
I	i	Cc
BOLJI	dobar	Agcmsayn
ŽIVOT	život	Ncmsan
ROMA	Rom	Npmsg
,	,	Z
SISAK	SISAK	Qo
7.000,00	7.000,00	Mdc
Kulturni	kulturan	Agpmsny
amaterizam	amaterizam	Ncmsn
:	:	Z
–	–	Z
Kulturno-umjetnička	kulturno-umjetnički	Agpfsny
sekcija	sekcija	Ncfsn
7.000,00	7.000,00	Mdc
7.	7.	Mdo
UDRUGA	udruga	Ncfsn
»	»	Z
ROMSKI	romski	Agpmsny
PUTEVI-ROMANE	PUTEVI-ROMANE	Npmsn
DROMA	DROMA	Npmsn
«	«	Z
,	,	Z
ZAGREB	Zagreb	Npmsn
30.000,00	30.000,00	Mdc
Izdavaštvo	izdavaštvo	Ncnsn
:	:	Z
–	–	Z
Romi	Rom	Npmpn
po	po	Sl
drumovima	drum	Ncmpl
,	,	Z
zbirka	zbirka	Ncfsn
priča	priča	Ncfpg
,	,	Z
R.	R.	Mro
R.	R.	Y
Jovanović	Jovanović	Npmsn
,	,	Z
20	20	Mdc
x25	x25	Ncfpg
,	,	Z
str.	str.	Y
100	100	Mdc
,	,	Z
naklada	naklada	Ncfsn
300	300	Mdc
15.000,00	15.000,00	Mdc
–	–	Z
Bakine	Bakina	Npfsg
i	i	Cc
dekine	dekin	Agpfpay
priče	priča	Ncfpa
,	,	Z
zbirka	zbirka	Ncfsn
priča	priča	Ncfpg
,	,	Z
R.	R.	Mro
R.	R.	Y
Jovanović	Jovanović	Npmsn
,	,	Z
20	20	Mdc
x25	x25	Ncfpg
,	,	Z
str.	str.	Y
100	100	Mdc
,	,	Z
naklada	naklada	Ncfsn
300	300	Mdc
15.000,00	15.000,00	Mdc
8.	8.	Mdo
UDRUGA	udruga	Ncfsn
ZA	za	Sa
PROMICANJE	promicanje	Ncnsa
OBRAZOVANJA	obrazovanje	Ncnsg
ROMA	Rom	Npmsg
U	u	Sl
REPUBLICI	republika	Ncfsl
HRVATSKOJ	hrvatski	Agpfsly
»	»	Z
KALI	kaliti	Vmr3s
SARA	SARA	Npfsn
«	«	Z
,	,	Z
ZAGREB	Zagreb	Npmsn
175.000,00	175.000,00	Mdc
1.	1.	Mdo
Izdavaštvo	izdavaštvo	Ncnsn
:	:	Z
Zbornik	zbornik	Ncmsn
–	–	Agpmsny
Svjetski	svjetski	Agpmsny
dan	dan	Ncmsn
romskog	romski	Agpmsgy
jezika	jezik	Ncmsg
–	–	Z
V.	V.	Mro
Kajtazi	Kajtaza	Npfsl
,	,	Z
format	format	Ncmsn
210	210	Mdc
x280	x280	Mdc
,	,	Z
stranica	stranica	Ncfsn
200	200	Mdc
,	,	Z
naklada	naklada	Ncfsn
1000	1000	Mdc
25.000,00	25.000,00	Mdc
2.	2.	Mdo
Kulturne	kulturan	Agpfsgy
manifestacije	manifestacija	Ncfsg
:	:	Z
–	–	Z
Svjetski	svjetski	Agpmsny
dan	dan	Ncmsn
romskoga	romski	Agpmsgy
jezika	jezik	Ncmsg
2016.	2016.	Mdo
godine	godina	Ncfsg
,	,	Z
Zagreb	Zagreb	Npmsn
60.000,00	60.000,00	Mdc
–	–	Z
Međunarodni	međunarodni	Agpmsny
dan	dan	Ncmsn
sjećanja	sjećanje	Ncnsg
na	na	Sa
romske	romski	Agpfpay
žrtve	žrtva	Ncfpa
Holokausta	holokaust	Ncmsg
/	/	Z
Samudaripen	Samudaripen	Npmsn
2016	2016	Mdc
,	,	Z
Zagreb	Zagreb	Npmsn
90.000,00	90.000,00	Mdc
9.	9.	Mdo
ROMSKI	romski	Agpmsny
KULTURNI	kulturan	Agpmsny
CENTAR	centar	Ncmsn
,	,	Z
SISAK	SISAK	Npmsn
22.000,00	22.000,00	Mdc
1.	1.	Mdo
Kulturni	kulturan	Agpmsny
amaterizam	amaterizam	Ncmsn
:	:	Z
–	–	Z
Kulturno-umjetnička	kulturno-umjetnički	Agpfsny
i	i	Cc
dramska	dramski	Agpfsny
sekcija	sekcija	Ncfsn
15.000,00	15.000,00	Mdc
2.	2.	Mdo
Kulturne	kulturan	Agpfsgy
manifestacije	manifestacija	Ncfsg
:	:	Z
–	–	Z
Natjecanja	natjecanje	Ncnsg
pjevača	pjevač	Ncmpg
amatera	amater	Ncmpg
»	»	Z
Glasu	glas	Ncmsl
alu	ala	Ncfsa
Romilor	Romilor	Npmsn
«	«	Z
,	,	Z
Sisak	Sisak	Npmsn
7.000,00	7.000,00	Mdc
10.	10.	Mdo

UDRUGA	udruga	Ncfsn
ROMSKA	romski	Agpnpay
PRAVA	pravo	Ncnpa
SISAK	SISAK	Npmsn
10.000,00	10.000,00	Mdc
Kulturni	kulturan	Agpmsny
amaterizam	amaterizam	Ncmsn
:	:	Z
–	–	Z
likovno	likovni	Agpnsny
stvaralaštvo	stvaralaštvo	Ncnsn
10.000,00	10.000,00	Mdc
11.	11.	Mdo

KUD	kud	Ncmsn
»	»	Z
KUTINSKI	kutinski	Agpmpny
BISERI	biser	Ncmpn
«	«	Z
,	,	Z
KUTINA	KUTIN	Npmsg
7.000,00	7.000,00	Mdc
1.	1.	Mdo
Kulturni	kulturan	Agpmsny
amaterizam	amaterizam	Ncmsn
:	:	Z
–	–	Z
Kulturno-umjetnički	kulturno-umjetnički	Agpmsny
amaterizam	amaterizam	Ncmsn
Roma	Rom	Npmsg
Bajaša	Bajaš	Npmsg
s	sa	Sg
područja	područje	Ncnsg
grada	grad	Ncmsg
Kutine	kutina	Ncfsg
7.000,00	7.000,00	Mdc
12.	12.	Mdo

UDRUGA	udruga	Ncfsn
BARANJSKIH	baranjski	Agpmpgy
ROMA	Rom	Ncmpg
,	,	Z
BELI	BELI	Npmsn
MANASTIR	MANASTIR	Npmsn
15.000,00	15.000,00	Mdc
Kulturne	kulturan	Agpfsgy
manifestacije	manifestacija	Ncfsg
:	:	Z
–	–	Z
Održavanje	održavanje	Ncnsn
stručnog	stručan	Agpmsgy
skupa	skup	Ncmsg
na	na	Sa
temu	tema	Ncfsa
:	:	Z
Suzbijanje	suzbijanje	Ncnsa
diskriminacije	diskriminacija	Ncfsg
Roma	Rom	Npmsg
u	u	Sl
svim	sav	Agpfply
društvenim	društven	Agpfply
sferama	sfera	Ncfpl
i	i	Cc
promicanje	promicanje	Ncnsa
jednakosti	jednakost	Ncfsg
5.000,00	5.000,00	Mdc
–	–	Z
Obilježavanje	obilježavanje	Ncnsn
Petrovdana	Petrovdan	Npmsg
(	(	Z
Dan	dan	Ncmsn
kulture	kultura	Ncfsg
Roma	Rom	Npmsg
grada	grad	Ncmsg
Belog	Beli	Npmsg
Manastira	manastir	Ncmsg
)	)	Z
12.	12.	Mdo
7.	7.	Mdo
2016.	2016.	Mdo
10.000,00	10.000,00	Mdc
13.	13.	Mdo

ROMSKO	romski	Agpnsny
KUD	kud	Ncmsn
»	»	Z
CRNI	crn	Agpmpny
BISERI	biser	Ncmpn
«	«	Z
,	,	Z
SISAK	SISAK	Npmsn
10.000,00	10.000,00	Mdc
1.	1.	Mdo
Kulturni	kulturan	Agpmsny
amaterizam	amaterizam	Ncmsn
:	:	Z
–	–	Z
kulturno-umjetnička	kulturno-umjetnički	Agpfsny
sekcija	sekcija	Ncfsn
10.000,00	10.000,00	Mdc
14.	14.	Mdo

ROMSKI	romski	Agpmsny
NACIONALNI	nacionalan	Agpmsny
FORUM	forum	Ncmsn
,	,	Z
BELI	BELI	Npmsn
MANASTIR	MANASTIR	Npmsn
10.000,00	10.000,00	Mdc
1.	1.	Mdo
Kulturne	kulturan	Agpfsgy
manifestacije	manifestacija	Ncfsg
:	:	Z
–	–	Z
XI	XI	Qr
.	.	Z
festival	festival	Ncmsn
igrača	igrač	Ncmpg
i	i	Cc
plesača	plesač	Ncmpg
Roma	Rom	Npmsg
Republike	republika	Ncfsg
Hrvatske	Hrvatska	Npfsg
,	,	Z
Beli	Beli	Npmsn
Manastir	Manastir	Npmsn
10.000,00	10.000,00	Mdc
15.	15.	Mdo

UDRUGA	udruga	Ncfsn
ZA	za	Sa
BOLJI	dobar	Agcmsayn
ŽIVOT	život	Ncmsan
ROMKINJA	ROMKINJA	Npfsn
»	»	Z
TRAIPE	TRAIPE	Npfsg
«	«	Z
,	,	Z
ZAGREB	Zagreb	Npmsn
40.000,00	40.000,00	Mdc
Kulturne	kulturan	Agpfsgy
manifestacije	manifestacija	Ncfsg
:	:	Z
–	–	Z
Svjetski	svjetski	Agpmsny
dan	dan	Ncmsn
Roma	Roma	Npmsn
2016.	2016.	Mdo
,	,	Z
Zagreb	Zagreb	Npmsn
40.000,00	40.000,00	Mdc
UKUPNO	ukupno	Rgp
ROMI	ROMI	Npmsn
:	:	Z
554.000,00	554.000,00	Mdc
XI	XI	Y
.	.	Z

RUSI	Rus	Npmpn
1.	1.	Mdo
NACIONALNA	nacionalan	Agpfsny
ZAJEDNICA	zajednica	Ncfsn
RUSA	Rus	Npmsg
HRVATSKE	Hrvatska	Npfsg
,	,	Z
ZAGREB	Zagreb	Npmsn
70.000,00	70.000,00	Mdc
1.	1.	Mdo
Informiranje	informiranje	Ncnsn
:	:	Z
30.000,00	30.000,00	Mdc
–	–	Z
»	»	Z
Ruski	ruski	Agpmsny
vjesnik	vjesnik	Ncmsn
«	«	Z
,	,	Z
časopis	časopis	Ncmsn
,	,	Z
A	a	Cc
4	4	Mdc
,	,	Z
16	16	Mdc
-	-	Z
24	24	Mdc
stranica	stranica	Ncfpg
,	,	Z
naklada	naklada	Ncfsn
200	200	Mdc
komada	komad	Ncmpg
2.	2.	Mdo
Kulturni	kulturan	Agpmsny
amaterizam	amaterizam	Ncmsn
:	:	Z
30.000,00	30.000,00	Mdc
–	–	Z
Pjevački	pjevački	Agpmsny
zbor	zbor	Ncmsn
»	»	Z
Rjabinuška	rjabinuška	Ncfsn
«	«	Z
–	–	Z
Radionica	radionica	Ncfsn
narodne	narodni	Agpfsgy
nošnje	nošnja	Ncfsg
3.	3.	Mdo
Kulturne	kulturan	Agpfsgy
manifestacije	manifestacija	Ncfsg
:	:	Z
–	–	Z
Večer	večer	Ncfsn
ruske	ruski	Agpfsgy
klasične	klasičan	Agpfsgy
glazbe	glazba	Ncfsg
,	,	Z
Zagreb	Zagreb	Npmsn
5.000,00	5.000,00	Mdc
–	–	Z
Drago	Drago	Npmsn
i	i	Cc
poludrago	poludrag	Agpnsay
kamenje	kamenje	Ncnsa
Ruskog	ruski	Agpmsgy
Urala	Ural	Npmsg
,	,	Z
Zagreb	Zagreb	Npmsn
5.000,00	5.000,00	Mdc
2.	2.	Mdo
UDRUGA	udruga	Ncfsn
RUSKOG	ruski	Agpnsgy
GOVORNOG	govorni	Agpnsgy
PODRUČJA	područje	Ncnsg
»	»	Z
KALINKA	KALINKA	Npfsn
«	«	Z
,	,	Z
ČAKOVEC	ČAKOVEC	Npmsn
67.000,00	67.000,00	Mdc
1.	1.	Mdo
Kulturni	kulturan	Agpmsny
amaterizam	amaterizam	Ncmsn
:	:	Z
60.000,00	60.000,00	Mdc
–	–	Z
Ansambl	ansamb	Ncmsn
»	»	Z
Kalinka	Kalinka	Npfsn
«	«	Z
–	–	Z
Dječja	dječji	Agpfsny
skupina	skupina	Ncfsn
»	»	Z
Malinka	Malinka	Npfsn
«	«	Z
2.	2.	Mdo
Kulturne	kulturan	Agpfsgy
manifestacije	manifestacija	Ncfsg
:	:	Z
–	–	Z
VI	VI	Mrc
.	.	Z
smotra	smotra	Ncfsn
stvaralaštva	stvaralaštvo	Ncnsg
djece	dijete	Ncnpg
i	i	Cc
mladeži	mladež	Ncfsl
»	»	Z
Ruska	ruski	Agpfsny
riječ	riječ	Ncfsn
«	«	Z
,	,	Z
Čakovec	Čakovec	Npmsn
7.000,00	7.000,00	Mdc
3.	3.	Mdo
SAVEZ	savez	Ncmsn
RUSA	Rus	Npmsg
REPUBLIKE	republika	Ncfsg
HRVATRSKE	HRVATRSKE	Npfsg
,	,	Z
ZAGREB	Zagreb	Npmsn
43.000,00	43.000,00	Mdc
1.	1.	Mdo
Informiranje	informiranje	Ncnsn
:	:	Z
»	»	Z
Ljetopis	ljetopis	Ncmsn
«	«	Z
,	,	Z
glasilo	glasiti	Vmp-sn
,	,	Z
1	1	Mdc
broj	broj	Ncmsn
,	,	Z
format	format	Ncmsan
A-4	A-4	Mdm
,	,	Z
56	56	Mdc
-	-	Z
60	60	Mdc
str.	str.	Y
,	,	Z
naklada	naklada	Ncfsn
500	500	Mdc
kom	kom	Ncmsn
15.000,00	15.000,00	Mdc
–	–	Z
Kolobok	Kolobok	Npmsn
–	–	Z
časopis	časopis	Ncmsn
za	za	Sa
djecu	dijete	Ncnpa
,	,	Z
1	1	Mdc
broj	broj	Ncmsn
godišnje	godišnje	Rgp
,	,	Z
A	a	Cc
4	4	Mdc
,	,	Z
24	24	Mdc
-	-	Z
28	28	Mdc
str.	str.	Y
,	,	Z
naklada	naklada	Ncfsn
300	300	Mdc
10.000,00	10.000,00	Mdc
2.	2.	Mdo
Izdavaštvo	izdavaštvo	Ncnsn
:	:	Z
–	–	Z
Suncostaj	suncostaj	Ncmsn
–	–	Z
suvremene	suvremen	Agpfsgy
bajke	bajka	Ncfsg
,	,	Z
N.	N.	Y
Listikova	Listikov	Npmsay
,	,	Z
B	b	Y
5	5	Mdc
,	,	Z
str.	str.	Y
160	160	Mdc
,	,	Z

