sulfid	sulfid	Ncmsn
)	)	Z
(	(	Z
CAS	CAS	Npmsn
2698	2698	Mdc
-	-	Z
41	41	Mdc
-	-	Z
1	1	Mdc
)	)	Z
;	;	Z

3.	3.	Mdo
2-kloro	2-kloro	Agpmsayn
-1-feniletanon	-1-feniletanon	Npmsan
,	,	Z
fenilacil	fenilacil	Agpmsayn
klorid	klorid	Ncmsan
(	(	Z
ω-kloroacetofenon	ω-kloroacetofenon	Ncmsn
)	)	Z
(	(	Z
CN	CN	Npmsn
)	)	Z
(	(	Z
CAS	CAS	Npmsn
532	532	Mdc
-	-	Z
27	27	Mdc
-	-	Z
4	4	Mdc
)	)	Z
;	;	Z

4.	4.	Mdo
dibenz	dibenz	Ncmsan
-	-	Z
(	(	Z
b	b	Cc
,	,	Z
f	f	Ncfsn
)	)	Z
-1,4-oksazefin	-1,4-oksazefin	Ncmsan
(	(	Z
CR	CR	Npmsn
)	)	Z
(	(	Z
CAS	CAS	Npmsn
257	257	Mdc
-	-	Z
07	07	Mdc
-	-	Z
8	8	Mdc
)	)	Z
;	;	Z

5.	5.	Mdo
10-kloro	10-kloro	Agpmsayn
-5,10-dihidrofenarsazin	-5,10-dihidrofenarsazin	Agpmsayn
,	,	Z
(	(	Z
fenarsazin-klorid	fenarsazin-klorid	Ncmsn
)	)	Z
,	,	Z
(	(	Z
Adamsit	Adamsit	Npmsn
)	)	Z
,	,	Z
(	(	Z
DM	dm	Npmsn
)	)	Z
(	(	Z
CAS	CAS	Npmsn
578	578	Mdc
-	-	Z
94	94	Mdc
-	-	Z
9	9	Mdc
)	)	Z
;	;	Z

6.	6.	Mdo
N-nonanomorfolin	n-nonanomorfolin	Ncmsn
,	,	Z
(	(	Z
MPA	MPA	Npfsn
)	)	Z
(	(	Z
CAS	CAS	Npmsn
5299	5299	Mdc
-	-	Z
64	64	Mdc
-	-	Z
9	9	Mdc
)	)	Z
;	;	Z

Napomena	napomena	Ncfsn
1.	1.	Mdo
:	:	Z
ML7	ML7	I
.	.	Z
d.	d.	Y
ne	ne	Qz
odnosi	odnositi	Vmr3s
se	sebe	Px--sa
na	na	Sa
»	i	Agpmpay
agense	agens	Ncmpa
za	za	Sa
suzbijanje	suzbijanje	Ncnsa
nereda	nered	Ncmpg
«	«	Z
koji	koji	Pi-mpn
su	biti	Var3p
pojedinačno	pojedinačno	Rgp
pakirani	pakirati	Appmpny
u	u	Sa
svrhu	svrha	Ncfsa
samoobrane	samoobrana	Ncfsg
.	.	Z

Napomena	napomena	Ncfsn
2.	2.	Mdo
:	:	Z
ML7	ML7	I
.	.	Z
d.	d.	Y
ne	ne	Qz
odnosi	odnositi	Vmr3s
se	sebe	Px--sa
na	na	Sa
aktivne	aktivan	Agpfpay
sastavne	sastavan	Agpfpay
kemikalije	kemikalija	Ncfpa
i	i	Cc
njihove	njihov	Ps3fpa
kombinacije	kombinacija	Ncfpa
identificirane	identificirati	Appfpay
i	i	Cc
pakirane	pakirati	Appfpny
za	za	Sa
proizvodnju	proizvodnja	Ncfsa
hrane	hrana	Ncfsg
ili	ili	Cc
u	u	Sa
medicinske	medicinski	Agpfpay
svrhe	svrha	Ncfpa
.	.	Z

e.	e.	Y
oprema	opremati	Vmr3s
posebno	posebno	Rgp
konstruirana	konstruirati	Appfsny
ili	ili	Cc
modificirana	modificirati	Appfsny
za	za	Sa
vojnu	vojni	Agpfsay
uporabu	uporaba	Ncfsa
,	,	Z
posebno	posebno	Rgp
konstruirana	konstruirati	Appfsny
ili	ili	Cc
modificirana	modificirati	Appfsny
za	za	Sa
raspršivanje	raspršivanje	Ncnsa
bilo	biti	Vap-sn
čega	što	Pi3n-g
od	od	Sg
navedenog	naveden	Agpmsgy
i	i	Cc
za	za	Sa
nju	on	Pp3fsa
posebno	posebno	Rgp
konstruirane	konstruirati	Agpfpay
komponente	komponenta	Ncfpa
:	:	Z

1.	1.	Mdo
materijali	materijal	Ncmpn
ili	ili	Cc
agensi	agens	Ncmpn
navedeni	navesti	Appmpny
u	u	Sa
ML7	ml7	Ncnsa
.	.	Z
a.	ai	Agpnsny
,	,	Z
ML7	ML7	Qr
.	.	Z
b.	b.	Y
ili	ili	Cc
ML7	ML	Npmsl
.	.	Z
d.	d.	Y
;	;	Z
ili	ili	Cc

2.	2.	Mdo
agensi	agens	Ncmpn
za	za	Sa
kemijsko	kemijski	Agpnsay
ratovanje	ratovanje	Ncnsa
sastavljeni	sastaviti	Appmpny
