građevinskim	građevinski	Agpnsiy
predviđene	predvidjeti	Appfpny
su	biti	Var3p
zone	zona	Ncfpn
organiziranog	organiziran	Agpmsgy
posjeta	posjet	Ncmsg
turista	turist	Ncmpg
,	,	Z
koje	koji	Pi-fpn
su	biti	Var3p
namijenjene	namijeniti	Appfpny
razgledavanju	razgledavanje	Ncnsd
prirodnih	prirodan	Agpfpgy
i	i	Cc
kulturnih	kulturan	Agpfpgy
vrijednosti	vrijednost	Ncfpg
Parka	park	Ncmsg
te	te	Cc
rekreaciji	rekreacija	Ncfsl
.	.	Z

Park	park	Ncmsn
se	sebe	Px--sa
posjećuje	posjećivati	Vmr3s
prijevozom	prijevoz	Ncmsi
od	od	Sg
prijamno-receptivnog	prijamno-receptivan	Agpmsgy
centra	centar	Ncmsg
te	te	Cc
dalje	daleko	Rgc
organiziranim	organiziran	Agpmsiy
obilaskom	obilazak	Ncmsi
prema	prema	Sl
planu	plan	Ncmsl
i	i	Cc
programu	program	Ncmsl
koji	koji	Pi-msn
provodi	provoditi	Vmr3s
Javna	javan	Agpfsny
ustanova	ustanova	Ncfsn
Parka	park	Ncmsg
.	.	Z

(	(	Z
2	2	Mdc
)	)	Z
Glavni	glavni	Agpmsny
prijamno-receptivni	prijamno-receptivan	Agpmsny
centar	centar	Ncmsn
je	biti	Var3s
postojeći	postojeći	Agpmsny
Glavni	glavni	Agpmsny
ulaz	ulaz	Ncmsn
na	na	Sl
Biokovskoj	biokovski	Agpfsly
cesti	cesta	Ncfsl
.	.	Z

Planom	plan	Ncmsi
su	biti	Var3p
utvrđena	utvrditi	Appnpny
mjesta	mjesto	Ncnpn
ulaska	ulazak	Ncmsg
u	u	Sa
Park	park	Ncmsan
.	.	Z

Posjetitelji	posjetitelj	Ncmpn
se	sebe	Px--sa
mogu	moći	Vmr3p
kretati	kretati	Vmn
prema	prema	Sl
odredbama	odredba	Ncfpl
Pravilnika	pravilnik	Ncmsg
o	o	Sl
zaštiti	zaštita	Ncfsl
i	i	Cc
očuvanju	očuvanje	Ncnsl
.	.	Z

(	(	Z
3	3	Mdc
)	)	Z
Sekundarni	sekundaran	Agpmpny
ulazi	ulaz	Ncmpn
su	biti	Var3p
:	:	Z
Saranač	Saranač	Npmsn
,	,	Z
Gornja	Gornja	Npfsn
Brela	Brela	Npfsn
,	,	Z
Zagvozd	Zagvozd	Npmsn
(	(	Z
Milići	Milić	Npmpn
)	)	Z
i	i	Cc
prijevoj	prijevoj	Ncmsan
Štrbina	Štrbina	Npfsn
(	(	Z
gornja	gornji	Agpfsny
postaja	postaja	Ncfsn
žičare	žičara	Ncfsg
)	)	Z
.	.	Z

Članak	članak	Ncmsn
16.	16.	Mdo

Prostor	prostor	Ncmsn
Parka	park	Ncmsg
otvoren	otvoriti	Appmsnn
je	biti	Var3s
za	za	Sa
posjećivanje	posjećivanje	Ncnsa
.	.	Z

Za	za	Sa
prihvat	prihvat	Ncmsan
individualnih	individualan	Agpmpgy
posjetitelja	posjetitelj	Ncmpg
i	i	Cc
organiziranih	organiziran	Agpfpgy
skupina	skupina	Ncfpg
određuje	određivati	Vmr3s
se	sebe	Px--sa
lokalitet	lokalitet	Ncmsn
Glavnog	glavni	Agpmsgy
ulaza	ulaz	Ncmsg
,	,	Z
u	u	Sl
kojemu	koji	Pi-nsl
se	sebe	Px--sa
nalazi	nalaziti	Vmr3s
prijamni	prijamni	Agpmsny
posjetiteljsko-informacijski	posjetiteljsko-informacijski	Agpmsny
centar	centar	Ncmsn
s	sa	Si
uslužnim	uslužan	Agpmsiy
i	i	Cc
servisnim	servisni	Agpfply
funkcijama	funkcija	Ncfpl
.	.	Z

Manji	mali	Agcmsny
posjetiteljsko-informacijski	posjetiteljsko-informacijski	Agpmpny
centri	centar	Ncmpn
planiraju	planirati	Vmr3p
se	sebe	Px--sa
na	na	Sl
sekundarnim	sekundaran	Agpmply
ulazima	ulaz	Ncmpl
Saranač	Saranač	Npfsg
,	,	Z
Zagvozd	Zagvozd	Npmsn
(	(	Z
Milići	Milić	Npmpn
)	)	Z
i	i	Cc
Gornja	gornji	Agpfsny
Brela	Brela	Npfsn
.	.	Z

Članak	članak	Ncmsn
17.	17.	Mdo

Unutar	unutar	Sg
područja	područje	Ncnsg
Parka	park	Ncmsg
u	u	Sl
zoni	zona	Ncfsl
korištenja	korištenje	Ncnsg
(	(	Z
zona	zona	Ncfsn
III	III	Mrc
,	,	Z
podzona	podzona	Ncfsn
posjetiteljske	posjetiteljski	Agpfsgy
infrastrukture	infrastruktura	Ncfsg
3	3	Mdc
b	b	Y
)	)	Z
nalaze	nalaziti	Vmr3p
se	sebe	Px--sa
postojeće	postojeći	Agpfsgy
građevine	građevina	Ncfsg
i	i	Cc
lokaliteti	lokalitet	Ncmpn
u	u	Sl
funkciji	funkcija	Ncfsl
posjećivanja	posjećivanje	Ncnsg
i	i	Cc
posjetiteljske	posjetiteljski	Agpfsgy
infrastrukture	infrastruktura	Ncfsg
.	.	Z

Lokacija	lokacija	Ncfsn
Izgrađeno	izgraditi	Appnsny
/	/	Z
postojeće	postojeći	Agpnsny
stanje	stanje	Ncnsn
Donja	Donja	Npfsn
Gora	Gora	Npfsn
Sanirani	sanirati	Agpmsny
deponij	deponij	Ncmsn
smeća	smeće	Ncnsg
Glavni	glavni	Agpmsny
ulaz	ulaz	Ncmsn
na	na	Sl
Biokovskoj	biokovski	Agpfsly
cesti	cesta	Ncfsl
Recepcija	recepcija	Ncfsn
,	,	Z
CLIVUS	CLIVUS	Npfsn
biološki	biološki	Agpmsny
WC	wc	Npmsn
,	,	Z
rampa	rampa	Ncfsn
Podglogovik	podglogovik	Agpfsny
Ugostiteljska	ugostiteljski	Agpfsny
građevina	građevina	Ncfsn
»	»	Z
Vrata	vrata	Ncnpn
Biokova	biokov	Aspfsny
«	«	Z
,	,	Z
građevina	građevina	Ncfsn
»	»	Z
Šunde	Šunda	Npfsg
«	«	Z
,	,	Z
zadružni	zadružni	Agpmsny
dom	dom	Ncmsn
,	,	Z
ruševine	ruševina	Ncfpa
pastirskog	pastirski	Agpnsgy
naselja	naselje	Ncnsg
Podglogovik	Podglogovik	Npmsn
,	,	Z
poučna	poučan	Agpfsny
staza	staza	Ncfsn
Topnički	topnički	Agpmsny
put	put	Ncmsn
Ravna	ravan	Agpfsny
Vlaška	vlaški	Agpfsny
Građevina	građevina	Ncfsn
infocentra	infocentar	Ncmsg
,	,	Z
CLIVUS	CLIVUS	Npmsn
biološki	biološki	Rgp
WC	wc	Npmsn
,	,	Z
interpretacijski	interpretacijski	Agpmpny
sadržaji	sadržaj	Ncmpn
,	,	Z
štala	štala	Ncfsn
Vošac	Vošac	Npmsn
–	–	Z
Štrbina	Štrbin	Npmsg
Planinarski	planinarski	Agpmsny
dom	dom	Ncmsn
pod	pod	Si
Vošcem	Vošc	Npmsi
,	,	Z
neobnovljeni	neobnovljen	Agpmpny
pastirski	pastirski	Agpmpny
stanovi	stan	Ncmpn
(	(	Z
ruševine	ruševina	Ncfpn
)	)	Z
,	,	Z
planinarska	planinarski	Agpfsny
kuća	kuća	Ncfsn
na	na	Sl
vrhu	vrh	Ncmsl
Vošca	vošac	Ncmsg
Sv.	Sv.	Mro
Jure	Jure	Npmsg
Kružna	kružan	Agpfsny
staza	staza	Ncfsn
oko	oko	Sg
vrha	vrh	Ncmsg
Sv.	Sv.	Y
Jure	Jure	Npmsg
;	;	Z
TV	TV	Npmsn
odašiljač	odašiljač	Ncmsn
,	,	Z
crkvica	crkvica	Ncfsn
Sv.	Sv.	Y
Jure	Jure	Npmsg
,	,	Z
parkiralište	parkiralište	Ncnsa
,	,	Z
informacijsko-edukacijske	informacijsko-edukacijski	Agpfsgy
ploče	ploča	Ncfsg
,	,	Z
kućica	kućica	Ncfsn
službe	služba	Ncfsg
čuvara	čuvar	Ncmpg
prirode	priroda	Ncfsg
Helidrom	Helidrom	Npmsn
Žamnjak	Žamnjak	Npmsn
(	(	Z
unutar	unutar	Sg
zone	zona	Ncfsg
posjetiteljske	posjetiteljski	Agpfsgy
infrastrukture	infrastruktura	Ncfsg
Gornja	Gornja	Npfsn
Brela	Brela	Npfsn
)	)	Z
Bivši	bivši	Agpmsny
helidrom	helidrom	Ncmsn
Ulaz	ulaz	Ncmsn
Zagvozd	Zagvozd	Npfsg
–	–	Z
Milići	Milić	Npmpn
(	(	Z
ulaz	ulaz	Ncmsn
za	za	Sa
zonu	zona	Ncfsa
posjetiteljske	posjetiteljski	Agpfsgy
infrastrukture	infrastruktura	Ncfsg
Kaoci	Kaoc	Npmpn
)	)	Z
Šumska	šumski	Agpfsny
cesta	cesta	Ncfsn
Kaoci	Kaoca	Npfsl
–	–	Z
planinarski	planinarski	Agpmsny
dom	dom	Ncmsn
/	/	Z
šumarska	šumarski	Agpfsny
kuća	kuća	Ncfsn
Planinarski	planinarski	Agpmsny
dom	dom	Ncmsn
(	(	Z
zvan	zvati	Appmsnn
šumarska	šumarski	Agpfsny
kuća	kuća	Ncfsn
jer	jer	Cs
je	biti	Var3s
u	u	Sl
vlasništvu	vlasništvo	Ncnsl
HŠ-a	HŠ	Npmsg
)	)	Z
sagrađen	sagraditi	Appmsnn
je	biti	Var3s
početkom	početkom	Sg
dvadesetog	dvadeseti	Agpnsgy
stoljeća	stoljeće	Ncnsg
(	(	Z
danas	danas	Rgp
je	biti	Var3s
ruševan	ruševan	Agpmsnn
i	i	Cc
devastiran	devastirati	Appmsnn
)	)	Z

Tablica	tablica	Ncfsn
1	1	Mdc
:	:	Z
Postojeće	postojeći	Agpfsgy
građevine	građevina	Ncfsg
/	/	Z
lokaliteti	lokalitet	Ncmpn
u	u	Sl
zoni	zona	Ncfsl
korištenja	korištenje	Ncnsg
–	–	Z
zona	zona	Ncfpg
III	III	Mrc
,	,	Z
podzona	podzona	Ncfsn
posjetiteljske	posjetiteljski	Agpfsgy
infrastrukture	infrastruktura	Ncfsg
3	3	Mdc
b	b	Y

Članak	članak	Ncmsn
18.	18.	Mdo

(	(	Z
1	1	Mdc
)	)	Z
Planom	plan	Ncmsi
se	sebe	Px--sa
planiraju	planirati	Vmr3p
lokaliteti	lokalitet	Ncmpn
za	za	Sa
pružanje	pružanje	Ncnsa
usluga	usluga	Ncfpg
u	u	Sa
svrhu	svrha	Ncfsa
posjećivanja	posjećivanje	Ncnsg
i	i	Cc
razgledavanja	razgledavanje	Ncnsg
:	:	Z

–	–	Z
ulazi	ulaziti	Vmr3s
za	za	Sa
posjetitelje	posjetitelj	Ncmpa

–	–	Agpmpny
informacijski	informacijski	Agpmpny
centri	centar	Ncmpn

–	i	Agpfpny
zone	zona	Ncfpn
posjetiteljske	posjetiteljski	Agpfsgy
infrastrukture	infrastruktura	Ncfsg

–	i	Agpfpay
staze	staza	Ncfpa
koje	koji	Pi-fpn
su	biti	Var3p
namijenjene	namijeniti	Appfpny
razgledavanju	razgledavanje	Ncnsd
i	i	Cc
posjećivanju	posjećivanje	Ncnsl

–	i	Agpfpay
ceste	cesta	Ncfpa

–	–	Sg
parkirališta	parkiralište	Ncnsg
autobusa	autobus	Ncmsg
,	,	Z
automobila	automobil	Ncmpg
i	i	Cc
bicikala	bicikla	Ncfpg

–	i	Agpfsny
žičara	žičara	Ncfsn
Makarska	makarski	Agpfsny
–	–	Npfsn
Štrbina	Štrbina	Npfsn
(	(	Z
Vošac	Vošac	Npmsn
)	)	Z

–	i	Agpnsny
posjećivanje	posjećivanje	Ncnsn
speleološkog	speleološki	Agpmsgy
objekta	objekt	Ncmsg
Jama	jam	Ncmsg
pod	pod	Si
Supinom	supin	Ncmsi

–	i	Agpnsny
sjedište	sjedište	Ncnsn
i	i	Cc
punktovi	punkt	Ncmpn
službe	služba	Ncfsg

