/	/	Z
2014	2014	Mdc
–	–	Z
Lipić	Lipić	Npfsg
Jasna	Jasna	Npfsn
,	,	Z
Luki	luka	Ncfsl
2	2	Mdc
,	,	Z
51000	51000	Mdc
Rijeka	Rijeka	Npfsn

U-I-4550	U-I-4550	X
/	/	Z
2014	2014	Mdc
–	–	Z
Vragović	Vragović	Npmsn
Barica	barica	Ncfsn
,	,	Z
Pionirska	pionirski	Agpfsny
8	8	Mdc
,	,	Z
51000	51000	Mdc
Rijeka	Rijeka	Npfsn

U-I-4551	U-I-4551	X
/	/	Z
2014	2014	Mdc
–	–	Z
Saili	saiti	Vmp-pm
Elizabeta	Elizabeta	Npfsn
,	,	Z
Kalvarija	kalvarija	Ncfsn
5	5	Mdc
,	,	Z
51000	51000	Mdc
Rijeka	Rijeka	Npfsn

U-I-4552	U-I-4552	X
/	/	Z
2014	2014	Mdc
–	–	Z
Jurčević	Jurčević	Npmsn
Ana	Ana	Npfsv
,	,	Z
Straža	straža	Ncfsn
68	68	Mdc
,	,	Z
51000	51000	Mdc
Rijeka	Rijeka	Npfsn

U-I-4553	U-I-4553	X
/	/	Z
2014	2014	Mdc
–	–	Z
Marcelić	Marcelić	Npfsn
Milica	Milica	Npfsn
,	,	Z
Vidikovac	vidikovac	Ncmsn
9	9	Mdc
,	,	Z
51000	51000	Mdc
Rijeka	Rijeka	Npfsn

U-I-4554	U-I-4554	X
/	/	Z
2014	2014	Mdc
–	–	Z
Šostarec	Šostarec	Npfsn
Zdravka	Zdravka	Npfsn
,	,	Z
Kozala	Kozala	Npfsn
55	55	Mdc
,	,	Z
51000	51000	Mdc
Rijeka	Rijeka	Npfsn

U-I-4555	U-I-4555	X
/	/	Z
2014	2014	Mdc
–	–	Z
Mikelić	Mikelić	Npmsn
Jasna	jasan	Agpfsny
,	,	Z
Bože	Bože	Npfsn
Vidasa	Vidasa	Npfsn
31	31	Mdc
,	,	Z
51000	51000	Mdc
Rijeka	Rijeka	Npfsn

U-I-4556	U-I-4556	X
/	/	Z
2014	2014	Mdc
–	–	Z
Šoštar	Šoštar	Npmsn
Jasna	jasan	Agpfsny
,	,	Z
Budicinova	budicinov	Aspfsny
22	22	Mdc
,	,	Z
51000	51000	Mdc
Rijeka	Rijeka	Npfsn

U-I-4557	U-I-4557	X
/	/	Z
2014	2014	Mdc
–	–	Z
Gladović	Gladović	Npfsn
Krota	Krota	Npfsn
Iva	Iva	Npfsn
,	,	Z
Cvjetni	cvjetan	Agpmsny
put	put	Ncmsn
8	8	Mdc
,	,	Z
51415	51415	Mdc
Lovran	Lovran	Npmsn

U-I-4558	U-I-4558	X
/	/	Z
2014	2014	Mdc
–	–	Z
Brumnjak	Brumnjak	Npmsn
Sandra	Sandra	Npfsn
,	,	Z
Tumpići	Tumpić	Npmpn
23	23	Mdc
,	,	Z
Veprinac	Veprinac	Npmsn
,	,	Z
51414	51414	Mdc
Ičići	Ičići	Npfsl

U-I-4559	U-I-4559	X
/	/	Z
2014	2014	Mdc
–	–	Z
Vukajlović	Vukajlović	Npfsn
Mirjana	Mirjana	Npfsn
,	,	Z
Puljska	puljski	Agpfsny
1	1	Mdc
,	,	Z
10000	10000	Mdc
Zagreb	Zagreb	Npmsn

U-I-4560	U-I-4560	X
/	/	Z
2014	2014	Mdc
–	–	Z
Bremec	Bremec	Npmsn
Morena	moriti	Appfsny
,	,	Z
Dubac	Dubac	Npmsn
2	2	Mdc
,	,	Z
20207	20207	Mdc
Mlini	Mlina	Npfsl

U-I-4561	U-I-4561	X
/	/	Z
2014	2014	Mdc
–	–	Z
Salešević	Salešević	Npfsg
Hatidže	Hatidža	Npfsg
,	,	Z
Montalbano	Montalbano	Npmsn
13	13	Mdc
,	,	Z
52210	52210	Mdc
Rovinj	Rovinj	Npmsan

U-I-4562	U-I-4562	X
/	/	Z
2014	2014	Mdc
–	–	Z
Zovko	Zovko	Npmsn
Marija	Marija	Npfsn
,	,	Z
Lanište	lanište	Ncnsn
15	15	Mdc
c	C	X
,	,	Z
10000	10000	Mdc
Zagreb	Zagreb	Npmsn

U-I-4563	U-I-4563	X
/	/	Z
2014	2014	Mdc
–	–	Z
Kraljik	kraljik	Agpfpgy
Ružica	ružica	Ncfpg
,	,	Z
Srijemska	srijemski	Agpfsny
145	145	Mdc
,	,	Z
31000	31000	Mdc
Osijek	osijek	Ncmsn

U-I-4564	U-I-4564	X
/	/	Z
2014	2014	Mdc
–	–	Z
Nikolić	Nikolić	Npmsn
Renata	Renat	Npmsay
,	,	Z
Emanuela	Emanuel	Npmsg
Vidovića	Vidović	Npmsg
3	3	Mdc
G	g	Y
,	,	Z
10360	10360	Mdc
Sesvete	Sesveta	Npfpn

U-I-4592	U-I-4592	X
/	/	Z
2014	2014	Mdc
–	–	Z
Borić	borić	Ncmsn
Zdenka	Zdenk	Npmsg
,	,	Z
Gruh	Gruh	Npmsn
16	16	Mdc
,	,	Z
23275	23275	Mdc
Ugljan	Ugljan	Npmsn

U-I-4593	U-I-4593	X
/	/	Z
2014	2014	Mdc
–	–	Z
Jukonić	Jukonić	Npfsn
Ksenija	Ksenija	Npfsn
,	,	Z
Mućići	Mućići	Npmsn
5	5	Mdc
,	,	Z
Brodarica	brodarica	Ncfsn
,	,	Z
22000	22000	Mdc
Šibenik	Šibenik	Npmsn

U-I-4594	U-I-4594	X
/	/	Z
2014	2014	Mdc
–	–	Z
Kundid	Kundid	Npfsn
Mirjana	Mirjana	Npfsn
,	,	Z
Put	put	Rgp
kroz	kroz	Sa
Meterize	Meterize	Npmsan
14	14	Mdc
a	a	Cc
,	,	Z
22000	22000	Mdc
Šibenik	Šibenik	Npmsn

U-I-4595	U-I-4595	X
/	/	Z
2014	2014	Mdc
–	–	Z
Šimac	Šimac	Npmsn
Ankica	Ankica	Npfsn
,	,	Z
Bribirskih	bribirski	Agpmpgy
knezova	knez	Ncmpg
81	81	Mdc
,	,	Z
22000	22000	Mdc
Šibenik	Šibenik	Npmsn

U-I-4596	U-I-4596	X
/	/	Z
2014	2014	Mdc
–	–	Z
Kosović	Kosović	Npmsn
Jela	jelo	Ncnsg
,	,	Z
Lončareva	Lončareva	Npfsn
4	4	Mdc
,	,	Z
Poljanica	Poljanica	Npfsn
–	–	Z
10298	10298	Mdc
Donja	donji	Agpfsny
Bistra	bistar	Agpfsny

U-I-4597	U-I-4597	X
/	/	Z
2014	2014	Mdc
–	–	Z
Kostanjevac	Kostanjevac	Npmsn
Suzana	Suzana	Npfsn
,	,	Z
Labinska	labinski	Agpfsny
15	15	Mdc
,	,	Z
10000	10000	Mdc
Zagreb	Zagreb	Npmsn

U-I-4598	U-I-4598	X
/	/	Z
2014	2014	Mdc
–	–	Z
Ivanović	Ivanović	Npmsn
Ružica	ružica	Ncfsn
,	,	Z
Martinska	martinski	Agpfsny
236	236	Mdc
,	,	Z
10370	10370	Mdc
Dugo	dug	Agpnsny
Selo	selo	Ncnsn

U-I-4599	U-I-4599	X
/	/	Z
2014	2014	Mdc
