Rhu	Rhu	Npmsn
Rijk	Rijk	Npmsn
Zwaan	Zwaan	Npmsn
Budapest	Budapest	Npmsn
Kft	Kft	Npmsn
(	(	Z
HU	HU	Npmsn
)	)	Z
.	.	Z

BZnl	BZnl	Npmsn
Bejo	Bejo	Npmsn
Zaden	Zaden	Npmsn
BV	BV	Npmsn
(	(	Z
NL	NL	Npmsn
)	)	Z

SVEfr	SVEfr	Xf
Sakata	sakat	Agpfsny
Vegetables	Vegetables	Npfsn
Europe	Europa	Npfsg
SAS	SAS	Npfsg
(	(	Z
FR	FR	Npmsn
)	)	Z

SVESfr	SVESfr	Xf
Sakata	sakat	Agpfsny
Vegetables	Vegetables	Npfsn
Europe	Europa	Npfsg
Sarl	Sarl	Npfsg
(	(	Z
FR	FR	Npmsn
)	)	Z

Vfr	Vfr	Npmsn
Vilmorin	Vilmorin	Npmsn
SA	sa	Si
(	(	Z
FR	FR	Npmsn
)	)	Z

NZnl	NZnl	Npmsn
Nickerson	Nickerson	Npmsn
Zwaan	Zwaan	Npmsn
B.	B.	Y
V.	V.	Mro
(	(	Z
NL	NL	Npmsn
)	)	Z

DRSnl	DRSnl	Xf
De	de	Xf
Ruiter	Ruiter	Npmsn
Seeds	Seeds	Npmsn
(	(	Z
NL	NL	Npmsn
)	)	Z

ZKIhu	ZKIh	Npmsd
Zoldesegtermesztesi	Zoldesegtermeszteso	Npmsd
Kutato	Kutai	Npmsd
Intezet	intezet	Agpmsny
RT	rt	Ncmsn
(	(	Z
HU	HU	Npmsn
)	)	Z

SJBde	SJBde	Npfsn
Saatzucht	Saatzucht	Npfsn
Josef	Josef	Npfsn
Breún	Breún	Npfsn
GdbR	GdbR	Npfsn
(	(	Z
DE	DE	Npmsn
)	)	Z

MonsNl	MonsNl	Npmsn
–	–	Z
Monsanto	Monsanto	Npmsn
Holland	Holland	Npmsn
BV	BV	Npmsn
(	(	Z
NL	NL	Npmsn
)	)	Z

Mat	mat	Ncmsn
Maribo	Maribo	Npmsn
Seed	Seed	Npfsn
Austria	Austria	Npfsn
GmbH	GmbH	Npfsn
(	(	Z
AT	AT	Npmsn
)	)	Z

Klasa	klasa	Ncfsn
:	:	Z
011	011	Mdc
-	-	Z
01/13	01/13	Mdc
-	-	Z
01/53	01/53	Agpmsny
Urbroj	urbroj	Ncmsn
:	:	Z
525	525	Mdc
-	-	Z
09/1394	09/1394	Mdc
-	-	Z
15	15	Mdc
-	-	Z
5	5	Mdc
Zagreb	Zagreb	Npmsn
,	,	Z
27.	27.	Mdo
studenoga	studeni	Ncmsg
2015.	2015.	Mdo

Ministar	ministar	Ncmsn
Tihomir	Tihomir	Npmsn
Jakovina	Jakovina	Npmsn
,	,	Z
v.	v.	Y
r.	r.	Y

