razlozi	razlog	Ncmpn
aktivnosti	aktivnost	Ncfpa
kreditne	kreditan	Agpfsgy
institucije	institucija	Ncfsg
osjetljive	osjetljiv	Agpfsgy
na	na	Sa
promjene	promjena	Ncfpa
tržišnih	tržišni	Agpmpgy
faktora	faktor	Ncmpg
,	,	Z
uzimajući	uzimati	Rr
u	u	Sa
obzir	obzir	Ncmsan
i	i	Cc
pozicije	pozicija	Ncfpa
knjige	knjiga	Ncfsg
trgovanja	trgovanje	Ncnsg
i	i	Cc
knjige	knjiga	Ncfpa
pozicija	pozicija	Ncfpg
kojima	koji	Pi-fpi
se	sebe	Px--sa
ne	ne	Qz
trguje	trgovati	Vmr3s
,	,	Z

2	2	Mdc
)	)	Z
razvoj	razvoj	Ncmsan
i	i	Cc
likvidnost	likvidnost	Ncfsn
relevantnih	relevantan	Agpnpgy
financijskih	financijski	Agpnpgy
tržišta	tržište	Ncnpg
te	te	Cc
volatilnost	volatilnost	Ncfsn
tržišnih	tržišni	Agpfpgy
cijena	cijena	Ncfpg
financijskih	financijski	Agpmpgy
instrumenata	instrument	Ncmpg
,	,	Z

3	3	Mdc
)	)	Z
stvarne	stvaran	Agpmpay
i	i	Cc
projicirane	projicirati	Agpfpay
neusklađenosti	neusklađenost	Ncfpa
i	i	Cc
otvorene	otvoren	Agpfpay
pozicije	pozicija	Ncfpa
koje	koji	Pi-fpn
proizlaze	proizlaziti	Vmr3p
iz	iz	Sg
aktivnosti	aktivnost	Ncfsg
kreditne	kreditan	Agpfsgy
institucije	institucija	Ncfsg
,	,	Z

4	4	Mdc
)	)	Z
koncentraciju	koncentracija	Ncfsa
rizika	rizik	Ncmsg
u	u	Sl
knjizi	knjiga	Ncfsl
trgovanja	trgovanje	Ncnsg
,	,	Z

5	5	Mdc
)	)	Z
korelacije	korelacija	Ncfsg
između	između	Sg
tržišnih	tržišni	Agpfpgy
cijena	cijena	Ncfpg
različitih	različit	Agpfpgy
financijskih	financijski	Agpmpgy
instrumenata	instrument	Ncmpg
,	,	Z

6	6	Mdc
)	)	Z
korelacije	korelacija	Ncfsg
s	sa	Si
drugim	drugi	Mlompi
rizicima	rizik	Ncmpi
kojima	koji	Pi-mpi
je	biti	Var3s
kreditna	kreditan	Agpfsny
institucija	institucija	Ncfsn
izložena	izložiti	Appfsny
,	,	Z
kao	kao	Cs
što	što	Cs
su	biti	Var3p
kreditni	kreditan	Agpmsny
rizik	rizik	Ncmsn
i	i	Cc
likvidnosni	likvidnosni	Agpmsny
rizik	rizik	Ncmsn
,	,	Z

7	7	Mdc
)	)	Z
složene	složen	Agpmpay
financijske	financijski	Agpmpay
instrumente	instrument	Ncmpa
,	,	Z

8	8	Mdc
)	)	Z
ugrađene	ugraditi	Appfsgy
opcije	opcija	Ncfsg
i	i	Cc

9	9	Mdc
)	)	Z
simulacije	simulacija	Ncfsg
dobiti	dobit	Ncfsg
i	i	Cc
kapitala	kapital	Ncmpg
u	u	Sl
različitim	različit	Agpmply
scenarijima	scenarij	Ncmpl
,	,	Z
uključujući	uključivati	Rr
kvantifikaciju	kvantifikacija	Ncfsa
najvećega	velik	Agsmsgy
gubitka	gubitak	Ncmsg
u	u	Sl
ekstremnim	ekstreman	Agpfply
tržišnim	tržišni	Agpfply
okolnostima	okolnost	Ncfpl
.	.	Z

(	(	Z
2	2	Mdc
)	)	Z
Kreditna	kreditan	Agpfsny
institucija	institucija	Ncfsn
dužna	dužan	Agpfsny
je	biti	Var3s
u	u	Sl
analizi	analiza	Ncfsl
izloženosti	izloženost	Ncfsg
kamatnom	kamatan	Agpmsly
riziku	rizik	Ncmsl
uz	uz	Sa
elemente	element	Ncmpa
iz	iz	Sg
stavka	stavak	Ncmsg
1.	1.	Mdo
ovog	ovaj	Pd-msg
članka	članak	Ncmsg
obuhvatiti	obuhvatiti	Vmn
različite	različit	Agpmpay
aspekte	aspekt	Ncmpa
kamatnog	kamatan	Agpmsgy
rizika	rizik	Ncmsg
,	,	Z
uključujući	uključivati	Rr
najmanje	malo	Rgs

