smjeru	smjer	Ncmsd
je	biti	Var3s
vojna	vojni	Agpfsny
osoba	osoba	Ncfsn
na	na	Sl
otvorenome	otvoren	Ncmsl
i	i	Cc
stoji	stajati	Vmr3s
na	na	Sl
mjestu	mjesto	Ncnsl
,	,	Z
a	a	Cc
treba	trebati	Vmr3s
pozdraviti	pozdraviti	Vmn
starijega	star	Ncmsay
koji	koji	Pi-msn
prolazi	prolaziti	Vmr3s
,	,	Z
pozdravlja	pozdravljati	Vmr3s
rukom	ruka	Ncfsi
kako	kako	Cs
je	biti	Var3s
opisano	opisati	Appnsny
u	u	Sl
člancima	članak	Ncmpl
57.	57.	Mdo
,	,	Z
58.	58.	Mdo
i	i	Cc
59.	59.	Mdo
ovoga	ovaj	Pd-msg
Pravilnika	pravilnik	Ncmsg
,	,	Z
a	a	Cc
pozdrav	pozdrav	Ncmsn
traje	trajati	Vmr3s
do	do	Sg
prolaska	prolazak	Ncmsg
starijega	star	Ncmpg
.	.	Z

Ako	ako	Cs
su	biti	Var3p
vojnoj	vojni	Agpfsly
osobi	osoba	Ncfsl
ruke	ruka	Ncfpn
zauzete	zauzeti	Appfpny
,	,	Z
pozdravlja	pozdravljati	Vmr3s
samo	samo	Rgp
okretom	okret	Ncmsi
glave	glava	Ncfsg
i	i	Cc
malim	mali	Agpmsiy
naklonom	naklon	Ncmsi
.	.	Z

Kada	kada	Rgp
je	biti	Var3s
više	mnogo	Rgc
mlađih	mlad	Agcmpgy
u	u	Sl
skupini	skupina	Ncfsl
te	te	Cc
svi	sav	Agpmpny
ne	ne	Qz
vide	vidjeti	Vmr3p
približavanje	približavanje	Ncnsa
starijega	star	Ncmpg
,	,	Z
jedna	jedan	Mlcfsn
od	od	Sg
osoba	osoba	Ncfpg
iz	iz	Sg
skupine	skupina	Ncfsg
,	,	Z
koja	koji	Pi-fsn
uoči	uočiti	Vmr3s
približavanje	približavanje	Ncnsa
starijega	star	Ncmpg
,	,	Z
na	na	Sl
udaljenosti	udaljenost	Ncfsl
3	3	Mdc
-	-	Z
5	5	Mdc
koraka	korak	Ncmpg
izgovara	izgovarati	Vmr3s
:	:	Z
»	»	Z
POZOR	pozor	Ncmsn
«	«	Z
na	na	Sa
što	što	Pi3n-a
se	sebe	Px--sa
svi	sav	Agpmpny
u	u	Sl
skupini	skupina	Ncfsl
okreću	okretati	Vmr3p
u	u	Sl
smjeru	smjer	Ncmsl
u	u	Sl
kojem	koji	Pi-msl
gleda	gledati	Vmr3s
osoba	osoba	Ncfsn
koja	koji	Pi-fsn
je	biti	Var3s
izdala	izdati	Vmp-sf
zapovijed	zapovijed	Ncfsa
i	i	Cc
pozdravljaju	pozdravljati	Vmr3p
.	.	Z

Ukoliko	ukoliko	Cs
vojna	vojni	Agpfsny
osoba	osoba	Ncfsn
ima	imati	Vmr3s
teret	teret	Ncmsan
u	u	Sl
desnoj	desni	Agpfsly
ruci	ruka	Ncfsl
,	,	Z
a	a	Cc
lijeva	lijevati	Vmr3s
je	biti	Var3s
slobodna	slobodan	Agpfsny
,	,	Z
prije	prije	Sg
pozdrava	pozdrav	Ncmsg
prebacuje	prebacivati	Vmr3s
ga	on	Pp3msa
u	u	Sl
lijevu	lijev	Ncmsl
.	.	Z

Članak	članak	Ncmsn
62.	62.	Mdo

Kada	kada	Rgp
vojna	vojni	Agpfsny
osoba	osoba	Ncfsn
prolazi	prolaziti	Vmr3s
pokraj	pokraj	Sg
starijega	star	Ncmpg
,	,	Z
pozdravlja	pozdravljati	Vmr3s
kako	kako	Cs
je	biti	Var3s
opisano	opisati	Appnsny
u	u	Sl
člancima	članak	Ncmpl
57.	57.	Mdo
,	,	Z
58.	58.	Mdo
i	i	Cc
59.	59.	Mdo
ovoga	ovaj	Pd-msg
Pravilnika	pravilnik	Ncmsg
,	,	Z
samo	samo	Rgp
što	što	Pi3n-a
tri	tri	Mlc
do	do	Sg
četiri	četiri	Mlc
koraka	korak	Ncmsg
prije	prije	Sg
susreta	susret	Ncmsg
okreće	okretati	Vmr3s
glavu	glava	Ncfsa
prema	prema	Sl
njemu	on	Pp3msl
,	,	Z
a	a	Cc
nakon	nakon	Cs
što	što	Cs
stariji	star	Agcmsny
prođe	proći	Vmr3s
jedan	jedan	Mlcmsn
do	do	Sg
dva	dva	Mlc
koraka	korak	Ncmsg
,	,	Z
okreće	okretati	Vmr3s
je	biti	Var3s
u	u	Sl
smjeru	smjer	Ncmsl
kretanja	kretanje	Ncnsg
.	.	Z

Vojna	vojni	Agpfsny
osoba	osoba	Ncfsn
koja	koji	Pi-fsn
stigne	stići	Vmr3s
starijega	star	Agpnsay
,	,	Z
pozdravlja	pozdravljati	Vmr3s
ga	on	Pp3msa
na	na	Sa
propisane	propisati	Agpmpay
načine	način	Ncmpa
,	,	Z
u	u	Sl
trenutku	trenutak	Ncmsl
kada	kada	Cs
se	sebe	Px--sa
izravna	izravnati	Vmr3s
s	sa	Si
njime	on	Pp3msi
,	,	Z
okretom	okret	Ncmsi
glave	glava	Ncfsg
prema	prema	Sl
njemu	on	Pp3msl
i	i	Cc
nastavlja	nastavljati	Vmr3s
kretanje	kretanje	Ncnsa
.	.	Z

Članak	članak	Ncmsn
63.	63.	Mdo

Vojna	vojni	Agpfsny
osoba	osoba	Ncfsn
u	u	Sl
vozilu	vozilo	Ncnsl
pozdravlja	pozdravljati	Vmr3s
rukom	ruka	Ncfsi
sjedeći	sjedeći	Agpmsny
.	.	Z

Kada	kada	Cs
upravlja	upravljati	Vmr3s
vozilom	vozilo	Ncnsi
,	,	Z
ne	ne	Qz
pozdravlja	pozdravljati	Vmr3s
.	.	Z

Članak	članak	Ncmsn
64.	64.	Mdo

Vojna	vojni	Agpfsny
osoba	osoba	Ncfsn
s	sa	Si
oružjem	oružje	Ncnsi
o	o	Sa
desno	desni	Agpnsay
rame	rame	Ncnsa
,	,	Z
k	k	Sd
nozi	noga	Ncfsl
ili	ili	Cc
na	na	Sa
prsa	prsa	Ncnpa
pozdravlja	pozdravljati	Vmr3s
samo	samo	Rgp
okretom	okret	Ncmsi
glave	glava	Ncfsg
i	i	Cc
pogledom	pogled	Ncmsi
.	.	Z

Ako	ako	Cs
pozdravlja	pozdravljati	Vmr3s
s	sa	Sg
mjesta	mjesto	Ncnsg
,	,	Z
zauzima	zauzimati	Vmr3s
prije	prije	Sg
osnovni	osnovan	Agpmsny
stav	stav	Ncmsn
.	.	Z

Vojna	vojni	Agpfsny
osoba	osoba	Ncfsn
s	sa	Si
oružjem	oružje	Ncnsi
na	na	Sa
leđa	leđa	Ncnpa
i	i	Cc
na	na	Sa
nožice	nožica	Ncfpa
pozdravlja	pozdravljati	Vmr3s
starije	staro	Rgc
rukom	ruka	Ncfsi
,	,	Z
kako	kako	Cs
je	biti	Var3s
opisano	opisati	Appnsny
u	u	Sl
