sjedištima	sjedište	Ncnpl
objavu	objava	Ncfsa
iz	iz	Sg
informacijskog	informacijski	Agpmsgy
sustava	sustav	Ncmsg
koji	koji	Pi-msn
se	sebe	Px--sa
koristi	koristiti	Vmr3s
u	u	Sl
sudu	sud	Ncmsl
,	,	Z
za	za	Sa
urednu	uredan	Agpfsay
i	i	Cc
pravodobnu	pravodoban	Agpfsay
objavu	objava	Ncfsa
skrbi	skrb	Ncfsg
administrativni	administrativan	Agpmsny
referent-sudski	referent-sudski	Agpmsny
zapisničar	zapisničar	Ncmsn
u	u	Sl
referadi	referada	Ncfsl
suca	sudac	Ncmsg
ili	ili	Cc
sudskog	sudski	Agpmsgy
savjetnika	savjetnik	Ncmsg
.	.	Z

U	u	Sl
informacijskom	informacijski	Agpmsly
sustavu	sustav	Ncmsl
automatski	automatski	Rgp
se	sebe	Px--sa
evidentira	evidentirati	Vmr3s
vrijeme	vrijeme	Ncnsa
stavljanja	stavljanje	Ncnsg
i	i	Cc
skidanja	skidanje	Ncnsg
pismena	pismena	Ncnpa
s	sa	Sg
oglasne	oglasni	Agpfsgy
ploče	ploča	Ncfsg
.	.	Z

(	(	Z
5	5	Mdc
)	)	Z
Ako	ako	Cs
se	sebe	Px--sa
pismena	pismen	Agpfsny
iz	iz	Sg
stavka	stavak	Ncmsg
1.	1.	Mdo
ističu	isticati	Vmr3p
u	u	Sl
elektroničkom	elektronički	Agpmsly
obliku	oblik	Ncmsl
i	i	Cc
ne	ne	Qz
postoje	postojati	Vmr3p
tehnički	tehnički	Agpmpny
preduvjeti	preduvjet	Ncmpn
za	za	Sa
automatsku	automatski	Agpfsay
objavu	objava	Ncfsa
iz	iz	Sg
informacijskog	informacijski	Agpmsgy
sustava	sustav	Ncmsg
koji	koji	Pi-msn
se	sebe	Px--sa
koristi	koristiti	Vmr3s
u	u	Sl
sudu	sud	Ncmsl
,	,	Z
za	za	Sa
urednu	uredan	Agpfsay
i	i	Cc
pravodobnu	pravodoban	Agpfsay
objavu	objava	Ncfsa
skrbi	skrb	Ncfsg
službenik	službenik	Ncmsn
određen	određen	Agpmsnn
godišnjim	godišnji	Agpmsiy
rasporedom	raspored	Ncmsi
poslova	posao	Ncmpg
.	.	Z

Ispis	ispis	Ncmsn
potvrde	potvrda	Ncfsg
o	o	Sl
stavljanju	stavljanje	Ncnsl
i	i	Cc
skidanju	skidanje	Ncnsl
pismena	pismena	Ncnpa
s	sa	Sg
oglasne	oglasni	Agpfsgy
ploče	ploča	Ncfsg
ulaže	ulagati	Vmr3s
se	sebe	Px--sa
u	u	Sa
spis	spis	Ncmsan
na	na	Sa
koji	koji	Pi-msn
se	sebe	Px--sa
odnosi	odnositi	Vmr3s
potvrda	potvrda	Ncfsn
.	.	Z

(	(	Z
6	6	Mdc
)	)	Z
U	u	Sl
sudovima	sud	Ncmpl
u	u	Sl
kojima	koji	Pi-mpl
se	sebe	Px--sa
oglasna	oglasni	Agpfsny
ploča	ploča	Ncfsn
ne	ne	Qz
vodi	voditi	Vmr3s
u	u	Sl
elektroničkom	elektronički	Agpmsly
obliku	oblik	Ncmsl
upravitelj	upravitelj	Ncmsn
sudske	sudski	Agpfsgy
pisarnice	pisarnica	Ncfsg
skrbi	skrb	Ncfsg
o	o	Sl
urednom	uredan	Agpmsly
i	i	Cc
pravodobnom	pravodoban	Agpnsly
stavljanju	stavljanje	Ncnsl
oglasnih	oglasni	Agpmpgy
primjeraka	primjerak	Ncmpg
na	na	Sa
oglasnu	oglasni	Agpfsay
ploču	ploča	Ncfsa
i	i	Cc
njihovom	njihov	Ps3nsl
skidanju	skidanje	Ncnsl
.	.	Z

Na	na	Sl
oglasnom	oglasni	Agpmsly
primjerku	primjerak	Ncmsl
stavit	staviti	Vmn
će	htjeti	Var3s
se	sebe	Px--sa
bilješka	bilješka	Ncfsn
o	o	Sl
danu	dan	Ncmsl
stavljanja	stavljanje	Ncnsg
i	i	Cc
skidanja	skidanje	Ncnsg
s	sa	Sg
oglasne	oglasni	Agpfsgy
ploče	ploča	Ncfsg
,	,	Z
koju	koji	Pi-fsa
potvrđuje	potvrđivati	Vmr3s
upravitelj	upravitelj	Ncmsn
sudske	sudski	Agpfsgy
pisarnice	pisarnica	Ncfsg
stavljanjem	stavljanje	Ncnsi
pečata	pečat	Ncmsg
i	i	Cc
potpisa	potpis	Ncmpg
.	.	Z

Nakon	nakon	Sg
toga	taj	Pd-nsg
oglasni	oglasni	Agpmpny
će	htjeti	Var3s
se	sebe	Px--sa
primjerak	primjerak	Ncmsn
uložiti	uložiti	Vmn
u	u	Sa
odgovarajući	odgovarajući	Agpmsayn
spis	spis	Ncmsan
.	.	Z
«	«	Z
.	.	Z

Članak	članak	Ncmsn
16.	16.	Mdo

Članak	članak	Ncmsn
41.	41.	Mdo
mijenja	mijenjati	Vmr3s
se	sebe	Px--sa
i	i	Cc
glasi	glasiti	Vmr3s
:	:	Z

»	»	Z
(	(	Z
1	1	Mdc
)	)	Z
Izvan	izvan	Sg
redovitog	redovit	Agpnsgy
radnog	radni	Agpnsgy
vremena	vrijeme	Ncnsg
,	,	Z
u	u	Sa
dane	dan	Ncmpa
tjednog	tjedni	Agpmsgy
odmora	odmor	Ncmsg
,	,	Z
neradne	neradan	Agpmpay
dane	dan	Ncmpa
i	i	Cc
državne	državni	Agpmpay
blagdane	blagdan	Ncmpa
obavljat	obavljati	Vmn
će	htjeti	Var3s
se	sebe	Px--sa
,	,	Z
u	u	Sl
pravilu	pravilo	Ncnsl
,	,	Z
samo	samo	Rgp
one	onaj	Pd-fsg
radnje	radnja	Ncfsg
koje	koji	Pi-fpn
ne	ne	Qz
trpe	trpjeti	Vmr3p
odgodu	odgoda	Ncfsa
.	.	Z

(	(	Z
2	2	Mdc
)	)	Z
Radi	radi	Sg
obavljanja	obavljanje	Ncnsg
poslova	posao	Ncmpg
u	u	Sl
prethodnom	prethodan	Agpmsly
kaznenom	kazneni	Agpmsly
postupku	postupak	Ncmsl
u	u	Sl
županijskim	županijski	Agpmply
sudovima	sud	Ncmpl
izvan	izvan	Sg
redovitog	redovit	Agpnsgy
radnog	radni	Agpnsgy
vremena	vrijeme	Ncnsg
,	,	Z
u	u	Sa
dane	dan	Ncmpa
tjednog	tjedni	Agpmsgy
odmora	odmor	Ncmsg
,	,	Z
neradne	neradan	Agpmpay
dane	dan	Ncmpa
i	i	Cc
državne	državni	Agpmpay
blagdane	blagdan	Ncmpa
osigurat	osigurati	Vmn
će	htjeti	Var3s
se	sebe	Px--sa
obvezatna	obvezatan	Agpfsny
prisutnost	prisutnost	Ncfsn
u	u	Sl
mjestu	mjesto	Ncnsl
sjedišta	sjedište	Ncnsg
suda	sud	Ncmsg
(	(	Z
pasivno	pasivan	Agpnsny
dežurstvo	dežurstvo	Ncnsn
)	)	Z
.	.	Z

(	(	Z
3	3	Mdc
)	)	Z
Radi	radi	Sg
obavljanja	obavljanje	Ncnsg
poslova	posao	Ncmpg
koji	koji	Pi-mpn
sukladno	sukladno	Rgp
Prekršajnom	prekršajni	Agpmsly
zakonu	zakon	Ncmsl
ne	ne	Qz
trpe	trpjeti	Vmr3p
odgodu	odgoda	Ncfsa
osigurat	osigurati	Vmn
će	htjeti	Var3s
se	sebe	Px--sa
obvezatna	obvezatan	Agpfsny
prisutnost	prisutnost	Ncfsn
u	u	Sl
mjestu	mjesto	Ncnsl
sjedišta	sjedište	Ncnsg
prekršajnih	prekršajni	Agpmpgy
sudova	sud	Ncmpg
(	(	Z
pasivno	pasivan	Agpnsny
dežurstvo	dežurstvo	Ncnsn
