EKSPLOZIVA	eksploziv	Ncmpg
0,776	0,776	Mdc
50	50	Mdc
POLICIJSKI	policijski	Agpmsny
SLUŽBENIK	službenik	Ncmsn
–	–	Z
DOKUMENTARIST	dokumentarist	Ncmsn
0,776	0,776	Mdc
40	40	Mdc
POLICIJSKI	policijski	Agpmsny
SLUŽBENIK	službenik	Ncmsn
–	–	Z
POSLUŽITELJ	poslužitelj	Ncmsn
OKLOPNOG	oklopni	Agpnsgy
VOZILA	vozilo	Ncnsg
0,776	0,776	Mdc
40	40	Mdc
POLICIJSKI	policijski	Agpmsny
SLUŽBENIK	službenik	Ncmsn
–	–	Z
POSLUŽITELJ	poslužitelj	Ncmsn
VODENOG	voden	Agpmsgy
TOPA	top	Ncmsg
0,776	0,776	Mdc
40	40	Mdc
POLICIJSKI	policijski	Agpmsny
SLUŽBENIK	službenik	Ncmsn
–	–	Z
VEZIST	vezist	Ncmsn
0,776	0,776	Mdc
40	40	Mdc
POLICIJSKI	policijski	Agpmsny
SLUŽBENIK	službenik	Ncmsn
–	–	Z
VODIČ	vodič	Ncmsn
SLUŽBENOG	služben	Agpmsgy
PSA	pas	Ncmsg
0,776	0,776	Mdc
40	40	Mdc
POLICIJSKI	policijski	Agpmsny
SLUŽBENIK	službenik	Ncmsn
–	–	Z
VODIČ	vodič	Ncmsn
SLUŽBENOG	služben	Agpmsgy
PSA	pas	Ncmsg
ZA	za	Sa
ZAŠTITU	zaštita	Ncfsa
GRANICE	granica	Ncfsg
0,776	0,776	Mdc
40	40	Mdc
POLICIJSKI	policijski	Agpmsny
SLUŽBENIK	službenik	Ncmsn
INTERVENTNE	interventni	Agpfsgy
JEDINICE	jedinica	Ncfsg
POLICIJE	policija	Ncfsg
0,776	0,776	Mdc
40	40	Mdc

PRILOG	prilog	Ncmsn
3	3	Mdc

NAZIV	naziv	Ncmsn
RADNOG	radni	Agpnsgy
MJESTA	mjesto	Ncnsg
koeficijent	koeficijent	Ncmsn
složenosti	složenost	Ncfsg
osnovni	osnovan	Agpmsny
koeficijent	koeficijent	Ncmsn
dodaci	dodatak	Ncmpn
(	(	Z
75	75	Mdc
-	-	Z
90	90	Mdc
%	%	Z
)	)	Z
ZAPOVJEDNIK	zapovjednik	Ncmsn
ZRAKOPLOVNE	zrakoplovan	Agpfsgy
JEDINICE	jedinica	Ncfsg
1,659	1,659	Mdc
90	90	Mdc
POMOĆNIK	pomoćnik	Ncmsn
ZAPOVJEDNIKA	zapovjednik	Ncmpg
ZA	za	Sa
PILOTE	pilot	Ncmpa
1,358	1,358	Mdc
90	90	Mdc
POMOĆNIK	pomoćnik	Ncmsn
ZAPOVJEDNIKA	zapovjednik	Ncmpg
ZA	za	Sa
TEHNIČKU	tehnički	Agpfsay
SLUŽBU	služba	Ncfsa
1,358	1,358	Mdc
90	90	Mdc
VODITELJ	voditelj	Ncmsn
PROGRAMA	program	Ncmsg
SIGURNOSTI	sigurnost	Ncfsg
LETENJA	letenje	Ncnsg
I	i	Cc
OPERACIJA	operacija	Ncfsn
NA	na	Sl
ZEMLJI	zemlja	Ncfsl
U	u	Sl
ZRAKOPLOVNOJ	zrakoplovan	Agpfsly
JEDINICI	jedinica	Ncfsl
1,358	1,358	Mdc
85	85	Mdc
VODITELJ	voditelj	Ncmsn
PROGRAMA	program	Ncmsg
ZA	za	Sa
SUSTAV	sustav	Ncmsan
KAKVOĆE	kakvoća	Ncfsg
U	u	Sl
ZRAKOPLOVNOJ	zrakoplovan	Agpfsly
JEDINICI	jedinica	Ncfsl
1,358	1,358	Mdc
85	85	Mdc
PILOT	pilot	Ncmsn
HELIKOPTERA	helikopter	Ncmpg
I	i	Cc
KATEGORIJE	kategorija	Ncfsg
1,358	1,358	Mdc
80	80	Mdc
PILOT	pilot	Ncmsn
HELIKOPTERA	helikopter	Ncmsg
II	ii	Y
KATEGORIJE	kategorija	Ncfsg
1,164	1,164	Mdc
90	90	Mdc
INŽENJER	inženjer	Ncmsn
ROTIRAJUĆIH	rotirajući	Agpmpgy
DIJELOVA	dio	Ncmpg
1,096	1,096	Mdc
75	75	Mdc
POLICIJSKI	policijski	Agpmsny
SLUŽBENIK	službenik	Ncmsn
–	–	Z
INSTRUKTOR	instruktor	Ncmsn
ODRŽAVANJA	održavanje	Ncnsg
ZRAKOPLOVA	zrakoplov	Ncmsg
1,019	1,019	Mdc
75	75	Mdc
POLICIJSKI	policijski	Agpmsny
