pokretnine	pokretnina	Ncfpa
I	i	Cc
okrivljeni	okrivljen	Agpmsny
Milan	Milan	Npmsn
Bandić	Bandić	Npmsn
zajedno	zajedno	Rgp
sa	sa	Si
za	za	Sa
sada	sada	Rgp
nepoznatom	nepoznat	Agpfsiy
odvjetnicom	odvjetnica	Ncfsi
iz	iz	Sg
Odvjetničkog	odvjetnički	Agpnsgy
društva	društvo	Ncnsg
Hanžeković	Hanžeković	Npfsg
i	i	Cc
partneri	partner	Ncmpn
d.o.o.	d.o.o.	Y
,	,	Z
u	u	Sl
nakani	nakana	Ncfsl
da	da	Cs
znatno	znatno	Rgp
otežaju	otežati	Vmr3p
dokazivanje	dokazivanje	Ncnsa
u	u	Sl
kaznenom	kazneni	Agpmsly
predmetu	predmet	Ncmsl
Ureda	ured	Ncmsg
za	za	Sa
suzbijanje	suzbijanje	Ncnsa
korupcije	korupcija	Ncfsg
i	i	Cc
organiziranog	organiziran	Agpmsgy
kriminaliteta	kriminalitet	Ncmsg
broj	broj	Ncmsn
K-US-165	k-us-16a	Ncfsg
/	/	Z
14	14	Mdc
,	,	Z
KPO-US-8	KPO-US-8	Mds
/	/	Z
14	14	Mdc
,	,	Z
IS-US-52	IS-US-52	Mds
/	/	Z
14	14	Mdc
najprije	najprije	Rgp
od	od	Sg
svjedokinje	svjedokinja	Ncfsg
Vide	Vida	Npfsg
Demarin	Demarin	Npfsg
koja	koji	Pi-fsn
je	biti	Var3s
8.	8.	Mdo
prosinca	prosinac	Ncmsg
2014.	2014.	Mdo
ispitana	ispitati	Appfsny
pred	pred	Si
Uredom	ured	Ncmsi
za	za	Sa
suzbijanje	suzbijanje	Ncnsa
korupcije	korupcija	Ncfsg
i	i	Cc
organiziranog	organiziran	Agpmsgy
kriminaliteta	kriminalitet	Ncmsg
u	u	Sl
predmetu	predmet	Ncmsl
broj	broj	Ncmsn
K-US-165	K-US-165	Mds
/	/	Z
14	14	Mdc
,	,	Z
KPO-US	KPO-US	Npmsn
–	–	Z
8/14	8/14	Mdc
,	,	Z
IS-US-52	IS-US-52	Mdc
/	/	Z
14	14	Mdc
u	u	Sl
kojemu	koji	Pi-nsl
je	biti	Var3s
doneseno	donijeti	Appnsny
pravomoćno	pravomoćan	Agpnsny
rješenje	rješenje	Ncnsn
o	o	Sl
pokretanju	pokretanje	Ncnsl
istrage	istraga	Ncfsg
protiv	protiv	Sg
I	i	Cc
okrivljenog	okrivljen	Agpmsgy
Milana	Milan	Npmsg
Bandića	Bandić	Npmsg
i	i	Cc
dr.	dr.	Y
zbog	zbog	Sg
sumnje	sumnja	Ncfsg
na	na	Sa
učin	učin	Ncmsan
kaznenih	kazneni	Agpnpgy
djela	djelo	Ncnpg
iz	iz	Sg
članka	članak	Ncmsg
291.	291.	Mdo
stavak	stavak	Ncmsn
1.	1.	Mdo
i	i	Cc
2.	2.	Mdo
i	i	Cc
dr.	dr.	Y
Kaznenog	kazneni	Agpmsgy
zakona	zakon	Ncmsg
/	/	Z
11	11	Mdc
,	,	Z
zatražili	zatražiti	Vmp-pm
da	da	Cs
promijeni	promijeniti	Vmr3s
iskaz	iskaz	Ncmsan
u	u	Sl
svezi	sveza	Ncfsl
vlasništva	vlasništvo	Ncnsg
nad	nad	Si
umjetninama	umjetnina	Ncfpi
koje	koji	Pi-fpn
su	biti	Var3p
prilikom	prilikom	Sg
provođenja	provođenje	Ncnsg
dokaznih	dokazni	Agpfpgy
radnji	radnja	Ncfpg
pretraga	pretraga	Ncfpg
doma	dom	Ncmsg
i	i	Cc
drugih	drugi	Mlofpg
prostorija	prostorija	Ncfpg
temeljem	temelj	Ncmsi
naloga	nalog	Ncmsg
suca	sudac	Ncmsg
istrage	istraga	Ncfsg
Županijskog	županijski	Agpmsgy
suda	sud	Ncmsg
u	u	Sl
Zagrebu	Zagreb	Npmsl
broj	broj	Ncmsan
Kir-Us-382	Kir-Us-382	Mds
/	/	Z
14	14	Mdc
od	od	Sg
19.	19.	Mdo
listopada	listopad	Ncmsg
2014.	2014.	Mdo
i	i	Cc
Kir-Us-386	Kir-Us-386	Mdc
/	/	Z
14	14	Mdc
od	od	Sg
20.	20.	Mdo
listopada	listopad	Ncmsg
2014.	2014.	Mdo
provedenih	provesti	Agpmpgy
22.	22.	Mdo
listopada	listopad	Ncmsg
2014.	2014.	Mdo
pronađene	pronaći	Appfpny
na	na	Sl
adresama	adresa	Ncfpl
u	u	Sl
Zagrebu	Zagreb	Npmsl
,	,	Z
Vilima	Vilim	Npmsg
Korajca	Korajc	Npmsg
15	15	Mdc
,	,	Z
te	te	Cc
u	u	Sl
Samoboru	Samobor	Npmsl
,	,	Z
Slava	slava	Ncfsn
Gora	Gora	Npfsn
,	,	Z
Slavagorska	Slavagorska	Npfsn
53	53	Mdc
,	,	Z
a	a	Cc
u	u	Sl
odnosu	odnos	Ncmsl
na	na	Sa
koje	koji	Pi-nsa
je	biti	Var3s
Županijski	županijski	Agpmsny
sud	sud	Ncmsn
u	u	Sl
Zagrebu	Zagreb	Npmsl
pod	pod	Si
brojem	broj	Ncmsi
Kir-Us-580	Kir-Us-580	Mdc
/	/	Z
14	14	Mdc
donio	donijeti	Vmp-sm
rješenje	rješenje	Ncnsa
o	o	Sl
