dvije	dva	Mlcf-n
kako	kako	Cs
je	biti	Var3s
definirano	definirati	Appnsny
člankom	članak	Ncmsi
12.	12.	Mdo
ovog	ovaj	Pd-msg
Pravilnika	pravilnik	Ncmsg

–	–	Agpmsny
voditelj	voditelj	Ncmsn
tima	tim	Ncmsg
za	za	Sa
sigurnost	sigurnost	Ncfsa
:	:	Z
nadležan	nadležan	Agpmsnn
za	za	Sa
pripremu	priprema	Ncfsa
plana	plan	Ncmsg
sigurnosti	sigurnost	Ncfsg
vježbe	vježba	Ncfsg
i	i	Cc
sigurnost	sigurnost	Ncfsn
svih	sav	Agpmpgy
sudionika	sudionik	Ncmpg
vježbe	vježba	Ncfsg

–	–	Agpmsny
voditelj	voditelj	Ncmsn
tima	tim	Ncmsg
za	za	Sa
pripremu	priprema	Ncfsa
vježbovne	vježbovni	Agpfsgy
lokacije	lokacija	Ncfsg
:	:	Z
nadležan	nadležan	Agpmsnn
za	za	Sa
simulacije	simulacija	Ncfpa
u	u	Sl
potpori	potpora	Ncfsl
provedbe	provedba	Ncfsg
scenarija	scenarij	Ncmsg
i	i	Cc
koordinaciju	koordinacija	Ncfsa
markiranata	markirant	Ncmpg
vježbe	vježba	Ncfsg

–	–	Agpmsny
voditelj	voditelj	Ncmsn
tima	tim	Ncmsg
za	za	Sa
logističku	logistički	Agpfsay
potporu	potpora	Ncfsa
:	:	Z
nadležan	nadležan	Agpmsnn
za	za	Sa
osiguranje	osiguranje	Ncnsa
potrebnih	potreban	Agpmpgy
materijalno	materijalno	Rgp
tehničkih	tehnički	Agpnpgy
sredstava	sredstvo	Ncnpg
i	i	Cc
informacijsko-komunikacijske	informacijsko-komunikacijski	Agpfsgy
opreme	oprema	Ncfsg
sudionicima	sudionik	Ncmpi
vježbe	vježba	Ncfsg

–	–	Agpmsny
voditelj	voditelj	Ncmsn
tima	tim	Ncmsg
za	za	Sa
protokol	protokol	Ncmsan
i	i	Cc
odnose	odnositi	Vmr3p
s	sa	Si
medijima	medij	Ncmpi
:	:	Z
nadležan	nadležan	Agpmsann
za	za	Sa
pripremu	priprema	Ncfsa
i	i	Cc
provedbu	provedba	Ncfsa
plana	plan	Ncmsg
za	za	Sa
promatrače	promatrač	Ncmpa
vježbe	vježba	Ncfpa
te	te	Cc
komunikaciju	komunikacija	Ncfsa
s	sa	Si
predstavnicima	predstavnik	Ncmpi
medija	medij	Ncmpg

–	–	Agpmsny
voditelj	voditelj	Ncmsn
tima	tim	Ncmsg
za	za	Sa
potporu	potpora	Ncfsa
države	država	Ncfsg
domaćina	domaćin	Ncmpg
:	:	Z
nadležan	nadležan	Agpmsnn
za	za	Sa
koordinaciju	koordinacija	Ncfsa
s	sa	Si
međunarodnim	međunarodni	Agpmpiy
sudionicima	sudionik	Ncmpi
vježbe	vježba	Ncfsg
.	.	Z

Primjenjuje	primjenjivati	Vmr3s
se	sebe	Px--sa
kod	kod	Sg
međunarodnih	međunarodni	Agpfpgy
vježbi	vježba	Ncfpg
koje	koji	Pi-fpn
se	sebe	Px--sa
održavaju	održavati	Vmr3p
u	u	Sl
Republici	republika	Ncfsl
Hrvatskoj	Hrvatska	Npfsl
.	.	Z

III	III	Mrc
.	.	Z

PLANIRANJE	planiranje	Ncnsn
VJEŽBE	vježba	Ncfsg
I	i	Cc
DONOŠENJE	donošenje	Ncnsn
ODLUKE	odluka	Ncfsg
ZA	za	Sa
PRIPREMU	priprema	Ncfsa
I	i	Cc
PROVOĐENJE	provođenje	Ncnsa
VJEŽBE	vježba	Ncfsg

Članak	članak	Ncmsn
5.	5.	Mdo

(	(	Z
1	1	Mdc
)	)	Z
Središnje	središnji	Agpnsny
tijelo	tijelo	Ncnsn
državne	državni	Agpfsgy
uprave	uprava	Ncfsg
nadležno	nadležan	Agpnsny
za	za	Sa
poslove	posao	Ncmpa
civilne	civilan	Agpfsgy
zaštite	zaštita	Ncfsg
(	(	Z
u	u	Sl
daljnjem	daljnji	Agpmsly
tekstu	tekst	Ncmsl
:	:	Z
Državna	državni	Agpfsny
uprava	uprava	Ncfsn
)	)	Z
donosi	donositi	Vmr3s
Godišnji	godišnji	Agpmsny
plan	plan	Ncmsn
vježbi	vježba	Ncfpg
kojim	koji	Pi-msi
se	sebe	Px--sa
utvrđuju	utvrđivati	Vmr3p
:	:	Z

–		Agcmsny
broj	broj	Ncmsn
i	i	Cc
vrste	vrsta	Ncfsg
vježbi	vježba	Ncfpg

–	–	Agpmpny
nositelji	nositelj	Ncmpn
i	i	Cc
sudionici	sudionik	Ncmpn
vježbi	vježba	Ncfpg

–	–	Agpmsny
naziv	naziv	Ncmsn
i	i	Cc
cilj	cilj	Ncmsan
vježbi	vježba	Ncfpg

–	–	Agpmsny
termin	termin	Ncmsn
i	i	Cc
lokacija	lokacija	Ncfsn
održavanja	održavanje	Ncnsg
vježbi	vježba	Ncfpg

–	–	Z
broj	broj	Ncmsn
sudionika	sudionik	Ncmpg
vježbi	vježba	Ncfpg

–	–	Agpmsny
nositelj	nositelj	Ncmsn
financijskih	financijski	Agpfpgy
obveza	obveza	Ncfpg
za	za	Sa
provedbu	provedba	Ncfsa
vježbi	vježba	Ncfpg
.	.	Z

(	(	Z
2	2	Mdc
)	)	Z
Godišnji	godišnji	Agpmsny
plan	plan	Ncmsn
vježbi	vježba	Ncfpg
donosi	donositi	Vmr3s
se	sebe	Px--sa
do	do	Sg
kraja	kraj	Ncmsg
mjeseca	mjesec	Ncmsg
prosinca	prosinac	Ncmsg
tekuće	tekući	Agpfsgy
godine	godina	Ncfsg
za	za	Sa
sljedeću	sljedeći	Agpfsay
godinu	godina	Ncfsa
i	i	Cc
usuglašava	usuglašavati	Vmr3s
između	između	Sg
sudionika	sudionik	Ncmpg
sustava	sustav	Ncmsg
civilne	civilan	Agpfsgy
zaštite	zaštita	Ncfsg
.	.	Z

Članak	članak	Ncmsn
6.	6.	Mdo

(	(	Z
1	1	Mdc
)	)	Z
Područni	područni	Agpmpny
uredi	ured	Ncmpn
Državne	državni	Agpfsgy
uprave	uprava	Ncfsg
do	do	Sg
sredine	sredina	Ncfsg
mjeseca	mjesec	Ncmsg
kolovoza	kolovoz	Ncmsg
tekuće	tekući	Agpfsgy
godine	godina	Ncfsg
nadležnom	nadležan	Agpmsly
sektoru	sektor	Ncmsl
Državne	državni	Agpfpny
uprave	uprava	Ncfpn
dostavljaju	dostavljati	Vmr3p
prijedlog	prijedlog	Ncmsan
plana	plan	Ncmsg
vježbi	vježba	Ncfpg
na	na	Sl
županijskoj	županijski	Agpfsly
razini	razina	Ncfsl
za	za	Sa
iduću	idući	Agpfsay
godinu	godina	Ncfsa
.	.	Z

(	(	Z
2	2	Mdc
)	)	Z
Prijedlog	prijedlog	Ncmsn
plana	plan	Ncmsg
vježbi	vježba	Ncfpg
na	na	Sl
županijskoj	županijski	Agpfsly
razini	razina	Ncfsl
prethodno	prethodno	Rgp
se	sebe	Px--sa
usuglašava	usuglašavati	Vmr3s
s	sa	Si
izvršnim	izvršan	Agpnsiy
tijelom	tijelo	Ncnsi
jedinice	jedinica	Ncfsg
lokalne	lokalan	Agpfsgy
i	i	Cc
područne	područni	Agpfsgy
(	(	Z
regionalne	regionalan	Agpfpay
)	)	Z
samouprave	samouprava	Ncfsg
,	,	Z
operativnim	operativan	Agpfpiy
snagama	snaga	Ncfpi
i	i	Cc
ostalim	ostali	Agpmpiy
sudionicima	sudionik	Ncmpi
u	u	Sg
sustava	sustav	Ncmsg
civilne	civilan	Agpfsgy
zaštite	zaštita	Ncfsg
koje	koji	Pi-fpn
se	sebe	Px--sa
planiraju	planirati	Vmr3p
za	za	Sa
sudjelovanje	sudjelovanje	Ncnsa
u	u	Sl
vježbama	vježba	Ncfpl
.	.	Z

(	(	Z
3	3	Mdc
)	)	Z
Nositelj	nositelj	Ncmsn
vježbe	vježba	Ncfsg
planira	planirati	Vmr3s
i	i	Cc
osigurava	osiguravati	Vmr3s
financijska	financijski	Agpnpay
sredstva	sredstvo	Ncnpa
za	za	Sa
provođenje	provođenje	Ncnsa
vježbe	vježba	Ncfsg
,	,	Z
a	a	Cc
sudionici	sudionik	Ncmpn
vježbe	vježba	Ncfpn
mogu	moći	Vmr3p
sudjelovati	sudjelovati	Vmn
u	u	Sl
sufinanciranju	sufinanciranje	Ncnsl
.	.	Z

Članak	članak	Ncmsn
7.	7.	Mdo

(	(	Z
1	1	Mdc
)	)	Z
Čelnik	čelnik	Ncmsn
Državne	državni	Agpfsgy
uprave	uprava	Ncfsg
donosi	donositi	Vmr3s
pisanu	pisan	Agpfsay
odluku	odluka	Ncfsa
o	o	Sl
pripremi	priprema	Ncfsl
i	i	Cc
provođenju	provođenje	Ncnsl
međunarodnih	međunarodni	Agpfpgy
vježbi	vježba	Ncfpg
u	u	Sl
Republici	republika	Ncfsl
Hrvatskoj	Hrvatska	Npfsl
.	.	Z

(	(	Z
2	2	Mdc
)	)	Z
Čelnik	čelnik	Ncmsn
Državne	državni	Agpfsgy
uprave	uprava	Ncfsg
donosi	donositi	Vmr3s
pisanu	pisan	Agpfsay
odluku	odluka	Ncfsa
o	o	Sl
pripremi	priprema	Ncfsl
i	i	Cc
sudjelovanju	sudjelovanje	Ncnsl
pripadnika	pripadnik	Ncmpg
operativnih	operativan	Agpfpgy
snaga	snaga	Ncfpg
sustava	sustav	Ncmsg
civilne	civilan	Agpfsgy
zaštite	zaštita	Ncfsg
te	te	Cc
državnih	državni	Agpmpgy
službenika	službenik	Ncmpg
i	i	Cc
namještenika	namještenik	Ncmpg
u	u	Sl
vježbama	vježba	Ncfpl
u	u	Sl
inozemstvu	inozemstvo	Ncnsl
.	.	Z

(	(	Z
3	3	Mdc
)	)	Z
Pisana	pisati	Appfsny
odluka	odluka	Ncfsn
iz	iz	Sg
stavaka	stavak	Ncmpg
1.	1.	Mdo
i	i	Cc
2.	2.	Mdo
ovog	ovaj	Pd-msg
članka	članak	Ncmsg
donosi	donositi	Vmr3s
se	sebe	Px--sa
šest	šest	Mlc
do	do	Sg
dvanaest	dvanaest	Mlc
mjeseci	mjesec	Ncmpg
prije	prije	Sg
početka	početak	Ncmsg
vježbe	vježba	Ncfsg
.	.	Z

(	(	Z
4	4	Mdc
)	)	Z
Za	za	Sa
ostale	ostali	Agpfpay
vježbe	vježba	Ncfpa
sustava	sustav	Ncmsg
civilne	civilan	Agpfsgy
zaštite	zaštita	Ncfsg
,	,	Z
nositelji	nositelj	Ncmpn
vježbi	vježba	Ncfpg
donose	donositi	Vmr3p
pisanu	pisan	Agpfsay
odluku	odluka	Ncfsa
o	o	Sl
pripremi	priprema	Ncfsl
i	i	Cc
provođenju	provođenje	Ncnsl
vježbe	vježba	Ncfsg
30	30	Mdc
do	do	Sg
90	90	Mdc
dana	dan	Ncmpg
prije	prije	Sg
početka	početak	Ncmsg
vježbe	vježba	Ncfsg
.	.	Z

(	(	Z
5	5	Mdc
)	)	Z
Pisanom	pisan	Agpfsiy
odlukom	odluka	Ncfsi
nositelja	nositelj	Ncmpg
vježbe	vježba	Ncfsg
načelno	načelno	Rgp
se	sebe	Px--sa
utvrđuje	utvrđivati	Vmr3s
:	:	Z

–	–	Agpmsny
naziv	naziv	Ncmsn
i	i	Cc
vrsta	vrsta	Ncfsn
vježbe	vježba	Ncfsg
,	,	Z
mjesto	mjesto	Ncnsa
izvođenja	izvođenje	Ncnsg
,	,	Z
datum	datum	Ncmsn
izvođenja	izvođenje	Ncnsg
i	i	Cc
vrijeme	vrijeme	Ncnsa
trajanja	trajanje	Ncnsg
vježbe	vježba	Ncfsg

–	–	Agpmpny
ciljevi	cilj	Ncmpn
vježbe	vježba	Ncfsg

–	–	Agpmsny
sastav	sastav	Ncmsn
i	i	Cc
zadaće	zadaća	Ncfsg
upravljačke	upravljački	Agpfsgy
skupine	skupina	Ncfsg
vježbe	vježba	Ncfsg
(	(	Z
npr.	npr.	Y
izrada	izrada	Ncfsn
Elaborata	elaborat	Ncmsg
vježbe	vježba	Ncfsg
i	i	Cc
rok	rok	Ncmsan
za	za	Sa
izradu	izrada	Ncfsa
Elaborata	elaborat	Ncmpg
)	)	Z

–	–	Agpmsny
sastav	sastav	Ncmsn
i	i	Cc
zadaće	zadaća	Ncfsg
vježbovne	vježbovni	Agpfsgy
skupine	skupina	Ncfsg

–	–	Agpmsny
financijski	financijski	Agpmsny
plan	plan	Ncmsn
vježbe	vježba	Ncfsg

–		Agcnsay
ustrojavanje	ustrojavanje	Ncnsa
dodatnih	dodatan	Agpnpgy
organizacijskih	organizacijski	Agpnpgy
tijela	tijelo	Ncnpg
za	za	Sa
pripremu	priprema	Ncfsa
i	i	Cc
provedbu	provedba	Ncfsa
vježbe	vježba	Ncfsg
(	(	Z
npr.	npr.	Y
tim	tim	Ncmsn
za	za	Sa
analizu	analiza	Ncfsa
vježbe	vježba	Ncfsg
,	,	Z
tim	tim	Ncmsn
za	za	Sa
sigurnost	sigurnost	Ncfsa
,	,	Z
tim	tim	Ncmsan
za	za	Sa
pripremu	priprema	Ncfsa
vježbovnih	vježbovni	Agpfpgy
lokacija	lokacija	Ncfpg
,	,	Z
tim	tim	Ncmsn
za	za	Sa
protokol	protokol	Ncmsan
i	i	Cc
komunikaciju	komunikacija	Ncfsa
s	sa	Si
medijima	medij	Ncmpi
,	,	Z
itd.	itd.	Y
)	)	Z

–	i	Agpfsny
provedba	provedba	Ncfsn
analize	analiza	Ncfsg
vježbe	vježba	Ncfsg
i	i	Cc
izrada	izrada	Ncfsn
izvješća	izvješće	Ncnsg
o	o	Sl
provedbi	provedba	Ncfsl
vježbe	vježba	Ncfsg
s	sa	Si
prijedlozima	prijedlog	Ncmpi
za	za	Sa
poboljšanja	poboljšanje	Ncnpa
.	.	Z

IV	IV	Mrc
.	.	Z

PRIPREMA	priprema	Ncfsn
VJEŽBE	vježba	Ncfsg
I	i	Cc
IZRADA	izrada	Ncfsn
ELABORATA	elaborat	Ncmpg

