Niz	niz	Ncmsn
;	;	Z
110	110	Mdc
;	;	Z
210	210	Mdc
;	;	Z
310	310	Mdc
;	;	Z
410	410	Mdc
;	;	Z
510	510	Mdc
;	;	Z
610	610	Mdc
;	;	Z
710	710	Mdc
;	;	Z
810	810	Mdc
;	;	Z
910	910	Mdc
;	;	Z
911	911	Mdc
;	;	Z
912	912	Mdc
;	;	Z
913	913	Mdc
;	;	Z
914	914	Mdc
050	050	Mdc
abcd050	abcd050	Mdc
C	C	Y
17.00	17.00	Mdc
Cijeli	cijel	Agpmsny
broj	broj	Ncmsn
010	010	Mdc
;	;	Z
110	110	Mdc
;	;	Z
210	210	Mdc
;	;	Z
310	310	Mdc
;	;	Z
410	410	Mdc
;	;	Z
510	510	Mdc
;	;	Z
610	610	Mdc
;	;	Z
710	710	Mdc
;	;	Z
810	810	Mdc
;	;	Z
910	910	Mdc
;	;	Z
911	911	Mdc
;	;	Z
912	912	Mdc
;	;	Z
913	913	Mdc
;	;	Z
914	914	Mdc
060	060	Mdc
abcd060	abcd060	Mdc
C	C	Y
17.00	17.00	Mdc
Cijeli	cijel	Agpmsny
broj	broj	Ncmsn
010	010	Mdc
;	;	Z
110	110	Mdc
;	;	Z
210	210	Mdc
;	;	Z
310	310	Mdc
;	;	Z
410	410	Mdc
;	;	Z
510	510	Mdc
;	;	Z
610	610	Mdc
;	;	Z
710	710	Mdc
;	;	Z
810	810	Mdc
;	;	Z
910	910	Mdc
;	;	Z
911	911	Mdc
;	;	Z
912	912	Mdc
;	;	Z
913	913	Mdc
;	;	Z
914	914	Mdc
070	070	Mdc
abcd070	abcd070	Mdc
C	C	Y
17.00	17.00	Mdc
Cijeli	cijel	Agpmsny
broj	broj	Ncmsn
010	010	Mdc
;	;	Z
110	110	Mdc
;	;	Z
210	210	Mdc
;	;	Z
310	310	Mdc
;	;	Z
410	410	Mdc
;	;	Z
510	510	Mdc
;	;	Z
610	610	Mdc
;	;	Z
710	710	Mdc
;	;	Z
810	810	Mdc
;	;	Z
910	910	Mdc
;	;	Z
911	911	Mdc
;	;	Z
912	912	Mdc
;	;	Z
913	913	Mdc
;	;	Z
914	914	Mdc
080	080	Mdc
abcd080	abcd080	Mdc
C	C	Y
19.00	19.00	Mdc
Postotak	postotak	Ncmsn
010	010	Mdc
;	;	Z
020	020	Mdc
;	;	Z
030	030	Mdc
;	;	Z
040	040	Mdc
;	;	Z
050	050	Mdc
;	;	Z
060	060	Mdc
;	;	Z
070	070	Mdc
;	;	Z
080	080	Mdc
;	;	Z
090	090	Mdc
;	;	Z
100	100	Mdc
;	;	Z
110	110	Mdc
260	260	Mdc
abcd260	abcd260	Mdc
C	C	Y
19.00	19.00	Mdc
Postotak	postotak	Ncmsn
010	010	Mdc
;	;	Z
020	020	Mdc
;	;	Z
030	030	Mdc
;	;	Z
040	040	Mdc
;	;	Z
050	050	Mdc
;	;	Z
060	060	Mdc
;	;	Z
070	070	Mdc
;	;	Z
080	080	Mdc
;	;	Z
090	090	Mdc
;	;	Z
100	100	Mdc
;	;	Z
110	110	Mdc
290	290	Mdc
abcd290	abcd290	Mdc
C	C	Y
19.00	19.00	Mdc
Postotak	postotak	Ncmsn
010	010	Mdc
;	;	Z
020	020	Mdc
;	;	Z
030	030	Mdc
;	;	Z
040	040	Mdc
;	;	Z
050	050	Mdc
;	;	Z
060	060	Mdc
;	;	Z
070	070	Mdc
;	;	Z
080	080	Mdc
;	;	Z
090	090	Mdc
;	;	Z
100	100	Mdc
;	;	Z
110	110	Mdc
490	490	Mdc
abcd490	abcd490	Mdc
C	C	Y
19.00	19.00	Mdc
Postotak	postotak	Ncmsn
010	010	Mdc
;	;	Z
020	020	Mdc
;	;	Z
030	030	Mdc
;	;	Z
040	040	Mdc
;	;	Z
050	050	Mdc
;	;	Z
060	060	Mdc
;	;	Z
070	070	Mdc
;	;	Z
080	080	Mdc
;	;	Z
090	090	Mdc
;	;	Z
100	100	Mdc
;	;	Z
110	110	Mdc
520	520	Mdc
abcd520	abcd520	Mdc
C	C	Y
20.00	20.00	Mdc
Postotak	postotak	Ncmsn
010	010	Mdc
;	;	Z
020	020	Mdc
;	;	Z
030	030	Mdc
;	;	Z
050	050	Mdc
;	;	Z
060	060	Mdc
;	;	Z
080	080	Mdc
;	;	Z
090	090	Mdc
200	200	Mdc
abcd200	abcd200	Mdc
C	C	Y
20.00	20.00	Mdc
Postotak	postotak	Ncmsn
010	010	Mdc
;	;	Z
020	020	Mdc
;	;	Z
030	030	Mdc
;	;	Z
050	050	Mdc
;	;	Z
060	060	Mdc
;	;	Z
080	080	Mdc
;	;	Z
090	090	Mdc
230	230	Mdc
abcd230	abcd230	Mdc
C	C	Y
20.00	20.00	Mdc
Postotak	postotak	Ncmsn
010	010	Mdc
;	;	Z
020	020	Mdc
;	;	Z
030	030	Mdc
;	;	Z
050	050	Mdc
;	;	Z
060	060	Mdc
;	;	Z
080	080	Mdc
;	;	Z
090	090	Mdc
370	370	Mdc
abcd370	abcd370	Mdc
C	C	Y
20.00	20.00	Mdc
Postotak	postotak	Ncmsn
010	010	Mdc
;	;	Z
020	020	Mdc
;	;	Z
030	030	Mdc
;	;	Z
050	050	Mdc
;	;	Z
060	060	Mdc
;	;	Z
080	080	Mdc
;	;	Z
090	090	Mdc
400	400	Mdc
abcd400	abcd400	Mdc
C	C	Y
24.00	24.00	Mdc
Cijeli	cijel	Agpmsny
broj	broj	Ncmsn
010	010	Mdc
140	140	Mdc
0010140	0010140	Mdc
C	C	Y
24.00	24.00	Mdc
Postotak	postotak	Ncmsn
010	010	Mdc
150	150	Mdc
;	;	Z
160	160	Mdc
0010	0010	Mdc
efg	ef	Ncmpg
C	C	Npmsn
25.00	25.00	Mdc
Cijeli	cijel	Agpmsny
broj	broj	Ncmsn
010	010	Mdc
;	;	Z
020	020	Mdc
;	;	Z
030	030	Mdc
;	;	Z
040	040	Mdc
100	100	Mdc
abcd100	abcd100	Mdc
C	C	Y
25.00	25.00	Mdc
Cijeli	cijel	Agpmsny
broj	broj	Ncmsn
010	010	Mdc
;	;	Z
020	020	Mdc
110	110	Mdc
abcd110	abcd110	Mdc
C	C	Y
26.00	26.00	Mdc
Postotak	postotak	Ncmsn
030	030	Mdc
010	010	Mdc
0030010	0030010	Mdc
C	C	Y
27.00	27.00	Mdc
Ključ	ključ	Ncmsn
999	999	Mdc
010	010	Mdc
9999010	9999010	Mdc
C	C	Y
27.00	27.00	Mdc
Niz	niz	Ncmsan
znakova	znak	Ncmpg
999	999	Mdc
020	020	Mdc
;	;	Z
030	030	Mdc
9999	9999	Mdc
efg	ef	Ncmpg
C	C	X
27.00	27.0i	Agpfsny
Šifra	šifra	Ncfsn
999	999	Mdc
040	040	Mdc
;	;	Z
050	050	Mdc
;	;	Z
060	060	Mdc
;	;	Z
070	070	Mdc
9999	9999	Mdc
efg	ef	Ncmpg
C		Npmsg
28.00	28.00	Mdc
Ključ	ključ	Ncmsn
999	999	Mdc
010	010	Mdc
9999010	9999010	Mdc
C	C	Y
28.00	28.0i	Agpfsny
Šifra	šifra	Ncfsn
999	999	Mdc
020	020	Mdc
9999020	9999020	Mdc
C	C	Y
28.00	28.00	Mdc
Booleova	booleov	Aspfsny
vrijednost	vrijednost	Ncfsn
999	999	Mdc
030	030	Mdc
9999030	9999030	Mdc
C	C	Y
28.00	28.00	Mdc
Postotak	postotak	Ncmsn
999	999	Mdc
230	230	Mdc
;	;	Z
350	350	Mdc
9999	9999	Mdc
efg	ef	Ncmpg
C		Npmsg
29.00	29.00	Mdc
Ključ	ključ	Ncmsn
999	999	Mdc
010	010	Mdc
;	;	Z
020	020	Mdc
9999	9999	Mdc
efg	ef	Ncmpg
C	C	X
29.00	29.00	Mds
Booleova	booleov	Aspfsny
vrijednost	vrijednost	Ncfsn
999	999	Mdc
030	030	Mdc
9999030	9999030	Mdc
C	C	Y
29.00	29.0i	Agpfsny
Šifra	šifra	Ncfsn
999	999	Mdc
040	040	Mdc
9999040	9999040	Mdc
C	C	Y
29.00	29.00	Mdc
Postotak	postotak	Ncmsn
999	999	Mdc
240	240	Mdc
;	;	Z
360	360	Mdc
9999	9999	Mdc
efg	ef	Ncmpg
C		Npmsg
30.00	30.00	Mdc
Ključ	ključ	Ncmsn
999	999	Mdc
010	010	Mdc
9999010	9999010	Mdc
C	C	Y
31.00	31.00	Mdc
Ključ	ključ	Ncmsn
999	999	Mdc
010	010	Mdc
;	;	Z
020	020	Mdc
9999	9999	Mdc
efg	ef	Ncmpg
C	C	X
44.00	44.0i	Agpfsny
Šifra	šifra	Ncfsn
010	010	Mdc
;	;	Z
020	020	Mdc
;	;	Z
040	040	Mdc
010	010	Mdc
abcd010	abcd010	Mdc
C	C	Y
47.00	47.00	Mdc
Postotak	postotak	Ncmsn
330	330	Mdc
;	;	Z
340	340	Mdc
010	010	Mdc
abcd010	abcd010	Mdc
C	C	Y
67.00	67.00	Mdc
Niz	niz	Ncmsan
znakova	znak	Ncmpg
020	020	Mdc
;	;	Z
030	030	Mdc
;	;	Z
040	040	Mdc
;	;	Z
050	050	Mdc
;	;	Z
060	060	Mdc
;	;	Z
070	070	Mdc
;	;	Z
080	080	Mdc
;	;	Z
090	090	Mdc
;	;	Z
100	100	Mdc
;	;	Z
110	110	Mdc
010	010	Mdc
abcd010	abcd010	Mdc
C	C	Y
67.00	67.00	Mdc
Niz	niz	Ncmsan
znakova	znak	Ncmpg
020	020	Mdc
;	;	Z
030	030	Mdc
;	;	Z
040	040	Mdc
;	;	Z
050	050	Mdc
;	;	Z
060	060	Mdc
;	;	Z
070	070	Mdc
;	;	Z
080	080	Mdc
;	;	Z
090	090	Mdc
;	;	Z
100	100	Mdc
;	;	Z
110	110	Mdc
020	020	Mdc
abcd020	abcd020	Mdc
C	C	Y
67.00	67.0i	Agpfsny
Šifra	šifra	Ncfsn
020	020	Mdc
;	;	Z
030	030	Mdc
;	;	Z
040	040	Mdc
;	;	Z
050	050	Mdc
;	;	Z
060	060	Mdc
;	;	Z
070	070	Mdc
;	;	Z
080	080	Mdc
;	;	Z
090	090	Mdc
;	;	Z
100	100	Mdc
;	;	Z
110	110	Mdc
030	030	Mdc
abcd030	abcd030	Mdc
C	C	Y
67.00	67.0i	Agpfsny
Šifra	šifra	Ncfsn
020	020	Mdc
;	;	Z
030	030	Mdc
;	;	Z
040	040	Mdc
;	;	Z
050	050	Mdc
;	;	Z
060	060	Mdc
;	;	Z
070	070	Mdc
;	;	Z
080	080	Mdc
;	;	Z
090	090	Mdc
;	;	Z
100	100	Mdc
;	;	Z
110	110	Mdc
040	040	Mdc
abcd040	abcd040	Mdc
C	C	Y
67.00	67.0i	Agpfsny
Šifra	šifra	Ncfsn
020	020	Mdc
;	;	Z
030	030	Mdc
;	;	Z
040	040	Mdc
;	;	Z
050	050	Mdc
;	;	Z
060	060	Mdc
;	;	Z
070	070	Mdc
;	;	Z
080	080	Mdc
;	;	Z
090	090	Mdc
;	;	Z
100	100	Mdc
;	;	Z
110	110	Mdc
050	050	Mdc
abcd050	abcd050	Mdc
C	C	Y
67.00	67.00	Mdc
Cijeli	cijel	Agpmsny
broj	broj	Ncmsn
010	010	Mdc
;	;	Z
020	020	Mdc
;	;	Z
030	030	Mdc
;	;	Z
040	040	Mdc
;	;	Z
050	050	Mdc
;	;	Z
060	060	Mdc
;	;	Z
070	070	Mdc
;	;	Z
080	080	Mdc
;	;	Z
090	090	Mdc
;	;	Z
100	100	Mdc
;	;	Z
110	110	Mdc
;	;	Z
120	120	Mdc
070	070	Mdc
abcd070	abcd070	Mdc
C	C	Y
67.00	67.00	Mdc
Cijeli	cijel	Agpmsny
broj	broj	Ncmsn
010	010	Mdc
;	;	Z
020	020	Mdc
;	;	Z
030	030	Mdc
;	;	Z
040	040	Mdc
;	;	Z
050	050	Mdc
;	;	Z
060	060	Mdc
;	;	Z
070	070	Mdc
;	;	Z
080	080	Mdc
;	;	Z
090	090	Mdc
;	;	Z
100	100	Mdc
;	;	Z
110	110	Mdc
;	;	Z
120	120	Mdc
080	080	Mdc
abcd080	abcd080	Mdc
C	C	Y
68.00	68.00	Mdc
Cijeli	cijel	Agpmsny
broj	broj	Ncmsn
030	030	Mdc
;	;	Z
050	050	Mdc
;	;	Z
060	060	Mdc
;	;	Z
080	080	Mdc
;	;	Z
090	090	Mdc
;	;	Z
120	120	Mdc
;	;	Z
130	130	Mdc
;	;	Z
140	140	Mdc
;	;	Z
150	150	Mdc
;	;	Z
160	160	Mdc
;	;	Z
170	170	Mdc
;	;	Z
180	180	Mdc
;	;	Z
190	190	Mdc
040	040	Mdc
abcd040	abcd040	Mdc
C	C	Y
68.00	68.00	Mdc
Cijeli	cijel	Agpmsny
broj	broj	Ncmsn
030	030	Mdc
;	;	Z
050	050	Mdc
;	;	Z
060	060	Mdc
;	;	Z
080	080	Mdc
;	;	Z
090	090	Mdc
;	;	Z
120	120	Mdc
;	;	Z
130	130	Mdc
;	;	Z
140	140	Mdc
;	;	Z
150	150	Mdc
;	;	Z
160	160	Mdc
;	;	Z
170	170	Mdc
;	;	Z
180	180	Mdc
;	;	Z
190	190	Mdc
050	050	Mdc
abcd050	abcd050	Mdc
C	C	Y
69.00	69.00	Mdc
Cijeli	cijel	Agpmsny
broj	broj	Ncmsn
010	010	Mdc
010	010	Mdc
;	;	Z
030	030	Mdc
;	;	Z
050	050	Mdc
;	;	Z
070	070	Mdc
;	;	Z
090	090	Mdc
;	;	Z
110	110	Mdc
;	;	Z
130	130	Mdc
;	;	Z
150	150	Mdc
;	;	Z
170	170	Mdc
0010	0010	Mdc
efg	ef	Ncmpg
C	C	Npmsn
69.00	69.00	Mdc
Cijeli	cijel	Agpmsny
broj	broj	Ncmsn
020	020	Mdc
010	010	Mdc
;	;	Z
030	030	Mdc
;	;	Z
050	050	Mdc
;	;	Z
070	070	Mdc
;	;	Z
090	090	Mdc
;	;	Z
110	110	Mdc
;	;	Z
130	130	Mdc
;	;	Z
150	150	Mdc
;	;	Z
170	170	Mdc
0020	0020	Mdc
efg	ef	Ncmpg
C	C	Npmsn
69.00	69.00	Mdc
Cijeli	cijel	Agpmsny
broj	broj	Ncmsn
030	030	Mdc
010	010	Mdc
;	;	Z
030	030	Mdc
;	;	Z
050	050	Mdc
;	;	Z
070	070	Mdc
;	;	Z
090	090	Mdc
;	;	Z
110	110	Mdc
;	;	Z
130	130	Mdc
;	;	Z
150	150	Mdc
;	;	Z
170	170	Mdc
0030	0030	Mdc
efg	ef	Ncmpg
C	C	Npmsn
69.00	69.00	Mdc
Cijeli	cijel	Agpmsny
broj	broj	Ncmsn
040	040	Mdc
010	010	Mdc
;	;	Z
030	030	Mdc
;	;	Z
050	050	Mdc
;	;	Z
070	070	Mdc
;	;	Z
090	090	Mdc
;	;	Z
110	110	Mdc
;	;	Z
130	130	Mdc
;	;	Z
150	150	Mdc
;	;	Z
170	170	Mdc
0040	0040	Mdc
efg	ef	Ncmpg
C	C	Npmsn
69.00	69.00	Mdc
Cijeli	cijel	Agpmsny
broj	broj	Ncmsn
050	050	Mdc
010	010	Mdc
;	;	Z
030	030	Mdc
;	;	Z
050	050	Mdc
;	;	Z
070	070	Mdc
;	;	Z
090	090	Mdc
;	;	Z
110	110	Mdc
;	;	Z
130	130	Mdc
;	;	Z
150	150	Mdc
;	;	Z
170	170	Mdc
0050	0050	Mdc
efg	ef	Ncmpg
C	C	Npmsn
69.00	69.00	Mdc
Cijeli	cijel	Agpmsny
broj	broj	Ncmsn
060	060	Mdc
010	010	Mdc
;	;	Z
030	030	Mdc
;	;	Z
050	050	Mdc
;	;	Z
070	070	Mdc
;	;	Z
090	090	Mdc
;	;	Z
110	110	Mdc
;	;	Z
130	130	Mdc
;	;	Z
150	150	Mdc
;	;	Z
170	170	Mdc
0060	0060	Mdc
efg	ef	Ncmpg
C	C	Npmsn
69.00	69.00	Mdc
Cijeli	cijel	Agpmsny
broj	broj	Ncmsn
070	070	Mdc
010	010	Mdc
;	;	Z
030	030	Mdc
;	;	Z
050	050	Mdc
;	;	Z
070	070	Mdc
;	;	Z
090	090	Mdc
;	;	Z
110	110	Mdc
;	;	Z
130	130	Mdc
;	;	Z
150	150	Mdc
;	;	Z
170	170	Mdc
0070	0070	Mdc
efg	ef	Ncmpg
C	C	Npmsn
70.00	70.00	Mdc
Cijeli	cijel	Agpmsny
broj	broj	Ncmsn
010	010	Mdc
;	;	Z
020	020	Mdc
;	;	Z
030	030	Mdc
;	;	Z
040	040	Mdc
;	;	Z
050	050	Mdc
;	;	Z
060	060	Mdc
;	;	Z
070	070	Mdc
;	;	Z
080	080	Mdc
;	;	Z
090	090	Mdc
;	;	Z
100	100	Mdc
;	;	Z
110	110	Mdc
;	;	Z
120	120	Mdc
;	;	Z
130	130	Mdc
;	;	Z
140	140	Mdc
;	;	Z
150	150	Mdc
;	;	Z
160	160	Mdc
;	;	Z
170	170	Mdc
;	;	Z
180	180	Mdc
;	;	Z
190	190	Mdc
;	;	Z
200	200	Mdc
;	;	Z
210	210	Mdc
;	;	Z
220	220	Mdc
;	;	Z
230	230	Mdc
;	;	Z
240	240	Mdc
;	;	Z
250	250	Mdc
;	;	Z
260	260	Mdc
;	;	Z
270	270	Mdc
;	;	Z
280	280	Mdc
;	;	Z
290	290	Mdc
;	;	Z
300	300	Mdc
;	;	Z
310	310	Mdc
;	;	Z
320	320	Mdc
;	;	Z
330	330	Mdc
;	;	Z
340	340	Mdc
;	;	Z
350	350	Mdc
;	;	Z
360	360	Mdc
;	;	Z
370	370	Mdc
;	;	Z
380	380	Mdc
;	;	Z
390	390	Mdc
;	;	Z
400	400	Mdc
;	;	Z
410	410	Mdc
;	;	Z
420	420	Mdc
;	;	Z
430	430	Mdc
;	;	Z
440	440	Mdc
;	;	Z
450	450	Mdc
;	;	Z
460	460	Mdc
;	;	Z
470	470	Mdc
;	;	Z
480	480	Mdc
;	;	Z
490	490	Mdc
;	;	Z
500	500	Mdc
;	;	Z
510	510	Mdc
;	;	Z
520	520	Mdc
;	;	Z
530	530	Mdc
;	;	Z
540	540	Mdc
;	;	Z
550	550	Mdc
;	;	Z
560	560	Mdc
;	;	Z
570	570	Mdc
;	;	Z
580	580	Mdc
;	;	Z
590	590	Mdc
;	;	Z
600	600	Mdc
;	;	Z
610	610	Mdc
;	;	Z
620	620	Mdc
;	;	Z
630	630	Mdc
;	;	Z
640	640	Mdc
;	;	Z
650	650	Mdc
;	;	Z
660	660	Mdc
;	;	Z
670	670	Mdc
;	;	Z
680	680	Mdc
;	;	Z
690	690	Mdc
;	;	Z
700	700	Mdc
;	;	Z
710	710	Mdc
;	;	Z
720	720	Mdc
;	;	Z
730	730	Mdc
;	;	Z
740	740	Mdc
;	;	Z
750	750	Mdc
;	;	Z
760	760	Mdc
;	;	Z

